	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.C5.A7CJ.01A.11R.A32P.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ADCY6	1111.82	285.03	791.35	13.83	8.71	68.55	43.02	20.41	11.64	4.62	92.7	0.0	0.91	4.9	299.25	583.07	466.88	514.56	638.15	559.28	320.8	339.14	387.02	269.6
AGL	1015.93	303.44	148.09	127.89	119.26	118.43	73.54	166.73	127.0	125.24	79.45	0.0	0.2	94.67	111.21	234.57	159.9	161.02	169.07	176.29	126.12	81.14	101.54	114.36
AK5	297.17	6.46	4.03	11.82	13.22	3.53	47.5	6.94	4.28	4.39	5.06	0.0	0.1	2.61	150.17	24.46	13.83	23.42	41.52	33.54	14.45	7.51	32.82	23.25
AKT3	351.14	92.05	137.14	27.64	25.35	64.8	55.49	36.79	64.8	13.83	43.32	0.0	0.59	48.18	166.73	341.51	327.56	289.02	633.73	145.02	145.02	115.97	145.02	220.32
AL354898.1	7.06	0.0	2.66	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	0.74	6.06	2.81	2.94	0.0	1.46	0.0	0.0	0.0
AOX1	201.25	38.4	318.57	18.03	3.11	41.81	16.39	6.36	28.65	4.21	6.78	0.0	0.52	28.65	363.56	138.1	151.22	46.84	287.01	31.0	57.89	42.41	59.97	100.13
APLP1	599.49	76.17	154.42	21.16	11.91	25.35	50.98	16.03	69.03	36.27	85.82	0.0	0.42	9.7	1119.56	473.41	753.83	463.65	679.29	2255.7	2287.2	1572.76	3395.89	1457.23
AQP12A	5.02	1.27	29.7	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	2.16	2.71	1.17	2.63	0.0	2.14	0.0	0.0	0.0
AQP12B	3.66	1.27	45.85	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.57	1.16	3.08	0.0	1.81	18.16	0.0	0.0
ARFGEF2	389.72	248.0	305.55	171.45	143.01	249.73	81.14	236.21	191.67	149.12	116.78	0.0	0.54	66.18	275.28	660.68	361.04	813.63	301.33	441.64	305.55	255.0	295.11	231.32
ASPA	50.63	16.75	50.98	0.64	0.32	0.74	7.11	0.0	0.0	0.0	1.99	0.0	0.16	2.43	19.11	74.06	24.11	54.33	165.57	81.14	96.01	74.58	35.25	38.95
ATP6V0E2	954.43	289.02	204.07	7.75	19.68	100.13	28.65	38.67	129.69	3.63	66.65	0.0	0.47	49.56	1143.1	389.72	312.0	187.71	1331.57	785.88	1457.23	808.0	808.0	915.51
B3GALT5	228.13	10.47	55.49	0.55	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.05	0.0	35.76	43.63	244.57	253.23	73.54	77.79	47.84	156.59	212.78	20.11
BCMO1	82.29	1.64	24.11	1.1	0.43	13.42	2.25	0.51	8.78	0.0	1.85	0.0	0.0	0.0	64.34	40.36	135.24	76.71	92.05	52.08	25.35	38.95	25.17	29.27
BEND7	256.78	39.22	125.24	3.44	0.69	14.45	9.06	9.41	6.73	1.08	5.96	0.0	0.59	2.71	180.02	265.87	267.73	381.68	540.19	348.71	246.28	275.28	229.72	194.36
C11orf54	518.15	285.03	529.06	108.9	58.3	215.77	122.64	163.28	155.5	91.41	69.03	0.0	0.27	132.44	703.28	612.11	305.55	358.54	493.56	848.22	457.25	532.74	444.72	429.54
C15orf27	43.94	12.93	15.45	4.17	3.11	2.89	5.92	4.13	2.25	3.44	7.11	0.0	0.19	4.9	22.59	20.26	16.27	14.35	17.13	74.58	59.13	88.26	105.89	69.52
C1orf115	417.77	86.43	129.69	8.38	12.93	87.65	33.3	45.21	50.98	65.72	45.53	0.0	0.44	8.92	191.67	551.56	376.41	194.36	438.59	493.56	341.51	358.54	384.34	211.31
C2ORF15	97.36	33.3	45.85	3.86	6.94	18.7	11.91	3.76	9.41	1.48	4.74	0.0	0.0	7.06	52.82	251.48	70.51	169.07	44.89	112.77	71.5	93.35	93.35	87.03
CACNA1D	52.82	16.63	111.21	0.82	0.46	3.29	1.25	0.95	0.0	0.0	0.0	0.0	0.53	0.0	120.1	78.89	51.35	47.5	26.47	14.89	8.85	14.67	6.78	6.67
CD69	1127.35	285.03	92.05	8.45	14.56	87.03	29.91	25.17	10.55	8.65	120.94	0.0	0.27	100.13	145.02	246.28	312.0	395.18	429.54	202.66	1233.75	167.9	262.2	836.53
CFTR	356.05	15.11	108.14	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.09	775.05	127.89	256.78	27.05	103.69	84.63	53.57	49.91	24.11	58.71
CNR1	72.01	5.68	47.5	0.93	0.0	1.06	1.0	1.07	0.0	0.56	0.0	0.0	0.0	0.0	23.59	32.82	40.07	8.32	90.14	34.26	113.56	40.36	22.1	102.25
CRABP1	463.65	2.16	1.33	114.36	3.53	46.18	0.0	5.32	0.0	0.0	9.63	0.0	0.35	1.5	373.81	669.92	26.86	38.67	518.15	5.87	19.39	23.25	50.63	267.73
