	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.05.5715.01A.01R.1628.07	TCGA.05.5429.01A.01R.1628.07	TCGA.55.6984.01A.11R.1949.07	TCGA.78.7540.01A.11R.2066.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07
ELTD1	420.68	279.14	130.6	74.06	66.65	41.22	127.0	28.65	64.34	63.0	31.9	217.27	66.18	105.15	273.37	61.68	127.0	118.43	53.19	82.29	180.02	193.01	172.65	148.09	54.72	141.02	237.86	175.07	150.17	18.03	167.9	162.14	181.28	142.01	775.05	450.94	567.1	336.79	105.15	954.43	406.31	217.27	1477.58	591.22	267.73	1487.87	540.19	470.14	854.13	417.77	214.27	325.29	518.15
EMCN	1008.9	172.65	117.6	58.3	69.03	54.33	90.14	19.53	53.57	61.68	16.15	320.8	125.24	85.22	214.27	63.0	111.21	76.17	34.02	32.59	134.3	166.73	221.86	149.12	23.42	146.03	231.32	56.68	59.55	19.53	125.24	122.64	96.68	181.28	2537.92	1304.15	579.04	417.77	866.07	1096.5	656.11	2163.77	1721.16	2451.44	1008.9	2319.15	4095.0	1605.83	2895.31	314.17	239.52	291.04	295.11
ERG	346.29	156.59	48.52	20.86	29.27	22.59	51.35	13.42	19.97	38.12	9.78	103.69	38.4	36.01	80.57	15.8	65.26	51.71	31.22	26.86	59.13	87.65	90.77	70.51	20.56	71.5	104.42	27.25	41.81	5.96	129.69	63.45	110.43	88.88	435.55	802.41	669.92	384.34	212.78	1183.45	514.56	1457.23	4010.71	1540.37	607.87	1096.5	1561.89	1088.92	1572.76	128.79	104.42	86.43	221.86
F2RL3	61.25	37.85	36.01	12.83	17.38	9.27	16.63	9.13	19.53	8.13	7.94	198.47	10.0	5.92	50.27	6.21	68.55	21.78	5.15	32.59	27.25	15.68	65.72	67.12	5.15	13.62	37.85	22.1	6.41	8.19	43.02	17.51	55.1	34.26	228.13	164.42	397.93	228.13	22.26	389.72	267.73	490.14	31.45	220.32	162.14	145.02	124.37	49.91	98.73	96.68	55.89	381.68	486.75
FAS	480.04	92.7	89.51	131.51	107.38	27.25	532.74	29.48	139.07	43.02	775.05	105.15	65.72	134.3	131.51	177.53	518.15	198.47	105.89	51.35	316.37	117.6	72.52	202.66	92.7	52.08	808.0	76.71	48.18	102.25	190.34	591.22	208.38	223.41	1477.58	591.22	579.04	620.67	693.58	4450.27	1295.13	791.35	1183.45	1477.58	343.89	764.36	1794.29	1331.57	2537.92	878.17	620.67	915.51	543.96
FBXL7	96.01	38.67	16.88	9.34	3.5	5.87	29.27	5.28	6.41	10.0	4.31	40.36	8.85	6.89	37.05	11.04	45.21	24.46	4.31	13.03	63.89	29.06	31.67	32.36	6.46	22.1	124.37	8.99	21.16	4.78	92.7	26.86	37.05	36.53	157.68	318.57	265.87	113.56	122.64	343.89	166.73	397.93	277.2	769.69	73.03	59.97	423.61	115.16	309.83	74.58	76.71	64.8	98.73
FLI1	603.67	182.55	92.7	34.75	21.32	29.48	70.51	18.97	30.12	43.32	46.18	171.45	46.18	63.45	114.36	224.97	100.13	74.58	16.03	33.78	126.12	96.01	102.97	114.36	47.84	107.38	171.45	69.03	53.57	31.45	224.97	80.57	163.28	169.07	1096.5	2573.36	941.27	665.29	381.68	591.22	769.69	1844.76	4419.52	3124.78	890.44	1295.13	3190.46	2855.44	1977.24	234.57	182.55	173.85	258.57
GIMAP1	215.77	43.02	24.28	7.63	8.92	12.36	18.84	1.99	14.78	13.22	21.47	48.52	17.25	12.64	18.7	142.01	57.89	25.72	5.19	16.15	43.02	26.86	24.63	32.13	16.03	41.52	58.3	15.8	33.78	6.67	57.49	14.78	40.64	43.63	212.78	511.0	148.09	43.94	164.42	75.64	103.69	154.42	518.15	656.11	466.88	241.19	314.17	842.36	961.07	67.59	63.89	69.52	105.89
GIMAP4	1030.12	470.14	244.57	96.01	52.82	58.71	142.01	33.06	82.29	107.38	176.29	473.41	132.44	102.25	171.45	1001.93	323.03	231.32	85.22	119.26	361.04	242.88	236.21	327.56	111.21	256.78	343.89	138.1	214.27	45.85	366.09	172.65	281.09	316.37	3467.27	8963.45	2271.4	1369.04	579.04	2351.53	2367.9	1208.34	14163.58	6037.61	2224.63	1923.14	8363.13	7642.41	11345.82	457.25	426.57	567.1	607.87
GIMAP5	1066.48	507.46	232.94	87.65	85.82	63.45	132.44	18.03	135.24	85.22	195.72	466.88	102.25	142.01	211.31	974.5	392.44	155.5	55.49	111.21	438.59	129.69	332.14	281.09	178.77	226.54	260.38	103.69	209.84	39.22	295.11	175.07	251.48	309.83	2351.53	4972.34	860.08	571.05	928.3	2935.74	3690.52	7433.4	12244.81	2047.0	3212.66	3212.66	6337.83	3874.05	8840.04	329.84	371.22	620.67	599.49
