	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.05.5715.01A.01R.1628.07	TCGA.05.5429.01A.01R.1628.07	TCGA.55.6984.01A.11R.1949.07	TCGA.78.7540.01A.11R.2066.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07
JAM2	629.35	57.89	26.28	17.9	6.11	23.93	77.25	8.19	13.62	18.43	6.16	111.99	11.3	39.5	68.55	59.97	76.71	40.07	11.13	22.75	114.36	63.89	67.12	47.17	17.64	111.21	185.11	21.01	37.32	7.51	116.78	37.59	57.49	155.5	1369.04	1733.13	825.0	466.88	429.54	669.92	638.15	500.46	909.17	1551.09	318.57	1268.46	1242.34	1008.9	1304.15	178.77	164.42	155.5	273.37
JAM3	277.2	126.12	78.89	45.85	40.07	30.12	76.17	26.1	92.7	40.07	29.91	183.82	51.71	32.59	128.79	29.06	106.63	72.52	18.03	50.27	229.72	149.12	137.14	131.51	25.17	80.57	547.75	34.26	59.97	22.1	163.28	145.02	140.04	138.1	651.58	633.73	444.72	253.23	287.01	1313.23	884.29	2133.97	909.17	1268.46	287.01	693.58	1167.14	1508.65	651.58	198.47	165.57	163.28	226.54
KIF17	59.13	37.59	7.28	6.31	4.03	8.51	16.51	4.24	7.22	4.24	5.77	12.36	5.5	4.98	14.56	12.36	30.78	6.62	0.89	9.06	15.8	8.45	16.88	23.93	4.5	23.76	24.99	7.46	16.88	2.39	20.71	16.39	11.3	36.79	78.89	152.28	142.01	44.89	107.38	55.1	84.04	329.84	289.02	297.17	176.29	381.68	106.63	231.32	137.14	43.63	43.94	46.5	67.12
LBH	2061.24	400.71	246.28	224.97	94.67	100.13	307.69	429.54	71.0	177.53	981.29	698.41	241.19	69.52	1023.0	738.29	842.36	486.75	164.42	447.82	368.65	660.68	253.23	708.18	660.68	264.03	629.35	305.55	182.55	58.71	954.43	1388.16	3794.3	1104.13	2835.7	3589.58	3372.43	470.14	2537.92	1111.82	2997.45	1745.2	802.41	5255.91	2319.15	10084.54	2193.99	2777.33	2148.82	1709.26	1066.48	1059.11	1073.91
LDB2	1369.04	327.56	115.16	32.13	37.59	48.87	92.05	35.5	65.72	68.07	18.7	248.0	53.95	102.97	173.85	44.89	85.22	119.26	46.5	61.68	117.6	151.22	167.9	164.42	45.85	182.55	208.38	66.18	96.01	18.43	221.86	149.12	201.25	206.94	1127.35	3395.89	1151.06	1167.14	616.37	2367.9	2119.22	1709.26	2061.24	4095.0	884.29	3190.46	2997.45	2609.3	3103.19	353.59	205.5	346.29	567.1
LHFP	1378.57	486.75	195.72	131.51	65.72	66.65	314.17	121.79	84.63	82.29	40.07	536.45	120.94	148.09	356.05	267.73	244.57	202.66	33.78	105.15	327.56	358.54	224.97	348.71	65.72	329.84	961.07	107.38	177.53	64.34	503.95	244.57	327.56	279.14	1832.01	4095.0	1923.14	1073.91	1059.11	1651.0	808.0	2224.63	2255.7	5076.84	1242.34	1037.29	3039.3	2915.45	2255.7	769.69	595.34	1104.13	808.0
LPHN2	483.38	206.94	76.17	98.04	476.71	58.3	108.14	351.14	24.11	35.5	47.17	215.77	58.71	426.57	99.43	293.07	62.12	361.04	70.51	221.86	165.57	1081.39	248.0	115.16	332.14	674.59	334.46	185.11	134.3	27.64	191.67	88.26	366.09	271.48	1037.29	2502.97	1350.18	656.11	483.38	1051.79	3419.52	915.51	2956.17	5995.9	1508.65	1208.34	2796.65	2335.28	2520.38	620.67	295.11	497.0	262.2
LRRC32	2935.74	583.07	248.0	100.13	52.08	53.19	320.8	96.01	113.56	164.42	81.71	397.93	69.03	178.77	299.25	154.42	796.86	190.34	46.18	251.48	1001.93	379.04	638.15	651.58	63.45	409.15	1605.83	115.16	202.66	69.52	651.58	426.57	426.57	450.94	6037.61	3257.52	1617.0	3639.7	559.28	8479.89	3768.09	8305.36	16843.62	2739.08	2537.92	5147.73	7642.41	6381.92	5403.7	669.92	796.86	718.08	764.36
MEF2C	403.5	115.16	35.0	48.52	22.92	20.56	47.84	7.22	30.12	24.46	10.47	172.65	28.65	31.0	100.83	105.89	50.63	59.13	24.28	32.13	74.58	100.13	91.41	67.59	20.56	97.36	162.14	37.59	37.05	25.35	175.07	73.54	129.69	90.77	373.81	902.89	1605.83	392.44	486.75	842.36	285.03	429.54	1832.01	1378.57	202.66	366.09	2032.85	896.64	1407.55	241.19	137.14	180.02	223.41
MSN	1407.55	1044.52	995.0	1159.07	297.17	759.08	476.71	148.09	167.9	540.19	1407.55	1023.0	660.68	209.84	961.07	3257.52	2240.11	759.08	143.01	271.48	1397.83	1447.15	802.41	995.0	329.84	543.96	1950.0	647.07	366.09	148.09	4239.45	1457.23	4836.35	2255.7	15285.81	9151.82	9088.59	9808.75	7230.1	33688.23	14361.31	28328.16	40341.14	10296.45	11189.6	18052.61	40904.3	18689.27	19618.49	8963.45	6699.25	8078.22	9474.59
MYCT1	363.56	115.16	55.49	29.27	25.91	19.39	131.51	7.51	22.26	27.84	7.34	128.79	50.63	21.63	89.51	20.56	36.01	50.27	10.79	23.93	42.71	53.19	85.82	43.63	19.11	66.18	59.55	21.16	30.56	6.31	78.89	48.18	101.54	108.14	438.59	441.64	361.04	111.99	130.6	532.74	178.77	232.94	718.08	1350.18	473.41	460.44	1088.92	551.56	490.14	112.77	76.17	90.14	113.56
MYO1G	107.38	37.32	17.51	5.32	2.05	13.72	25.54	8.19	2.46	5.77	72.01	52.45	6.73	8.71	41.52	157.68	132.44	53.95	4.9	14.89	110.43	24.11	6.16	65.26	32.82	16.27	37.59	56.68	15.68	19.97	371.22	40.64	144.01	68.07	2682.69	1757.34	2502.97	2895.31	3690.52	1295.13	1794.29	2645.74	2240.11	599.49	896.64	1407.55	713.11	813.63	1991.0	180.02	1540.37	277.2	1277.29
NKG7	255.0	106.63	63.0	26.86	3.5	116.78	74.58	9.2	13.32	21.16	1059.11	105.89	16.15	74.06	106.63	299.25	1268.46	429.54	10.88	111.21	616.37	71.5	10.24	366.09	291.04	159.9	67.59	381.68	59.97	38.12	175.07	117.6	193.01	256.78	3901.01	8247.98	748.61	909.17	1388.16	6607.01	2271.4	1883.54	11424.74	2664.15	1008.9	7749.1	2855.44	3847.29	4210.15	127.0	267.73	214.27	98.73
PALD1	116.78	58.71	59.97	24.11	11.82	19.53	32.59	19.11	13.62	13.93	9.78	46.84	19.82	9.06	39.22	41.22	51.35	30.12	5.19	17.9	70.01	33.78	35.76	71.5	29.48	42.41	66.65	31.0	19.53	13.32	60.82	31.0	102.25	69.03	214.27	320.8	323.03	70.51	163.28	144.01	232.94	281.09	525.39	1066.48	248.0	190.34	229.72	656.11	241.19	104.42	164.42	77.79	94.01
PCDH12	38.4	105.89	49.56	29.48	21.63	23.76	24.46	11.38	21.63	34.02	9.13	71.0	35.0	8.99	52.08	85.22	77.25	29.06	16.15	26.86	64.34	54.33	59.97	43.94	25.54	43.63	82.29	21.78	26.86	9.41	86.43	27.25	84.04	85.22	281.09	669.92	363.56	165.57	363.56	141.02	208.38	384.34	1175.27	2032.85	384.34	199.85	684.02	878.17	660.68	152.28	89.51	92.7	161.02
PCDH17	81.14	70.01	24.63	19.68	34.02	10.55	30.12	7.82	7.22	17.64	5.5	53.95	18.43	13.83	63.0	12.64	36.79	23.93	9.13	31.45	31.67	42.11	44.57	21.01	19.11	16.88	84.04	17.38	11.47	4.35	84.63	32.36	142.01	173.85	656.11	253.23	397.93	842.36	121.79	332.14	954.43	429.54	878.17	947.83	90.77	842.36	941.27	387.02	703.28	61.68	34.75	43.63	92.05
PCDHGB7	54.33	65.26	10.16	8.92	2.92	10.63	29.91	5.54	9.06	13.83	7.34	55.1	19.39	30.34	19.39	11.04	32.13	24.28	3.47	13.93	44.25	20.26	36.01	28.04	8.38	20.26	84.04	9.2	31.67	0.83	50.63	18.29	33.3	42.71	497.0	532.74	256.78	127.0	76.71	406.31	264.03	297.17	348.71	656.11	205.5	591.22	291.04	157.68	414.87	186.4	120.94	214.27	166.73
PDGFB	223.41	260.38	181.28	131.51	84.63	49.21	56.28	229.72	59.97	251.48	234.57	212.78	198.47	23.08	171.45	688.78	273.37	130.6	42.41	283.05	698.41	198.47	171.45	305.55	63.89	96.01	420.68	62.56	84.63	23.59	157.68	183.82	476.71	204.07	1015.93	595.34	291.04	138.1	403.5	329.84	325.29	3742.05	2148.82	1143.1	395.18	1268.46	2400.97	2468.49	1030.12	312.0	279.14	223.41	397.93
PLXND1	2816.11	1437.15	796.86	708.18	287.01	444.72	651.58	299.25	438.59	441.64	1225.22	1127.35	525.39	309.83	759.08	2855.44	5872.48	633.73	162.14	660.68	1477.58	854.13	1096.5	753.83	341.51	921.88	1477.58	493.56	476.71	251.48	2739.08	406.31	1081.39	1427.22	3443.31	5517.27	2209.26	1923.14	4937.99	2119.22	8022.41	1651.0	7433.4	6516.03	2193.99	2061.24	4639.29	8247.98	5751.61	3419.52	3168.41	2816.11	3018.3
PRF1	120.1	38.12	13.72	4.7	3.2	19.53	33.54	2.32	2.46	7.88	234.57	32.59	3.99	19.82	41.22	92.7	275.28	74.58	3.47	46.5	156.59	39.5	6.84	94.01	144.01	36.53	32.13	149.12	15.68	3.17	41.81	24.81	72.52	83.45	785.88	2148.82	334.46	438.59	693.58	1225.22	327.56	1350.18	2875.3	785.88	543.96	2627.46	1008.9	872.1	1487.87	43.63	79.45	59.13	52.82
PTGIR	82.29	53.19	9.27	15.8	8.92	6.89	12.18	6.21	7.57	13.22	8.25	34.51	13.03	5.59	17.51	38.67	96.01	11.64	6.31	15.91	52.45	21.01	24.28	32.36	6.46	18.43	59.13	12.64	32.82	0.82	101.54	55.49	75.64	62.12	1037.29	312.0	796.86	902.89	153.34	1651.0	665.29	854.13	1143.1	896.64	191.67	1037.29	718.08	1001.93	1167.14	74.06	132.44	137.14	52.08
PTPRB	241.19	147.06	73.54	47.17	26.28	67.12	35.76	36.79	37.59	59.13	8.58	149.12	43.02	68.07	61.25	11.91	30.78	89.51	34.26	36.01	35.5	110.43	89.51	63.0	24.28	136.19	82.29	72.01	45.21	11.38	158.79	153.34	156.59	94.01	397.93	1066.48	532.74	190.34	197.09	842.36	1923.14	264.03	438.59	902.89	974.5	332.14	1191.69	607.87	921.88	228.13	123.5	153.34	195.72
PTPRE	264.03	173.85	249.73	271.48	221.86	61.25	55.49	166.73	36.53	127.89	159.9	143.01	137.14	93.35	327.56	201.25	113.56	314.17	142.01	90.14	131.51	220.32	96.68	246.28	94.67	127.89	198.47	102.25	166.73	211.31	165.57	91.41	332.14	264.03	540.19	591.22	753.83	1167.14	323.03	1259.69	1572.76	988.12	1709.26	607.87	518.15	854.13	995.0	1674.06	1662.49	878.17	759.08	802.41	1081.39
RAMP3	624.99	358.54	376.41	107.38	83.45	93.35	329.84	75.64	94.67	229.72	169.07	470.14	120.94	224.97	414.87	241.19	656.11	323.03	68.07	327.56	316.37	381.68	518.15	356.05	93.35	500.46	483.38	186.4	384.34	53.95	379.04	165.57	175.07	642.59	5292.48	5517.27	1304.15	2119.22	2682.69	3280.18	3847.29	3467.27	6745.86	6381.92	2193.99	11584.24	5219.6	4066.71	8778.97	1277.29	830.75	748.61	1023.0
RAPGEF5	141.02	99.43	92.05	31.0	24.46	26.67	15.8	7.57	17.9	32.13	4.94	102.97	29.48	27.84	51.35	21.47	49.56	82.87	55.49	27.25	67.59	94.67	108.9	66.18	22.75	82.29	93.35	18.7	30.12	3.2	336.79	146.03	189.02	260.38	748.61	674.59	848.22	551.56	400.71	2351.53	265.87	1794.29	1605.83	1331.57	429.54	708.18	2104.58	947.83	733.19	260.38	125.24	248.0	379.04
RASIP1	249.73	389.72	91.41	53.95	35.25	73.54	111.21	221.86	81.14	379.04	18.16	463.65	470.14	98.04	193.01	612.11	197.09	87.65	182.55	59.97	111.21	127.0	346.29	133.36	81.14	137.14	132.44	49.56	314.17	40.07	123.5	217.27	153.34	142.01	1242.34	1277.29	647.07	629.35	255.0	2855.44	1417.35	4123.49	4543.8	2255.7	638.15	441.64	3589.58	1583.71	860.08	217.27	167.9	162.14	376.41
RASL12	466.88	81.71	54.33	32.59	14.45	38.4	48.87	14.35	16.63	27.44	11.64	99.43	36.79	12.74	60.39	32.36	60.39	42.11	8.06	19.25	214.27	80.01	73.03	80.57	12.64	67.59	438.59	21.32	43.32	5.19	96.01	153.34	109.66	189.02	743.43	890.44	1175.27	173.85	368.65	514.56	555.41	587.13	791.35	1721.16	309.83	1233.75	665.29	1277.29	599.49	124.37	126.12	81.71	70.51
RBMS2	209.84	102.97	64.8	167.9	145.02	80.01	133.36	58.3	43.63	63.89	148.09	75.11	125.24	81.71	98.04	154.42	105.15	147.06	74.58	183.82	218.79	101.54	138.1	85.82	106.63	80.57	260.38	82.29	77.79	13.52	293.07	169.07	341.51	275.28	412.0	878.17	457.25	543.96	366.09	1051.79	1233.75	476.71	872.1	872.1	497.0	743.43	1733.13	563.18	743.43	511.0	255.0	392.44	642.59
RBMS3	76.71	16.51	6.06	4.66	1.19	5.87	25.72	2.97	3.96	4.54	1.57	27.64	7.34	10.55	20.41	30.78	13.62	8.32	4.31	4.58	30.78	18.43	14.56	17.9	1.33	25.72	63.45	3.2	6.78	1.22	45.85	23.76	41.22	41.52	287.01	420.68	197.09	173.85	152.28	660.68	693.58	463.65	429.54	341.51	108.9	214.27	497.0	293.07	275.28	156.59	88.26	138.1	162.14
RHOJ	595.34	137.14	59.55	37.85	25.72	22.26	53.57	13.72	26.1	31.22	19.11	102.97	29.06	26.47	96.68	22.59	74.58	41.22	23.08	34.26	115.97	84.04	78.34	70.51	20.56	64.34	173.85	29.91	44.57	10.63	94.67	64.8	108.9	113.56	507.46	848.22	674.59	521.76	208.38	967.76	332.14	896.64	2367.9	1806.78	190.34	642.59	1844.76	603.67	813.63	98.04	105.89	129.69	172.65
S100A6	305326.92	569761.05	318292.9	269512.87	229795.93	284880.02	386469.83	368165.8	373305.21	318292.9	539026.74	945028.61	569761.05	345900.08	355624.68	520665.48	520665.48	408505.64	324980.94	350728.68	431797.89	400098.69	932018.1	459592.86	386469.83	456418.21	509950.32	466008.55	554180.87	353168.2	336441.4	381149.17	305326.92	301123.38	239554.43	217400.14	290865.98	408505.64	355624.68	341137.96	231394.29	239554.43	345900.08	286861.53	373305.21	246289.25	294926.33	262143.0	275175.93	279017.26	422911.59	443937.41	309589.14
S1PR1	450.94	295.11	127.0	27.25	47.5	21.94	112.77	15.68	57.89	67.59	28.45	244.57	47.84	78.34	190.34	92.7	118.43	162.14	42.71	69.52	159.9	145.02	239.52	141.02	37.59	141.02	316.37	57.49	94.67	21.63	218.79	97.36	218.79	187.71	2193.99	974.5	2335.28	802.41	323.03	7032.37	890.44	4769.75	2303.12	2816.11	1199.98	3235.01	7589.61	1233.75	2485.67	738.29	988.12	1008.9	896.64
SAMD14	120.94	42.41	21.47	14.24	4.06	16.75	8.99	13.32	4.28	14.14	9.48	35.76	11.3	8.06	23.25	10.71	31.0	17.51	5.19	15.91	27.25	28.65	24.63	43.94	8.99	12.93	33.06	15.56	14.14	2.78	77.79	20.11	55.49	40.07	180.02	346.29	220.32	153.34	111.21	105.89	387.02	271.48	318.57	429.54	34.75	226.54	299.25	414.87	136.19	23.76	35.25	24.46	29.27
SDCBP	3955.48	830.75	1051.79	1359.57	1594.73	1519.15	2627.46	1350.18	1733.13	890.44	941.27	1519.15	1331.57	1359.57	2468.49	4671.57	1498.22	1427.22	2271.4	1857.6	2895.31	1721.16	2400.97	2209.26	1477.58	1397.83	1950.0	1844.76	1225.22	2303.12	4869.99	2895.31	4512.4	3982.99	11827.67	9945.68	7081.29	13681.08	4639.29	14971.21	6699.25	8778.97	11424.74	7537.18	7130.55	6337.83	13306.94	6561.36	9344.14	2303.12	1745.2	2591.27	2133.97
SH2B3	260.38	143.01	128.79	53.57	23.08	29.27	45.53	21.94	39.22	68.55	65.26	95.34	51.71	31.0	111.99	339.14	111.99	100.13	57.49	57.49	223.41	100.83	98.73	126.12	53.95	63.89	153.34	67.12	41.81	27.84	197.09	74.58	151.22	137.14	363.56	961.07	1111.82	1350.18	267.73	738.29	325.29	941.27	1111.82	1191.69	529.06	301.33	1388.16	713.11	693.58	239.52	182.55	153.34	205.5
SH2D3C	236.21	281.09	154.42	80.01	39.79	74.06	48.52	32.13	50.98	86.43	40.36	177.53	89.51	49.56	73.54	78.34	120.1	92.7	33.06	46.84	139.07	113.56	131.51	103.69	49.56	187.71	129.69	61.68	95.34	17.77	187.71	52.45	201.25	204.07	1096.5	1697.45	848.22	476.71	660.68	591.22	836.53	1806.78	2573.36	3395.89	1594.73	1143.1	2537.92	1819.35	1896.65	400.71	255.0	279.14	351.14
SHROOM4	156.59	81.14	27.25	55.49	61.68	5.87	31.45	47.5	37.05	15.56	4.62	62.56	57.89	11.73	61.25	5.11	18.7	68.55	72.01	14.56	14.89	56.68	40.36	69.52	5.82	36.79	37.85	12.36	21.63	17.13	61.68	11.13	55.89	49.91	211.31	376.41	212.78	91.41	234.57	633.73	866.07	595.34	738.29	769.69	454.09	148.09	1447.15	579.04	753.83	353.59	281.09	444.72	435.55
SLC24A4	2.23	1.35	0.33	0.0	0.0	2.03	0.65	0.33	0.0	0.31	0.61	0.75	0.61	0.32	0.74	3.35	1.48	0.67	0.0	1.3	0.93	0.39	0.0	1.6	0.33	0.38	1.73	0.29	1.6	0.0	8.13	1.81	1.69	2.61	28.04	52.45	7.06	30.12	21.47	15.91	122.64	19.39	5.36	27.84	34.51	45.85	15.0	26.1	15.11	2.16	4.31	1.13	6.62
SLC2A3	7382.04	226.54	87.65	90.14	33.78	50.98	2796.65	124.37	133.36	71.5	44.57	417.77	52.08	106.63	854.13	1066.48	571.05	178.77	47.84	153.34	1794.29	217.27	397.93	318.57	120.1	63.45	406.31	136.19	432.53	164.42	329.84	514.56	802.41	305.55	5076.84	2163.77	3372.43	2400.97	1059.11	7331.05	2555.58	5872.48	3928.15	2520.38	796.86	18304.63	11035.54	2104.58	2520.38	674.59	1340.84	1059.11	1277.29
STARD8	44.89	44.89	23.08	11.91	10.63	7.57	34.02	5.92	11.47	12.09	9.13	33.78	17.9	11.73	33.06	40.07	28.65	27.05	6.89	9.41	57.49	25.72	49.56	29.06	10.63	23.93	58.3	12.36	9.93	5.92	57.49	23.42	54.33	81.14	218.79	177.53	165.57	190.34	148.09	244.57	457.25	450.94	748.61	366.09	460.44	591.22	532.74	176.29	277.2	98.04	52.45	59.97	104.42
SYNPO	420.68	607.87	287.01	117.6	80.57	120.94	214.27	127.0	57.89	127.89	48.87	409.15	102.25	231.32	314.17	473.41	251.48	258.57	67.59	143.01	361.04	387.02	299.25	204.07	86.43	279.14	718.08	90.77	155.5	33.06	414.87	447.82	490.14	884.29	3235.01	2434.5	1781.89	825.0	463.65	3742.05	3820.7	2090.03	4066.71	3372.43	2032.85	6935.54	4639.29	6294.04	5366.37	915.51	1023.0	775.05	1023.0
TCF4	775.05	153.34	76.17	54.72	22.59	27.84	117.6	19.39	32.59	29.27	22.92	189.02	39.79	24.28	149.12	46.5	70.51	84.63	15.8	36.01	135.24	115.16	139.07	150.17	24.81	63.89	392.44	31.67	36.01	22.43	190.34	183.82	180.02	121.79	563.18	1199.98	743.43	387.02	246.28	1733.13	723.08	1794.29	2434.5	1295.13	417.77	599.49	3190.46	1397.83	1088.92	253.23	171.45	141.02	356.05
TEK	158.79	48.18	22.43	8.92	8.32	9.56	24.46	3.29	13.52	14.14	6.41	66.18	9.7	29.7	65.26	11.82	29.48	31.9	5.15	15.22	33.54	41.52	45.85	37.59	6.78	50.63	83.45	11.47	13.12	2.78	75.64	32.82	57.08	80.01	808.0	860.08	239.52	206.94	151.22	325.29	1498.22	543.96	748.61	1991.0	728.11	1143.1	1259.69	1044.52	2319.15	139.07	76.71	105.15	172.65
TIE1	928.3	271.48	120.1	73.03	41.22	76.71	100.83	35.76	62.56	83.45	29.27	191.67	89.51	62.56	145.02	62.12	241.19	102.25	41.52	108.9	229.72	177.53	249.73	117.6	62.12	182.55	318.57	52.82	111.21	23.59	332.14	110.43	241.19	341.51	1030.12	2004.85	1135.2	417.77	836.53	1605.83	1183.45	1447.15	2573.36	4123.49	860.08	1044.52	2178.83	4419.52	2485.67	438.59	395.18	371.22	595.34
TMEM173	1605.83	854.13	684.02	470.14	291.04	161.02	503.95	133.36	155.5	785.88	490.14	379.04	684.02	231.32	346.29	1794.29	1277.29	297.17	432.53	547.75	1037.29	651.58	387.02	339.14	152.28	409.15	1350.18	262.2	447.82	67.59	3742.05	785.88	1769.57	1397.83	6037.61	3257.52	4903.87	3303.0	3515.68	1936.53	1388.16	7485.11	16045.82	3564.78	3124.78	4358.66	3491.39	2502.97	3820.7	2004.85	3928.15	2193.99	3257.52
TSPAN4	497.0	329.84	229.72	142.01	78.89	239.52	1322.37	104.42	353.59	199.85	423.61	320.8	100.83	129.69	295.11	4836.35	1350.18	363.56	64.34	237.86	928.3	854.13	669.92	759.08	140.04	305.55	1119.56	438.59	236.21	85.22	2075.59	518.15	507.46	791.35	3491.39	2287.2	2739.08	1059.11	3742.05	1662.49	4419.52	3419.52	2956.17	6426.31	4575.41	5831.91	6426.31	3349.13	4704.07	2485.67	3515.68	3280.18	3168.41
VWF	3614.55	1104.13	540.19	72.01	295.11	139.07	343.89	109.66	206.94	303.44	116.78	295.11	99.43	503.95	334.46	85.82	444.72	470.14	111.99	358.54	323.03	400.71	599.49	237.86	256.78	591.22	616.37	258.57	571.05	78.34	638.15	163.28	928.3	450.94	5872.48	1594.73	2133.97	503.95	571.05	6121.9	4328.55	1313.23	1417.35	1991.0	2303.12	5751.61	3874.05	1870.53	4095.0	698.41	567.1	384.34	1250.98
ZNF366	19.25	21.63	4.78	1.35	2.89	1.73	6.36	1.0	2.43	2.12	2.14	6.36	3.35	3.41	4.03	1.14	0.92	13.72	3.41	0.35	4.98	5.77	3.41	5.45	2.89	5.54	11.3	2.61	2.25	0.41	10.08	2.56	11.55	5.54	15.11	66.65	19.25	12.64	32.36	11.38	29.27	19.82	30.56	94.67	59.55	224.97	28.45	16.63	49.56	28.04	8.19	6.78	37.32
