	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A0JM.01A.21R.A056.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CUEDC1	808.0	2075.59	624.99	466.88	571.05	872.1	921.88	366.09	769.69	674.59	1721.16	392.44	1359.57	197.09	1605.83	444.72	397.93	68.07	161.02	139.07	82.29	128.79	134.3	131.51	81.14	22.75	69.52	0.0	0.75
DPF2	698.41	819.3	1051.79	1233.75	1051.79	1081.39	1111.82	1015.93	909.17	928.3	1268.46	688.78	902.89	743.43	934.76	775.05	579.04	204.07	242.88	432.53	277.2	241.19	251.48	215.77	159.9	100.83	212.78	0.0	0.59
DTNBP1	480.04	603.67	392.44	470.14	713.11	647.07	620.67	525.39	532.74	454.09	518.15	620.67	599.49	409.15	575.03	450.94	738.29	90.14	239.52	137.14	177.53	145.02	130.6	159.9	99.43	64.8	204.07	0.0	0.62
DTYMK	438.59	1044.52	395.18	603.67	447.82	1088.92	633.73	387.02	890.44	493.56	974.5	511.0	379.04	336.79	417.77	647.07	277.2	237.86	177.53	249.73	159.9	277.2	283.05	269.6	159.9	206.94	187.71	0.0	0.21
DVL3	775.05	688.78	624.99	896.64	500.46	521.76	830.75	638.15	656.11	830.75	1437.15	808.0	679.29	693.58	733.19	733.19	497.0	403.5	318.57	450.94	293.07	361.04	366.09	334.46	242.88	127.89	441.64	0.0	1.39
EIF2B2	454.09	642.59	507.46	848.22	769.69	813.63	703.28	473.41	624.99	738.29	1487.87	397.93	521.76	723.08	743.43	651.58	723.08	387.02	361.04	460.44	356.05	293.07	412.0	356.05	457.25	218.79	371.22	0.0	0.73
EIF2B5	1159.07	915.51	1369.04	954.43	1183.45	1437.15	1757.34	1733.13	896.64	1259.69	2502.97	974.5	981.29	753.83	974.5	915.51	775.05	587.13	651.58	708.18	665.29	587.13	651.58	555.41	599.49	289.02	679.29	0.0	1.3
EVL	1733.13	2627.46	8718.32	9945.68	6294.04	6207.38	11345.82	8247.98	13586.57	9808.75	8963.45	1685.71	9025.81	1844.76	7081.29	7537.18	2240.11	1662.49	1477.58	1457.23	1044.52	2255.7	1331.57	1697.45	1407.55	1447.15	500.46	0.0	0.48
EXOC2	521.76	599.49	603.67	314.17	373.81	120.94	591.22	775.05	358.54	183.82	2209.26	466.88	460.44	291.04	1030.12	866.07	212.78	137.14	159.9	186.4	133.36	177.53	170.25	212.78	229.72	127.0	124.37	0.0	0.53
EXOSC2	351.14	423.61	348.71	371.22	381.68	336.79	412.0	376.41	368.65	633.73	629.35	325.29	389.72	297.17	392.44	358.54	297.17	275.28	209.84	279.14	269.6	208.38	305.55	258.57	244.57	104.42	155.5	0.0	0.39
EXOSC9	591.22	808.0	429.54	351.14	466.88	371.22	336.79	353.59	713.11	500.46	1030.12	353.59	500.46	381.68	647.07	447.82	693.58	239.52	215.77	318.57	182.55	205.5	307.69	301.33	218.79	159.9	148.09	0.0	0.38
FANCG	307.69	669.92	291.04	318.57	432.53	409.15	327.56	220.32	575.03	429.54	575.03	457.25	301.33	172.65	642.59	435.55	305.55	105.89	64.8	111.99	80.01	94.01	78.34	78.34	77.25	41.22	92.05	0.0	0.66
FBF1	98.04	224.97	115.97	110.43	137.14	119.26	140.04	39.22	112.77	144.01	153.34	103.69	177.53	72.01	140.04	110.43	100.13	31.45	17.38	32.59	18.7	20.71	27.64	17.51	15.22	6.89	10.0	0.0	0.6
FKBP3	1519.15	2609.3	2255.7	1697.45	1457.23	2255.7	1583.71	1685.71	1870.53	1151.06	3768.09	1286.18	2104.58	941.27	3419.52	1216.75	1551.09	1044.52	934.76	1008.9	878.17	1143.1	934.76	1216.75	1015.93	921.88	607.87	0.0	0.71
GEMIN2	221.86	212.78	256.78	253.23	199.85	262.2	256.78	293.07	217.27	197.09	395.18	183.82	176.29	155.5	248.0	221.86	363.56	78.34	92.05	118.43	132.44	106.63	121.79	121.79	52.08	53.19	78.89	0.0	0.41
GEMIN8	688.78	435.55	1651.0	723.08	915.51	909.17	785.88	536.45	607.87	591.22	490.14	339.14	547.75	567.1	624.99	595.34	371.22	262.2	234.57	277.2	199.85	248.0	301.33	309.83	182.55	186.4	211.31	0.0	0.42
HID1	1977.24	2209.26	1709.26	2664.15	1651.0	2502.97	1991.0	1397.83	1508.65	2835.7	8191.0	1923.14	1407.55	842.36	2287.2	2627.46	775.05	83.45	77.79	133.36	64.8	84.63	81.71	94.67	70.51	7.75	19.68	0.0	0.85
HNRNPA3	5183.54	7695.57	4575.41	4704.07	5403.7	5441.3	4972.34	3847.29	6207.38	5292.48	6561.36	4123.49	5329.3	4095.0	5147.73	3768.09	5219.6	2224.63	2451.44	2682.69	1832.01	2682.69	2645.74	2417.67	2468.49	2209.26	2367.9	0.0	1.06
HNRNPUL2	854.13	780.44	830.75	1191.69	988.12	638.15	909.17	1044.52	1037.29	961.07	947.83	848.22	1059.11	961.07	703.28	1359.57	420.68	368.65	429.54	514.56	320.8	387.02	457.25	400.71	264.03	108.9	309.83	312.0	395.18
HNRNPUL2-BSCL2	420.68	607.87	698.41	1183.45	669.92	693.58	764.36	583.07	748.61	813.63	988.12	486.75	368.65	796.86	848.22	563.18	127.0	176.29	209.84	281.09	218.79	186.4	289.02	198.47	346.29	198.47	234.57	0.0	0.89
IFI27L1	376.41	500.46	256.78	387.02	414.87	638.15	346.29	229.72	1437.15	555.41	1015.93	503.95	620.67	234.57	426.57	417.77	934.76	139.07	164.42	144.01	260.38	211.31	139.07	193.01	180.02	301.33	199.85	0.0	0.46
