	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0AU.11A.11R.A12P.07	GTEX.T6MO.0326.SM.32QOK	GTEX.ZXES.0826.SM.5E43C	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.B0.4712.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07
ACAD10	163.28	218.79	426.57	301.33	283.05	348.71	483.38	473.41	373.81	358.54	269.6	318.57	123.5	0.0	0.17	106.63
ACAD8	341.51	397.93	620.67	567.1	633.73	769.69	733.19	698.41	947.83	1286.18	277.2	358.54	195.72	0.0	1.07	144.01
AGAP8	50.98	48.52	116.78	77.25	68.55	169.07	237.86	295.11	178.77	156.59	37.32	146.03	12.36	0.0	0.64	6.57
APPL2	684.02	400.71	1295.13	848.22	825.0	1044.52	1151.06	1322.37	1417.35	1572.76	373.81	860.08	368.65	0.0	0.71	260.38
AQP6	0.41	2.25	5.32	0.83	4.46	3.5	4.74	12.0	15.11	9.2	1.3	14.14	0.38	0.0	0.13	1.73
ARFGAP2	1135.2	1605.83	2075.59	1909.85	1594.73	1781.89	2004.85	2485.67	2047.0	2502.97	1037.29	2645.74	842.36	1487.87	669.92	1135.2
ARID1A	273.37	262.2	872.1	595.34	603.67	819.3	866.07	988.12	713.11	1044.52	693.58	543.96	172.65	327.56	450.94	81.14
B3GNT3	19.11	11.82	212.78	122.64	61.68	186.4	325.29	285.03	595.34	208.38	2400.97	3955.48	175.07	0.0	0.0	144.01
BACH2	18.29	14.56	108.9	76.17	67.59	68.07	100.83	97.36	129.69	146.03	10.88	18.84	5.15	0.0	0.3	8.38
BCL7A	47.84	90.77	351.14	228.13	164.42	224.97	363.56	409.15	265.87	409.15	223.41	239.52	117.6	0.0	0.35	45.21
BRD3	185.11	228.13	417.77	346.29	336.79	376.41	423.61	444.72	547.75	532.74	111.21	175.07	103.69	123.5	325.29	53.57
C10orf90	21.01	29.27	163.28	74.06	36.79	76.17	182.55	236.21	186.4	269.6	0.0	0.0	12.09	0.0	0.13	5.92
C9orf156	285.03	299.25	497.0	358.54	329.84	429.54	454.09	483.38	493.56	651.58	193.01	480.04	152.28	0.0	0.0	175.07
CCDC122	55.49	43.32	199.85	76.17	98.73	115.97	236.21	181.28	241.19	239.52	75.11	102.25	72.52	0.0	0.04	60.39
CCL28	58.3	60.39	3540.14	2255.7	1259.69	3103.19	3955.48	3874.05	3955.48	5555.65	182.55	371.22	366.09	0.0	0.36	65.26
CDK3	75.64	95.34	169.07	127.0	144.01	158.79	187.71	277.2	231.32	206.94	100.83	119.26	72.01	0.0	0.97	20.41
CHKA	228.13	253.23	1427.22	463.65	599.49	890.44	1605.83	1628.26	1519.15	1781.89	18.03	114.36	175.07	0.0	0.75	78.89
CLPX	414.87	244.57	896.64	563.18	571.05	616.37	836.53	728.11	1030.12	1073.91	1151.06	813.63	212.78	0.0	0.65	177.53
COL28A1	9.48	21.01	102.97	31.22	19.39	43.02	80.57	105.15	209.84	389.72	50.98	420.68	45.85	0.0	0.37	0.75
DCUN1D2	156.59	193.01	323.03	220.32	291.04	239.52	275.28	309.83	420.68	358.54	84.04	228.13	57.08	0.0	0.75	81.14
DDI2	164.42	130.6	409.15	251.48	303.44	387.02	423.61	432.53	638.15	444.72	414.87	293.07	92.05	0.0	0.51	50.98
DIRAS1	22.43	14.45	134.3	63.89	52.08	70.01	127.0	123.5	101.54	249.73	1.41	14.56	3.72	0.0	0.39	2.27
EMILIN3	7.0	7.63	234.57	31.45	19.11	26.47	127.89	142.01	63.0	884.29	7.17	36.79	4.17	0.0	0.25	1.28
FAM3B	45.53	51.35	825.0	307.69	156.59	463.65	1023.0	1794.29	1733.13	2335.28	44761.41	82951.62	5.54	0.0	0.25	2.92
FBXO21	249.73	244.57	638.15	511.0	463.65	525.39	603.67	620.67	660.68	878.17	273.37	429.54	258.57	0.0	0.25	134.3
FNBP4	361.04	226.54	1745.2	674.59	825.0	1397.83	1923.14	1662.49	1561.89	1447.15	429.54	733.19	299.25	518.15	1529.73	115.97
GEMIN5	176.29	166.73	262.2	234.57	246.28	255.0	305.55	295.11	303.44	193.01	82.87	128.79	211.31	0.0	0.0	44.25
GPR125	258.57	269.6	579.04	447.82	384.34	583.07	728.11	633.73	836.53	1111.82	21.47	118.43	195.72	0.0	0.62	127.89
GTF2I	2758.13	2468.49	4671.57	3794.3	3349.13	4450.27	4972.34	4736.79	5147.73	7032.37	4903.87	4671.57	2075.59	2739.08	1225.22	872.1
HEXDC	267.73	343.89	703.28	334.46	441.64	529.06	728.11	825.0	733.19	633.73	253.23	651.58	260.38	0.0	0.64	241.19
