	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A2.A0YL.01A.21R.A109.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132QS.1526.SM.5J2MV	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.AG.3732.11A.01R.1660.07
DSP	5517.27	5633.22	4239.45	5517.27	4450.27	12.09	1001.93	0.0	0.0	211.31	37.05	50.63	884.29	1242.34	273.37
EEA1	332.14	348.71	679.29	241.19	358.54	130.6	224.97	241.19	211.31	202.66	58.3	84.04	309.83	289.02	202.66
ERBB3	4450.27	5913.33	5076.84	5041.77	2224.63	131.51	392.44	106.63	260.38	603.67	224.97	244.57	848.22	1081.39	866.07
FAM196B	68.07	21.78	64.8	53.19	19.25	3.35	2.16	0.11	0.0	0.57	0.0	0.0	34.51	21.47	6.31
FRK	629.35	323.03	432.53	191.67	285.03	0.47	1.03	0.04	0.0	32.13	4.74	18.7	50.27	79.45	30.34
FSBP	52.45	133.36	189.02	60.39	49.21	30.78	16.39	11.91	12.18	23.08	0.89	2.12	64.34	44.57	32.82
GDAP2	336.79	476.71	684.02	229.72	460.44	94.67	156.59	125.24	150.17	126.12	136.19	86.43	162.14	178.77	108.9
GLS2	78.34	117.6	312.0	74.06	89.51	33.54	104.42	39.79	38.12	67.12	21.01	25.54	108.14	115.16	39.5
GPD2	1617.0	2193.99	813.63	555.41	1551.09	63.89	264.03	105.15	61.68	133.36	63.89	74.58	320.8	379.04	221.86
HELB	258.57	256.78	177.53	76.17	147.06	5.68	21.94	18.29	29.48	19.53	4.31	9.93	17.9	38.4	14.78
HIST1H2AE	6037.61	8421.31	2133.97	76.71	5006.93	25.54	45.21	10.47	33.54	16.88	30.78	15.0	105.15	209.84	35.76
HIST1H2BG	9215.48	11112.3	2835.7	52.45	8191.0	21.78	52.08	22.59	11.13	5.96	14.89	0.0	191.67	224.97	51.35
HIST1H4J	19892.37	18560.17	1963.57	181.28	14561.8	53.57	61.68	27.44	16.88	8.06	74.06	55.1	209.84	164.42	71.0
HIST2H2BF	2047.0	2104.58	1233.75	43.63	2627.46	115.16	35.0	31.0	16.51	339.14	18.56	24.99	138.1	231.32	33.78
IPO11	733.19	753.83	1216.75	555.41	947.83	255.0	309.83	356.05	307.69	256.78	320.8	189.02	409.15	460.44	327.56
ITIH6	82.87	26.67	57.08	21.78	21.63	0.0	1.57	0.0	0.0	0.0	0.0	0.0	11.82	21.78	1.93
KIF3A	241.19	224.97	412.0	244.57	281.09	156.59	88.26	114.36	153.34	126.12	35.5	63.0	167.9	161.02	143.01
LCOR	947.83	1111.82	1268.46	334.46	713.11	76.71	132.44	103.69	97.36	127.0	23.93	48.18	195.72	255.0	228.13
MAN1A2	579.04	791.35	1111.82	454.09	723.08	293.07	309.83	285.03	258.57	320.8	108.9	199.85	555.41	525.39	339.14
MED14	808.0	567.1	1313.23	536.45	358.54	343.89	444.72	473.41	320.8	363.56	117.6	199.85	373.81	514.56	403.5
MIA3	3614.55	3419.52	4123.49	1350.18	2319.15	890.44	775.05	825.0	684.02	698.41	363.56	728.11	1191.69	1066.48	769.69
MLPH	5672.41	8078.22	21026.65	4450.27	6652.97	85.82	73.54	117.6	85.22	500.46	201.25	547.75	1447.15	1950.0	361.04
MMS22L	376.41	397.93	438.59	155.5	242.88	36.79	60.82	47.5	22.75	34.75	5.63	15.8	74.58	106.63	63.0
MTBP	279.14	211.31	132.44	83.45	182.55	32.59	34.51	29.48	22.75	25.54	7.46	10.88	37.05	46.5	35.0
MYO5C	470.14	1081.39	1350.18	642.59	954.43	17.77	68.07	134.3	38.4	147.06	41.81	70.51	229.72	358.54	141.02
N4BP2	327.56	267.73	218.79	89.51	187.71	30.56	53.19	41.52	31.22	37.59	6.84	20.86	103.69	130.6	53.57
NIN	928.3	703.28	1340.84	253.23	728.11	178.77	285.03	297.17	237.86	273.37	53.19	102.25	327.56	403.5	249.73
NUP155	785.88	909.17	684.02	454.09	796.86	138.1	239.52	159.9	152.28	163.28	75.64	84.63	221.86	223.41	165.57
NUP98	2148.82	2075.59	2240.11	1233.75	1709.26	698.41	1304.15	921.88	995.0	981.29	503.95	775.05	967.76	1167.14	684.02
ODF2	808.0	890.44	1447.15	836.53	890.44	426.57	785.88	713.11	511.0	543.96	234.57	591.22	563.18	647.07	379.04
OSBPL8	1397.83	1769.57	1794.29	1540.37	967.76	348.71	435.55	395.18	341.51	325.29	96.68	143.01	684.02	825.0	417.77
PAQR4	201.25	1572.76	1023.0	253.23	764.36	33.54	187.71	82.29	41.52	100.83	138.1	108.14	193.01	336.79	91.41
PATE4	6.84	2.78	11.82	2.18	4.74	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.41	0.0
PCLO	96.68	346.29	521.76	83.45	134.3	19.68	18.84	41.81	28.04	51.71	2.14	6.78	141.02	99.43	36.53
PDS5A	1651.0	1923.14	2193.99	954.43	1167.14	409.15	616.37	511.0	493.56	536.45	273.37	316.37	679.29	713.11	595.34
PHF3	1427.22	1508.65	1519.15	830.75	1037.29	473.41	490.14	463.65	371.22	381.68	149.12	314.17	638.15	791.35	612.11
PLK4	201.25	417.77	201.25	133.36	231.32	15.34	62.12	19.97	4.5	5.23	8.58	8.65	37.32	50.98	37.32
PRPF40A	1674.06	1709.26	2319.15	1378.57	1508.65	642.59	974.5	780.44	571.05	796.86	392.44	607.87	1023.0	1369.04	909.17
PRR11	96.01	194.36	199.85	376.41	65.26	8.06	74.58	20.71	9.63	1.81	19.53	17.38	42.71	71.5	39.79
PTK2	1583.71	1651.0	3257.52	1304.15	1594.73	1135.2	1350.18	981.29	1023.0	1037.29	684.02	890.44	1277.29	1313.23	1199.98
RAB6C	112.77	114.36	209.84	96.68	38.95	6.62	26.1	32.82	33.06	2.53	3.92	5.87	15.8	14.14	3.89
REPS2	229.72	1295.13	1487.87	295.11	301.33	75.64	51.71	56.68	77.25	251.48	180.02	163.28	371.22	329.84	129.69
RIBC2	44.57	170.25	293.07	151.22	27.44	1.79	31.22	4.03	4.13	4.78	12.64	2.53	26.86	45.85	3.69
RMI2	146.03	256.78	423.61	271.48	201.25	28.86	69.03	4.43	0.37	19.25	33.54	21.94	94.67	130.6	77.25
RPGRIP1L	158.79	152.28	368.65	134.3	152.28	69.03	69.03	69.52	55.49	52.45	73.03	28.45	108.14	94.67	70.51
SCAF8	941.27	1233.75	1662.49	703.28	842.36	429.54	432.53	429.54	412.0	414.87	162.14	379.04	547.75	642.59	500.46
SCYL3	303.44	536.45	693.58	420.68	507.46	138.1	175.07	177.53	125.24	144.01	108.14	134.3	228.13	325.29	221.86
SENP1	403.5	441.64	753.83	309.83	269.6	170.25	197.09	173.85	131.51	142.01	60.82	126.12	198.47	253.23	190.34
SERHL2	223.41	1015.93	1447.15	195.72	182.55	149.12	92.05	158.79	132.44	111.21	117.6	50.63	131.51	121.79	51.35
SERPINA11	67.59	175.07	146.03	78.34	149.12	1.33	8.06	0.0	0.0	0.0	0.0	0.0	16.51	11.91	0.34
SGK3	836.53	665.29	878.17	412.0	444.72	88.26	129.69	119.26	85.82	130.6	43.63	86.43	264.03	297.17	198.47
SH3D21	84.63	143.01	444.72	327.56	149.12	26.1	67.12	64.34	49.91	30.12	20.71	34.02	76.71	85.22	32.36
SIX1	457.25	1388.16	1268.46	387.02	16.63	0.0	47.5	18.56	2.46	4.74	16.51	9.85	503.95	748.61	1.75
SIX4	343.89	764.36	878.17	283.05	202.66	13.62	37.32	17.13	10.79	18.29	3.41	14.24	89.51	127.0	12.93
SLC26A5	26.47	22.92	46.5	9.2	41.22	1.06	1.43	0.43	0.32	4.54	0.0	3.03	7.46	14.24	2.18
SLC39A11	1721.16	2119.22	1733.13	708.18	1709.26	72.52	209.84	55.89	35.25	185.11	236.21	251.48	376.41	395.18	258.57
SLC39A6	28132.47	38966.94	19482.97	2796.65	15075.35	642.59	591.22	447.82	450.94	371.22	182.55	521.76	2104.58	2255.7	571.05
SPATA32	8.58	6.94	22.1	5.82	2.63	0.0	1.22	1.73	0.42	0.22	0.95	0.0	4.58	3.23	2.39
SPG11	1551.09	1832.01	3614.55	1135.2	1498.22	629.35	587.13	708.18	669.92	890.44	463.65	575.03	902.89	1119.56	775.05
SPIDR	1268.46	1304.15	2417.67	921.88	915.51	679.29	651.58	629.35	540.19	703.28	387.02	392.44	753.83	753.83	563.18
STAU2	1088.92	915.51	2133.97	791.35	836.53	532.74	638.15	603.67	674.59	583.07	329.84	353.59	764.36	748.61	603.67
SUCO	1437.15	2271.4	2485.67	684.02	1467.37	185.11	217.27	231.32	201.25	293.07	66.65	122.64	454.09	457.25	251.48
SUPT20H	890.44	1242.34	1923.14	583.07	890.44	764.36	819.3	753.83	647.07	723.08	432.53	567.1	796.86	780.44	813.63
SYCP2	1331.57	435.55	176.29	166.73	961.07	17.51	94.67	15.45	15.45	33.54	23.59	27.44	59.13	53.57	33.54
TCEANC2	128.79	132.44	185.11	108.9	108.14	69.52	73.54	74.06	95.34	64.34	42.71	64.34	92.7	96.01	87.03
TCF4	1313.23	1023.0	1936.53	1051.79	1051.79	878.17	764.36	708.18	403.5	368.65	105.89	217.27	651.58	909.17	836.53
TDRD5	205.5	76.17	82.87	133.36	199.85	1.35	2.84	0.92	0.59	3.96	0.29	0.69	15.8	19.25	6.41
TFAP2A	316.37	665.29	1268.46	1709.26	339.14	35.25	612.11	33.06	30.56	21.63	22.59	21.32	264.03	289.02	39.22
TFAP2C	277.2	1037.29	1037.29	1044.52	262.2	291.04	902.89	21.16	39.5	8.99	20.41	18.56	153.34	228.13	105.15
TMEM241	890.44	555.41	503.95	753.83	432.53	69.52	112.77	80.01	64.8	66.18	30.78	46.18	119.26	131.51	96.68
TMEM97	312.0	819.3	1277.29	279.14	366.09	172.65	137.14	65.26	84.63	251.48	193.01	309.83	229.72	346.29	242.88
TPM2	718.08	974.5	1119.56	2163.77	2133.97	1063212.58	706337.4	663619.99	2392353.91	408505.64	131071.0	117311.73	69753.56	32994.92	209994.66
TRIM24	303.44	376.41	688.78	356.05	353.59	169.07	182.55	147.06	142.01	177.53	87.03	163.28	289.02	309.83	217.27
TTC6	791.35	866.07	1437.15	273.37	1073.91	0.0	0.0	0.0	0.0	15.45	0.0	0.0	183.82	368.65	14.78
UGGT1	954.43	1051.79	1437.15	403.5	921.88	209.84	287.01	223.41	165.57	209.84	105.15	162.14	379.04	397.93	244.57
UHRF1BP1	229.72	271.48	325.29	143.01	171.45	104.42	72.52	81.71	63.45	105.15	24.99	89.51	122.64	131.51	82.87
WWP1	1594.73	2555.58	2417.67	1233.75	1923.14	616.37	500.46	529.06	624.99	575.03	325.29	473.41	967.76	848.22	775.05
ZCCHC4	251.48	244.57	305.55	158.79	195.72	114.36	87.03	118.43	103.69	103.69	69.03	87.03	155.5	158.79	154.42
ZNF254	934.76	679.29	470.14	309.83	674.59	77.25	60.39	115.16	84.63	111.99	29.48	36.01	212.78	258.57	147.06
ZNF33A	890.44	836.53	2224.63	684.02	947.83	285.03	226.54	318.57	279.14	320.8	170.25	208.38	432.53	536.45	379.04
ZNF440	441.64	248.0	392.44	242.88	356.05	60.39	112.77	99.43	36.53	137.14	38.4	81.14	166.73	167.9	126.12
ZNF562	1350.18	825.0	915.51	400.71	624.99	144.01	260.38	267.73	224.97	265.87	136.19	138.1	214.27	251.48	159.9
ZNF644	1159.07	1467.37	1639.59	633.73	1008.9	381.68	444.72	403.5	423.61	457.25	329.84	204.07	514.56	518.15	551.56
ZNF860	126.12	228.13	161.02	60.39	239.52	5.54	5.15	15.0	3.14	3.08	1.17	2.46	57.89	97.36	10.39
ZNF90	49.21	190.34	267.73	88.88	98.04	59.55	20.41	34.02	26.67	52.45	28.86	18.56	77.79	66.65	49.56
