	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.C5.A3HE.01A.21R.A22U.07	TCGA.DG.A2KH.01A.21R.A22U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.EX.A8YF.01A.11R.A37O.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
ABCA9	0.0	4.31	1.0	1.93	0.67	4.54	2.41	1.85	0.0	0.57	1.01	3.0	3.0	1.69	16.27	4.62	0.0	5.41	1.38	1.97	25.17	0.0	0.28	153.34	81.14	49.91	185.11	77.79	417.77	86.43	209.84	87.65	89.51	161.02	143.01	84.04	185.11	23.25	40.64	76.71	224.97	73.54	125.24	229.72	34.75	126.12	58.3	106.63	105.15	45.21	115.16	80.01	69.03	58.71	64.8	100.83
ABCC9	0.32	7.57	16.51	1.93	2.58	4.94	6.84	6.46	1.77	0.58	3.5	8.45	1.27	51.35	3.14	7.17	4.54	15.68	33.06	43.63	123.5	0.0	0.28	108.14	135.24	139.07	237.86	366.09	775.05	297.17	186.4	169.07	48.18	159.9	389.72	128.79	201.25	63.0	163.28	265.87	199.85	371.22	269.6	253.23	63.45	253.23	140.04	273.37	285.03	83.45	77.25	180.02	208.38	153.34	480.04	139.07
ADAMTSL2	6.67	49.91	30.12	15.34	18.7	29.27	24.63	47.17	14.67	6.94	7.11	37.59	4.7	33.54	24.11	39.79	18.7	20.41	29.7	18.56	193.01	0.0	0.72	68.55	198.47	56.28	74.06	417.77	417.77	185.11	327.56	878.17	277.2	616.37	228.13	198.47	256.78	197.09	366.09	295.11	269.6	113.56	202.66	76.17	56.68	62.56	142.01	256.78	703.28	198.47	830.75	161.02	295.11	128.79	236.21	507.46
ANKRD34C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.0	0.0	0.57	0.0	0.0	1.75	0.0	3.53	0.0	3.0	0.57	1.01	0.0	3.03	0.0	1.43	1.36	2.2	0.6	5.19	1.01	1.03	1.03	0.0	1.81	0.0	0.56	0.0	1.3	0.0	0.56	1.51	0.0	0.6	0.6
ANKRD45	1.73	39.5	3.79	2.51	1.28	0.0	1.03	0.85	0.0	1.87	0.55	3.08	5.59	0.78	3.0	0.87	1.0	1.01	4.28	24.81	44.57	0.0	0.0	47.5	190.34	29.27	9.56	47.84	23.08	237.86	113.56	44.57	178.77	229.72	68.55	92.7	130.6	0.0	7.88	124.37	21.63	78.34	40.64	115.97	981.29	48.87	17.0	94.01	34.51	33.54	50.98	0.0	9.78	3.92	6.31	293.07
APLNR	5.23	154.42	51.71	44.57	26.47	74.58	61.25	57.89	49.56	4.98	42.41	52.08	2.68	28.24	30.56	31.9	39.79	131.51	128.79	34.51	392.44	0.0	0.0	1199.98	102.97	126.12	115.16	75.64	420.68	343.89	780.44	129.69	620.67	205.5	1044.52	98.04	279.14	353.59	301.33	84.04	273.37	575.03	170.25	1127.35	95.34	1819.35	256.78	1151.06	195.72	297.17	57.89	183.82	87.65	258.57	267.73	185.11
ARHGAP1	1268.46	878.17	791.35	1498.22	698.41	1073.91	1437.15	1104.13	1457.23	796.86	1295.13	967.76	802.41	995.0	693.58	1151.06	688.78	1233.75	1572.76	1397.83	1950.0	1030.12	127.0	1417.35	1111.82	417.77	1159.07	2645.74	1662.49	1467.37	1331.57	1769.57	1857.6	1857.6	1572.76	420.68	2485.67	423.61	1540.37	1498.22	2032.85	1096.5	2133.97	1540.37	878.17	1066.48	947.83	1350.18	2271.4	1447.15	1407.55	796.86	1135.2	669.92	1111.82	759.08
ASPN	9.63	166.73	22.1	26.67	47.5	78.34	57.89	63.45	27.84	8.99	7.46	43.63	10.63	29.48	58.71	10.96	17.38	84.63	17.51	32.13	579.04	77.79	854.13	185.11	318.57	334.46	470.14	3690.52	1781.89	660.68	575.03	139.07	43.32	521.76	1059.11	435.55	743.43	237.86	316.37	651.58	291.04	1674.06	532.74	106.63	366.09	665.29	361.04	587.13	151.22	129.69	88.88	909.17	559.28	551.56	1073.91	591.22
ATCAY	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.73	0.0	0.11	0.43	2.2	0.17	0.0	0.75	0.43	1.07	5.15	1.69	0.71	3.59	0.41	0.18	0.0	2.63	0.0	0.21	0.67	10.24	0.0	0.74	0.0	0.0	2.89	6.36	0.72	0.0	0.43	0.91	0.51	0.0	0.0	2.94
ATP1A2	0.89	3.29	0.34	1.28	0.0	5.73	0.75	2.48	0.0	0.0	0.46	0.0	0.73	2.58	0.79	1.16	3.26	0.44	7.46	4.24	34.75	0.0	0.29	38.4	130.6	3.29	78.34	67.59	348.71	52.45	193.01	228.13	228.13	384.34	195.72	123.5	713.11	56.28	115.16	114.36	132.44	198.47	197.09	76.71	32.82	44.25	70.51	363.56	265.87	24.28	100.83	54.33	110.43	30.34	65.72	819.3
