	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6603.11A.02R.1839.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.146FQ.1926.SM.5NQBY	GTEX.QDVN.1326.SM.48TZ3	GTEX.QMRM.1226.SM.447C6	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.113JC.1026.SM.5H117	GTEX.13FLV.1326.SM.5L3EJ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RTLS.1226.SM.46MUP	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.14BMV.1426.SM.5S2WA	GTEX.117YW.2026.SM.5N9BH	GTEX.QLQW.1626.SM.4R1K1	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.7703.01A.11R.2055.13	TCGA.BR.7717.01A.11R.2055.13	GTEX.13N1W.2026.SM.5K7YU
AIFM2	291.04	314.17	309.83	332.14	438.59	521.76	241.19	693.58	595.34	486.75	226.54	212.78	285.03	265.87	186.4	187.71	175.07	305.55	182.55	172.65	343.89	249.73	208.38	301.33	194.36	186.4	312.0	318.57	327.56	441.64	555.41	109.66
AIMP2	759.08	718.08	620.67	693.58	791.35	981.29	540.19	1388.16	1199.98	1487.87	713.11	579.04	403.5	414.87	279.14	151.22	117.6	258.57	148.09	198.47	221.86	234.57	136.19	251.48	265.87	206.94	1407.55	656.11	607.87	988.12	915.51	199.85
AMACR	226.54	417.77	277.2	547.75	454.09	748.61	190.34	1167.14	698.41	866.07	105.89	82.29	153.34	128.79	318.57	229.72	161.02	251.48	71.0	223.41	65.72	95.34	88.88	152.28	283.05	194.36	6426.31	808.0	497.0	1023.0	309.83	57.49
ANKEF1	33.06	28.65	32.36	32.82	43.94	40.36	4.78	115.97	92.7	84.04	76.71	5.73	9.56	0.72	14.56	7.34	6.01	4.94	3.99	10.16	10.08	17.9	7.94	21.01	9.63	8.38	175.07	22.1	38.95	62.12	108.14	4.66
AP1M2	43.94	102.97	137.14	221.86	432.53	500.46	0.06	5555.65	4671.57	4095.0	95.34	18.29	0.0	0.0	120.94	16.39	12.83	24.81	10.55	10.88	27.64	8.32	20.41	7.69	14.03	32.13	872.1	470.14	206.94	4481.23	3716.2	0.0
AP1S1	981.29	860.08	967.76	1583.71	1540.37	1498.22	579.04	3589.58	2935.74	2224.63	854.13	693.58	366.09	379.04	371.22	183.82	371.22	575.03	295.11	363.56	532.74	483.38	353.59	444.72	351.14	529.06	3928.15	934.76	860.08	3467.27	1159.07	175.07
AURKAIP1	3103.19	3168.41	3325.99	3443.31	3564.78	3690.52	2777.33	6037.61	5255.91	5672.41	2451.44	1977.24	1583.71	2061.24	2303.12	1685.71	2816.11	3564.78	2573.36	1936.53	2816.11	3168.41	2468.49	3060.45	2645.74	4239.45	4450.27	3928.15	3168.41	5219.6	4388.98	1008.9
BCCIP	1135.2	974.5	1044.52	1051.79	967.76	974.5	884.29	1259.69	1369.04	1397.83	753.83	866.07	753.83	860.08	967.76	941.27	733.19	764.36	848.22	830.75	718.08	723.08	599.49	698.41	791.35	638.15	1832.01	928.3	1015.93	1572.76	1477.58	514.56
BPNT1	223.41	460.44	265.87	547.75	441.64	1059.11	228.13	1508.65	1508.65	1487.87	281.09	248.0	242.88	279.14	239.52	170.25	161.02	241.19	87.03	265.87	157.68	234.57	134.3	253.23	195.72	181.28	1199.98	587.13	466.88	1447.15	660.68	92.05
BRMS1	825.0	934.76	954.43	836.53	961.07	860.08	521.76	1685.71	1467.37	1594.73	981.29	753.83	463.65	376.41	529.06	341.51	490.14	483.38	373.81	293.07	507.46	595.34	473.41	507.46	318.57	616.37	981.29	1111.82	785.88	1350.18	3235.01	181.28
