	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.139TT.0726.SM.5K7XW	GTEX.OHPK.0526.SM.2HMJB	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.13O61.0726.SM.5J2MD	GTEX.P4PQ.0526.SM.2HMKR	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.144GO.0226.SM.5LUB1
AGER	155.5	182.55	92.05	51.35	74.06	60.39	37.59	18.03	183.82	110216.97	35856.82	459592.86	502929.67	267651.2	355624.68	147462.67	198667.0	336441.4	119776.72	181548.07	237899.7	370726.6	171754.88	181548.07	282912.21	394590.4	313910.86	577714.63	269512.87	146444.06	236256.4	220434.95	209994.66	249727.34	290865.98	239554.43	383800.28	138544.47	363097.14	236256.4	373305.21	273275.14	482442.34	496005.67	170568.48	419990.32	155870.75
ANKRD17	246.28	228.13	193.01	143.01	127.89	142.01	102.25	176.29	228.13	743.43	403.5	638.15	748.61	420.68	283.05	312.0	260.38	395.18	693.58	532.74	547.75	392.44	336.79	511.0	638.15	769.69	460.44	242.88	267.73	514.56	518.15	273.37	525.39	536.45	836.53	500.46	612.11	1242.34	264.03	703.28	356.05	525.39	307.69	854.13	1104.13	426.57	1001.93
ARHGEF12	480.04	493.56	493.56	397.93	246.28	454.09	307.69	438.59	366.09	2319.15	532.74	1487.87	961.07	954.43	1447.15	713.11	551.56	1030.12	3928.15	860.08	2004.85	1378.57	660.68	575.03	1551.09	1721.16	1208.34	1540.37	854.13	638.15	674.59	1111.82	1674.06	1030.12	1208.34	1127.35	947.83	2816.11	629.35	1208.34	1242.34	599.49	860.08	2240.11	3372.43	1199.98	1936.53
ARL5A	249.73	152.28	256.78	305.55	147.06	217.27	194.36	157.68	141.02	1359.57	157.68	988.12	780.44	842.36	571.05	543.96	540.19	802.41	1369.04	432.53	1119.56	1111.82	543.96	708.18	813.63	1111.82	791.35	780.44	638.15	476.71	299.25	802.41	915.51	785.88	1295.13	995.0	1073.91	1277.29	813.63	1001.93	769.69	540.19	444.72	1175.27	1757.34	748.61	1127.35
ARPP19	753.83	921.88	665.29	438.59	420.68	339.14	312.0	267.73	264.03	1819.35	559.28	1936.53	1628.26	1617.0	1832.01	1143.1	1030.12	1561.89	2032.85	1081.39	1794.29	1697.45	1322.37	860.08	3039.3	1909.85	1685.71	1617.0	1551.09	934.76	1081.39	1397.83	2835.7	1295.13	3303.0	1572.76	1685.71	2645.74	1437.15	1498.22	1340.84	1119.56	1605.83	2104.58	2855.44	1651.0	2367.9
ATXN1	147.06	76.71	96.01	69.03	63.89	69.52	94.67	59.55	167.9	836.53	177.53	629.35	256.78	381.68	403.5	231.32	198.47	450.94	679.29	249.73	633.73	392.44	215.77	181.28	318.57	444.72	389.72	403.5	358.54	182.55	156.59	297.17	603.67	221.86	236.21	603.67	403.5	884.29	329.84	343.89	486.75	211.31	450.94	607.87	890.44	466.88	629.35
AZIN1	400.71	260.38	414.87	866.07	339.14	444.72	285.03	514.56	303.44	1151.06	438.59	1096.5	1242.34	1519.15	819.3	775.05	785.88	1417.35	1477.58	728.11	1059.11	1051.79	656.11	842.36	1111.82	954.43	1295.13	830.75	825.0	647.07	571.05	1059.11	1561.89	872.1	1030.12	1340.84	1059.11	1662.49	954.43	1857.6	947.83	854.13	480.04	1617.0	1832.01	866.07	1467.37
BACH1	182.55	172.65	141.02	96.68	82.87	73.03	127.0	69.52	92.05	1127.35	228.13	633.73	309.83	473.41	423.61	234.57	332.14	480.04	1617.0	318.57	547.75	629.35	301.33	255.0	470.14	974.5	368.65	432.53	426.57	279.14	255.0	466.88	417.77	339.14	974.5	629.35	406.31	674.59	228.13	563.18	432.53	204.07	358.54	1066.48	1651.0	836.53	1540.37
BLOC1S6	273.37	193.01	217.27	234.57	229.72	217.27	182.55	150.17	208.38	1143.1	267.73	540.19	361.04	518.15	414.87	336.79	376.41	429.54	1447.15	343.89	450.94	633.73	409.15	339.14	830.75	684.02	540.19	417.77	679.29	409.15	323.03	543.96	540.19	371.22	796.86	607.87	536.45	703.28	397.93	507.46	384.34	356.05	466.88	642.59	1143.1	507.46	764.36
C10orf12	12.27	8.0	9.63	4.21	4.06	9.13	8.25	9.06	9.27	56.68	8.99	48.18	36.01	38.95	34.02	18.97	6.31	53.19	47.17	24.11	34.51	38.95	14.03	9.56	24.46	25.17	37.32	26.1	25.91	10.0	10.47	27.64	37.05	22.43	22.1	37.85	26.67	38.4	23.42	61.25	25.54	21.94	7.34	40.36	44.57	29.27	36.53
