	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.XUZC.0326.SM.4BOO8	GTEX.U3ZM.0626.SM.4DXTV	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.13X6H.1426.SM.5SI91	GTEX.ZZPU.1826.SM.5E43L	GTEX.PLZ6.0626.SM.3P61B	GTEX.11P7K.1226.SM.5HL4X	GTEX.133LE.0726.SM.5P9IZ	GTEX.1399R.0726.SM.5KM2A	GTEX.YJ8A.1226.SM.5IFHH	GTEX.Y5V6.1126.SM.4VDTD	GTEX.X3Y1.1226.SM.4PQZ8	TCGA.BR.8297.01A.12R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8380.01A.11R.2343.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8364.01A.11R.2343.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.TKQ2.0926.SM.4DXU5	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
AAK1	57.49	40.93	112.77	121.79	101.54	73.54	18.84	64.8	67.59	69.52	108.14	151.22	98.73	92.7	191.67	122.64	87.03	63.0	115.97	209.84	46.5	163.28	368.65	381.68	351.14	559.28	423.61	325.29	316.37	348.71	518.15	435.55	323.03	343.89	275.28	343.89	297.17	303.44	96.01	177.53	132.44	162.14	140.04	194.36	94.67	151.22	199.85	175.07	120.1
ALG10	23.59	16.03	44.25	19.82	24.63	21.32	19.53	11.64	13.32	15.8	27.84	24.63	12.64	22.92	33.3	27.05	26.1	13.03	28.24	32.36	17.64	24.63	84.04	38.67	43.63	113.56	85.22	40.64	90.77	45.85	89.51	34.02	65.26	151.22	49.91	22.75	31.22	47.84	14.35	43.63	21.16	30.56	34.51	54.33	19.82	24.81	51.71	67.12	19.53
ANKHD1	954.43	656.11	1088.92	890.44	1250.98	1127.35	384.34	995.0	995.0	1059.11	1350.18	1268.46	947.83	780.44	1313.23	1427.22	1008.9	1030.12	1233.75	1233.75	921.88	1143.1	1950.0	1844.76	2591.27	2090.03	2032.85	1936.53	1832.01	2193.99	2163.77	2104.58	2075.59	1832.01	2018.8	2018.8	1857.6	1977.24	1359.57	947.83	1733.13	1143.1	1304.15	1407.55	583.07	1143.1	1651.0	1457.23	1183.45
ARFIP1	409.15	334.46	493.56	503.95	414.87	366.09	358.54	273.37	237.86	295.11	232.94	316.37	343.89	325.29	381.68	403.5	353.59	277.2	356.05	353.59	412.0	318.57	607.87	620.67	591.22	444.72	514.56	743.43	518.15	591.22	423.61	587.13	490.14	500.46	532.74	521.76	483.38	624.99	503.95	738.29	559.28	414.87	432.53	563.18	514.56	466.88	583.07	612.11	420.68
ARHGAP28	28.86	15.68	34.75	13.32	60.82	3.29	3.59	4.06	4.03	1.55	6.78	6.52	0.68	0.71	17.25	6.57	13.83	14.24	13.12	8.25	11.38	5.02	53.95	46.5	45.85	91.41	76.17	44.89	100.13	80.57	47.84	47.5	92.05	181.28	90.77	61.68	71.5	59.13	34.75	66.65	54.72	92.05	134.3	78.89	29.91	150.17	37.59	197.09	7.57
ARHGAP42	18.7	10.16	46.5	33.78	46.84	39.79	18.03	23.59	9.34	26.28	33.06	67.59	20.56	45.53	99.43	74.58	42.71	37.59	63.89	72.01	33.3	28.04	111.99	171.45	109.66	171.45	111.21	137.14	127.89	149.12	147.06	126.12	145.02	183.82	127.0	152.28	137.14	154.42	40.64	118.43	56.68	92.7	69.03	109.66	38.12	111.99	53.95	105.15	24.99
ARRDC3	417.77	231.32	934.76	808.0	866.07	947.83	155.5	211.31	209.84	193.01	323.03	329.84	381.68	291.04	507.46	665.29	392.44	271.48	708.18	426.57	624.99	406.31	896.64	703.28	954.43	1104.13	1447.15	738.29	934.76	1008.9	1447.15	819.3	1286.18	1457.23	921.88	1066.48	796.86	830.75	392.44	813.63	1745.2	368.65	518.15	733.19	607.87	525.39	1037.29	656.11	896.64
ATAD5	13.42	2.34	8.65	4.86	11.21	7.28	8.06	7.69	10.63	8.13	11.55	10.71	8.45	6.52	12.27	12.0	13.03	11.3	11.21	9.85	11.47	11.55	61.68	24.99	42.11	47.5	33.54	29.91	47.5	43.63	40.64	32.13	33.3	39.79	16.88	8.06	17.64	19.68	17.64	12.36	15.45	8.45	9.93	18.97	3.53	15.91	12.93	18.84	12.45
ATP6V1A	244.57	265.87	269.6	241.19	251.48	173.85	190.34	199.85	189.02	237.86	205.5	236.21	197.09	215.77	277.2	202.66	251.48	249.73	287.01	201.25	229.72	218.79	476.71	476.71	476.71	796.86	607.87	438.59	551.56	490.14	669.92	423.61	587.13	825.0	457.25	314.17	384.34	366.09	277.2	267.73	325.29	277.2	218.79	299.25	214.27	239.52	208.38	346.29	231.32
ATXN7L1	72.52	56.28	133.36	101.54	255.0	101.54	61.68	59.97	72.01	81.71	109.66	157.68	120.1	118.43	148.09	190.34	120.1	103.69	141.02	186.4	102.25	92.05	224.97	260.38	223.41	195.72	275.28	271.48	209.84	209.84	281.09	208.38	220.32	217.27	205.5	228.13	239.52	269.6	128.79	277.2	176.29	199.85	199.85	183.82	116.78	246.28	234.57	279.14	162.14
