	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.B6.A0X7.01A.11R.A10J.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.YFC4.1426.SM.5IFJG	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.44.6774.01A.21R.1858.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	GTEX.12WSB.0726.SM.5N9GD
ADHFE1	102.97	43.63	178.77	119.26	180.02	68.55	173.85	35.76	50.98	180.02	723.08	336.79	111.21	64.34	61.25	3.23	6.73	18.84	26.67	21.94	27.44	13.62	52.08	15.22	11.91	46.84	0.0	0.46	59.13	93.35	295.11
ALAD	307.69	624.99	941.27	836.53	1167.14	591.22	902.89	884.29	1277.29	988.12	2796.65	3018.3	1208.34	738.29	629.35	173.85	253.23	555.41	629.35	470.14	591.22	483.38	473.41	547.75	379.04	540.19	0.0	0.56	603.67	802.41	1175.27
ALCAM	193.01	199.85	1594.73	954.43	1806.78	1044.52	1073.91	1167.14	4704.07	2720.15	2193.99	1551.09	1277.29	2451.44	316.37	802.41	493.56	633.73	753.83	1104.13	316.37	217.27	346.29	497.0	253.23	854.13	0.0	0.46	497.0	1066.48	575.03
ANGEL1	158.79	161.02	325.29	295.11	341.51	151.22	420.68	241.19	303.44	269.6	473.41	450.94	271.48	256.78	167.9	157.68	185.11	251.48	140.04	234.57	171.45	106.63	198.47	231.32	125.24	283.05	0.0	0.48	334.46	303.44	403.5
ARFIP2	974.5	934.76	2537.92	1313.23	1477.58	1225.22	1963.57	1242.34	2018.8	1583.71	1963.57	1857.6	1883.54	909.17	1135.2	708.18	1096.5	669.92	1216.75	842.36	796.86	1159.07	802.41	1023.0	612.11	941.27	0.0	0.95	802.41	830.75	1277.29
BBS1	241.19	409.15	902.89	688.78	819.3	397.93	1104.13	591.22	647.07	551.56	1104.13	1268.46	503.95	651.58	297.17	215.77	150.17	291.04	285.03	260.38	164.42	108.9	242.88	175.07	212.78	587.13	0.0	0.57	435.55	603.67	802.41
BBS4	148.09	283.05	674.59	567.1	476.71	253.23	438.59	351.14	389.72	316.37	679.29	872.1	264.03	432.53	194.36	123.5	68.07	215.77	299.25	221.86	137.14	43.02	145.02	197.09	162.14	279.14	0.0	0.57	246.28	303.44	579.04
BCL2	79.45	74.58	647.07	759.08	785.88	163.28	371.22	277.2	295.11	289.02	1277.29	4010.71	237.86	796.86	59.97	17.9	37.85	122.64	38.95	39.5	62.12	27.05	46.5	60.39	33.3	78.89	0.0	0.45	82.29	117.6	212.78
BTD	341.51	343.89	967.76	389.72	595.34	409.15	384.34	441.64	642.59	591.22	915.51	444.72	551.56	669.92	181.28	136.19	226.54	264.03	281.09	293.07	368.65	229.72	215.77	260.38	189.02	371.22	0.0	0.24	248.0	356.05	483.38
C14orf93	121.79	153.34	271.48	167.9	231.32	130.6	204.07	171.45	150.17	177.53	334.46	295.11	201.25	397.93	171.45	156.59	102.97	147.06	123.5	147.06	124.37	76.71	129.69	183.82	107.38	181.28	0.0	0.02	242.88	155.5	269.6
C20orf26	2.73	3.44	44.57	50.63	45.53	2.12	12.45	41.81	16.88	5.59	30.56	52.45	36.01	13.62	26.28	2.66	4.31	21.78	1.2	4.7	5.96	0.0	9.48	9.48	2.34	6.52	0.0	0.0	4.46	5.63	19.39
C20orf96	159.9	202.66	567.1	830.75	320.8	130.6	438.59	262.2	170.25	189.02	884.29	1111.82	571.05	305.55	128.79	26.86	32.36	71.0	155.5	157.68	67.59	20.71	78.34	125.24	68.55	176.29	129.69	432.53	171.45	191.67	483.38
C2CD5	178.77	285.03	529.06	490.14	723.08	303.44	679.29	293.07	387.02	463.65	890.44	941.27	441.64	473.41	150.17	147.06	110.43	299.25	175.07	251.48	281.09	108.9	153.34	253.23	135.24	275.28	0.0	0.26	293.07	438.59	559.28
C5orf54	21.47	57.08	56.68	87.03	111.21	78.34	82.87	53.95	52.08	71.5	131.51	193.01	126.12	150.17	45.85	24.28	12.45	44.57	46.5	77.25	26.67	7.0	36.27	48.52	33.54	37.05	0.0	0.0	78.34	84.04	144.01
C9orf152	0.8	1.75	591.22	595.34	529.06	167.9	159.9	8.71	775.05	269.6	718.08	802.41	251.48	11.21	0.68	0.6	0.68	12.74	0.0	0.0	0.0	0.75	1.16	5.63	0.61	29.27	0.0	0.06	30.78	131.51	0.75
C9orf96	33.3	11.64	40.64	39.5	46.84	47.84	44.89	29.06	31.45	29.7	94.67	98.04	82.87	88.88	17.13	6.52	5.54	6.41	29.06	6.36	9.13	7.75	1.53	12.27	12.09	9.48	0.0	0.17	20.41	37.59	98.04
CBX7	260.38	518.15	426.57	642.59	651.58	242.88	819.3	392.44	253.23	536.45	1143.1	647.07	126.12	764.36	389.72	60.39	61.25	301.33	96.68	98.04	209.84	50.63	98.04	182.55	104.42	220.32	0.0	0.36	242.88	397.93	1111.82
CCDC30	12.45	43.94	136.19	81.14	123.5	29.48	105.15	83.45	53.19	46.84	217.27	217.27	52.82	65.72	11.64	4.5	10.31	16.39	15.91	18.84	7.22	5.02	6.31	22.26	7.69	33.06	0.0	0.1	31.45	41.81	152.28
CDNF	46.84	31.45	85.22	83.45	47.84	20.56	58.3	60.39	45.85	44.57	256.78	125.24	127.89	130.6	55.89	12.74	10.55	23.59	22.26	13.83	9.06	3.5	13.93	36.79	10.79	33.54	0.0	0.0	14.03	24.81	70.01
COL1A1	244588.0	405683.88	129266.49	152662.96	102125.66	231394.29	204252.32	195931.88	284880.02	254974.66	79022.82	63742.91	249727.34	485798.0	282912.21	95286.54	88291.3	198667.0	598087.73	324980.94	136637.07	27745.15	184082.4	172949.54	104271.56	187950.38	4328.55	10659.59	208544.12	345900.08	254974.66
CPO	5.77	6.36	8.92	5.59	17.25	2.61	12.27	3.53	2.05	5.32	12.64	21.94	18.56	5.36	4.35	0.0	0.0	0.58	1.1	1.08	1.1	0.68	2.97	4.1	0.0	0.0	0.0	0.13	2.39	7.4	21.01
CRY2	511.0	507.46	679.29	693.58	708.18	708.18	728.11	656.11	473.41	679.29	947.83	1437.15	332.14	656.11	525.39	136.19	147.06	368.65	223.41	323.03	293.07	223.41	275.28	307.69	215.77	389.72	0.0	0.41	435.55	389.72	819.3
CTC-241N9.1	10.55	16.75	49.56	58.3	49.21	13.72	43.02	35.25	39.79	31.9	69.03	56.68	34.75	48.87	14.24	7.28	3.76	9.27	25.72	9.85	7.82	10.31	17.0	22.26	7.0	10.24	0.0	0.0	19.82	20.86	68.07
CXXC4	0.0	9.78	85.22	84.63	100.13	10.31	38.12	9.7	29.91	31.45	271.48	66.18	29.48	46.5	6.36	1.81	2.12	4.21	2.63	2.58	1.66	2.39	4.98	5.73	1.43	23.42	0.0	0.04	5.36	13.12	26.28
ECI2	1037.29	660.68	1870.53	1685.71	1977.24	775.05	974.5	860.08	1857.6	733.19	2163.77	1199.98	1819.35	1551.09	567.1	921.88	559.28	802.41	995.0	674.59	460.44	373.81	633.73	679.29	633.73	684.02	0.0	0.67	688.78	1167.14	890.44
FAM161B	64.8	61.25	212.78	161.02	205.5	72.52	113.56	68.07	132.44	167.9	457.25	339.14	51.71	202.66	36.79	18.97	20.41	51.35	46.18	48.52	53.95	13.03	36.27	25.17	26.47	57.89	0.0	0.0	64.34	61.68	117.6
FAM179B	80.57	114.36	279.14	265.87	218.79	171.45	186.4	204.07	253.23	253.23	426.57	429.54	279.14	269.6	90.14	30.12	62.56	161.02	80.57	123.5	100.13	47.84	139.07	132.44	79.45	126.12	0.0	0.25	215.77	224.97	231.32
FAM214A	163.28	341.51	1950.0	575.03	1417.35	450.94	1015.93	703.28	819.3	769.69	1572.76	2520.38	890.44	414.87	285.03	154.42	249.73	301.33	149.12	212.78	432.53	325.29	312.0	476.71	229.72	320.8	0.0	0.37	441.64	473.41	708.18
FAM219B	514.56	733.19	748.61	947.83	738.29	500.46	860.08	532.74	536.45	651.58	796.86	1081.39	1519.15	591.22	389.72	429.54	420.68	341.51	486.75	454.09	339.14	476.71	201.25	470.14	277.2	532.74	0.0	0.84	688.78	616.37	1111.82
FBXW4	543.96	1030.12	1674.06	1001.93	1487.87	612.11	981.29	915.51	1127.35	1127.35	1447.15	1487.87	813.63	693.58	1191.69	441.64	351.14	669.92	890.44	796.86	607.87	595.34	497.0	567.1	497.0	616.37	0.0	0.58	785.88	444.72	1233.75
GTF2IRD2	201.25	532.74	490.14	423.61	612.11	212.78	612.11	403.5	368.65	201.25	866.07	607.87	536.45	674.59	232.94	244.57	136.19	135.24	559.28	98.04	140.04	171.45	143.01	312.0	262.2	182.55	0.0	0.39	348.71	395.18	392.44
GTF2IRD2B	297.17	454.09	708.18	607.87	928.3	420.68	583.07	583.07	381.68	563.18	1159.07	1023.0	624.99	819.3	169.07	221.86	65.26	142.01	229.72	248.0	217.27	143.01	65.72	148.09	108.9	406.31	215.77	211.31	414.87	470.14	599.49
HKR1	267.73	507.46	825.0	896.64	1104.13	642.59	860.08	536.45	518.15	764.36	1295.13	1857.6	872.1	466.88	224.97	98.73	115.97	228.13	305.55	368.65	223.41	106.63	193.01	265.87	152.28	368.65	0.0	0.88	406.31	511.0	1088.92
IGSF22	20.11	31.9	31.22	57.89	16.03	44.25	74.06	48.87	46.84	56.28	115.16	59.13	43.32	57.08	8.0	0.0	8.0	8.71	9.41	11.38	9.41	7.17	3.72	6.21	5.77	10.47	0.0	0.17	16.75	16.88	40.93
IQCC	18.29	47.17	111.21	87.65	154.42	40.64	90.14	65.72	79.45	53.19	114.36	136.19	80.57	60.82	50.27	37.32	17.64	41.22	42.41	58.71	31.9	15.11	18.7	28.86	32.82	65.26	0.0	0.19	48.87	43.32	102.25
KIF12	4.35	18.97	629.35	476.71	718.08	5.15	1066.48	115.16	46.18	136.19	2004.85	447.82	275.28	11.47	57.08	0.75	23.42	15.45	47.17	18.43	9.63	11.91	11.55	35.0	26.28	26.1	0.0	0.06	28.86	105.89	1457.23
KLHDC1	29.7	41.52	64.8	74.58	86.43	43.32	95.34	48.52	50.98	61.25	201.25	119.26	26.28	92.7	20.41	5.36	4.5	31.67	39.22	27.05	12.93	7.75	17.0	13.93	10.88	31.45	0.0	0.3	43.94	95.34	137.14
LDOC1L	205.5	248.0	387.02	518.15	397.93	232.94	299.25	320.8	429.54	366.09	559.28	325.29	521.76	429.54	361.04	166.73	205.5	309.83	157.68	253.23	255.0	94.67	190.34	438.59	181.28	291.04	202.66	122.64	366.09	540.19	220.32
