	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.AZ.4323.01A.21R.1839.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.NH.A8F7.01A.11R.A41B.07	TCGA.D5.6922.01A.11R.1928.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.H7.7774.01A.21R.2081.07	TCGA.58.8388.01A.11R.2326.07	TCGA.AF.A56K.01A.32R.A39D.07	TCGA.AH.6547.01A.11R.1830.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.AA6K.01A.11R.A414.31	TCGA.CG.5717.01A.11R.1602.13
AADAT	6.06	9.34	162.14	167.9	202.66	249.73	67.12	329.84	100.83	107.38	96.68	76.17	28.86	63.45	5.02	190.34	258.57	123.5	30.12	64.8	22.75	14.78	77.25	11.91	27.84	224.97	108.14	37.32
AC006486.1	3.63	4.7	9.34	5.68	8.13	4.31	6.21	25.17	4.62	4.35	9.48	5.02	6.73	1.16	1.35	9.06	6.41	3.5	2.84	2.63	0.92	7.69	1.83	3.66	3.23	12.36	6.73	1.99
AC010547.9	1.08	4.94	18.03	18.97	25.35	13.42	12.36	32.13	2.71	0.0	4.78	2.86	3.2	7.94	0.0	13.72	19.25	19.82	1.01	0.77	1.64	2.01	0.0	5.19	1.33	16.03	14.78	5.87
AC132192.1	0.0	8.65	155.5	30.12	154.42	45.21	132.44	314.17	37.32	29.27	89.51	9.56	65.26	0.0	10.0	96.68	102.25	64.34	0.38	10.39	2.78	11.91	10.63	1.91	42.41	129.69	87.65	19.11
AC138969.4	412.0	808.0	3665.02	1175.27	3280.18	3103.19	2193.99	7589.61	2335.28	2609.3	1697.45	1551.09	1242.34	1477.58	241.19	2287.2	2777.33	2133.97	114.36	334.46	708.18	454.09	483.38	426.57	177.53	1781.89	3103.19	1135.2
ACSS1	47.17	169.07	860.08	521.76	1233.75	1191.69	231.32	1437.15	279.14	138.1	412.0	281.09	205.5	226.54	117.6	2004.85	2319.15	624.99	50.98	75.64	59.13	277.2	120.94	164.42	45.85	1923.14	1167.14	423.61
ARMC2	8.58	12.36	127.89	111.99	99.43	120.1	65.72	180.02	41.22	45.21	62.12	24.11	38.67	24.63	36.01	178.77	78.89	68.55	44.89	31.0	33.3	23.08	21.47	31.67	10.0	269.6	115.16	57.08
ASXL1	185.11	334.46	1923.14	860.08	1883.54	1721.16	1233.75	2255.7	713.11	669.92	651.58	483.38	607.87	444.72	249.73	1350.18	2520.38	769.69	166.73	285.03	226.54	343.89	265.87	241.19	170.25	2573.36	1111.82	500.46
C15orf37	9.2	10.79	21.01	35.25	68.07	48.87	63.89	147.06	8.19	31.22	46.5	16.39	8.19	37.59	2.48	152.28	40.07	60.82	0.0	2.94	1.41	6.78	2.92	3.44	0.0	74.06	57.49	41.81
C6orf164	2.53	0.77	10.24	5.19	28.45	11.38	10.79	38.12	2.97	10.16	8.92	4.74	1.64	3.47	0.0	40.64	17.51	9.27	0.0	0.55	0.27	1.11	0.28	1.01	0.0	18.97	7.88	2.36
C9orf50	0.0	2.18	3.99	2.12	7.63	3.2	3.56	12.18	0.41	1.33	3.11	0.0	0.37	0.0	0.0	7.06	5.59	5.02	0.0	0.61	0.0	0.91	0.06	0.83	0.41	2.81	7.46	1.2
COPS7B	327.56	480.04	1572.76	796.86	1519.15	1143.1	941.27	1407.55	808.0	723.08	1104.13	651.58	769.69	547.75	460.44	1397.83	1135.2	642.59	175.07	314.17	348.71	476.71	287.01	305.55	264.03	1662.49	819.3	607.87
CREBZF	201.25	379.04	1159.07	866.07	1304.15	1295.13	974.5	1467.37	624.99	698.41	693.58	521.76	583.07	532.74	137.14	1529.73	1397.83	1030.12	45.21	118.43	100.83	218.79	100.83	110.43	87.03	1233.75	791.35	543.96
DCAF16	88.26	275.28	921.88	376.41	575.03	543.96	381.68	698.41	255.0	232.94	356.05	193.01	209.84	177.53	148.09	669.92	493.56	323.03	80.01	86.43	88.26	124.37	112.77	111.21	90.77	529.06	571.05	269.6
