	TCGA.ET.A3DQ.01A.11R.A19O.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.FY.A3NM.01A.11R.A21D.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.EM.A3O8.01A.11R.A220.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3T1.11A.11R.A22L.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.DO.A1JZ.11A.11R.A13Y.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EM.A1CT.11A.11R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.ZV6S.0226.SM.59HJT	GTEX.WRHU.0926.SM.4E3IG	GTEX.WH7G.0526.SM.3NMBI	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.QV44.0826.SM.2S1RG	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.RU72.0126.SM.2TF6Z	GTEX.11I78.0526.SM.5986A	GTEX.13N2G.0726.SM.5MR38	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.13G51.1226.SM.5K7Z3	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.PX3G.2626.SM.2I3EG	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.12WSN.0726.SM.5GCMS	GTEX.Y5V5.0326.SM.5RQJG	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZT9X.0226.SM.51MT2	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.X8HC.0726.SM.46MWG	GTEX.11NUK.1026.SM.5HL5J	GTEX.1211K.0726.SM.5FQUW	GTEX.131XG.0226.SM.5IFG1	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.12696.0326.SM.5EGL4	GTEX.13FTW.0626.SM.5IFEX
CD247	195.72	7.69	23.42	19.11	132.44	29.06	19.68	27.64	403.5	55.1	21.16	140.04	248.0	229.72	20.71	85.82	102.97	11.21	96.68	22.75	224.97	24.81	136.19	15.8	34.75	11.13	17.25	14.24	10.96	620.67	329.84	31.9	264.03	624.99	21.94	493.56	201.25	323.03	18.16	15.0	559.28	20.56	246.28	102.97	164.42	595.34	31.67	323.03	40.36	205.5	24.11	26.47	118.43	137.14	43.02	36.01	190.34	33.3	21.94	91.41	17.0	131.51	125.24	26.47	111.21	34.02	34.02	20.11	55.49	15.34	43.63	66.65	40.93	30.34	163.28	27.25	28.04	43.32	551.56	38.4	215.77	24.81	37.32	165.57	190.34	647.07	130.6	149.12	144.01	211.31	51.35	102.25	17.77	74.58	136.19	46.84	31.67	127.89	41.22	11.64	46.18	134.3	15.34	77.79	38.4	167.9	52.08	134.3	41.52	43.32	44.89	173.85	297.17	10.79	106.63	64.34	108.9	52.08	30.56	66.65	113.56	102.25	88.26	3.5	23.08	15.91	16.27	934.76	73.03	19.97	198.47	161.02	24.99	43.94	30.56	25.17	112.77	197.09	23.42	41.81	74.58	93.35	35.76	29.27	3.82	46.18
CD37	915.51	97.36	80.57	163.28	708.18	131.51	47.17	27.25	1963.57	215.77	138.1	825.0	2384.37	1096.5	87.03	567.1	392.44	44.89	454.09	180.02	1572.76	260.38	638.15	127.0	102.97	127.89	94.67	34.51	54.33	3820.7	1639.59	66.18	1605.83	3212.66	85.22	2351.53	1159.07	1963.57	120.94	38.67	2895.31	60.82	450.94	105.15	733.19	9215.48	152.28	693.58	107.38	327.56	154.42	165.57	223.41	275.28	336.79	197.09	480.04	163.28	138.1	180.02	62.56	264.03	246.28	150.17	361.04	93.35	281.09	74.58	228.13	97.36	125.24	229.72	101.54	126.12	307.69	139.07	155.5	218.79	3372.43	432.53	579.04	122.64	182.55	289.02	688.78	6887.62	155.5	171.45	181.28	703.28	226.54	878.17	61.68	180.02	389.72	223.41	265.87	480.04	208.38	167.9	115.16	591.22	57.89	116.78	241.19	753.83	409.15	400.71	171.45	264.03	126.12	457.25	915.51	45.53	551.56	248.0	237.86	239.52	163.28	314.17	314.17	281.09	728.11	28.04	82.87	32.82	98.73	1529.73	1242.34	136.19	780.44	616.37	146.03	275.28	41.81	183.82	307.69	301.33	195.72	139.07	334.46	265.87	104.42	106.63	59.97	208.38
CD3D	361.04	7.17	13.52	29.7	305.55	75.11	28.45	3.17	728.11	60.39	41.52	189.02	497.0	426.57	8.06	231.32	258.57	9.56	199.85	48.18	486.75	45.85	264.03	28.65	72.52	15.8	34.26	5.73	8.0	1135.2	674.59	50.27	571.05	1096.5	25.35	915.51	395.18	563.18	30.12	26.28	1242.34	35.25	217.27	80.57	376.41	1769.57	114.36	457.25	66.18	164.42	42.41	85.22	232.94	26.67	172.65	117.6	620.67	52.08	9.06	92.05	11.04	339.14	76.17	38.12	289.02	25.91	145.02	21.16	110.43	15.56	88.88	40.07	65.72	48.87	111.21	35.0	62.12	148.09	1844.76	31.0	521.76	40.07	191.67	228.13	265.87	2701.35	267.73	67.59	44.25	185.11	33.3	329.84	57.49	159.9	202.66	159.9	73.03	260.38	35.5	19.53	185.11	603.67	44.89	45.85	29.91	684.02	177.53	346.29	77.25	84.04	176.29	303.44	813.63	25.72	764.36	209.84	173.85	224.97	18.84	109.66	193.01	74.06	206.94	4.31	39.79	48.18	22.26	1183.45	178.77	63.45	346.29	325.29	55.89	133.36	14.14	16.51	82.29	102.25	85.82	26.47	75.64	397.93	51.35	27.64	37.32	77.25
CD3E	518.15	16.88	40.36	36.53	397.93	83.45	45.85	8.65	1059.11	115.97	66.65	332.14	743.43	633.73	28.24	194.36	325.29	11.38	277.2	73.54	647.07	57.89	454.09	31.9	52.82	30.34	43.94	10.63	17.13	1674.06	981.29	85.82	796.86	1583.71	54.33	1350.18	551.56	780.44	50.98	47.17	1639.59	76.71	511.0	189.02	387.02	1977.24	97.36	733.19	137.14	218.79	151.22	164.42	351.14	215.77	305.55	137.14	540.19	83.45	21.78	122.64	13.32	417.77	113.56	52.08	201.25	45.21	149.12	24.63	146.03	37.85	231.32	69.03	32.82	127.0	226.54	68.55	38.4	314.17	3039.3	127.89	591.22	51.35	204.07	279.14	563.18	3235.01	223.41	178.77	111.21	353.59	92.05	775.05	93.35	199.85	221.86	229.72	151.22	559.28	173.85	29.27	228.13	547.75	56.68	96.68	80.01	718.08	249.73	343.89	371.22	105.89	152.28	420.68	1096.5	51.71	503.95	143.01	305.55	161.02	60.82	226.54	224.97	244.57	435.55	18.56	59.97	62.12	68.07	1819.35	316.37	115.16	239.52	486.75	84.63	140.04	20.56	85.22	135.24	209.84	54.72	47.5	176.29	363.56	51.71	57.89	44.25	138.1
CD3G	67.59	2.94	4.98	4.58	44.89	16.51	5.87	1.01	138.1	30.56	5.23	128.79	167.9	80.01	3.69	13.42	27.64	1.69	43.32	6.21	142.01	12.83	48.18	19.97	17.0	3.06	13.62	16.88	0.75	244.57	212.78	17.9	159.9	241.19	9.41	264.03	64.8	125.24	11.91	5.77	182.55	12.93	90.14	50.98	43.02	211.31	27.84	122.64	43.32	34.51	25.35	64.34	26.67	41.22	43.02	20.26	87.03	9.56	6.84	39.79	2.81	56.28	35.76	5.02	46.5	31.0	21.94	3.23	24.81	8.06	15.91	18.03	8.99	19.82	27.44	42.71	5.23	45.85	246.28	21.01	80.57	64.8	43.94	82.29	57.49	438.59	72.01	67.59	10.63	50.27	11.47	91.41	15.34	38.67	41.22	37.05	9.78	84.63	6.16	3.72	62.12	45.85	5.32	11.13	16.03	171.45	34.26	57.89	63.0	13.93	53.19	31.9	195.72	12.64	53.57	8.71	71.0	29.48	13.72	18.43	36.01	54.33	102.25	0.46	29.48	51.35	8.06	371.22	40.64	38.4	44.57	37.85	18.29	60.39	18.97	25.91	42.11	45.85	11.73	1.5	15.45	59.97	3.06	7.22	12.55	17.25
CD48	507.46	18.97	40.64	54.33	226.54	44.89	34.26	19.53	819.3	97.36	86.43	336.79	866.07	583.07	23.42	228.13	195.72	20.11	197.09	59.55	651.58	85.82	246.28	32.13	44.89	44.89	40.07	18.16	15.56	1498.22	915.51	62.56	775.05	1242.34	49.56	1359.57	507.46	743.43	38.67	33.06	1304.15	47.5	447.82	163.28	486.75	1819.35	39.5	224.97	146.03	277.2	83.45	77.25	181.28	102.97	248.0	122.64	332.14	38.4	44.89	181.28	25.17	287.01	159.9	18.43	172.65	64.34	92.7	12.09	76.17	65.72	45.85	78.89	45.21	52.45	205.5	83.45	32.36	137.14	2032.85	118.43	293.07	31.0	162.14	142.01	463.65	2119.22	172.65	201.25	120.1	289.02	41.81	603.67	58.71	101.54	177.53	140.04	111.99	255.0	75.64	57.49	152.28	470.14	42.41	113.56	81.71	723.08	295.11	395.18	99.43	138.1	67.12	242.88	896.64	22.26	389.72	170.25	125.24	127.89	33.78	190.34	180.02	118.43	417.77	14.03	97.36	16.39	34.75	688.78	363.56	33.06	283.05	191.67	72.52	81.14	66.65	95.34	155.5	135.24	53.57	85.22	249.73	226.54	52.45	63.89	48.52	96.01
CD5	72.01	1.75	5.32	7.51	56.68	34.51	4.66	1.62	186.4	8.99	7.0	55.1	170.25	127.89	3.79	30.78	35.76	2.89	46.84	7.69	137.14	7.0	55.49	4.66	8.06	5.11	6.94	0.45	0.43	260.38	142.01	13.62	115.97	327.56	5.23	208.38	154.42	159.9	6.52	2.66	226.54	5.02	27.25	38.67	56.28	253.23	11.3	149.12	16.15	108.14	10.16	27.05	73.54	19.68	28.86	26.28	234.57	17.38	5.45	13.22	12.74	44.57	19.68	14.78	28.86	7.17	11.38	16.03	26.67	5.02	27.05	10.79	22.43	21.01	42.11	8.32	9.13	9.06	429.54	11.3	55.89	13.93	35.76	27.64	34.75	341.51	46.18	23.08	9.06	40.36	23.42	62.56	9.27	27.25	67.12	15.0	27.05	52.82	12.74	18.7	10.24	40.64	6.31	16.39	17.0	81.14	32.36	59.13	12.93	26.47	15.0	22.92	221.86	2.46	63.0	21.47	20.26	46.84	27.64	13.52	98.73	26.86	52.82	0.29	7.88	5.96	8.65	279.14	45.85	16.51	70.51	70.01	20.41	29.7	46.18	3.86	40.36	76.71	6.94	6.94	23.93	22.92	11.04	18.29	2.92	24.28
CD52	1733.13	63.0	175.07	329.84	1340.84	236.21	176.29	72.52	4903.87	356.05	353.59	3467.27	4181.07	3168.41	78.89	1662.49	1437.15	49.56	1183.45	218.79	3190.46	201.25	1407.55	291.04	194.36	234.57	182.55	62.56	64.8	6337.83	3303.0	327.56	4010.71	6207.38	202.66	4769.75	2468.49	3212.66	189.02	87.03	5913.33	189.02	1540.37	318.57	2004.85	11035.54	320.8	2645.74	323.03	1529.73	258.57	339.14	1295.13	616.37	547.75	587.13	1617.0	232.94	220.32	896.64	214.27	417.77	665.29	221.86	995.0	197.09	303.44	76.71	575.03	88.26	447.82	159.9	105.89	223.41	1369.04	426.57	176.29	629.35	4836.35	854.13	1685.71	131.51	521.76	1175.27	1721.16	13123.73	961.07	902.89	579.04	1605.83	363.56	2835.7	273.37	1331.57	423.61	486.75	536.45	1199.98	234.57	336.79	429.54	1870.53	237.86	423.61	718.08	5076.84	1191.69	1561.89	555.41	4736.79	392.44	2537.92	3928.15	157.68	2502.97	483.38	1322.37	703.28	117.6	764.36	1066.48	339.14	1313.23	56.68	332.14	133.36	197.09	4239.45	1359.57	303.44	2720.15	1417.35	183.82	1143.1	66.65	232.94	764.36	305.55	329.84	325.29	551.56	1437.15	343.89	198.47	148.09	579.04
CD6	297.17	17.64	38.12	33.06	104.42	63.0	7.46	4.82	264.03	28.86	18.97	94.67	201.25	241.19	8.71	50.27	82.29	7.82	173.85	46.18	195.72	18.16	102.97	19.82	15.22	17.51	13.22	3.63	21.78	463.65	209.84	22.1	183.82	457.25	12.0	351.14	176.29	265.87	8.45	6.36	392.44	9.56	141.02	29.27	78.34	642.59	21.16	187.71	25.54	79.45	22.26	23.59	76.71	63.89	62.12	59.55	348.71	27.25	6.26	28.04	10.47	43.02	123.5	14.35	55.89	5.63	38.12	13.83	28.65	11.55	26.1	23.59	25.91	29.27	91.41	27.25	6.78	34.02	629.35	26.28	115.16	28.24	18.43	76.17	111.99	836.53	53.95	43.02	29.91	68.55	55.89	103.69	13.03	41.52	45.85	31.22	25.91	133.36	26.86	10.39	55.49	115.97	12.74	63.89	21.32	161.02	33.3	105.15	38.4	44.25	19.68	63.45	241.19	6.89	39.5	49.91	50.98	35.25	21.94	26.86	76.17	56.28	67.59	3.03	42.71	6.94	11.3	470.14	35.76	10.0	117.6	189.02	21.01	28.65	5.77	11.47	40.64	51.35	31.67	11.47	48.87	59.97	17.13	18.84	10.63	29.91
CD7	208.38	8.85	28.45	15.91	297.17	48.18	21.47	18.84	674.59	61.68	36.79	187.71	316.37	332.14	27.44	175.07	167.9	9.27	126.12	45.53	211.31	56.68	217.27	12.93	42.71	9.13	12.09	8.92	12.27	753.83	454.09	33.54	435.55	607.87	23.42	525.39	343.89	463.65	17.38	21.94	738.29	33.3	142.01	96.01	111.21	713.11	35.76	395.18	45.85	194.36	20.71	71.0	166.73	269.6	44.89	97.36	595.34	32.59	13.72	96.01	28.65	59.13	111.21	46.5	115.97	33.54	41.22	29.27	52.82	18.7	68.07	37.85	74.58	43.63	173.85	25.17	16.51	34.02	420.68	24.99	232.94	8.25	88.26	158.79	299.25	769.69	236.21	80.01	185.11	397.93	120.1	189.02	10.16	97.36	265.87	95.34	43.02	205.5	29.91	14.89	62.12	129.69	11.13	78.89	28.65	201.25	24.11	63.45	58.3	21.01	53.57	258.57	356.05	11.91	208.38	58.3	106.63	42.11	29.91	52.82	202.66	73.54	88.88	6.89	24.46	63.45	16.75	764.36	88.88	30.34	417.77	169.07	26.1	65.72	22.43	21.94	206.94	426.57	32.36	63.45	186.4	108.9	71.5	14.24	14.89	47.5
CD8B	91.41	5.54	11.55	10.31	93.35	1.17	12.74	1.75	301.33	31.45	19.39	88.26	95.34	157.68	9.2	44.57	96.01	5.5	92.05	40.93	113.56	23.25	57.89	6.41	21.94	5.73	7.4	4.21	21.78	325.29	281.09	29.48	206.94	423.61	20.56	189.02	163.28	147.06	8.92	18.29	295.11	24.28	90.14	135.24	45.21	312.0	56.68	108.9	74.58	50.98	71.0	44.25	87.03	59.55	110.43	21.63	221.86	30.12	0.44	23.76	3.86	89.51	65.26	14.24	44.89	26.28	48.52	22.43	78.34	16.75	52.45	14.78	8.85	45.85	54.72	10.24	44.25	80.57	507.46	10.31	289.02	46.84	78.34	98.04	183.82	356.05	91.41	54.72	13.42	111.21	60.82	232.94	9.56	74.06	98.04	127.89	56.68	265.87	72.52	2.71	88.88	35.5	16.27	30.34	10.47	95.34	87.03	72.52	79.45	29.91	66.18	314.17	291.04	34.75	214.27	14.35	84.63	66.18	50.98	122.64	107.38	67.59	75.11	8.06	28.86	25.91	23.42	490.14	124.37	29.91	49.21	111.21	38.67	35.76	12.83	0.15	60.39	63.0	22.92	8.92	48.87	76.17	35.76	22.75	4.62	52.45
CLEC2D	249.73	20.71	55.89	59.97	295.11	112.77	28.45	57.89	536.45	50.27	86.43	189.02	432.53	435.55	32.82	124.37	104.42	63.0	231.32	57.49	366.09	85.82	291.04	80.01	48.52	64.8	116.78	57.08	50.98	934.76	409.15	76.71	289.02	884.29	59.97	587.13	406.31	555.41	48.52	49.56	441.64	43.63	181.28	60.82	178.77	915.51	88.26	226.54	138.1	228.13	51.35	127.0	177.53	215.77	66.18	71.5	291.04	62.12	42.11	154.42	75.11	234.57	202.66	50.27	167.9	208.38	113.56	69.03	108.9	84.04	134.3	96.68	49.21	52.82	249.73	71.5	52.08	102.25	728.11	98.73	194.36	82.87	28.04	149.12	169.07	656.11	307.69	212.78	162.14	267.73	105.15	101.54	49.21	127.0	198.47	155.5	45.85	260.38	82.29	82.87	147.06	277.2	66.18	122.64	52.82	356.05	140.04	134.3	100.83	125.24	138.1	155.5	540.19	78.34	158.79	95.34	314.17	70.51	132.44	81.71	171.45	144.01	122.64	77.79	62.56	57.08	98.73	890.44	57.08	77.25	406.31	325.29	113.56	135.24	76.71	82.29	84.63	152.28	133.36	115.16	88.26	181.28	88.88	68.55	42.71	77.25
CST7	323.03	9.7	38.4	29.06	363.56	37.05	42.11	57.08	713.11	92.05	49.56	381.68	395.18	540.19	23.42	90.14	194.36	17.38	215.77	40.93	392.44	45.85	486.75	36.79	41.81	21.32	32.59	9.41	18.56	723.08	518.15	41.81	497.0	1111.82	28.24	612.11	688.78	384.34	23.93	28.86	860.08	26.67	194.36	135.24	343.89	540.19	17.0	414.87	71.0	529.06	22.1	43.63	232.94	215.77	61.25	79.45	480.04	29.7	101.54	141.02	57.89	70.51	138.1	21.47	297.17	40.07	58.3	36.53	125.24	13.93	36.53	44.57	37.85	80.57	314.17	30.12	35.0	63.89	1359.57	46.5	183.82	33.06	98.73	197.09	242.88	616.37	177.53	162.14	248.0	373.81	90.77	162.14	35.25	74.58	205.5	44.25	194.36	358.54	29.91	24.63	74.58	172.65	31.22	88.88	116.78	197.09	43.02	115.16	64.34	66.65	81.71	176.29	748.61	36.27	218.79	105.15	99.43	67.59	46.5	167.9	198.47	111.99	176.29	6.73	35.5	7.17	16.15	743.43	283.05	43.32	220.32	148.09	33.3	74.06	69.03	59.97	175.07	429.54	47.84	181.28	116.78	71.5	59.97	24.99	14.03	76.71
CYTIP	497.0	8.38	25.17	61.25	165.57	47.17	29.91	11.38	476.71	40.36	39.79	289.02	412.0	318.57	17.25	116.78	144.01	21.63	144.01	49.56	253.23	30.78	226.54	36.27	28.86	20.71	32.82	15.0	17.51	679.29	351.14	24.99	265.87	785.88	20.86	723.08	460.44	480.04	30.56	27.05	575.03	25.72	189.02	67.12	327.56	961.07	43.32	392.44	42.11	208.38	54.72	45.53	262.2	205.5	82.87	80.01	305.55	37.59	47.84	293.07	29.48	85.82	96.68	26.1	201.25	30.78	58.3	26.67	82.29	17.38	32.82	37.32	113.56	40.64	194.36	30.56	35.0	57.08	1923.14	38.95	265.87	28.04	41.81	166.73	248.0	379.04	232.94	108.14	194.36	457.25	44.57	121.79	35.76	105.15	215.77	53.57	56.68	205.5	35.0	37.05	81.71	134.3	17.64	130.6	31.22	232.94	205.5	88.88	47.17	51.71	36.79	74.06	1127.35	10.88	82.87	34.51	137.14	44.25	46.5	70.01	183.82	112.77	301.33	7.46	30.78	28.45	23.08	1277.29	116.78	40.93	316.37	242.88	26.86	55.89	28.04	38.4	149.12	244.57	35.0	89.51	98.73	46.18	63.89	37.59	22.43	74.58
DOCK8	209.84	115.16	57.89	122.64	164.42	90.77	50.27	158.79	447.82	150.17	140.04	205.5	307.69	295.11	76.17	118.43	100.83	82.29	118.43	91.41	236.21	48.87	119.26	145.02	87.03	199.85	73.03	93.35	70.01	559.28	329.84	89.51	239.52	450.94	94.01	420.68	258.57	325.29	208.38	110.43	412.0	59.97	253.23	201.25	303.44	591.22	100.83	267.73	111.21	122.64	111.99	140.04	93.35	116.78	159.9	236.21	132.44	205.5	187.71	121.79	31.45	242.88	144.01	141.02	191.67	94.01	172.65	102.97	161.02	74.58	102.97	153.34	40.07	173.85	281.09	135.24	65.26	206.94	575.03	112.77	220.32	105.89	170.25	187.71	164.42	381.68	193.01	236.21	94.01	285.03	121.79	325.29	136.19	199.85	224.97	96.68	153.34	167.9	189.02	103.69	135.24	185.11	91.41	185.11	92.7	406.31	148.09	246.28	124.37	112.77	135.24	120.1	318.57	50.27	162.14	175.07	153.34	133.36	75.64	134.3	125.24	197.09	209.84	106.63	82.87	94.01	73.54	423.61	172.65	96.01	228.13	129.69	36.53	105.15	105.15	165.57	156.59	144.01	156.59	120.1	81.14	153.34	99.43	89.51	77.25	136.19
FYB	191.67	10.16	9.85	40.07	89.51	25.35	7.34	5.36	412.0	30.34	29.06	148.09	224.97	165.57	8.78	39.22	33.54	6.31	74.06	26.28	119.26	41.81	102.25	26.1	18.03	26.28	2.66	7.06	7.06	470.14	234.57	19.39	151.22	346.29	14.56	348.71	175.07	218.79	25.54	7.57	234.57	10.16	89.51	25.72	71.5	387.02	46.5	101.54	22.92	127.0	42.41	33.54	49.21	46.84	90.77	14.03	163.28	21.16	71.5	75.11	2.81	102.25	49.91	23.25	59.97	12.83	69.03	8.38	42.41	4.58	19.39	22.1	6.16	16.03	65.72	55.49	37.05	48.87	493.56	23.59	94.67	22.26	37.59	54.72	132.44	426.57	68.07	40.64	32.59	77.79	16.39	140.04	33.54	41.52	88.26	48.18	53.19	82.29	23.08	29.91	23.59	126.12	9.34	21.16	28.45	78.89	73.03	115.97	45.85	75.11	39.79	80.01	327.56	3.92	88.88	37.32	88.26	34.51	13.62	35.25	65.72	58.71	136.19	4.58	20.86	3.89	10.16	406.31	73.03	20.41	156.59	155.5	36.53	41.81	28.04	40.93	29.91	73.03	21.01	27.44	55.89	34.02	15.91	25.35	17.51	32.36
GBP5	140.04	8.38	11.47	12.83	221.86	35.25	21.01	8.06	656.11	21.32	37.85	165.57	185.11	368.65	9.06	60.82	46.18	4.31	169.07	15.68	150.17	29.48	199.85	10.08	26.1	16.51	5.54	3.92	4.1	536.45	287.01	10.39	167.9	483.38	12.36	260.38	309.83	195.72	18.16	8.38	384.34	7.22	164.42	13.12	60.39	698.41	21.47	177.53	20.56	198.47	16.51	101.54	75.11	75.11	59.13	37.85	285.03	12.36	4.78	17.9	18.43	41.81	68.07	28.24	84.04	12.64	26.28	28.45	57.08	8.13	29.48	24.46	9.48	34.75	75.64	13.62	28.04	16.88	1001.93	16.51	73.03	16.39	38.4	33.06	131.51	575.03	24.11	48.52	129.69	72.52	41.81	75.11	10.16	38.4	86.43	69.03	43.02	51.71	28.04	11.91	31.45	132.44	8.99	45.53	20.41	285.03	39.22	81.14	43.02	34.51	8.92	96.68	575.03	7.28	77.79	52.08	115.16	40.07	19.39	22.75	19.97	100.83	142.01	7.46	10.39	6.62	5.41	497.0	52.08	11.55	325.29	117.6	27.05	103.69	30.56	26.67	50.98	116.78	43.63	41.52	49.56	31.9	9.27	11.47	4.21	40.36
