	TCGA.A2.A25F.01A.11R.A169.07	TCGA.B6.A0RT.01A.21R.A084.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	GTEX.11DXX.1226.SM.5GICD	GTEX.PWOO.1026.SM.48TCN	GTEX.12WSL.1326.SM.5LZVW	GTEX.ZZ64.0326.SM.5E45S	GTEX.Z9EW.0626.SM.5HL95	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.6145.11A.01R.1858.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.39.5040.01A.21R.2125.07	TCGA.43.6771.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07	TCGA.HU.8602.01A.11R.2402.13
ABCC2	5.5	5.06	1.64	848.22	954.43	2163.77	18.97	18.97	41.81	36.27	24.81	7.94	9.48	921.88	1359.57	723.08	995.0	902.89	438.59	674.59	665.29	981.29	638.15	759.08	1111.82	921.88	1208.34	1340.84	1191.69	532.74	1259.69	1832.01	2835.7	1437.15	497.0	1806.78	1697.45	974.5	460.44	1242.34	1216.75	2104.58	2434.5	3124.78	1127.35	603.67	2502.97	2178.83	214.27	909.17	1167.14	825.0	1583.71	1208.34	4639.29	1304.15	1199.98	878.17	1457.23	0.0	0.68	3.99	10.96	4.39	2.94	4.28	3.26
ABCG2	37.59	28.04	3.63	414.87	320.8	351.14	33.78	33.78	17.25	26.47	60.39	33.78	20.26	28.24	384.34	4.58	236.21	66.65	486.75	138.1	242.88	473.41	255.0	279.14	312.0	269.6	473.41	239.52	1066.48	583.07	802.41	921.88	1909.85	426.57	808.0	1340.84	1183.45	159.9	417.77	656.11	1378.57	1519.15	2133.97	1322.37	1023.0	902.89	819.3	651.58	118.43	251.48	275.28	616.37	295.11	703.28	1104.13	201.25	961.07	1674.06	157.68	0.0	0.0	106.63	22.59	450.94	147.06	109.66	2.23
ABHD14B	1135.2	1216.75	703.28	4152.18	3614.55	3419.52	493.56	493.56	473.41	1023.0	981.29	507.46	878.17	1322.37	1605.83	1322.37	3589.58	1923.14	4181.07	4388.98	4123.49	4010.71	3515.68	3303.0	3874.05	3280.18	4010.71	7331.05	6381.92	5403.7	5329.3	5594.3	6983.79	3794.3	5292.48	4419.52	6652.97	6250.56	5147.73	6037.61	6207.38	3349.13	5913.33	6561.36	5791.62	7382.04	5076.84	6471.02	3349.13	5517.27	3443.31	4937.99	3372.43	5751.61	3540.14	3742.05	4038.61	4802.93	3794.3	0.0	0.56	1388.16	1417.35	406.31	1340.84	1313.23	693.58
ACOT13	521.76	483.38	143.01	2209.26	1721.16	1417.35	429.54	429.54	334.46	435.55	190.34	244.57	329.84	1572.76	1427.22	961.07	2018.8	2061.24	1651.0	2664.15	2119.22	2119.22	1572.76	1697.45	2573.36	2004.85	2417.67	1757.34	3768.09	2976.74	2875.3	3491.39	3742.05	2627.46	2335.28	2287.2	2537.92	2520.38	2591.27	3349.13	2701.35	3639.7	3491.39	4152.18	4152.18	3639.7	3742.05	2777.33	3190.46	3639.7	2537.92	2271.4	2004.85	3443.31	3639.7	2075.59	3982.99	3146.52	842.36	0.0	0.33	381.68	575.03	275.28	348.71	500.46	279.14
ACY1	379.04	400.71	780.44	5633.22	7966.99	6426.31	277.2	277.2	178.77	447.82	366.09	242.88	301.33	3614.55	4607.24	2224.63	14262.1	3820.7	5711.87	7130.55	7485.11	7331.05	5791.62	5913.33	8658.09	6381.92	9025.81	15180.22	20881.4	7966.99	11345.82	9344.14	18950.18	8718.32	11345.82	14361.31	14461.21	7589.61	11504.21	13586.57	13215.02	7966.99	25354.3	12502.12	12676.65	11345.82	9673.69	13399.51	6164.49	25708.25	8247.98	18178.19	15499.21	11424.74	12943.04	9540.5	12329.98	10808.41	6381.92	0.0	0.13	500.46	532.74	595.34	409.15	529.06	429.54
ALDH1A1	1407.55	638.15	14.56	13123.73	11992.79	9474.59	41.81	41.81	647.07	698.41	753.83	1605.83	2178.83	8022.41	11424.74	8022.41	17558.94	10808.41	13492.72	9606.86	11267.44	10225.32	13123.73	10659.59	14065.74	13306.94	15824.9	17197.56	19754.96	13123.73	34635.37	20170.07	47313.67	16383.0	24153.43	13492.72	66449.85	12676.65	24321.43	74243.68	23820.89	37121.34	39237.98	21919.61	30785.28	18819.27	21919.61	19618.49	8840.04	51417.5	16960.78	15285.81	24490.61	25530.66	35363.15	26614.89	40341.14	30361.44	12329.98	0.0	0.78	2796.65	1008.9	175.07	2434.5	2835.7	1963.57
ALDH5A1	231.32	175.07	29.27	1295.13	1096.5	1467.37	44.25	44.25	45.53	39.79	31.67	17.77	42.71	480.04	231.32	249.73	563.18	1794.29	819.3	954.43	748.61	1167.14	848.22	802.41	921.88	1286.18	1208.34	1806.78	2148.82	1819.35	2075.59	1721.16	2018.8	2061.24	2417.67	1819.35	2796.65	1407.55	2090.03	961.07	2047.0	2555.58	2400.97	1519.15	2520.38	1883.54	2384.37	2032.85	1081.39	1127.35	1498.22	2224.63	1331.57	2875.3	1832.01	1583.71	2956.17	2502.97	660.68	0.0	0.0	170.25	162.14	63.89	124.37	101.54	376.41
AMT	47.84	129.69	167.9	1427.22	1322.37	1388.16	119.26	119.26	223.41	392.44	287.01	339.14	397.93	808.0	525.39	551.56	884.29	848.22	1359.57	1044.52	1233.75	1417.35	921.88	1066.48	1572.76	1233.75	1529.73	1572.76	2335.28	1991.0	1745.2	3491.39	3235.01	2004.85	1540.37	2319.15	2303.12	1685.71	1745.2	1487.87	2609.3	2835.7	2193.99	2400.97	2193.99	2335.28	2075.59	3665.02	1259.69	1477.58	1857.6	1977.24	1369.04	1896.65	1909.85	1757.34	1950.0	1923.14	896.64	0.0	0.99	283.05	412.0	187.71	214.27	121.79	269.6
APOC1	23986.58	21768.19	591.22	1100706.72	834179.46	606436.73	764.36	764.36	127.0	125.24	100.83	87.03	96.01	116501.39	181548.07	110983.6	1041331.96	103551.29	800198.39	1005860.33	912837.43	906531.99	721179.07	741454.2	887875.81	772940.66	1048575.0	1611529.43	2748093.15	1800541.22	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	1085552.95	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	1611529.43	2672946.37	1691649.38	2294899.22	1093103.58	2748093.15	2599854.48	2904784.09	3702323.71	1703415.74	3968052.37	3626130.97	1514068.5	11664.82	1208.34	19618.49	26986.43	1977.24	16383.0	18431.96	2895.31
APOC4	14.45	8.45	0.0	18052.61	14867.79	13306.94	1.25	1.25	0.0	0.0	0.0	2.01	0.0	316.37	87.65	3.72	16269.83	1819.35	16727.26	28328.16	22380.2	25354.3	16960.78	17317.18	34396.12	14065.74	26986.43	79572.48	104271.56	13776.25	43236.64	198667.0	133825.1	114897.47	73221.53	99333.0	61999.83	29943.43	63302.6	49666.0	179048.63	215898.44	133825.1	60304.42	67377.47	292889.12	55107.99	185362.8	110216.97	56265.94	33224.42	118949.35	75803.72	59063.35	17681.08	42641.37	100023.92	62865.33	29531.18	0.0	0.0	0.0	8.58	0.73	6.41	0.0	1.91
