	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.11EM3.1326.SM.5N9C6	GTEX.ZF2S.2026.SM.5E461	GTEX.ZXES.0826.SM.5E43C	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.P4QT.0626.SM.3NMCP	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4369.01A.01R.1157.13	TCGA.BR.4294.01A.01R.1131.13	TCGA.RD.A8N6.01A.11R.A36D.31
AC016722.2	55.1	37.05	29.27	69.52	41.52	39.79	77.25	32.13	38.4	0.21	59.13	15.22	14.24	6.89	4.54	10.16	9.41	7.06	12.36	1.11	2.73	11.3	3.06	0.0	2.16	8.92	3.5	0.39	13.22	38.12	19.68
AGBL4	9.34	12.55	8.19	13.03	7.0	9.48	17.13	9.27	4.39	0.0	20.71	2.27	1.57	0.0	1.81	10.88	1.73	0.0	4.9	4.54	0.0	0.26	0.73	0.0	4.58	0.07	0.31	2.36	28.24	9.85	2.66
ANGEL2	642.59	665.29	647.07	525.39	651.58	780.44	603.67	540.19	785.88	170.25	647.07	267.73	366.09	224.97	220.32	480.04	435.55	239.52	305.55	108.14	100.13	158.79	150.17	105.89	189.02	169.07	180.02	165.57	607.87	521.76	518.15
BEGAIN	46.84	90.14	87.03	76.17	77.79	162.14	55.1	42.11	53.95	14.67	208.38	82.87	120.94	21.94	84.63	14.45	38.67	22.43	36.53	0.0	2.97	0.0	10.96	14.14	10.71	6.21	2.53	7.28	17.51	299.25	53.95
BRWD1	713.11	532.74	723.08	518.15	511.0	988.12	642.59	860.08	902.89	432.53	688.78	283.05	358.54	325.29	271.48	559.28	376.41	273.37	242.88	255.0	236.21	178.77	185.11	221.86	206.94	199.85	177.53	251.48	381.68	603.67	341.51
C21orf67	71.0	91.41	92.7	94.67	52.45	67.12	150.17	60.39	76.17	20.56	78.34	28.04	22.26	12.83	17.38	7.34	26.47	14.56	24.99	14.89	23.42	22.75	5.23	10.96	40.93	26.86	28.04	5.68	13.22	54.72	29.7
C2orf42	249.73	215.77	264.03	215.77	346.29	283.05	325.29	312.0	206.94	92.7	305.55	132.44	124.37	169.07	132.44	241.19	150.17	128.79	169.07	79.45	73.03	195.72	108.9	139.07	161.02	122.64	148.09	127.0	140.04	275.28	139.07
CASD1	647.07	483.38	525.39	483.38	463.65	1674.06	236.21	1350.18	332.14	60.39	343.89	105.15	275.28	143.01	100.83	211.31	158.79	94.01	135.24	64.34	77.25	61.68	47.5	55.1	108.14	51.71	63.0	46.18	251.48	223.41	204.07
CCDC135	6.52	2.89	1.75	5.5	4.06	2.48	8.78	18.03	0.4	0.0	12.18	2.81	0.95	0.0	0.0	11.13	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.51	0.0	0.54	1.17	6.41	8.92	9.63
CDKL3	89.51	68.55	79.45	98.04	59.55	162.14	77.79	120.94	70.51	24.99	366.09	19.53	36.53	28.45	16.75	109.66	35.0	16.03	28.04	15.34	9.56	22.59	15.0	15.45	27.25	21.63	9.13	39.5	77.25	108.14	53.19
CEP120	392.44	351.14	316.37	297.17	384.34	486.75	348.71	423.61	217.27	49.91	178.77	84.63	96.01	56.68	61.68	156.59	167.9	80.01	86.43	34.51	45.85	78.34	51.35	29.7	67.59	42.11	41.22	46.18	217.27	279.14	191.67
CRNKL1	599.49	579.04	693.58	493.56	575.03	769.69	808.0	791.35	1216.75	624.99	651.58	373.81	447.82	356.05	376.41	620.67	412.0	281.09	318.57	273.37	241.19	318.57	260.38	253.23	384.34	353.59	444.72	616.37	733.19	791.35	928.3
CYP4V2	703.28	441.64	346.29	473.41	384.34	417.77	579.04	698.41	503.95	59.13	743.43	130.6	115.97	89.51	128.79	241.19	301.33	85.82	197.09	15.34	11.55	53.95	26.47	27.44	88.26	25.35	34.02	17.9	246.28	521.76	262.2
DTNB	583.07	1225.22	909.17	825.0	435.55	791.35	872.1	571.05	808.0	447.82	595.34	150.17	116.78	134.3	87.65	327.56	89.51	169.07	412.0	366.09	320.8	138.1	65.26	150.17	277.2	186.4	239.52	117.6	521.76	551.56	283.05
EBF4	353.59	346.29	511.0	368.65	532.74	607.87	241.19	866.07	743.43	22.26	1844.76	281.09	265.87	189.02	130.6	356.05	305.55	241.19	429.54	38.95	48.18	7.22	16.39	117.6	80.01	58.3	26.1	78.89	503.95	1322.37	738.29
