	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.FD.A3SR.01A.11R.A22U.07	TCGA.FD.A3B6.01A.21R.A20F.07	TCGA.JY.A6FE.01A.11R.A336.31	TCGA.UF.A7JV.01A.11R.A34R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.69.A59K.01A.11R.A262.07	TCGA.35.4122.01A.01R.1107.07	GTEX.U3ZH.0526.SM.3DB75	TCGA.33.4589.01A.01R.1443.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.12WSB.0726.SM.5N9GD
AC103801.2	27.64	18.29	143.01	84.63	59.55	106.63	0.0	103.69	28.24	37.05	6.62	78.89	41.22	61.68
ACACB	13.72	47.84	100.83	30.12	52.45	22.75	0.0	171.45	11.64	447.82	2.16	171.45	140.04	463.65
AKAP6	3.5	7.63	27.64	3.63	5.36	13.72	0.0	27.84	21.94	102.25	14.56	37.59	34.26	80.57
AKT1	954.43	1651.0	2739.08	1617.0	2335.28	2664.15	2133.97	2224.63	1023.0	1950.0	1135.2	2417.67	2133.97	2816.11
ALDH1L2	23.59	41.81	66.18	21.94	43.32	37.59	0.0	68.07	42.41	53.19	24.46	58.71	74.58	164.42
ALKBH8	23.76	30.56	123.5	57.08	57.49	87.03	0.0	132.44	31.45	139.07	22.75	92.05	152.28	102.97
ANO8	54.72	90.14	199.85	50.63	65.26	128.79	150.17	226.54	16.51	120.94	12.09	182.55	122.64	201.25
APAF1	78.34	199.85	297.17	132.44	120.1	241.19	0.0	305.55	104.42	356.05	73.54	218.79	244.57	221.86
APLP2	4095.0	4704.07	9025.81	5147.73	6983.79	7695.57	5517.27	10733.74	3491.39	9088.59	1896.65	17197.56	13586.57	6381.92
ARHGAP5	239.52	249.73	638.15	130.6	198.47	540.19	490.14	460.44	209.84	698.41	343.89	551.56	780.44	620.67
ARID4A	24.99	46.84	132.44	41.52	81.14	65.26	0.0	148.09	39.79	339.14	49.56	244.57	208.38	237.86
ARIH2	599.49	571.05	1135.2	708.18	1051.79	836.53	1096.5	1583.71	802.41	1208.34	460.44	1127.35	967.76	1023.0
ASB16	3.5	7.63	17.13	5.28	5.32	5.82	0.0	18.56	3.79	17.13	1.16	14.45	8.06	18.29
ATG14	63.45	90.77	123.5	108.9	105.89	102.97	0.0	158.79	103.69	320.8	87.65	218.79	214.27	260.38
ATM	46.18	119.26	256.78	114.36	197.09	170.25	0.0	511.0	129.69	791.35	70.51	466.88	525.39	555.41
ATP11A	93.35	159.9	403.5	223.41	438.59	127.0	242.88	854.13	152.28	525.39	13.93	854.13	490.14	312.0
ATXN7L1	32.59	69.03	129.69	71.0	97.36	109.66	0.0	163.28	71.5	258.57	54.72	155.5	128.79	170.25
BDP1	57.49	84.63	221.86	141.02	119.26	178.77	0.0	215.77	52.82	305.55	47.5	269.6	325.29	285.03
BRD1	132.44	381.68	420.68	158.79	305.55	291.04	0.0	460.44	94.01	454.09	102.97	426.57	373.81	400.71
C11orf57	231.32	209.84	438.59	253.23	318.57	251.48	356.05	435.55	232.94	532.74	198.47	373.81	297.17	447.82
C19orf55	175.07	164.42	567.1	167.9	486.75	185.11	249.73	638.15	226.54	500.46	20.11	281.09	301.33	226.54
