	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.11DXY.0526.SM.5EGGQ	GTEX.RN64.1826.SM.48FDV	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.111VG.0526.SM.5N9BW
ABCE1	403.5	316.37	441.64	334.46	297.17	361.04	249.73	299.25	387.02	255.0	409.15	529.06	518.15	343.89	1051.79	493.56	521.76	693.58	438.59	540.19	543.96	551.56	612.11	579.04	514.56	536.45	759.08	638.15	438.59	351.14	368.65	414.87	346.29	154.42	323.03	258.57	305.55	423.61	336.79	301.33	283.05	236.21	265.87	265.87	239.52	551.56	237.86	264.03	332.14	289.02	813.63	279.14	343.89	318.57	339.14	432.53
ABI1	341.51	291.04	1051.79	723.08	483.38	713.11	358.54	293.07	312.0	318.57	819.3	981.29	819.3	674.59	633.73	660.68	909.17	780.44	872.1	896.64	728.11	848.22	954.43	819.3	854.13	802.41	1015.93	941.27	633.73	521.76	409.15	665.29	248.0	175.07	334.46	166.73	389.72	312.0	265.87	209.84	563.18	289.02	397.93	234.57	234.57	819.3	242.88	329.84	267.73	242.88	218.79	323.03	295.11	733.19	708.18	674.59
ACAP2	120.1	103.69	376.41	255.0	212.78	500.46	180.02	129.69	197.09	133.36	218.79	283.05	229.72	117.6	135.24	248.0	237.86	248.0	242.88	249.73	212.78	224.97	269.6	265.87	199.85	221.86	312.0	262.2	149.12	120.94	135.24	158.79	75.11	48.87	114.36	45.85	105.15	153.34	86.43	49.21	143.01	79.45	98.73	64.34	65.72	154.42	53.19	113.56	68.07	46.84	68.07	94.67	94.01	303.44	181.28	295.11
ACTR2	1175.27	915.51	2645.74	1745.2	860.08	1745.2	1081.39	638.15	1127.35	791.35	1819.35	3168.41	1572.76	1277.29	2591.27	2119.22	2163.77	2240.11	2133.97	2451.44	2061.24	1923.14	2255.7	2319.15	2004.85	1950.0	3303.0	2609.3	1733.13	1639.59	1498.22	1540.37	733.19	559.28	954.43	450.94	995.0	620.67	571.05	591.22	1127.35	559.28	693.58	507.46	603.67	1225.22	559.28	902.89	679.29	483.38	896.64	728.11	1167.14	1819.35	1225.22	1340.84
AEBP2	214.27	162.14	409.15	244.57	351.14	329.84	246.28	336.79	361.04	291.04	599.49	660.68	674.59	518.15	429.54	406.31	647.07	624.99	591.22	620.67	599.49	638.15	748.61	718.08	438.59	620.67	417.77	536.45	429.54	299.25	309.83	567.1	110.43	69.03	172.65	66.65	314.17	275.28	136.19	120.94	181.28	166.73	176.29	175.07	110.43	303.44	102.25	172.65	202.66	78.34	161.02	177.53	239.52	381.68	346.29	466.88
ANKRD13C	135.24	103.69	255.0	155.5	177.53	175.07	127.89	92.05	102.97	99.43	295.11	241.19	258.57	182.55	197.09	212.78	264.03	262.2	285.03	262.2	251.48	253.23	248.0	299.25	232.94	253.23	339.14	271.48	204.07	164.42	136.19	178.77	84.63	48.18	88.26	83.45	129.69	138.1	98.73	53.95	111.21	78.89	195.72	107.38	74.58	149.12	76.71	134.3	88.26	80.01	71.5	92.05	122.64	186.4	151.22	258.57
AP1AR	255.0	253.23	373.81	351.14	234.57	389.72	555.41	387.02	486.75	363.56	497.0	341.51	384.34	409.15	232.94	327.56	559.28	371.22	551.56	400.71	356.05	450.94	457.25	480.04	497.0	397.93	563.18	507.46	255.0	339.14	256.78	285.03	231.32	82.29	186.4	146.03	384.34	267.73	194.36	94.67	343.89	237.86	329.84	312.0	253.23	353.59	130.6	242.88	193.01	214.27	291.04	318.57	373.81	242.88	190.34	239.52
API5	759.08	642.59	1008.9	764.36	591.22	947.83	713.11	595.34	1001.93	902.89	1167.14	1369.04	1519.15	1225.22	1233.75	791.35	1437.15	1359.57	1286.18	1331.57	1295.13	1322.37	1498.22	1467.37	1225.22	1286.18	1519.15	1477.58	941.27	620.67	808.0	1135.2	555.41	543.96	733.19	595.34	819.3	384.34	607.87	616.37	1001.93	607.87	684.02	540.19	759.08	928.3	470.14	642.59	620.67	551.56	599.49	665.29	981.29	890.44	915.51	921.88
APPBP2	124.37	102.97	332.14	180.02	182.55	291.04	39.79	94.01	94.01	90.77	334.46	435.55	341.51	241.19	289.02	244.57	493.56	463.65	361.04	447.82	346.29	381.68	514.56	454.09	373.81	457.25	450.94	466.88	221.86	197.09	325.29	285.03	87.65	62.12	128.79	70.51	92.7	137.14	90.14	78.89	115.16	134.3	91.41	118.43	63.89	171.45	90.14	84.63	76.17	88.88	77.79	109.66	114.36	327.56	249.73	283.05
APPL1	171.45	127.0	470.14	214.27	283.05	473.41	228.13	224.97	253.23	217.27	336.79	490.14	518.15	293.07	406.31	246.28	493.56	423.61	412.0	470.14	525.39	460.44	529.06	503.95	320.8	463.65	483.38	457.25	376.41	236.21	271.48	423.61	125.24	44.25	130.6	87.65	171.45	111.99	86.43	75.11	205.5	68.55	127.89	84.63	100.13	255.0	80.57	162.14	100.13	88.26	150.17	100.13	195.72	301.33	301.33	361.04
