	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.B0.5710.01A.11R.1672.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.DD.A3A8.11A.11R.A22L.07
ERCC6L2	119.26	176.29	163.28	269.6	117.6	237.86	269.6	120.1	323.03	480.04	94.67	412.0	103.69	239.52	379.04	376.41	412.0	123.5	450.94	295.11	108.9	142.01	136.19	79.45	551.56	130.6	217.27	301.33	111.99	137.14	209.84	212.78	177.53	164.42	110.43	120.1	291.04	25.91
EXOC6B	684.02	158.79	132.44	194.36	116.78	199.85	164.42	166.73	279.14	271.48	139.07	237.86	140.04	183.82	265.87	191.67	234.57	104.42	271.48	183.82	123.5	129.69	107.38	97.36	285.03	141.02	183.82	198.47	111.21	92.7	175.07	185.11	134.3	116.78	100.13	149.12	237.86	31.22
FAM168A	94.01	387.02	305.55	457.25	253.23	444.72	420.68	616.37	629.35	728.11	397.93	620.67	307.69	583.07	563.18	521.76	607.87	249.73	769.69	607.87	348.71	373.81	363.56	205.5	698.41	316.37	444.72	591.22	293.07	253.23	470.14	457.25	371.22	409.15	289.02	241.19	435.55	135.24
FAM188A	103.69	327.56	381.68	447.82	242.88	368.65	406.31	260.38	392.44	363.56	190.34	441.64	260.38	447.82	507.46	450.94	454.09	205.5	426.57	476.71	267.73	255.0	271.48	332.14	463.65	351.14	346.29	429.54	249.73	220.32	336.79	371.22	301.33	234.57	265.87	204.07	450.94	137.14
FAR1	633.73	241.19	299.25	291.04	124.37	371.22	438.59	241.19	332.14	420.68	291.04	638.15	151.22	341.51	483.38	490.14	460.44	251.48	599.49	358.54	301.33	246.28	287.01	237.86	441.64	199.85	239.52	426.57	229.72	186.4	249.73	251.48	231.32	217.27	190.34	127.0	343.89	9.56
FBXO48	47.5	35.0	44.57	42.11	19.82	41.22	29.48	21.32	49.21	34.75	21.94	49.21	13.52	44.25	64.8	42.11	65.72	24.63	29.27	35.0	20.86	31.67	18.97	18.7	50.63	40.36	30.34	31.67	18.84	20.11	28.86	53.19	21.01	15.8	31.0	28.65	45.21	11.3
FCHSD2	87.03	406.31	536.45	483.38	180.02	454.09	543.96	228.13	616.37	769.69	195.72	753.83	256.78	525.39	718.08	656.11	660.68	389.72	941.27	708.18	275.28	351.14	265.87	299.25	674.59	351.14	348.71	612.11	271.48	376.41	400.71	346.29	387.02	232.94	228.13	162.14	620.67	90.77
FYTTD1	1250.98	878.17	921.88	947.83	403.5	934.76	884.29	438.59	1143.1	1378.57	325.29	1313.23	441.64	738.29	1407.55	1167.14	1233.75	463.65	1340.84	808.0	796.86	651.58	713.11	599.49	1023.0	466.88	728.11	1037.29	567.1	629.35	1051.79	830.75	603.67	791.35	503.95	403.5	954.43	223.41
G2E3	88.26	84.63	89.51	89.51	32.36	111.21	123.5	56.28	162.14	144.01	45.21	182.55	40.64	82.87	127.0	135.24	193.01	23.76	185.11	148.09	56.68	58.3	81.71	52.08	199.85	67.59	101.54	118.43	58.71	54.33	120.1	118.43	70.01	77.79	61.25	55.1	134.3	13.93
GAB1	299.25	236.21	215.77	279.14	164.42	249.73	187.71	82.87	384.34	381.68	100.83	587.13	67.59	231.32	518.15	432.53	412.0	111.21	698.41	361.04	93.35	202.66	136.19	87.03	507.46	186.4	181.28	301.33	125.24	118.43	332.14	231.32	125.24	116.78	143.01	80.01	363.56	28.45
GLTSCR1L	76.17	165.57	212.78	228.13	109.66	169.07	186.4	48.87	211.31	258.57	40.07	264.03	65.26	234.57	265.87	204.07	234.57	69.03	334.46	218.79	59.13	166.73	85.82	88.88	285.03	107.38	154.42	208.38	85.82	122.64	186.4	195.72	144.01	53.95	137.14	57.49	226.54	38.67
HAUS2	162.14	265.87	287.01	249.73	166.73	241.19	187.71	154.42	275.28	269.6	156.59	336.79	211.31	234.57	307.69	256.78	339.14	144.01	291.04	293.07	229.72	173.85	229.72	183.82	271.48	127.89	281.09	229.72	137.14	201.25	241.19	242.88	166.73	190.34	136.19	128.79	241.19	49.56
HELZ	57.49	110.43	169.07	167.9	75.11	140.04	169.07	138.1	209.84	180.02	96.01	273.37	68.55	171.45	202.66	183.82	269.6	69.03	275.28	265.87	121.79	119.26	104.42	90.14	295.11	111.21	125.24	198.47	166.73	110.43	119.26	146.03	164.42	59.97	166.73	107.38	206.94	43.32
HIAT1	638.15	567.1	629.35	738.29	403.5	656.11	473.41	412.0	842.36	866.07	316.37	878.17	373.81	660.68	1015.93	733.19	902.89	392.44	819.3	647.07	514.56	579.04	426.57	536.45	775.05	381.68	463.65	693.58	392.44	395.18	785.88	591.22	444.72	412.0	397.93	406.31	878.17	202.66
