	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.B0.5710.01A.11R.1672.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.DD.A3A8.11A.11R.A22L.07
MTF1	376.41	73.54	92.7	78.34	52.08	87.65	73.03	52.08	102.97	116.78	43.02	178.77	70.51	108.14	120.94	119.26	182.55	42.41	202.66	108.9	55.89	91.41	57.89	44.89	177.53	52.45	84.63	93.35	46.18	53.95	91.41	100.83	73.54	40.07	48.18	40.07	120.94	13.62
MTMR9	32.13	90.14	91.41	90.14	57.49	96.01	134.3	65.72	118.43	151.22	45.53	155.5	64.34	88.88	148.09	155.5	170.25	31.9	150.17	76.71	47.84	63.0	80.57	50.63	124.37	69.03	84.04	130.6	55.89	50.27	102.97	85.22	77.25	42.71	42.11	34.75	108.9	25.17
NCOA1	197.09	366.09	368.65	356.05	214.27	343.89	334.46	148.09	403.5	555.41	214.27	500.46	185.11	332.14	480.04	483.38	460.44	204.07	629.35	312.0	202.66	220.32	218.79	161.02	579.04	323.03	293.07	409.15	237.86	244.57	291.04	358.54	295.11	143.01	239.52	185.11	463.65	102.25
NDUFA4L2	327241.36	59887.86	124000.67	88905.42	75803.72	59474.18	93325.55	96616.71	56657.31	62865.33	120609.84	32315.87	67377.47	65535.0	33455.53	57847.82	51062.33	94628.34	35363.15	102836.01	97288.74	167058.21	102836.01	162489.97	53973.86	97288.74	95286.54	78476.96	96616.71	81809.59	95949.32	92040.7	88905.42	118127.7	124000.67	94628.34	71714.63	120.1
NEDD1	241.19	264.03	158.79	218.79	102.25	220.32	217.27	129.69	346.29	363.56	130.6	307.69	102.97	198.47	336.79	323.03	299.25	103.69	277.2	241.19	161.02	171.45	133.36	146.03	297.17	130.6	177.53	242.88	140.04	158.79	224.97	297.17	125.24	157.68	97.36	106.63	353.59	17.9
NHLRC2	47.17	68.55	108.9	84.04	42.71	74.06	100.13	40.64	102.97	99.43	47.84	152.28	36.01	93.35	116.78	111.21	152.28	34.26	153.34	82.87	35.5	60.39	63.0	45.85	150.17	56.28	75.64	102.97	45.85	51.35	90.77	86.43	57.08	55.1	46.84	56.28	130.6	34.75
NR2C2	98.04	64.34	80.57	111.21	49.56	108.14	140.04	65.26	128.79	187.71	44.25	224.97	25.17	180.02	134.3	152.28	176.29	45.21	299.25	116.78	52.45	69.52	53.95	45.85	232.94	88.26	82.87	176.29	87.03	49.91	112.77	69.03	103.69	63.0	108.9	72.52	115.97	19.25
PCMTD1	514.56	624.99	775.05	928.3	353.59	785.88	769.69	389.72	1127.35	981.29	343.89	1457.23	334.46	698.41	1151.06	1030.12	1183.45	591.22	1225.22	941.27	483.38	476.71	432.53	441.64	1088.92	532.74	642.59	1023.0	381.68	441.64	753.83	688.78	532.74	575.03	260.38	379.04	1135.2	105.15
PDS5B	117.6	236.21	265.87	221.86	167.9	289.02	283.05	125.24	417.77	660.68	98.04	435.55	164.42	309.83	497.0	423.61	400.71	157.68	529.06	215.77	134.3	185.11	170.25	144.01	376.41	353.59	234.57	444.72	190.34	186.4	289.02	325.29	260.38	185.11	202.66	158.79	429.54	38.12
PGM2	2555.58	295.11	271.48	480.04	195.72	397.93	363.56	135.24	460.44	450.94	156.59	555.41	343.89	426.57	591.22	480.04	483.38	236.21	567.1	348.71	376.41	285.03	363.56	187.71	376.41	193.01	291.04	429.54	253.23	265.87	381.68	356.05	241.19	275.28	217.27	113.56	559.28	289.02
PHC3	68.55	153.34	218.79	246.28	93.35	206.94	348.71	96.68	316.37	432.53	84.63	567.1	51.35	251.48	412.0	312.0	423.61	120.1	629.35	353.59	123.5	157.68	92.05	105.89	579.04	107.38	162.14	253.23	172.65	155.5	212.78	154.42	146.03	124.37	108.9	128.79	339.14	32.82
PHF16	98.04	72.01	78.89	194.36	46.5	106.63	79.45	73.03	145.02	158.79	77.79	148.09	70.01	73.03	180.02	141.02	150.17	51.71	177.53	111.21	220.32	73.03	61.25	47.17	134.3	66.18	102.97	115.97	65.72	59.97	86.43	111.99	81.14	99.43	64.8	63.45	119.26	54.33
PIK3CA	73.54	239.52	170.25	237.86	123.5	249.73	208.38	92.7	366.09	346.29	88.88	414.87	89.51	248.0	473.41	366.09	486.75	124.37	460.44	256.78	152.28	165.57	171.45	81.71	454.09	127.0	212.78	265.87	117.6	123.5	267.73	246.28	131.51	127.89	124.37	118.43	395.18	32.13
PKN2	785.88	305.55	381.68	356.05	189.02	329.84	403.5	258.57	444.72	417.77	144.01	547.75	164.42	343.89	525.39	373.81	470.14	183.82	521.76	497.0	248.0	285.03	212.78	239.52	536.45	287.01	307.69	432.53	251.48	157.68	269.6	371.22	229.72	181.28	249.73	246.28	463.65	65.72
PLSCR4	22.26	529.06	759.08	674.59	237.86	486.75	297.17	215.77	1167.14	896.64	151.22	981.29	128.79	490.14	1143.1	674.59	791.35	265.87	974.5	1151.06	182.55	368.65	198.47	258.57	1073.91	480.04	444.72	738.29	299.25	237.86	890.44	764.36	307.69	540.19	303.44	232.94	902.89	305.55
PPM1L	87.65	69.52	98.73	156.59	17.25	45.21	85.82	67.12	169.07	236.21	33.78	226.54	41.22	63.0	214.27	132.44	177.53	46.18	131.51	82.87	51.35	45.21	66.18	43.32	156.59	85.22	62.56	152.28	84.63	59.55	119.26	105.15	92.7	87.65	73.54	104.42	109.66	23.59
PPP6R3	698.41	620.67	743.43	718.08	441.64	780.44	785.88	703.28	764.36	808.0	507.46	954.43	371.22	698.41	860.08	713.11	860.08	563.18	866.07	642.59	591.22	532.74	503.95	536.45	836.53	669.92	595.34	825.0	612.11	503.95	660.68	651.58	603.67	441.64	674.59	397.93	764.36	187.71
QKI	363.56	1044.52	967.76	1250.98	486.75	1008.9	1199.98	432.53	2255.7	2701.35	511.0	2434.5	500.46	1167.14	1963.57	2004.85	2047.0	403.5	2627.46	1397.83	909.17	723.08	718.08	507.46	1857.6	563.18	947.83	1594.73	607.87	743.43	1572.76	1259.69	785.88	624.99	500.46	303.44	1388.16	180.02
QSER1	180.02	107.38	114.36	171.45	64.34	135.24	148.09	94.01	220.32	220.32	117.6	267.73	55.89	176.29	206.94	162.14	212.78	81.14	260.38	163.28	111.99	130.6	105.89	94.01	255.0	73.03	116.78	211.31	77.25	81.14	116.78	120.1	110.43	90.77	108.9	59.13	148.09	14.24
RAB3GAP2	180.02	232.94	218.79	271.48	148.09	239.52	283.05	143.01	351.14	329.84	195.72	371.22	114.36	273.37	303.44	253.23	366.09	132.44	327.56	299.25	140.04	182.55	190.34	126.12	450.94	186.4	228.13	309.83	191.67	159.9	244.57	260.38	229.72	175.07	178.77	135.24	305.55	35.5
RAP1GDS1	379.04	412.0	297.17	397.93	285.03	463.65	438.59	208.38	507.46	616.37	217.27	642.59	309.83	444.72	660.68	540.19	490.14	265.87	521.76	412.0	454.09	356.05	316.37	291.04	420.68	291.04	420.68	457.25	339.14	329.84	400.71	358.54	339.14	303.44	218.79	161.02	444.72	194.36
RAP2A	320.8	341.51	463.65	414.87	246.28	466.88	463.65	228.13	723.08	733.19	221.86	708.18	332.14	348.71	587.13	579.04	693.58	163.28	713.11	348.71	211.31	293.07	346.29	202.66	503.95	325.29	403.5	536.45	291.04	269.6	540.19	406.31	299.25	426.57	301.33	153.34	423.61	40.93
RBFOX2	417.77	559.28	466.88	842.36	379.04	607.87	693.58	403.5	1295.13	1359.57	387.02	1313.23	420.68	733.19	1088.92	1081.39	961.07	262.2	1540.37	1023.0	384.34	529.06	525.39	441.64	1242.34	470.14	521.76	1233.75	373.81	346.29	866.07	769.69	633.73	563.18	483.38	346.29	796.86	149.12
RC3H2	190.34	232.94	246.28	417.77	127.89	251.48	303.44	166.73	373.81	366.09	104.42	571.05	161.02	265.87	426.57	395.18	490.14	154.42	476.71	329.84	226.54	218.79	239.52	109.66	417.77	153.34	232.94	307.69	185.11	123.5	242.88	273.37	187.71	161.02	118.43	124.37	384.34	102.97
RNF169	155.5	90.14	109.66	105.89	66.65	113.56	164.42	57.08	156.59	149.12	56.68	198.47	36.01	127.0	208.38	119.26	127.0	52.08	182.55	140.04	67.59	106.63	52.82	36.01	187.71	61.68	79.45	147.06	77.79	59.97	86.43	88.88	90.14	60.39	94.01	36.53	137.14	21.63
RNF38	217.27	441.64	403.5	511.0	231.32	376.41	343.89	198.47	738.29	728.11	148.09	728.11	190.34	493.56	688.78	633.73	551.56	198.47	830.75	463.65	131.51	334.46	275.28	139.07	764.36	318.57	327.56	412.0	215.77	305.55	426.57	540.19	299.25	236.21	156.59	163.28	543.96	100.83
ROCK1	128.79	299.25	387.02	320.8	193.01	371.22	426.57	143.01	470.14	563.18	119.26	551.56	146.03	376.41	473.41	414.87	486.75	147.06	647.07	457.25	166.73	187.71	218.79	193.01	591.22	251.48	236.21	518.15	255.0	226.54	277.2	307.69	267.73	154.42	191.67	221.86	473.41	31.0
RSF1	158.79	246.28	353.59	325.29	214.27	287.01	277.2	175.07	441.64	454.09	139.07	432.53	122.64	314.17	426.57	339.14	447.82	173.85	444.72	536.45	220.32	206.94	170.25	127.0	497.0	212.78	244.57	392.44	239.52	186.4	241.19	351.14	251.48	140.04	289.02	112.77	559.28	27.64
SBF2	309.83	493.56	693.58	426.57	334.46	529.06	483.38	423.61	679.29	738.29	256.78	660.68	283.05	518.15	624.99	518.15	612.11	273.37	583.07	493.56	307.69	339.14	285.03	224.97	738.29	417.77	441.64	473.41	435.55	220.32	334.46	497.0	348.71	220.32	305.55	173.85	463.65	130.6
SECISBP2L	277.2	373.81	325.29	480.04	214.27	366.09	351.14	231.32	483.38	543.96	228.13	599.49	169.07	454.09	571.05	500.46	607.87	173.85	583.07	476.71	204.07	275.28	241.19	241.19	738.29	231.32	323.03	348.71	246.28	256.78	346.29	417.77	221.86	281.09	190.34	198.47	575.03	69.52
SGTB	23.59	73.03	69.03	91.41	49.91	85.82	100.13	51.71	130.6	124.37	69.52	113.56	66.18	115.97	156.59	109.66	100.13	44.25	108.9	71.0	102.25	53.19	68.55	41.22	95.34	47.84	112.77	89.51	56.68	57.89	65.72	69.03	56.68	50.98	60.39	33.3	100.83	2.71
SIN3A	473.41	423.61	343.89	514.56	303.44	466.88	511.0	275.28	532.74	647.07	299.25	571.05	275.28	483.38	603.67	555.41	503.95	239.52	698.41	490.14	249.73	358.54	305.55	242.88	674.59	376.41	361.04	497.0	299.25	348.71	361.04	473.41	389.72	226.54	275.28	301.33	563.18	122.64
SLC10A7	220.32	108.9	124.37	124.37	66.65	115.16	102.25	55.1	180.02	164.42	87.03	291.04	62.12	123.5	175.07	159.9	166.73	65.72	193.01	229.72	112.77	74.58	65.26	70.51	167.9	102.97	118.43	129.69	109.66	63.45	177.53	133.36	80.01	65.26	79.45	43.02	183.82	67.59
SMARCA5	395.18	444.72	379.04	438.59	295.11	607.87	490.14	198.47	507.46	642.59	206.94	733.19	500.46	463.65	595.34	559.28	638.15	289.02	660.68	470.14	301.33	414.87	389.72	376.41	555.41	314.17	387.02	463.65	379.04	463.65	503.95	480.04	361.04	327.56	366.09	269.6	536.45	50.63
SMARCAD1	224.97	237.86	231.32	265.87	194.36	256.78	314.17	148.09	348.71	297.17	166.73	543.96	125.24	307.69	303.44	262.2	381.68	131.51	363.56	376.41	176.29	237.86	193.01	197.09	329.84	157.68	220.32	281.09	195.72	158.79	244.57	237.86	212.78	133.36	198.47	138.1	291.04	34.26
SMC3	738.29	567.1	476.71	629.35	397.93	563.18	473.41	279.14	902.89	878.17	297.17	738.29	277.2	529.06	785.88	674.59	674.59	273.37	651.58	529.06	323.03	384.34	351.14	251.48	738.29	473.41	480.04	536.45	275.28	387.02	420.68	698.41	312.0	293.07	336.79	232.94	708.18	73.54
SMURF2	91.41	236.21	251.48	242.88	108.14	277.2	275.28	138.1	323.03	339.14	138.1	473.41	129.69	329.84	423.61	389.72	332.14	141.02	500.46	348.71	199.85	228.13	265.87	148.09	325.29	191.67	182.55	341.51	194.36	152.28	256.78	224.97	236.21	80.57	201.25	94.67	314.17	21.94
SYNJ1	54.33	185.11	181.28	140.04	109.66	191.67	185.11	91.41	255.0	209.84	111.21	303.44	84.63	205.5	256.78	295.11	189.02	106.63	323.03	201.25	122.64	159.9	159.9	97.36	251.48	126.12	130.6	186.4	118.43	151.22	169.07	146.03	134.3	106.63	149.12	87.65	162.14	38.12
TGFB2	13.83	80.57	69.03	94.01	18.84	88.88	104.42	24.46	78.34	105.15	21.16	163.28	41.81	115.97	159.9	132.44	102.25	29.06	170.25	136.19	31.45	43.02	111.99	43.94	111.21	100.13	97.36	149.12	48.52	67.12	116.78	98.73	48.52	25.91	21.63	59.13	108.14	10.88
TNKS2	775.05	283.05	314.17	397.93	145.02	329.84	387.02	142.01	444.72	497.0	205.5	638.15	163.28	379.04	536.45	457.25	540.19	220.32	536.45	536.45	204.07	264.03	244.57	201.25	476.71	201.25	256.78	470.14	220.32	237.86	318.57	316.37	223.41	255.0	217.27	177.53	483.38	111.99
TNPO1	343.89	457.25	346.29	563.18	273.37	500.46	432.53	231.32	708.18	836.53	483.38	785.88	283.05	532.74	860.08	633.73	854.13	232.94	884.29	616.37	486.75	229.72	314.17	218.79	748.61	246.28	490.14	518.15	234.57	312.0	493.56	389.72	283.05	454.09	320.8	392.44	718.08	116.78
TTBK2	24.99	64.34	74.06	68.55	38.4	68.55	93.35	49.21	88.88	100.13	45.53	118.43	31.9	92.7	106.63	90.14	138.1	51.35	149.12	81.14	55.1	60.82	54.33	60.82	127.0	71.5	60.82	101.54	59.55	45.85	60.82	69.03	61.68	43.02	67.59	46.18	114.36	21.78
UBR1	33.06	140.04	153.34	175.07	82.29	183.82	158.79	94.01	217.27	229.72	75.64	239.52	88.26	181.28	232.94	208.38	265.87	77.25	241.19	221.86	87.65	112.77	95.34	104.42	256.78	100.83	120.1	187.71	125.24	102.97	170.25	148.09	115.97	99.43	112.77	70.51	220.32	39.79
UBXN7	212.78	120.94	129.69	209.84	86.43	149.12	159.9	70.01	251.48	232.94	61.25	307.69	43.32	183.82	295.11	198.47	251.48	88.88	343.89	242.88	121.79	123.5	108.14	56.28	395.18	92.05	115.16	173.85	97.36	82.29	142.01	151.22	105.89	75.64	102.97	68.07	189.02	39.22
USP37	132.44	45.85	43.32	64.8	30.56	65.26	42.41	25.35	116.78	145.02	38.95	88.88	28.04	75.11	95.34	80.01	136.19	25.54	116.78	52.45	27.84	40.36	29.27	24.46	135.24	25.35	48.18	73.54	33.78	26.86	66.18	73.54	50.63	30.78	27.05	13.42	94.67	4.24
USP8	503.95	454.09	473.41	514.56	429.54	543.96	470.14	289.02	629.35	679.29	285.03	723.08	293.07	525.39	567.1	483.38	718.08	258.57	642.59	665.29	309.83	323.03	366.09	256.78	764.36	397.93	332.14	514.56	293.07	334.46	432.53	547.75	361.04	224.97	325.29	269.6	595.34	105.15
WDR47	836.53	154.42	152.28	156.59	90.77	180.02	152.28	100.83	187.71	205.5	95.34	234.57	110.43	198.47	248.0	206.94	237.86	90.14	226.54	232.94	129.69	147.06	105.89	116.78	226.54	111.21	125.24	164.42	108.9	108.9	167.9	166.73	113.56	62.12	110.43	71.5	242.88	19.25
WDR7	126.12	111.99	100.83	146.03	55.89	138.1	119.26	31.9	144.01	236.21	66.65	147.06	57.49	136.19	206.94	175.07	218.79	65.72	244.57	117.6	65.26	81.14	85.82	47.5	237.86	74.06	102.97	136.19	77.25	105.89	144.01	118.43	80.01	69.52	51.35	49.91	171.45	67.12
WRN	46.5	64.34	79.45	77.25	50.98	90.14	102.97	83.45	102.97	105.89	53.57	141.02	40.64	87.65	93.35	98.73	105.15	55.1	117.6	121.79	51.71	74.58	63.89	43.94	81.14	47.84	74.58	112.77	80.01	40.93	62.12	76.71	68.55	23.42	76.17	30.78	88.26	21.01
ZBED6	54.72	60.39	78.34	89.51	37.85	90.77	134.3	53.95	154.42	190.34	48.18	232.94	10.08	118.43	177.53	158.79	236.21	26.67	232.94	116.78	27.84	69.03	52.82	18.7	241.19	63.45	59.97	129.69	31.0	36.79	70.01	66.65	63.89	32.36	47.17	44.89	149.12	6.67
ZC3H13	191.67	353.59	356.05	403.5	260.38	379.04	432.53	229.72	551.56	718.08	177.53	490.14	234.57	423.61	483.38	463.65	473.41	185.11	540.19	503.95	204.07	273.37	246.28	148.09	454.09	256.78	363.56	348.71	264.03	271.48	351.14	450.94	312.0	273.37	339.14	204.07	476.71	74.58
ZDHHC20	1059.11	271.48	215.77	334.46	89.51	295.11	232.94	56.28	387.02	500.46	116.78	642.59	73.03	281.09	587.13	503.95	583.07	99.43	674.59	358.54	195.72	145.02	173.85	115.16	503.95	60.82	199.85	500.46	145.02	186.4	371.22	177.53	178.77	193.01	100.83	102.97	466.88	30.56
ZKSCAN8	28.45	169.07	208.38	209.84	115.16	169.07	289.02	102.25	241.19	281.09	89.51	332.14	58.71	208.38	248.0	221.86	241.19	101.54	361.04	320.8	78.89	153.34	151.22	90.14	339.14	201.25	132.44	241.19	120.94	96.68	152.28	190.34	181.28	106.63	157.68	102.97	202.66	24.63
ZMYM1	194.36	76.17	73.03	81.14	48.87	103.69	82.87	65.72	108.9	69.52	37.05	162.14	28.45	125.24	128.79	98.73	125.24	63.89	173.85	94.67	44.25	68.55	55.1	53.95	147.06	67.59	87.03	105.89	59.97	55.1	81.14	74.06	80.57	47.17	85.22	79.45	108.14	7.28
ZNF136	46.5	123.5	148.09	139.07	88.88	127.0	186.4	95.34	218.79	182.55	46.18	226.54	85.22	163.28	173.85	157.68	159.9	69.52	191.67	199.85	55.1	120.94	84.63	82.29	223.41	127.89	111.99	157.68	104.42	78.34	124.37	156.59	113.56	89.51	82.87	56.68	165.57	18.16
ZNF148	165.57	299.25	221.86	361.04	140.04	275.28	199.85	118.43	503.95	540.19	128.79	389.72	68.07	329.84	435.55	392.44	507.46	110.43	579.04	291.04	114.36	228.13	161.02	124.37	738.29	142.01	223.41	346.29	146.03	185.11	371.22	329.84	180.02	217.27	152.28	124.37	366.09	34.26
ZNF17	50.27	94.67	129.69	82.29	53.19	98.04	92.05	78.89	110.43	98.73	41.52	135.24	49.56	86.43	111.21	101.54	104.42	59.13	127.89	116.78	40.93	67.59	66.65	52.45	108.9	83.45	69.03	128.79	70.01	52.08	84.63	102.97	80.01	75.64	76.17	65.26	98.73	15.91
ZNF225	23.25	63.89	66.65	65.26	46.18	77.79	72.52	54.72	105.89	94.67	33.3	124.37	17.38	76.17	88.26	81.71	85.22	30.12	108.14	111.99	31.0	58.71	43.94	28.04	105.89	59.13	42.11	69.52	51.71	30.78	69.52	66.18	57.49	37.59	49.91	45.21	57.89	8.58
ZNF25	18.97	151.22	218.79	191.67	86.43	175.07	195.72	105.89	264.03	271.48	80.01	316.37	93.35	186.4	303.44	185.11	246.28	96.01	232.94	316.37	124.37	134.3	112.77	143.01	239.52	143.01	139.07	293.07	105.15	90.77	139.07	142.01	162.14	137.14	185.11	137.14	251.48	7.17
ZNF322	72.01	182.55	193.01	166.73	105.89	195.72	178.77	72.01	248.0	305.55	87.03	269.6	65.26	199.85	283.05	239.52	389.72	87.03	305.55	275.28	111.21	140.04	94.01	117.6	289.02	92.7	137.14	236.21	87.03	100.83	236.21	183.82	143.01	108.9	71.5	66.65	202.66	26.86
ZNF442	13.62	16.15	36.53	33.06	13.52	30.78	24.28	23.42	38.4	42.71	16.27	39.79	7.34	43.32	41.22	42.41	43.63	9.85	49.91	48.52	23.25	15.22	18.97	15.8	33.54	18.84	16.88	25.72	26.1	11.21	22.43	23.93	21.32	34.75	19.53	15.68	33.06	4.62
ZNF45	72.52	142.01	142.01	159.9	78.89	191.67	129.69	92.05	258.57	260.38	80.57	262.2	51.71	156.59	201.25	171.45	255.0	54.72	255.0	237.86	52.08	135.24	86.43	55.49	275.28	94.67	90.14	148.09	82.29	64.34	185.11	185.11	115.97	75.64	85.22	55.89	164.42	18.84
ZNF510	39.5	91.41	112.77	125.24	63.89	137.14	128.79	71.0	164.42	215.77	55.89	193.01	49.21	109.66	218.79	164.42	173.85	67.12	239.52	148.09	65.26	77.79	80.01	51.35	201.25	94.01	86.43	138.1	85.82	59.97	121.79	107.38	92.05	87.03	53.57	31.9	131.51	12.83
ZNF623	149.12	121.79	114.36	159.9	79.45	142.01	142.01	85.82	197.09	236.21	98.73	258.57	52.08	161.02	193.01	158.79	193.01	94.67	260.38	224.97	144.01	145.02	105.89	60.82	318.57	98.73	100.83	159.9	76.71	89.51	136.19	138.1	150.17	109.66	194.36	126.12	162.14	26.86
ZNF791	193.01	195.72	194.36	202.66	136.19	197.09	220.32	155.5	283.05	271.48	111.99	305.55	114.36	242.88	251.48	226.54	251.48	123.5	305.55	275.28	101.54	148.09	129.69	117.6	329.84	223.41	158.79	246.28	138.1	115.16	193.01	223.41	173.85	197.09	189.02	116.78	253.23	28.65
ZNF805	17.13	38.67	37.85	29.48	18.56	31.45	56.28	31.0	57.08	64.34	25.35	75.11	17.13	38.12	61.68	66.18	60.82	14.89	85.22	37.05	14.45	28.45	42.11	13.83	59.55	32.36	27.64	46.18	20.56	21.78	45.85	39.5	41.22	25.54	26.28	31.22	49.56	8.99
ZSCAN12	39.79	53.57	51.35	55.49	26.86	60.39	60.39	23.76	77.79	102.97	23.42	81.14	17.25	73.03	113.56	83.45	61.25	37.32	108.14	146.03	29.7	65.72	25.72	41.52	94.67	45.21	32.82	84.04	37.32	24.46	42.41	35.76	43.63	34.26	38.4	28.65	63.45	6.57
ZW10	275.28	151.22	162.14	140.04	146.03	202.66	133.36	149.12	223.41	223.41	142.01	204.07	142.01	183.82	255.0	191.67	229.72	137.14	218.79	232.94	133.36	169.07	124.37	120.94	229.72	122.64	169.07	212.78	125.24	127.89	173.85	158.79	136.19	140.04	102.97	68.55	202.66	114.36
ZYG11B	105.15	190.34	176.29	260.38	117.6	189.02	162.14	98.04	316.37	312.0	103.69	339.14	105.89	214.27	316.37	249.73	332.14	80.57	291.04	172.65	142.01	153.34	123.5	114.36	325.29	148.09	206.94	253.23	123.5	120.1	237.86	212.78	125.24	106.63	105.89	85.22	275.28	127.0
ZZEF1	143.01	194.36	177.53	255.0	150.17	237.86	332.14	182.55	221.86	285.03	117.6	353.59	132.44	325.29	255.0	299.25	269.6	164.42	432.53	371.22	114.36	253.23	171.45	96.68	373.81	148.09	181.28	281.09	201.25	164.42	159.9	195.72	242.88	105.89	392.44	164.42	214.27	64.34
