	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A1.A0SP.01A.11R.A084.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.D5.5541.01A.01R.1653.07	TCGA.5M.AAT6.01A.11R.A41B.07	TCGA.CA.6718.01A.11R.1839.07	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.KL.8330.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.1497J.0826.SM.5NQAJ	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.55.8616.01A.11R.2403.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.95.7944.01A.11R.2187.07	TCGA.97.8176.01A.11R.2403.07	TCGA.MP.A4T8.01A.11R.A24X.07	TCGA.63.5128.01A.01R.1443.07	TCGA.63.7023.01A.11R.1949.07	TCGA.DC.6682.01A.11R.1830.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.R5.A7ZF.01A.11R.A354.31	TCGA.BR.7715.01A.11R.2055.13	TCGA.F1.6875.01A.11R.2055.13	TCGA.KB.A6F7.01A.12R.A32D.31	TCGA.CG.5726.01A.11R.1602.13	TCGA.CD.5800.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.D7.6528.01A.11R.1802.13	GTEX.1399T.0126.SM.5KM15	TCGA.FI.A3PX.01A.11R.A22K.07	TCGA.EY.A549.01A.11R.A27V.07	TCGA.EY.A2ON.01A.21R.A18M.07
ACP1	4181.07	3589.58	3395.89	1819.35	1088.92	988.12	3372.43	3901.01	3257.52	2796.65	3540.14	2573.36	1832.01	1857.6	2090.03	2303.12	2468.49	2976.74	2956.17	1991.0	1950.0	1757.34	2956.17	1950.0	1639.59	2451.44	2119.22	2004.85	2061.24	1870.53	2701.35	1769.57	1896.65	4972.34	2855.44	2255.7	2061.24	2032.85	1745.2	2004.85	2537.92	1639.59	1806.78	1870.53	1359.57	2855.44	2061.24	2468.49	2178.83	1340.84	2351.53	3168.41	2319.15	2209.26	2061.24	2075.59	2468.49	2287.2	1936.53	2104.58	1662.49	2758.13	2720.15	2047.0	2573.36	1950.0	1909.85	2451.44	2090.03	1769.57	3235.01	3235.01	2777.33	3820.7	4358.66	1167.14	1259.69	1268.46	3039.3	2133.97	4038.61	3847.29	995.0	2335.28	3039.3	3690.52	3614.55	3716.2	2816.11	1819.35	4704.07	2400.97	2417.67
ANAPC1	511.0	1001.93	395.18	253.23	163.28	197.09	262.2	224.97	500.46	260.38	466.88	775.05	115.16	114.36	194.36	187.71	229.72	147.06	194.36	112.77	108.9	126.12	142.01	144.01	120.1	305.55	106.63	73.03	204.07	159.9	217.27	83.45	113.56	432.53	148.09	189.02	165.57	165.57	164.42	133.36	180.02	134.3	197.09	163.28	156.59	191.67	152.28	212.78	153.34	102.97	106.63	241.19	109.66	77.25	122.64	133.36	144.01	199.85	190.34	182.55	236.21	144.01	133.36	164.42	130.6	181.28	124.37	256.78	206.94	429.54	260.38	265.87	511.0	480.04	447.82	139.07	166.73	120.94	267.73	387.02	733.19	514.56	490.14	486.75	414.87	242.88	249.73	301.33	403.5	183.82	283.05	217.27	229.72
ANLN	915.51	651.58	1594.73	29.91	12.45	10.55	242.88	195.72	480.04	466.88	866.07	3212.66	24.63	29.48	18.29	29.48	22.1	14.24	18.03	15.56	63.89	11.91	27.05	26.86	35.0	50.98	23.76	36.53	63.89	20.26	33.3	15.11	20.86	339.14	50.27	40.64	29.7	158.79	40.93	34.02	71.0	11.38	18.7	14.78	34.75	22.59	50.98	58.71	23.59	5.54	18.7	181.28	24.28	33.3	26.47	17.64	48.52	39.22	32.82	38.12	25.35	41.22	15.0	26.86	18.29	38.4	23.42	334.46	454.09	836.53	460.44	314.17	995.0	848.22	642.59	119.26	190.34	182.55	305.55	536.45	1923.14	693.58	759.08	890.44	1023.0	265.87	332.14	454.09	583.07	6.36	587.13	336.79	277.2
ASIC1	28.86	84.63	24.81	90.77	113.56	33.54	15.34	152.28	248.0	221.86	497.0	246.28	9.27	26.28	41.81	30.34	14.24	6.21	9.06	2.89	16.39	10.79	11.64	2.81	4.62	4.94	2.18	22.43	39.5	2.92	4.24	5.45	96.01	59.55	1.31	6.78	11.55	38.95	4.1	6.06	4.43	38.12	31.67	1.97	26.1	13.12	8.32	3.69	4.58	9.93	2.61	101.54	4.43	12.64	6.73	7.34	15.91	2.29	7.57	2.01	13.03	8.85	54.33	4.21	64.34	1.62	3.89	47.84	18.84	204.07	15.22	42.41	149.12	148.09	743.43	29.48	57.49	18.7	45.21	6.21	307.69	147.06	95.34	100.13	131.51	123.5	46.18	19.53	152.28	11.3	75.64	208.38	25.17
ASUN	1225.22	775.05	2255.7	339.14	540.19	334.46	497.0	642.59	567.1	356.05	669.92	595.34	297.17	205.5	258.57	733.19	441.64	327.56	444.72	470.14	312.0	316.37	348.71	260.38	289.02	669.92	201.25	373.81	591.22	457.25	197.09	176.29	454.09	591.22	379.04	358.54	356.05	486.75	351.14	373.81	441.64	285.03	307.69	371.22	395.18	265.87	299.25	289.02	305.55	109.66	305.55	563.18	314.17	429.54	262.2	332.14	450.94	305.55	334.46	307.69	473.41	483.38	423.61	361.04	381.68	305.55	279.14	312.0	258.57	543.96	395.18	420.68	1651.0	1001.93	1340.84	511.0	583.07	679.29	563.18	480.04	1583.71	412.0	166.73	447.82	543.96	170.25	525.39	612.11	514.56	318.57	1059.11	571.05	518.15
BEND3	109.66	87.03	150.17	23.59	15.11	43.63	45.53	31.45	51.35	44.57	101.54	66.18	12.93	25.72	37.05	17.25	21.01	12.55	13.42	11.73	27.25	24.46	19.11	20.71	16.27	18.97	15.8	7.46	31.0	38.95	18.43	13.42	15.22	49.91	20.26	17.25	20.86	18.97	11.13	19.25	9.48	19.68	34.26	24.63	13.42	19.82	12.55	33.78	17.0	16.39	18.56	29.91	9.93	8.51	16.63	26.86	20.41	35.76	25.17	15.11	38.67	17.51	14.89	24.28	13.32	17.9	27.84	26.47	32.13	39.5	46.18	65.72	57.08	87.03	75.64	20.26	32.59	18.84	90.77	180.02	166.73	113.56	102.97	148.09	92.05	74.06	70.01	91.41	137.14	20.11	63.0	28.86	71.0
BMS1	511.0	412.0	260.38	363.56	289.02	258.57	297.17	260.38	299.25	400.71	429.54	389.72	115.97	161.02	195.72	260.38	226.54	173.85	194.36	120.1	202.66	202.66	232.94	231.32	175.07	185.11	209.84	114.36	366.09	187.71	190.34	97.36	154.42	186.4	205.5	202.66	204.07	251.48	226.54	165.57	172.65	148.09	217.27	185.11	217.27	221.86	155.5	228.13	163.28	85.22	144.01	318.57	189.02	144.01	156.59	189.02	149.12	236.21	241.19	215.77	220.32	156.59	163.28	195.72	164.42	176.29	189.02	277.2	314.17	239.52	258.57	389.72	204.07	389.72	438.59	277.2	239.52	212.78	186.4	289.02	228.13	295.11	291.04	241.19	215.77	146.03	209.84	244.57	316.37	178.77	234.57	265.87	271.48
BRCA1	24.28	180.02	267.73	185.11	133.36	141.02	176.29	127.89	318.57	366.09	392.44	244.57	6.16	30.12	29.27	57.49	77.25	63.89	89.51	53.95	60.39	55.1	46.84	66.65	40.07	82.87	37.32	53.57	114.36	80.01	116.78	19.53	52.08	351.14	72.01	43.94	85.82	141.02	48.18	40.64	56.28	27.44	98.04	86.43	67.59	94.01	52.82	70.51	45.21	9.56	41.81	193.01	75.11	38.12	59.13	36.79	35.25	59.13	60.39	87.03	70.51	45.21	26.1	71.0	31.9	73.03	40.36	96.01	142.01	283.05	127.89	111.99	267.73	269.6	547.75	85.22	104.42	142.01	85.22	239.52	426.57	132.44	239.52	320.8	166.73	217.27	101.54	173.85	397.93	55.1	256.78	131.51	147.06
C10orf2	260.38	305.55	293.07	132.44	190.34	201.25	226.54	209.84	507.46	387.02	325.29	426.57	96.68	144.01	150.17	147.06	182.55	120.1	267.73	178.77	173.85	198.47	161.02	157.68	135.24	182.55	201.25	128.79	629.35	273.37	218.79	109.66	187.71	108.9	206.94	183.82	209.84	253.23	191.67	185.11	147.06	193.01	271.48	237.86	267.73	303.44	194.36	264.03	199.85	107.38	232.94	142.01	182.55	156.59	217.27	115.16	75.64	217.27	237.86	172.65	70.01	194.36	289.02	218.79	237.86	157.68	159.9	152.28	199.85	251.48	199.85	406.31	156.59	595.34	463.65	228.13	260.38	113.56	198.47	309.83	206.94	490.14	435.55	221.86	264.03	239.52	151.22	117.6	201.25	67.12	303.44	182.55	260.38
C11orf82	283.05	145.02	85.82	48.52	17.25	8.65	50.27	60.82	163.28	197.09	320.8	559.28	6.46	4.13	5.77	17.51	17.64	14.35	24.11	23.08	4.24	7.57	9.56	13.42	10.08	0.0	1.28	10.39	25.54	22.92	20.11	3.82	12.64	64.34	18.7	16.88	11.13	18.29	10.16	3.47	52.82	7.17	8.78	13.42	19.68	6.16	22.43	14.45	27.25	9.48	10.16	50.63	7.88	7.57	2.94	10.16	14.67	23.93	14.14	9.2	19.39	6.46	12.27	12.0	5.19	8.13	13.52	30.78	42.71	112.77	65.72	27.64	164.42	231.32	194.36	41.22	34.02	44.89	31.0	48.18	293.07	162.14	146.03	117.6	60.82	110.43	38.12	140.04	279.14	8.92	256.78	158.79	80.01
