	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
AACS	253.23	175.07	231.32	137.14	193.01	325.29	343.89	253.23	185.11	212.78	201.25	152.28	154.42	295.11	438.59	476.71	698.41	603.67	325.29	543.96	361.04	595.34	423.61	332.14	438.59	728.11	616.37	356.05	684.02	417.77	603.67	713.11	511.0	718.08	854.13	995.0	450.94	532.74	507.46	808.0	848.22	665.29	417.77	559.28	435.55	633.73	547.75	860.08	400.71	289.02	438.59	397.93	211.31	373.81	591.22	507.46	441.64	417.77	854.13	708.18	435.55	466.88	656.11	842.36	579.04	403.5	287.01	1111.82	1119.56	348.71	759.08	890.44	389.72	466.88	457.25	684.02	441.64	507.46	447.82	429.54	493.56	438.59	607.87	518.15	1583.71	775.05	674.59	698.41	518.15	567.1	2796.65	559.28	387.02	624.99	642.59	595.34	651.58	525.39	848.22	450.94	591.22	688.78	1143.1	583.07	848.22	9025.81	400.71	420.68	1407.55	287.01	579.04	525.39	620.67	698.41	536.45	532.74	579.04	500.46	599.49	341.51	346.29	624.99	651.58	454.09	420.68	454.09	587.13	514.56	579.04	493.56	612.11	616.37	514.56	511.0	954.43	679.29	463.65	579.04	638.15	583.07	497.0	483.38	551.56	583.07	525.39	525.39	518.15	595.34	514.56	447.82	221.86	229.72	251.48	193.01	221.86	0.0	0.26	220.32	212.78	176.29	178.77	153.34	137.14	141.02	208.38	175.07	223.41	202.66	226.54	232.94	406.31	255.0	293.07	182.55	256.78
AC006116.20	16.63	8.92	0.0	6.21	0.0	10.08	0.0	2.68	7.57	15.91	9.56	7.46	0.0	78.34	2.46	13.12	4.1	5.45	7.0	0.99	1.13	4.5	12.55	8.0	39.79	5.41	55.49	26.47	10.88	18.29	4.66	0.0	13.72	5.45	11.73	70.51	1.6	1.71	38.12	7.28	4.39	0.0	1.0	10.96	6.06	0.0	8.78	8.32	2.81	3.38	111.21	1.38	7.22	1.36	115.16	35.5	52.82	3.96	0.0	31.67	8.71	4.24	6.84	0.0	2.66	31.45	12.55	47.5	73.03	44.57	59.55	98.73	47.17	23.93	7.0	84.04	57.08	70.51	40.64	46.18	24.63	28.04	58.3	38.4	41.52	50.98	55.49	125.24	42.41	136.19	81.71	77.79	35.76	127.0	81.71	45.85	127.0	108.14	70.01	24.81	53.57	20.71	40.64	86.43	113.56	32.36	35.0	51.35	51.71	38.95	46.84	33.06	62.56	164.42	13.62	76.17	50.98	165.57	59.55	36.79	35.0	64.34	12.0	70.51	24.46	255.0	43.94	116.78	39.5	34.02	40.36	18.43	36.79	76.71	80.01	29.48	11.3	84.63	145.02	80.57	12.27	37.85	18.03	165.57	293.07	33.78	63.89	36.27	36.53	15.68	13.12	7.22	15.34	61.68	17.13	0.0	0.37	1.77	93.35	50.63	15.8	6.73	41.22	11.47	12.27	0.0	5.54	42.71	17.64	35.0	10.79	13.03	0.0	26.28	64.8
AC007461.1	0.0	0.0	0.0	0.0	0.0	0.0	9.41	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	43.32	0.0	31.67	1.14	12.27	0.0	3.17	18.03	17.13	2.05	0.0	8.58	4.66	4.39	4.21	0.0	2.41	55.1	0.0	2.53	332.14	34.75	8.13	17.38	0.0	9.63	8.45	0.0	1.33	1.08	1.51	3.96	0.0	0.0	16.03	20.56	126.12	32.36	0.0	155.5	4.31	99.43	11.04	98.73	30.12	1.01	7.4	1.01	0.0	46.18	295.11	0.0	14.03	66.65	50.63	218.79	460.44	40.36	53.19	0.0	176.29	8.92	116.78	29.7	39.22	4.1	130.6	214.27	75.11	120.94	248.0	363.56	105.89	183.82	87.65	94.67	267.73	175.07	127.0	217.27	88.88	10.55	129.69	258.57	128.79	88.88	141.02	90.77	93.35	307.69	98.73	4.78	82.87	206.94	75.11	30.12	36.01	98.04	117.6	305.55	193.01	29.27	63.0	241.19	17.38	18.97	264.03	95.34	52.08	47.84	64.34	77.79	120.1	137.14	34.26	187.71	71.0	16.51	39.79	108.14	169.07	34.02	112.77	199.85	56.28	73.03	27.44	47.17	32.36	50.27	82.29	87.03	69.52	55.89	152.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	1.33	0.0	0.0	0.0	0.0
ACPL2	32.82	118.43	76.17	92.7	85.82	187.71	368.65	123.5	100.83	157.68	92.7	93.35	101.54	327.56	120.94	518.15	169.07	363.56	264.03	426.57	316.37	287.01	144.01	283.05	303.44	223.41	466.88	379.04	387.02	293.07	291.04	314.17	376.41	486.75	211.31	521.76	248.0	253.23	176.29	351.14	353.59	239.52	633.73	239.52	341.51	248.0	463.65	258.57	190.34	114.36	486.75	460.44	303.44	329.84	387.02	264.03	400.71	229.72	182.55	379.04	251.48	327.56	435.55	363.56	189.02	490.14	220.32	275.28	301.33	209.84	291.04	351.14	232.94	271.48	68.07	406.31	258.57	384.34	287.01	275.28	149.12	199.85	400.71	366.09	525.39	497.0	518.15	373.81	253.23	348.71	363.56	435.55	307.69	432.53	325.29	363.56	228.13	457.25	432.53	320.8	256.78	409.15	341.51	348.71	332.14	420.68	412.0	303.44	400.71	323.03	323.03	202.66	540.19	414.87	246.28	262.2	493.56	733.19	358.54	242.88	206.94	363.56	273.37	229.72	202.66	429.54	301.33	518.15	221.86	271.48	387.02	269.6	244.57	483.38	327.56	363.56	265.87	275.28	532.74	318.57	314.17	341.51	262.2	397.93	258.57	339.14	202.66	309.83	353.59	248.0	194.36	124.37	130.6	143.01	177.53	0.0	0.59	181.28	327.56	55.89	262.2	262.2	111.21	98.04	127.89	183.82	299.25	389.72	186.4	224.97	258.57	420.68	323.03	521.76	117.6
ACSL3	595.34	915.51	674.59	633.73	447.82	796.86	1008.9	764.36	660.68	854.13	738.29	981.29	693.58	1733.13	1529.73	1225.22	1208.34	2417.67	1721.16	1331.57	3874.05	1674.06	941.27	1242.34	974.5	2240.11	1216.75	1819.35	3039.3	2224.63	1127.35	3847.29	1674.06	2796.65	1721.16	2255.7	1757.34	1216.75	1674.06	1594.73	1143.1	1359.57	2075.59	1143.1	1605.83	1639.59	2209.26	591.22	1605.83	1551.09	1617.0	1059.11	1844.76	2240.11	2224.63	1119.56	1628.26	1096.5	2835.7	1685.71	2664.15	1662.49	2451.44	1794.29	2104.58	1447.15	780.44	3280.18	1487.87	1051.79	2178.83	1561.89	1259.69	1073.91	603.67	2004.85	1001.93	1651.0	1350.18	1781.89	884.29	1233.75	2119.22	1304.15	3982.99	2384.37	2104.58	1477.58	1721.16	1331.57	4181.07	1477.58	1437.15	2303.12	2032.85	1378.57	896.64	1697.45	1909.85	1529.73	1651.0	2018.8	3235.01	1685.71	1870.53	21172.91	1111.82	1331.57	4358.66	1277.29	2018.8	819.3	1950.0	3955.48	1870.53	1909.85	1896.65	3768.09	2502.97	1350.18	995.0	961.07	981.29	1143.1	1037.29	1447.15	2502.97	1322.37	1561.89	1119.56	1733.13	1757.34	2119.22	2720.15	890.44	2075.59	1709.26	1883.54	3901.01	1551.09	2976.74	1844.76	708.18	1745.2	1605.83	1519.15	909.17	1427.22	1617.0	2451.44	587.13	703.28	314.17	341.51	381.68	796.86	226.54	2104.58	813.63	1388.16	579.04	406.31	473.41	563.18	429.54	309.83	591.22	521.76	563.18	559.28	1183.45	503.95	529.06	500.46	595.34
ALDH7A1	353.59	974.5	1350.18	738.29	954.43	988.12	153.34	1733.13	1167.14	1757.34	1286.18	1051.79	1066.48	1781.89	2148.82	2047.0	1208.34	2255.7	1685.71	1427.22	2075.59	1059.11	1508.65	1794.29	1183.45	2319.15	2855.44	1397.83	2451.44	1950.0	1794.29	2178.83	2319.15	599.49	3303.0	4328.55	1561.89	1127.35	1745.2	2400.97	941.27	2178.83	764.36	2875.3	2502.97	1369.04	2271.4	2956.17	2451.44	1628.26	3589.58	1639.59	974.5	2816.11	3491.39	3564.78	2976.74	1662.49	1540.37	1733.13	1769.57	3419.52	2537.92	1806.78	1561.89	2434.5	1073.91	3982.99	3190.46	1923.14	3820.7	3146.52	1896.65	2351.53	1331.57	4869.99	2224.63	3257.52	2367.9	2400.97	2148.82	2047.0	4419.52	2573.36	3349.13	3564.78	3515.68	3794.3	2682.69	3372.43	2485.67	2209.26	1721.16	6207.38	4358.66	3060.45	3257.52	4066.71	4671.57	2163.77	2148.82	4769.75	2701.35	3146.52	3742.05	4512.4	2224.63	2148.82	3665.02	1199.98	4937.99	1674.06	3690.52	5366.37	4095.0	2935.74	4358.66	7642.41	2777.33	2178.83	1950.0	2090.03	2193.99	2720.15	2047.0	7280.4	3820.7	3235.01	2163.77	1617.0	2468.49	2555.58	1963.57	5006.93	2609.3	3419.52	1397.83	3257.52	7642.41	2777.33	2701.35	2287.2	1896.65	6607.01	4704.07	3515.68	1662.49	2935.74	2956.17	3491.39	1685.71	995.0	571.05	555.41	540.19	0.0	0.72	890.44	567.1	356.05	1015.93	647.07	665.29	620.67	603.67	974.5	1540.37	1572.76	1407.55	1519.15	902.89	1551.09	1167.14	6121.9	463.65
ALX4	2.32	0.0	0.03	3.47	1.11	0.0	2.14	0.0	0.88	4.82	0.87	0.44	4.78	27.84	1.53	12.09	1.38	33.06	6.62	8.65	6.11	2.71	1.53	26.47	35.25	2.86	40.64	33.54	35.0	5.87	1.35	0.0	39.22	1.3	11.3	132.44	1.27	0.69	30.78	3.5	162.14	12.0	0.35	4.9	14.14	0.73	3.06	1.31	2.46	13.83	189.02	26.67	6.21	1.35	115.16	67.59	47.17	12.64	6.21	43.94	4.39	0.64	1.27	0.65	1.66	70.01	15.8	145.02	253.23	35.0	201.25	223.41	24.63	123.5	13.12	117.6	61.68	43.32	101.54	44.25	47.84	14.89	147.06	85.82	115.97	283.05	101.54	273.37	59.13	54.72	67.12	49.56	65.72	297.17	169.07	131.51	90.77	161.02	169.07	49.91	53.57	65.26	123.5	65.72	127.0	73.54	62.12	68.07	61.68	25.91	69.52	46.18	277.2	172.65	9.2	82.87	204.07	656.11	89.51	39.5	23.76	46.5	73.54	63.0	28.86	599.49	224.97	201.25	52.82	42.11	155.5	68.07	37.59	239.52	132.44	118.43	9.06	98.04	334.46	108.9	28.86	69.52	118.43	97.36	109.66	73.03	40.36	40.64	126.12	44.89	73.03	0.0	0.91	5.02	1.51	0.0	0.0	0.0	0.27	0.26	0.93	4.66	0.36	0.37	0.83	6.26	17.51	14.03	8.38	4.82	229.72	5.87	8.0	5.92	0.0
ANKK1	2.73	5.68	0.56	13.03	2.78	1.99	0.0	1.79	2.68	4.5	3.92	0.91	8.38	32.59	3.72	11.91	6.21	61.68	1.83	5.73	14.67	2.76	12.93	6.78	34.26	2.29	31.45	11.04	10.47	7.69	0.37	8.19	13.42	3.29	23.76	28.24	3.82	3.41	31.45	2.16	1.93	32.59	2.32	24.46	1.73	9.34	8.99	4.28	5.68	5.82	38.67	7.17	3.53	1.71	38.4	15.8	9.27	1.85	0.42	26.47	9.93	4.03	14.24	3.82	7.34	24.63	1.51	39.79	43.94	24.81	65.26	57.08	35.5	43.94	3.69	56.68	46.18	48.52	35.5	29.48	23.42	21.16	73.54	25.35	52.45	21.63	58.3	28.24	41.81	88.88	34.51	44.57	23.42	52.08	32.82	46.84	29.06	28.04	47.84	23.08	28.86	54.72	54.33	45.85	45.21	17.51	19.53	37.32	55.89	20.71	49.21	22.43	46.18	65.72	48.52	42.41	20.11	39.22	26.47	20.41	8.78	52.82	29.27	59.55	32.82	34.26	48.18	36.27	44.57	55.49	35.76	35.25	19.68	44.57	50.98	55.89	10.55	70.01	39.5	59.13	23.93	17.9	21.32	57.08	105.15	18.56	13.32	76.71	55.49	24.28	1.83	7.11	18.43	0.82	4.13	0.0	0.3	22.75	2.14	11.73	0.0	9.56	3.0	0.46	1.46	8.71	2.53	2.66	9.56	9.34	1.2	4.74	2.53	16.15	1.62
ANKRD30A	0.33	0.99	0.34	0.39	0.0	0.39	0.0	0.0	0.0	0.4	0.0	0.0	0.0	273.37	0.0	1216.75	56.28	1081.39	6.36	0.44	253.23	0.74	3.0	14.56	503.95	507.46	532.74	253.23	836.53	318.57	94.67	616.37	283.05	1225.22	1857.6	490.14	0.0	0.0	98.04	169.07	0.0	201.25	486.75	351.14	204.07	95.34	769.69	389.72	65.26	2.58	197.09	0.0	0.0	109.66	376.41	48.18	555.41	10.16	7.46	476.71	358.54	1.39	441.64	45.21	0.45	420.68	3.59	130.6	46.84	312.0	343.89	356.05	109.66	195.72	1.28	693.58	67.59	587.13	45.53	83.45	7.0	429.54	595.34	215.77	336.79	647.07	759.08	1467.37	107.38	29.91	231.32	62.56	273.37	872.1	1359.57	187.71	40.93	769.69	414.87	603.67	111.21	607.87	460.44	438.59	490.14	791.35	152.28	202.66	447.82	231.32	195.72	22.1	490.14	1030.12	301.33	55.89	3280.18	6250.56	2148.82	307.69	121.79	353.59	45.85	182.55	164.42	26800.01	1407.55	1685.71	555.41	13.93	75.11	38.95	1175.27	2287.2	420.68	3349.13	258.57	2090.03	1051.79	45.85	1733.13	454.09	62.12	6745.86	473.41	854.13	52.45	1721.16	633.73	872.1	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.88	0.89	0.0	0.0
ANKRD30B	0.33	0.0	0.72	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	31.0	3.69	1477.58	61.68	5.45	1.81	7.75	2.23	483.38	780.44	13.12	134.3	172.65	63.45	79.45	157.68	21.32	4.35	1167.14	58.3	6.41	130.6	19.25	60.82	1.38	75.64	31.45	0.99	6.62	69.52	551.56	239.52	0.39	351.14	1.01	67.12	8.99	59.13	0.72	0.36	2.71	96.68	31.9	42.71	3.63	1.22	490.14	6.26	0.96	187.71	12.93	299.25	62.56	2.58	22.92	14.35	27.84	50.63	56.28	36.53	23.93	1.48	126.12	15.56	94.67	12.18	24.99	22.1	35.5	51.71	41.81	48.18	31.0	76.17	105.89	19.25	15.34	36.53	16.51	24.28	336.79	104.42	55.49	18.03	90.77	77.25	40.07	20.26	60.39	59.13	103.69	98.04	95.34	20.71	14.45	47.84	30.34	67.12	3.32	161.02	540.19	23.76	29.91	271.48	3820.7	327.56	136.19	5.77	30.78	9.06	55.49	30.12	802.41	285.03	147.06	34.02	5.15	15.68	24.46	265.87	503.95	59.55	387.02	52.82	141.02	104.42	35.25	142.01	34.26	11.21	954.43	525.39	63.89	1.35	193.01	74.58	134.3	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	1.31	8.0	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.87	0.0	0.85
