	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.6651.01A.21R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZY6K.1326.SM.5GZWP	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	GTEX.11DXX.1226.SM.5GICD	GTEX.144GM.1626.SM.5O9AG	GTEX.QLQ7.1026.SM.447BB
AC096677.1	5.41	48.52	42.71	7.88	4.94	30.34	10.71	2.81	0.0	2.66	6.46	1.31	7.11	6.06	23.59	10.16	8.85	5.02	3.0	4.66	5.02	8.58	2.53	38.95	8.58	25.17	1.48	0.0	16.39	17.9	56.28	3.41	36.79	3.0	16.15	3.89	6.11	50.27	1.39	5.02	5.02	8.65	0.0	22.92	2.73	0.0	24.63	5.77	4.28	4.5	15.11	71.0	3.32	6.31	3.44	0.0	4.58	19.39	7.51	3.72	24.28	3.89	2.92	8.99	7.46	25.91	1.66	11.55	1.55	4.54	10.47	0.72	6.16	22.75	35.0	0.0	11.38	1.57	6.41	30.12	26.67	9.63	23.76	14.56	5.92	0.84	68.55	71.0	46.84	90.77	109.66
ADAM19	94.67	703.28	575.03	120.1	134.3	139.07	100.83	45.21	60.82	66.18	131.51	117.6	102.97	148.09	121.79	167.9	95.34	78.89	74.06	82.29	74.06	84.63	96.01	463.65	69.52	244.57	15.91	76.71	221.86	204.07	244.57	50.98	283.05	82.29	205.5	100.13	68.07	616.37	50.98	102.25	35.0	58.71	112.77	142.01	82.87	69.03	329.84	164.42	155.5	65.26	127.0	432.53	70.01	88.26	44.57	28.86	140.04	100.83	32.36	76.17	218.79	54.33	69.03	120.1	167.9	159.9	76.17	236.21	72.52	98.73	136.19	68.55	83.45	265.87	193.01	37.05	140.04	75.64	88.88	291.04	450.94	161.02	130.6	220.32	75.64	77.79	764.36	559.28	273.37	769.69	297.17
ADAMTS3	1.36	34.26	24.63	2.92	2.29	1.89	2.32	2.51	0.77	2.36	2.53	2.29	2.18	6.26	4.5	3.89	2.07	1.46	1.01	4.82	2.12	2.43	2.23	14.56	3.0	4.39	0.97	2.27	3.99	4.82	5.73	0.67	9.7	0.85	11.91	2.36	1.14	9.13	0.91	2.03	0.84	4.5	4.35	5.28	1.01	0.97	6.21	2.53	2.18	3.06	2.97	5.06	2.29	1.89	2.32	0.73	2.12	4.28	0.39	1.71	3.35	1.38	2.23	2.29	5.19	5.68	2.63	1.45	3.29	0.73	8.19	2.61	1.06	2.2	2.78	0.74	3.32	0.87	0.73	6.94	12.83	3.35	4.28	4.62	1.46	0.75	33.78	49.91	25.17	33.3	30.12
AKAP6	6.94	327.56	140.04	11.47	23.59	36.53	41.22	16.15	5.36	10.39	35.76	19.68	28.65	40.93	37.59	33.3	20.11	12.83	8.51	11.82	15.34	13.93	28.24	142.01	18.16	41.52	11.21	14.56	59.97	94.01	65.26	6.89	83.45	18.56	49.91	32.59	11.73	84.63	13.22	15.11	8.06	21.47	25.54	55.49	7.57	13.62	70.51	24.63	18.7	14.35	45.21	166.73	16.88	4.78	15.0	15.91	16.27	35.5	10.55	17.9	82.87	10.08	11.55	25.72	33.78	69.03	11.91	55.49	12.64	11.47	37.59	7.75	4.54	49.91	60.39	12.64	32.59	12.93	43.94	52.82	75.11	74.06	37.85	75.11	13.12	5.19	403.5	633.73	130.6	269.6	253.23
ALPK3	13.72	305.55	158.79	9.41	10.24	23.93	23.93	3.47	2.41	2.61	19.97	23.76	19.11	27.25	44.57	31.45	16.63	2.89	2.81	5.19	9.13	9.06	16.27	115.16	12.83	43.63	3.82	2.1	30.78	94.01	65.26	4.24	71.0	5.28	74.58	15.68	2.63	84.04	1.69	11.04	2.23	10.16	11.47	22.1	3.53	5.59	49.56	33.06	11.04	6.94	20.11	118.43	5.54	1.81	4.13	1.28	8.06	25.54	6.36	8.99	77.25	4.06	2.18	15.68	31.0	62.56	6.52	41.22	2.41	7.28	17.13	2.73	1.43	62.56	55.1	7.0	45.53	3.63	11.64	71.5	100.13	53.95	19.82	54.72	8.0	3.11	121.79	567.1	503.95	115.16	260.38
AMOTL1	25.17	1242.34	723.08	53.57	73.54	142.01	161.02	39.5	24.28	37.05	105.15	91.41	127.89	241.19	226.54	161.02	100.83	31.9	40.36	41.22	59.97	87.03	98.73	299.25	83.45	277.2	18.56	39.79	195.72	371.22	392.44	36.79	291.04	34.51	255.0	151.22	30.12	595.34	29.48	100.13	29.06	57.49	55.49	194.36	30.78	40.36	432.53	116.78	83.45	62.12	201.25	796.86	38.4	39.5	39.5	19.39	38.4	150.17	30.34	60.82	327.56	30.56	35.25	101.54	143.01	441.64	51.35	214.27	31.67	59.55	151.22	21.63	23.93	314.17	327.56	34.75	241.19	37.05	101.54	334.46	295.11	312.0	134.3	387.02	41.22	21.32	1697.45	1447.15	830.75	1572.76	915.51
ARSI	3.76	143.01	69.03	9.06	9.13	12.27	5.28	2.63	11.47	2.76	18.43	15.45	7.11	12.64	13.93	13.12	3.89	3.23	5.11	5.41	14.35	4.06	10.39	74.58	6.73	41.52	0.84	4.21	22.1	14.45	17.38	4.39	23.59	2.41	24.63	2.12	4.58	46.5	12.64	16.88	4.39	4.78	16.63	15.0	2.78	4.58	33.78	11.21	7.75	3.0	6.89	55.1	2.05	6.11	1.85	3.69	4.86	10.79	3.03	7.63	17.13	1.28	20.86	2.97	13.03	11.47	6.67	14.24	5.63	2.73	23.08	1.04	5.73	13.22	18.56	0.58	20.11	1.87	14.35	32.59	39.22	13.72	5.63	6.73	5.11	2.16	115.97	56.28	75.11	130.6	42.71
ASB2	67.12	2224.63	733.19	229.72	197.09	414.87	305.55	66.65	107.38	90.77	473.41	356.05	356.05	463.65	603.67	363.56	343.89	99.43	73.54	84.04	157.68	154.42	320.8	1498.22	206.94	842.36	37.32	33.54	511.0	688.78	723.08	53.57	1037.29	90.77	688.78	323.03	127.89	718.08	90.77	267.73	41.22	156.59	146.03	518.15	88.88	126.12	1208.34	314.17	376.41	69.03	376.41	1023.0	38.4	111.21	38.12	18.84	198.47	279.14	39.22	185.11	698.41	97.36	115.16	202.66	373.81	607.87	116.78	693.58	61.68	116.78	529.06	70.51	69.03	753.83	703.28	65.26	503.95	111.21	262.2	759.08	896.64	356.05	457.25	759.08	50.98	36.79	2682.69	3467.27	1008.9	1096.5	748.61
BICD2	92.05	651.58	476.71	132.44	96.01	167.9	158.79	92.7	72.01	111.21	171.45	114.36	153.34	170.25	202.66	162.14	129.69	76.71	89.51	93.35	105.89	112.77	127.0	236.21	117.6	202.66	55.89	94.67	144.01	267.73	301.33	78.89	251.48	82.87	199.85	155.5	94.67	301.33	81.71	133.36	81.14	112.77	108.9	177.53	82.87	120.94	285.03	147.06	143.01	116.78	193.01	361.04	96.68	80.01	69.03	73.03	91.41	139.07	74.58	102.97	253.23	91.41	101.54	110.43	139.07	283.05	82.29	191.67	83.45	116.78	170.25	78.89	75.11	265.87	236.21	95.34	197.09	105.15	119.26	242.88	258.57	201.25	189.02	271.48	100.83	69.52	1594.73	934.76	363.56	403.5	348.71
BRD4	547.75	954.43	1127.35	571.05	454.09	555.41	591.22	454.09	332.14	447.82	493.56	450.94	483.38	579.04	536.45	679.29	432.53	466.88	444.72	503.95	514.56	486.75	466.88	813.63	412.0	624.99	368.65	514.56	629.35	603.67	738.29	420.68	514.56	397.93	728.11	500.46	432.53	915.51	412.0	429.54	490.14	555.41	483.38	518.15	575.03	480.04	486.75	559.28	583.07	395.18	460.44	1059.11	384.34	409.15	444.72	423.61	518.15	607.87	493.56	420.68	665.29	420.68	457.25	559.28	511.0	728.11	567.1	555.41	490.14	507.46	575.03	480.04	373.81	769.69	612.11	490.14	679.29	571.05	353.59	642.59	703.28	612.11	738.29	633.73	536.45	348.71	1037.29	1104.13	1008.9	1697.45	1407.55
