	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6744.11A.01R.1858.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.POYW.1226.SM.2XCEP	GTEX.X5EB.0426.SM.46MVY	GTEX.WWYW.0926.SM.3NB2Z	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.145MF.0726.SM.5Q5BT	GTEX.X261.1026.SM.3NMDL	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FHO.1026.SM.5KM1Q	TCGA.33.6737.11A.01R.1820.07
ABCA13	0.0	0.0	0.14	24.28	1104.13	1745.2	53.57	299.25	2915.45	358.54	29.91	178.77	253.23	208.38	133.36	1487.87	1832.01	624.99	1313.23	13.32	1551.09	150.17	896.64	54.33	53.95
ACBD7	1.91	39.79	256.78	4.35	11.55	133.36	0.0	39.79	149.12	44.89	12.27	8.71	30.34	45.53	12.36	123.5	20.56	61.25	29.06	2.36	112.77	14.45	92.05	7.51	14.67
ACY3	0.0	0.0	0.02	5.02	18.43	52.82	0.0	78.34	100.13	90.77	4.7	18.16	25.72	41.22	6.41	52.82	30.34	37.05	161.02	1.58	32.36	15.45	34.51	3.03	13.22
ANKRD18A	0.0	0.0	0.35	4.1	8.19	153.34	0.0	133.36	178.77	45.85	10.79	14.24	57.08	45.85	24.99	78.34	60.39	44.25	91.41	3.89	53.19	7.46	59.97	29.7	4.43
ARHGEF5	125.24	0.0	0.41	339.14	339.14	173.85	104.42	178.77	379.04	237.86	152.28	214.27	490.14	423.61	155.5	490.14	312.0	198.47	412.0	85.22	289.02	575.03	470.14	147.06	175.07
B3GNT3	1.25	0.0	0.0	32.82	189.02	234.57	9.78	180.02	620.67	133.36	21.47	16.75	24.81	41.81	2.16	71.5	126.12	80.01	249.73	3.5	356.05	60.82	215.77	0.0	26.28
B4GALNT3	2.01	0.0	0.32	264.03	679.29	674.59	33.78	518.15	1529.73	329.84	84.04	647.07	409.15	376.41	77.25	780.44	536.45	616.37	866.07	14.67	470.14	688.78	733.19	24.11	110.43
BACE2	466.88	0.0	0.8	571.05	764.36	1594.73	866.07	656.11	2915.45	620.67	860.08	665.29	285.03	368.65	435.55	595.34	2018.8	1437.15	5112.16	651.58	1639.59	567.1	769.69	384.34	723.08
BIK	0.0	180.02	395.18	18.29	309.83	366.09	24.99	237.86	693.58	299.25	53.57	44.89	253.23	124.37	65.72	185.11	368.65	612.11	543.96	45.85	248.0	112.77	151.22	5.06	45.21
BMP15	0.0	0.0	0.0	0.0	1.22	3.41	0.0	4.46	6.57	1.23	0.0	1.57	1.22	0.0	0.0	3.59	3.63	1.62	1.53	0.0	2.86	0.0	2.97	0.0	0.0
BSPRY	2.12	0.0	0.35	218.79	327.56	185.11	45.53	187.71	775.05	189.02	52.08	82.87	336.79	246.28	42.41	525.39	325.29	190.34	825.0	13.32	234.57	503.95	329.84	78.89	157.68
C15orf26	8.51	0.0	0.05	23.76	152.28	381.68	39.79	186.4	466.88	120.1	113.56	80.01	123.5	246.28	41.52	299.25	195.72	212.78	543.96	88.88	277.2	82.29	264.03	61.25	112.77
C22orf42	0.0	0.0	0.0	0.0	0.0	13.93	0.0	5.32	28.24	0.0	0.0	0.0	0.0	0.83	0.0	0.0	1.58	0.93	19.53	0.0	4.54	0.0	0.0	0.0	0.35
C9orf135	0.0	0.0	0.0	37.05	1685.71	3491.39	35.25	1369.04	2777.33	1175.27	127.0	775.05	1030.12	1304.15	429.54	2682.69	3124.78	2319.15	3901.01	142.01	2018.8	595.34	1923.14	64.8	269.6
C9orf9	117.6	0.0	0.0	138.1	642.59	1794.29	118.43	1081.39	1322.37	708.18	239.52	486.75	708.18	559.28	376.41	1268.46	1519.15	738.29	1225.22	146.03	896.64	387.02	791.35	218.79	332.14
CACNG1	0.0	0.0	0.0	2.89	14.56	6.11	5.28	2.66	21.16	2.05	3.2	3.29	5.54	10.31	5.19	8.0	12.83	12.83	26.28	0.79	19.68	2.43	6.46	2.71	2.12
CADM4	70.51	0.0	0.54	142.01	303.44	470.14	79.45	490.14	1096.5	90.77	121.79	239.52	241.19	281.09	197.09	967.76	277.2	429.54	507.46	43.32	343.89	387.02	486.75	93.35	156.59
CASC1	2.39	0.0	0.0	26.28	339.14	688.78	2.92	305.55	651.58	221.86	57.89	208.38	178.77	249.73	137.14	518.15	575.03	376.41	836.53	32.59	511.0	119.26	483.38	35.0	85.82
CBLC	0.0	0.0	0.0	32.59	127.0	76.71	3.66	68.07	336.79	63.0	13.42	39.79	58.3	90.77	18.03	73.54	94.67	129.69	279.14	3.32	100.83	61.25	92.05	10.55	21.78
CCDC113	55.89	0.0	0.0	57.49	283.05	769.69	12.09	444.72	599.49	277.2	76.17	228.13	295.11	341.51	144.01	591.22	521.76	379.04	733.19	68.55	500.46	181.28	441.64	39.79	187.71
CCDC60	0.0	0.0	0.0	15.22	303.44	1023.0	0.0	423.61	848.22	271.48	24.81	253.23	220.32	295.11	86.43	599.49	884.29	511.0	738.29	45.53	486.75	130.6	483.38	29.06	65.26
CCDC67	0.38	0.0	0.0	11.04	16.75	88.88	0.0	40.64	146.03	38.4	6.16	25.91	35.5	58.71	11.91	220.32	68.55	43.32	65.72	4.43	126.12	36.79	63.0	5.28	17.0
CCDC73	0.0	0.0	0.15	0.0	0.66	5.11	0.0	0.91	7.69	1.73	0.06	1.41	2.81	1.6	0.06	5.11	1.45	0.42	1.69	0.0	0.33	0.37	1.75	0.32	1.28
CCDC96	26.47	0.0	0.0	31.22	256.78	547.75	29.48	470.14	563.18	312.0	63.89	176.29	351.14	316.37	122.64	595.34	447.82	356.05	555.41	55.89	480.04	236.21	417.77	49.21	113.56
CCNO	2.2	0.0	0.0	12.74	173.85	325.29	9.06	177.53	579.04	255.0	31.22	94.67	217.27	90.77	80.01	616.37	334.46	211.31	172.65	32.82	503.95	106.63	297.17	30.56	60.39
CDH26	10.39	0.0	0.21	164.42	279.14	1605.83	31.9	878.17	2193.99	373.81	157.68	181.28	423.61	444.72	172.65	1407.55	2061.24	825.0	1551.09	17.64	2133.97	248.0	733.19	19.82	95.34
CEP170B	236.21	0.0	0.83	236.21	587.13	412.0	105.89	444.72	764.36	363.56	351.14	447.82	417.77	273.37	206.94	872.1	379.04	536.45	808.0	127.89	406.31	567.1	329.84	191.67	201.25
CHST6	0.39	0.0	0.0	6.31	100.13	346.29	2.71	226.54	358.54	63.0	12.83	64.8	96.68	47.5	28.24	209.84	108.14	172.65	417.77	14.24	144.01	46.84	132.44	11.38	45.85
CIB1	1427.22	0.0	0.8	2047.0	10154.69	14971.21	1104.13	7857.29	16157.44	5995.9	2061.24	5751.61	4972.34	5076.84	3467.27	9808.75	7081.29	7180.15	14663.09	1322.37	5913.33	3190.46	5366.37	2434.5	2645.74
CLCA4	0.39	0.0	0.0	0.0	11.38	100.13	0.0	1.75	400.71	4.5	9.34	0.51	0.44	6.94	0.0	10.71	85.22	22.92	48.18	0.89	101.54	19.97	1.2	8.71	1.83
CLDN1	5.63	181.28	101.54	98.73	1250.98	2255.7	49.91	454.09	4038.61	1030.12	336.79	651.58	249.73	2255.7	143.01	1950.0	896.64	2485.67	6037.61	46.5	2224.63	1044.52	1127.35	133.36	248.0
CNIH2	2.56	0.0	0.25	4.82	35.5	403.5	6.26	190.34	412.0	108.9	28.04	65.72	100.83	39.5	16.27	186.4	186.4	80.01	299.25	5.54	267.73	44.89	103.69	10.96	30.12
COL17A1	3.63	0.0	0.6	21.16	57.89	723.08	8.78	363.56	1857.6	441.64	12.18	3.86	47.5	7.57	11.64	3.66	18.97	141.02	22.75	14.89	447.82	830.75	68.07	4.1	25.35
CORT	9.93	0.0	0.16	0.0	6.89	8.51	7.63	10.88	16.03	4.7	4.62	0.0	4.21	6.11	4.24	6.11	8.13	6.26	12.27	4.21	9.56	4.1	2.71	7.4	2.73
CST5	0.0	0.0	0.0	69.52	50.63	215.77	44.89	106.63	473.41	220.32	86.43	157.68	59.55	131.51	31.22	133.36	122.64	143.01	23.25	9.63	82.29	111.99	104.42	10.16	34.26
CXCL17	1.28	0.0	0.0	5479.15	16269.83	8718.32	33.3	17317.18	31215.04	10368.08	2627.46	3491.39	14971.21	26431.04	1081.39	13399.51	6250.56	5147.73	32994.92	162.14	25179.16	14663.09	19482.97	490.14	3564.78
DLG3	37.05	0.0	0.53	403.5	511.0	575.03	153.34	473.41	1044.52	529.06	262.2	420.68	559.28	463.65	291.04	392.44	540.19	848.22	974.5	187.71	703.28	348.71	551.56	197.09	269.6
DRC1	0.0	0.0	0.0	33.54	563.18	1447.15	43.32	872.1	1167.14	595.34	112.77	460.44	525.39	718.08	255.0	1159.07	1081.39	909.17	1628.26	74.06	954.43	260.38	954.43	50.63	176.29
DYNLT1	2018.8	0.0	0.99	2701.35	8840.04	9344.14	2520.38	3901.01	19482.97	4704.07	1870.53	2777.33	3614.55	3928.15	2758.13	5441.3	7130.55	5517.27	17804.06	1662.49	6840.04	4543.8	7032.37	1870.53	3212.66
EFNA5	194.36	0.0	0.41	121.79	154.42	157.68	67.12	83.45	341.51	88.88	158.79	68.07	134.3	137.14	48.52	94.67	368.65	63.0	373.81	71.0	339.14	69.52	180.02	34.02	75.64
EPX	0.39	0.0	0.0	0.37	1.08	2.51	0.41	2.66	10.39	0.8	2.48	1.25	2.48	1.68	1.23	5.63	0.73	2.41	2.68	0.25	1.33	2.71	3.0	2.32	0.35
EYA2	320.8	0.0	0.48	71.0	1096.5	2271.4	27.25	728.11	4512.4	507.46	209.84	387.02	201.25	215.77	97.36	1233.75	629.35	470.14	2287.2	6.41	1806.78	121.79	1519.15	7.51	88.88
EZH2	15.8	0.0	0.74	44.57	80.01	49.91	42.41	83.45	169.07	70.01	46.5	67.12	52.82	34.75	37.05	35.0	47.17	181.28	65.72	56.68	49.56	84.63	87.65	88.88	56.28
FAM155B	1.16	0.0	0.2	4.58	3.5	38.95	0.0	17.77	127.0	147.06	0.46	0.0	5.59	1.01	0.46	24.28	13.32	5.11	3.53	3.06	10.47	6.94	12.93	1.69	3.29
FAM163A	1.14	0.0	0.04	0.0	0.72	22.26	0.0	0.68	76.71	0.74	0.0	0.0	6.36	4.39	0.0	2.92	1.55	3.41	0.73	0.66	6.16	0.74	3.14	0.0	0.62
FAM27A	23.08	0.0	0.22	49.91	127.89	521.76	102.25	208.38	507.46	51.35	23.42	138.1	96.01	69.03	21.63	325.29	529.06	190.34	341.51	193.01	48.87	182.55	156.59	204.07	82.87
