	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	TCGA.ET.A2MX.01A.11R.A23N.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A416.01A.11R.A23N.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.KS.A41L.11A.11R.A23N.07	TCGA.ET.A2MX.11C.11R.A23N.07	TCGA.H2.A3RI.11A.11R.A220.07
ABCB10	106.63	159.9	395.18	221.86	269.6	229.72	223.41	293.07	214.27	212.78	223.41	176.29	242.88	232.94	130.6	262.2	108.9	83.45	82.29	91.41	155.5	72.52	100.13	89.51	67.12	97.36	176.29	169.07	195.72
ABCD3	1498.22	1225.22	3540.14	1605.83	1721.16	1529.73	1437.15	1407.55	1331.57	1081.39	1407.55	1225.22	1081.39	1340.84	1617.0	1697.45	403.5	351.14	429.54	483.38	460.44	384.34	414.87	341.51	376.41	389.72	490.14	426.57	543.96
ACADM	4152.18	4671.57	5751.61	5711.87	5954.47	7331.05	5954.47	5954.47	5751.61	3303.0	3874.05	7803.01	4298.64	3081.75	4388.98	8538.88	457.25	389.72	493.56	633.73	1051.79	351.14	441.64	435.55	466.88	656.11	1135.2	1037.29	1167.14
AGL	239.52	420.68	909.17	525.39	514.56	620.67	392.44	503.95	318.57	921.88	514.56	395.18	854.13	819.3	341.51	607.87	68.07	91.41	73.03	164.42	178.77	88.88	154.42	143.01	70.51	147.06	183.82	150.17	163.28
AGPS	173.85	201.25	329.84	145.02	291.04	275.28	156.59	273.37	249.73	151.22	193.01	269.6	218.79	205.5	161.02	309.83	83.45	105.15	60.82	108.9	123.5	101.54	102.97	115.97	57.89	96.68	146.03	110.43	163.28
ALDH7A1	6699.25	8778.97	3820.7	11909.94	8134.41	7180.15	10440.2	8191.0	9474.59	6337.83	6792.79	13492.72	10084.54	4181.07	6561.36	10659.59	1304.15	802.41	1066.48	1096.5	2303.12	607.87	1277.29	738.29	1331.57	1044.52	2119.22	1923.14	2061.24
ANXA6	5219.6	7081.29	1697.45	4066.71	9279.58	6079.61	6079.61	12589.08	6381.92	4095.0	3372.43	7857.29	5112.16	5479.15	4802.93	7081.29	1175.27	1561.89	813.63	2271.4	2384.37	1359.57	2645.74	1457.23	1794.29	2240.11	2682.69	2271.4	2997.45
AP3S2	511.0	341.51	1183.45	351.14	796.86	684.02	435.55	775.05	738.29	674.59	665.29	1066.48	379.04	796.86	642.59	988.12	241.19	273.37	262.2	339.14	551.56	217.27	283.05	232.94	249.73	332.14	563.18	303.44	567.1
BPNT1	563.18	490.14	703.28	403.5	693.58	669.92	417.77	728.11	769.69	595.34	503.95	813.63	624.99	660.68	332.14	688.78	384.34	305.55	305.55	361.04	395.18	301.33	262.2	332.14	237.86	316.37	361.04	346.29	351.14
BTD	2090.03	2777.33	1508.65	2645.74	2485.67	3146.52	2451.44	3982.99	1991.0	1594.73	2047.0	3372.43	3212.66	1407.55	2537.92	3443.31	260.38	267.73	339.14	414.87	429.54	181.28	275.28	289.02	334.46	336.79	438.59	483.38	703.28
