	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.R55C.0626.SM.2TF4Q
AC005003.1	23.42	17.9	16.88	17.0	3.41	8.99	8.78	7.75	6.01	2.97	6.46	8.25	12.09	5.77	5.63	8.58	4.54	3.92	10.0	2.34	8.65	10.39	11.91	14.56	13.93	5.23	8.19	8.45	25.91	9.34	3.59	9.78	14.35	7.17	10.39	4.43	6.36	17.25	6.89	9.48	4.43	1.19	3.38	12.27	16.88	7.34	15.8	8.38	10.47	11.3	9.2	4.78	3.86	8.0	7.17	14.78	6.94	8.45	44.57	5.87	8.99	18.16	11.82	28.86	5.06	8.99	10.39	4.94	27.05	14.67
ANKIB1	543.96	532.74	599.49	249.73	217.27	392.44	242.88	231.32	251.48	171.45	279.14	197.09	361.04	218.79	158.79	327.56	118.43	571.05	255.0	123.5	297.17	264.03	275.28	244.57	279.14	226.54	260.38	293.07	327.56	309.83	121.79	279.14	332.14	253.23	258.57	151.22	136.19	463.65	246.28	201.25	237.86	181.28	175.07	193.01	231.32	209.84	366.09	256.78	229.72	348.71	241.19	195.72	187.71	249.73	246.28	229.72	228.13	170.25	341.51	248.0	316.37	316.37	283.05	438.59	165.57	190.34	191.67	224.97	368.65	559.28
ANKRD46	500.46	525.39	915.51	314.17	164.42	314.17	170.25	194.36	178.77	123.5	193.01	173.85	224.97	178.77	108.14	236.21	83.45	514.56	163.28	127.0	172.65	348.71	211.31	293.07	131.51	138.1	397.93	155.5	255.0	363.56	140.04	409.15	165.57	169.07	228.13	178.77	118.43	145.02	285.03	291.04	198.47	129.69	156.59	218.79	199.85	148.09	406.31	186.4	224.97	211.31	157.68	153.34	132.44	164.42	182.55	140.04	182.55	124.37	273.37	164.42	204.07	202.66	206.94	267.73	127.89	152.28	138.1	153.34	532.74	507.46
ARHGAP32	579.04	450.94	633.73	69.03	84.04	103.69	81.14	105.15	101.54	67.12	129.69	78.34	177.53	98.73	70.51	112.77	58.3	73.03	89.51	58.3	116.78	54.72	100.83	43.32	113.56	84.63	45.21	145.02	82.29	57.89	50.98	43.32	154.42	80.57	117.6	37.59	46.18	127.89	44.89	41.81	58.3	79.45	49.21	70.01	111.21	80.57	46.84	98.04	67.59	120.94	92.05	49.91	37.59	102.25	78.89	97.36	87.03	70.51	41.81	78.34	129.69	98.04	129.69	156.59	69.03	92.7	61.25	69.52	103.69	140.04
ASXL1	808.0	954.43	713.11	669.92	476.71	728.11	387.02	660.68	571.05	403.5	483.38	497.0	775.05	387.02	412.0	941.27	273.37	490.14	638.15	444.72	551.56	395.18	579.04	607.87	830.75	470.14	579.04	642.59	825.0	395.18	379.04	563.18	656.11	500.46	583.07	341.51	341.51	842.36	567.1	265.87	426.57	417.77	466.88	575.03	738.29	400.71	575.03	603.67	603.67	808.0	591.22	371.22	490.14	486.75	423.61	679.29	728.11	529.06	607.87	563.18	559.28	665.29	669.92	890.44	450.94	514.56	470.14	480.04	961.07	579.04
ATXN1L	521.76	521.76	525.39	248.0	159.9	248.0	162.14	180.02	205.5	98.73	193.01	138.1	265.87	150.17	111.99	232.94	100.83	199.85	205.5	108.9	202.66	185.11	223.41	212.78	228.13	182.55	187.71	202.66	309.83	214.27	103.69	206.94	281.09	221.86	215.77	120.94	90.77	293.07	218.79	154.42	124.37	100.13	125.24	195.72	224.97	162.14	244.57	193.01	169.07	316.37	172.65	120.1	123.5	165.57	139.07	169.07	172.65	130.6	269.6	214.27	232.94	279.14	226.54	218.79	113.56	146.03	121.79	142.01	356.05	307.69
ATXN7L3B	1781.89	1745.2	2682.69	1044.52	796.86	921.88	921.88	872.1	718.08	633.73	830.75	743.43	902.89	713.11	718.08	941.27	567.1	1001.93	941.27	607.87	884.29	1008.9	954.43	988.12	808.0	848.22	988.12	780.44	1427.22	981.29	616.37	967.76	981.29	802.41	1167.14	769.69	571.05	941.27	884.29	878.17	698.41	620.67	651.58	941.27	967.76	708.18	1081.39	890.44	1023.0	1208.34	890.44	693.58	674.59	743.43	759.08	679.29	775.05	656.11	1119.56	915.51	860.08	1066.48	1023.0	872.1	579.04	616.37	651.58	848.22	1498.22	1417.35
BAZ1B	796.86	830.75	1277.29	713.11	503.95	665.29	551.56	547.75	563.18	381.68	629.35	503.95	718.08	432.53	368.65	688.78	395.18	743.43	599.49	341.51	679.29	406.31	629.35	435.55	656.11	579.04	497.0	651.58	825.0	457.25	353.59	379.04	769.69	633.73	698.41	441.64	361.04	848.22	525.39	373.81	417.77	379.04	409.15	616.37	607.87	579.04	521.76	638.15	457.25	890.44	555.41	392.44	409.15	486.75	450.94	521.76	547.75	363.56	629.35	563.18	723.08	708.18	728.11	825.0	414.87	490.14	483.38	536.45	620.67	684.02
BMS1	320.8	325.29	363.56	255.0	190.34	258.57	177.53	208.38	228.13	185.11	221.86	191.67	217.27	171.45	151.22	246.28	158.79	202.66	212.78	108.9	215.77	205.5	212.78	182.55	221.86	215.77	215.77	232.94	262.2	212.78	170.25	139.07	271.48	205.5	223.41	161.02	178.77	249.73	164.42	142.01	157.68	144.01	173.85	224.97	205.5	202.66	163.28	208.38	167.9	223.41	190.34	128.79	155.5	167.9	186.4	169.07	199.85	175.07	237.86	185.11	229.72	224.97	244.57	265.87	180.02	189.02	186.4	191.67	228.13	241.19
C11orf63	138.1	165.57	480.04	108.9	50.63	102.25	65.26	77.25	82.29	65.72	71.5	72.52	92.05	64.34	48.52	95.34	49.21	30.12	68.55	47.5	64.8	66.65	66.18	63.89	69.03	57.08	100.13	75.64	85.22	103.69	38.67	63.0	54.72	61.25	71.5	52.08	52.45	70.51	91.41	75.64	56.28	71.5	51.35	59.55	66.18	65.72	85.22	61.25	55.1	84.63	61.25	47.84	68.07	45.53	58.71	50.27	69.52	55.89	92.05	62.56	81.14	74.06	81.71	91.41	50.63	60.39	58.71	49.56	116.78	128.79
