	GTEX.111VG.2226.SM.5N9DU	GTEX.11DXY.2026.SM.5N9CZ	GTEX.145MO.2426.SM.5NQ9W	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.AK.3447.01A.01R.1766.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.DW.7963.01B.11R.A28H.07	GTEX.Q2AG.1126.SM.48U1P	GTEX.145LU.1326.SM.5LU9N	GTEX.13QJC.0726.SM.5RQJK	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.13QJ3.2726.SM.5SI6L	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.11EI6.2426.SM.5PNVS	GTEX.111VG.0526.SM.5N9BW
ABI3BP	1331.57	1051.79	802.41	1277.29	1407.55	514.56	1883.54	113.56	4671.57	2178.83	2018.8	3190.46	2090.03	19.68	12.18	21.32	12.83	32.82	69.52	49.21	59.55	50.98	435.55	1498.22	251.48	480.04	7.94	4419.52	175.07	4481.23	1794.29	759.08	6652.97	2240.11
ABLIM1	1378.57	954.43	1183.45	444.72	1662.49	947.83	1909.85	1073.91	1781.89	2163.77	1733.13	1909.85	2956.17	1119.56	934.76	854.13	14.67	55.49	312.0	85.82	2384.37	161.02	429.54	764.36	167.9	248.0	490.14	3372.43	3060.45	4095.0	1059.11	981.29	1896.65	1313.23
AC079341.1	3.69	3.59	1.38	2.86	1.17	1.25	3.92	0.0	3.76	1.97	0.0	3.5	1.68	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.85	0.0	0.0	7.88	0.0	3.06	1.62	0.0	7.4	0.0
ADD3	2417.67	2090.03	1583.71	1286.18	2855.44	1519.15	3639.7	2032.85	4123.49	2537.92	2104.58	3395.89	3325.99	507.46	525.39	242.88	329.84	371.22	397.93	343.89	764.36	463.65	1242.34	536.45	217.27	381.68	57.49	5791.62	2119.22	5913.33	884.29	518.15	4066.71	1561.89
ANK2	872.1	1119.56	599.49	595.34	1104.13	153.34	1199.98	44.89	1059.11	1001.93	836.53	1191.69	743.43	45.53	43.63	6.73	15.91	7.57	17.77	7.57	84.04	14.56	161.02	111.21	103.69	98.04	0.73	3325.99	52.08	1950.0	351.14	59.13	2468.49	791.35
AP1S2	1088.92	1044.52	759.08	748.61	1250.98	348.71	1175.27	159.9	848.22	866.07	703.28	934.76	620.67	414.87	915.51	339.14	162.14	201.25	607.87	454.09	909.17	444.72	934.76	234.57	246.28	64.8	114.36	2720.15	161.02	1199.98	743.43	301.33	2224.63	486.75
ARHGAP15	743.43	633.73	293.07	473.41	902.89	152.28	503.95	77.25	1030.12	813.63	507.46	728.11	232.94	76.17	47.84	41.22	30.34	12.36	100.13	47.84	113.56	61.68	96.68	114.36	480.04	518.15	115.16	2434.5	52.82	1199.98	262.2	89.51	1572.76	532.74
ARHGAP31	371.22	170.25	253.23	118.43	301.33	98.73	371.22	38.12	152.28	155.5	209.84	186.4	171.45	159.9	53.57	78.34	301.33	178.77	157.68	40.64	136.19	40.07	264.03	90.14	79.45	26.67	13.62	603.67	103.69	521.76	183.82	164.42	529.06	228.13
ARHGEF6	733.19	493.56	511.0	336.79	748.61	157.68	775.05	55.49	620.67	460.44	460.44	457.25	346.29	214.27	61.25	198.47	133.36	204.07	412.0	265.87	48.18	80.57	363.56	113.56	217.27	84.63	36.27	1806.78	131.51	759.08	361.04	157.68	1135.2	406.31
ATP6V1G2	102.25	148.09	162.14	65.26	244.57	32.13	217.27	16.51	79.45	63.89	47.5	120.94	47.17	4.94	7.17	9.13	9.63	3.38	5.68	4.78	16.27	6.57	20.26	5.77	24.46	16.39	5.28	414.87	38.4	217.27	61.68	12.45	204.07	94.67
