	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.U3ZN.0626.SM.3DB7U	GTEX.ZDXO.1326.SM.57WBS	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13QJC.0526.SM.5RQKB	GTEX.13N2G.0826.SM.5IJE6	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11LCK.0426.SM.5A5M8	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.QMRM.0826.SM.3NB33	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU
ANKEF1	101.54	76.71	81.14	67.12	54.72	36.79	87.65	74.06	73.03	69.03	27.64	90.77	64.8	74.58	26.86	60.82	87.65	25.54	63.45	70.51	121.79	17.9	70.51	83.45	8.25	48.52	75.11	71.5	36.79	59.55	35.0	38.12	104.42	116.78	43.94	40.64	78.89	94.67	38.4	28.45	50.27	77.25	76.71	65.72	74.06	70.51	18.97	105.89	81.14	38.95	71.0	94.67	59.97	78.34	63.0	78.34	30.56	88.88	25.72	33.06	70.51	32.82	54.72
ANKRD40	909.17	753.83	1044.52	785.88	995.0	327.56	1015.93	532.74	575.03	967.76	642.59	769.69	660.68	733.19	521.76	571.05	1135.2	329.84	647.07	738.29	1030.12	395.18	791.35	1088.92	334.46	414.87	988.12	651.58	698.41	748.61	417.77	493.56	1037.29	780.44	599.49	665.29	1081.39	642.59	575.03	343.89	575.03	612.11	819.3	796.86	718.08	769.69	518.15	551.56	620.67	551.56	559.28	947.83	633.73	1051.79	728.11	753.83	575.03	693.58	309.83	540.19	1250.98	579.04	379.04
ARID1A	995.0	457.25	1023.0	698.41	591.22	435.55	1008.9	748.61	409.15	1127.35	441.64	723.08	373.81	890.44	633.73	703.28	884.29	490.14	507.46	813.63	961.07	603.67	813.63	1167.14	320.8	567.1	571.05	1081.39	299.25	660.68	651.58	674.59	1096.5	981.29	679.29	967.76	1216.75	1199.98	961.07	551.56	476.71	620.67	780.44	486.75	759.08	872.1	575.03	376.41	921.88	376.41	429.54	1733.13	764.36	1242.34	1447.15	684.02	521.76	848.22	525.39	698.41	1159.07	497.0	518.15
ARMC5	316.37	392.44	236.21	332.14	269.6	176.29	299.25	289.02	366.09	244.57	98.73	242.88	343.89	373.81	87.65	155.5	236.21	76.71	173.85	316.37	212.78	104.42	363.56	444.72	83.45	129.69	159.9	316.37	170.25	265.87	70.01	110.43	341.51	312.0	105.89	76.17	457.25	318.57	111.99	142.01	187.71	186.4	307.69	301.33	409.15	246.28	76.71	260.38	99.43	212.78	242.88	351.14	329.84	236.21	353.59	264.03	92.05	163.28	106.63	101.54	285.03	198.47	141.02
ATXN7L3	679.29	503.95	698.41	769.69	559.28	460.44	723.08	769.69	629.35	1073.91	420.68	638.15	728.11	890.44	392.44	688.78	718.08	353.59	511.0	669.92	612.11	275.28	708.18	1225.22	555.41	381.68	567.1	947.83	450.94	490.14	450.94	476.71	743.43	764.36	381.68	785.88	1199.98	836.53	486.75	412.0	441.64	571.05	1183.45	890.44	915.51	651.58	493.56	420.68	432.53	476.71	536.45	698.41	703.28	974.5	878.17	813.63	314.17	603.67	389.72	587.13	693.58	629.35	334.46
C6orf47	624.99	503.95	555.41	480.04	571.05	395.18	607.87	529.06	563.18	723.08	325.29	555.41	514.56	567.1	301.33	514.56	529.06	193.01	490.14	503.95	463.65	285.03	551.56	567.1	403.5	279.14	529.06	665.29	400.71	507.46	260.38	332.14	579.04	547.75	387.02	368.65	802.41	599.49	318.57	343.89	395.18	429.54	511.0	507.46	647.07	647.07	295.11	447.82	202.66	371.22	400.71	620.67	525.39	595.34	547.75	583.07	246.28	503.95	314.17	387.02	514.56	435.55	255.0
C6orf89	1037.29	796.86	1233.75	808.0	708.18	521.76	836.53	941.27	547.75	1073.91	547.75	961.07	651.58	1127.35	607.87	884.29	961.07	327.56	941.27	808.0	1088.92	669.92	1044.52	759.08	217.27	819.3	1143.1	974.5	819.3	872.1	583.07	785.88	961.07	981.29	1051.79	836.53	1044.52	988.12	791.35	743.43	830.75	915.51	830.75	1001.93	915.51	836.53	555.41	813.63	656.11	769.69	748.61	995.0	780.44	1119.56	728.11	981.29	571.05	1001.93	571.05	591.22	1073.91	759.08	525.39
CAAP1	320.8	460.44	215.77	341.51	244.57	68.55	265.87	236.21	348.71	151.22	204.07	316.37	191.67	223.41	75.11	193.01	368.65	48.87	236.21	159.9	518.15	129.69	316.37	346.29	66.65	157.68	403.5	232.94	154.42	204.07	102.97	143.01	323.03	363.56	242.88	194.36	529.06	518.15	172.65	171.45	148.09	204.07	281.09	232.94	275.28	161.02	83.45	346.29	177.53	99.43	316.37	299.25	329.84	329.84	191.67	320.8	131.51	273.37	144.01	127.0	642.59	136.19	161.02
CDC5L	305.55	318.57	289.02	291.04	255.0	127.0	283.05	275.28	269.6	255.0	226.54	332.14	208.38	301.33	106.63	229.72	334.46	161.02	287.01	314.17	389.72	128.79	295.11	312.0	118.43	169.07	363.56	293.07	223.41	262.2	146.03	189.02	376.41	353.59	109.66	204.07	323.03	299.25	198.47	132.44	244.57	255.0	241.19	281.09	283.05	301.33	111.99	251.48	190.34	172.65	214.27	368.65	229.72	389.72	256.78	309.83	167.9	264.03	150.17	163.28	387.02	186.4	185.11
CEP41	141.02	129.69	101.54	108.14	155.5	67.59	224.97	117.6	148.09	127.89	67.59	217.27	123.5	190.34	39.22	144.01	153.34	101.54	138.1	202.66	325.29	87.03	159.9	218.79	21.94	64.8	156.59	251.48	85.82	139.07	36.53	149.12	241.19	269.6	48.52	92.7	183.82	244.57	90.14	142.01	89.51	279.14	201.25	153.34	152.28	117.6	57.89	204.07	83.45	115.16	114.36	166.73	133.36	246.28	194.36	177.53	85.82	146.03	100.83	60.39	212.78	93.35	133.36
