	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.B0.5096.01A.01R.1420.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.55.1592.01A.01R.0946.07	TCGA.05.4410.01A.21R.1858.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.66.2742.01A.01R.0980.07	TCGA.66.2773.01A.01R.1201.07	TCGA.21.1071.01A.01R.0692.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.WHPG.0226.SM.3NMB9	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.139YR.1226.SM.5IFEU	GTEX.R55C.0626.SM.2TF4Q	GTEX.V955.0426.SM.3GAEL	GTEX.QLQ7.0726.SM.2I5G2
ABCE1	836.53	1030.12	121.79	189.02	638.15	941.27	1081.39	836.53	791.35	1127.35	909.17	796.86	429.54	591.22	444.72	361.04	493.56	514.56	450.94	361.04	587.13	507.46	423.61	490.14	332.14	214.27	460.44	381.68	299.25	406.31	500.46	332.14	373.81	414.87	412.0	473.41	414.87	208.38	371.22	329.84	417.77	543.96	406.31	358.54	470.14	500.46	307.69	303.44	406.31	351.14	353.59	373.81	457.25	432.53	297.17	269.6	450.94	325.29	454.09	583.07	518.15	536.45	351.14	547.75	532.74	497.0	603.67	420.68	384.34	325.29	403.5	500.46	426.57	679.29	414.87	381.68	325.29	454.09	457.25	332.14	389.72	470.14	656.11	414.87	429.54	493.56	470.14	551.56	514.56	660.68	463.65	525.39	466.88	669.92
AHCTF1	624.99	624.99	21.78	36.01	381.68	684.02	660.68	595.34	547.75	567.1	629.35	483.38	358.54	334.46	305.55	297.17	260.38	334.46	426.57	190.34	358.54	299.25	277.2	323.03	201.25	172.65	414.87	275.28	217.27	314.17	366.09	323.03	265.87	356.05	281.09	358.54	432.53	220.32	265.87	301.33	336.79	332.14	242.88	215.77	323.03	373.81	312.0	220.32	224.97	279.14	297.17	341.51	316.37	363.56	208.38	211.31	379.04	320.8	320.8	796.86	279.14	253.23	244.57	316.37	343.89	307.69	400.71	244.57	273.37	256.78	277.2	271.48	267.73	536.45	395.18	260.38	283.05	303.44	348.71	251.48	320.8	353.59	381.68	371.22	256.78	351.14	287.01	371.22	414.87	420.68	555.41	607.87	490.14	599.49
ALG11	113.56	193.01	28.04	29.7	121.79	119.26	158.79	150.17	137.14	135.24	92.7	96.68	98.73	115.16	52.08	67.59	31.9	81.14	151.22	44.57	83.45	66.18	49.21	58.71	42.11	28.86	112.77	67.59	32.13	96.68	112.77	60.82	44.57	88.88	61.25	65.72	65.26	26.86	71.5	38.67	98.04	87.03	40.36	64.34	81.71	98.73	74.06	63.89	36.01	36.01	38.12	97.36	53.57	85.82	36.53	43.32	75.11	63.89	72.52	103.69	93.35	52.82	49.56	77.79	98.73	90.14	116.78	39.5	60.39	34.26	38.4	69.52	46.5	127.0	64.34	57.08	50.63	81.14	98.04	38.4	96.01	78.34	127.89	47.5	37.59	61.25	69.03	172.65	148.09	82.29	228.13	162.14	162.14	285.03
ANGEL2	607.87	934.76	98.04	158.79	423.61	543.96	567.1	454.09	647.07	379.04	470.14	587.13	329.84	287.01	334.46	273.37	214.27	318.57	348.71	187.71	346.29	348.71	279.14	285.03	256.78	155.5	329.84	212.78	224.97	231.32	389.72	314.17	343.89	429.54	237.86	309.83	305.55	204.07	301.33	320.8	316.37	387.02	220.32	258.57	255.0	412.0	273.37	226.54	323.03	244.57	256.78	312.0	381.68	281.09	316.37	220.32	384.34	242.88	275.28	353.59	309.83	177.53	305.55	265.87	343.89	371.22	301.33	379.04	334.46	224.97	264.03	273.37	356.05	529.06	500.46	297.17	336.79	334.46	309.83	218.79	358.54	334.46	356.05	397.93	215.77	256.78	279.14	429.54	368.65	223.41	376.41	507.46	603.67	397.93
ANKRD13C	224.97	285.03	55.1	60.82	283.05	289.02	559.28	242.88	303.44	244.57	152.28	248.0	190.34	231.32	208.38	173.85	140.04	205.5	214.27	145.02	218.79	178.77	183.82	183.82	134.3	83.45	193.01	149.12	102.25	158.79	205.5	129.69	177.53	148.09	151.22	195.72	163.28	123.5	155.5	171.45	190.34	181.28	139.07	134.3	178.77	183.82	177.53	128.79	152.28	125.24	151.22	205.5	175.07	186.4	167.9	143.01	199.85	145.02	171.45	269.6	185.11	116.78	155.5	180.02	204.07	202.66	212.78	195.72	183.82	140.04	151.22	173.85	176.29	295.11	186.4	148.09	161.02	193.01	185.11	152.28	167.9	194.36	234.57	159.9	156.59	180.02	166.73	187.71	229.72	256.78	215.77	249.73	236.21	260.38
ANKRD50	199.85	146.03	31.67	38.12	131.51	165.57	525.39	314.17	199.85	339.14	170.25	214.27	100.83	144.01	108.9	65.72	65.26	117.6	104.42	99.43	135.24	101.54	93.35	81.14	69.52	43.94	73.54	48.87	55.1	65.26	122.64	79.45	112.77	100.83	118.43	83.45	104.42	45.53	124.37	66.65	147.06	61.25	69.03	87.03	153.34	165.57	88.26	72.01	80.57	60.39	80.57	129.69	128.79	135.24	77.79	64.34	147.06	42.71	76.17	137.14	111.21	104.42	69.52	102.97	133.36	100.13	123.5	96.68	127.0	72.01	87.65	113.56	104.42	177.53	111.99	75.11	89.51	127.89	124.37	75.11	131.51	110.43	170.25	107.38	62.56	99.43	113.56	149.12	170.25	76.71	183.82	162.14	185.11	180.02
ARL5A	624.99	1119.56	145.02	256.78	848.22	769.69	902.89	1277.29	902.89	624.99	848.22	836.53	656.11	435.55	423.61	529.06	656.11	476.71	769.69	343.89	450.94	318.57	423.61	332.14	217.27	237.86	490.14	728.11	273.37	708.18	476.71	450.94	329.84	371.22	371.22	896.64	307.69	197.09	363.56	295.11	974.5	785.88	356.05	363.56	409.15	507.46	514.56	551.56	348.71	217.27	351.14	460.44	379.04	384.34	341.51	371.22	358.54	320.8	325.29	591.22	529.06	291.04	291.04	334.46	450.94	463.65	466.88	325.29	339.14	249.73	412.0	435.55	441.64	633.73	368.65	346.29	420.68	409.15	409.15	281.09	547.75	457.25	493.56	334.46	239.52	400.71	420.68	536.45	791.35	1437.15	1111.82	878.17	1030.12	708.18
ARNT	769.69	579.04	285.03	327.56	748.61	595.34	703.28	738.29	921.88	825.0	420.68	460.44	420.68	287.01	423.61	373.81	303.44	447.82	353.59	281.09	412.0	389.72	361.04	444.72	305.55	275.28	273.37	346.29	397.93	334.46	497.0	346.29	403.5	518.15	366.09	314.17	547.75	341.51	476.71	361.04	454.09	483.38	329.84	447.82	450.94	607.87	356.05	242.88	295.11	275.28	348.71	521.76	460.44	371.22	327.56	258.57	486.75	414.87	303.44	595.34	450.94	397.93	361.04	423.61	444.72	493.56	389.72	348.71	432.53	291.04	373.81	336.79	379.04	563.18	624.99	457.25	397.93	417.77	532.74	358.54	426.57	483.38	470.14	555.41	198.47	373.81	379.04	503.95	420.68	583.07	748.61	703.28	536.45	571.05
AZIN1	1191.69	1745.2	503.95	414.87	1551.09	1208.34	1991.0	1832.01	1883.54	2777.33	2047.0	2075.59	1030.12	540.19	884.29	674.59	521.76	988.12	1295.13	620.67	1008.9	764.36	878.17	656.11	612.11	529.06	1015.93	866.07	674.59	896.64	890.44	813.63	698.41	723.08	941.27	954.43	620.67	373.81	728.11	638.15	785.88	921.88	563.18	753.83	1119.56	941.27	941.27	1143.1	703.28	599.49	693.58	830.75	854.13	878.17	688.78	476.71	896.64	866.07	941.27	1199.98	967.76	595.34	633.73	954.43	1015.93	1135.2	1023.0	703.28	743.43	738.29	825.0	836.53	1151.06	1104.13	981.29	785.88	665.29	753.83	995.0	595.34	1208.34	866.07	1167.14	743.43	387.02	974.5	802.41	1081.39	1259.69	1745.2	1540.37	1250.98	1322.37	1313.23
BMS1	267.73	234.57	85.22	120.1	163.28	283.05	400.71	307.69	318.57	234.57	221.86	244.57	255.0	258.57	177.53	182.55	253.23	228.13	256.78	185.11	221.86	191.67	171.45	176.29	151.22	158.79	202.66	165.57	108.9	205.5	212.78	182.55	173.85	221.86	215.77	215.77	248.0	176.29	229.72	171.45	212.78	139.07	161.02	173.85	228.13	249.73	164.42	142.01	157.68	144.01	182.55	195.72	183.82	224.97	177.53	186.4	205.5	205.5	163.28	229.72	162.14	173.85	178.77	198.47	208.38	167.9	281.09	176.29	190.34	128.79	155.5	167.9	186.4	253.23	169.07	205.5	167.9	199.85	198.47	175.07	237.86	185.11	229.72	189.02	157.68	186.4	191.67	198.47	194.36	220.32	217.27	241.19	220.32	244.57
