	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	GTEX.OOBK.2025.SM.3LK5S	GTEX.S3XE.1326.SM.4AD4H	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AJ.A3NC.11A.11R.A22K.07	TCGA.FL.A1YG.11A.12R.A16F.07	GTEX.YFC4.2826.SM.5P9FR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.T2IS.2226.SM.4DM65	GTEX.11ZTS.2326.SM.5EQMY	GTEX.P78B.2526.SM.3P5ZY
ADCY4	228.13	181.28	114.36	84.63	503.95	0.0	73.03	46.18	115.97	157.68	1605.83	669.92	1757.34	1119.56	785.88	775.05	656.11
AKNA	251.48	185.11	212.78	236.21	191.67	0.0	157.68	232.94	134.3	164.42	1250.98	1001.93	1685.71	1594.73	934.76	796.86	1304.15
AL161915.1	25.35	63.45	17.77	17.51	71.0	0.0	26.28	12.18	19.82	30.34	43.63	49.56	171.45	130.6	52.82	73.54	107.38
APLNR	111.21	120.1	87.03	57.89	98.73	0.0	34.51	11.21	11.38	56.68	150.17	143.01	571.05	1199.98	264.03	368.65	224.97
ARAP3	134.3	173.85	96.68	85.22	150.17	0.0	76.17	127.89	41.22	102.97	525.39	320.8	842.36	753.83	483.38	620.67	500.46
ATP8B3	15.8	16.75	16.03	5.96	24.46	0.0	2.81	5.82	3.23	12.27	11.73	58.3	88.26	73.03	22.1	72.52	16.39
ATRNL1	123.5	1242.34	13.83	14.03	36.01	0.0	48.18	31.67	23.08	36.79	154.42	209.84	309.83	363.56	214.27	327.56	208.38
C1QTNF4	36.79	103.69	28.04	21.94	102.25	0.0	6.94	8.58	9.2	23.25	86.43	73.54	156.59	142.01	267.73	92.7	87.65
C1QTNF6	84.63	73.54	165.57	39.22	63.45	0.0	64.8	37.85	36.53	98.73	106.63	228.13	872.1	759.08	587.13	293.07	490.14
C1orf186	47.5	12.36	22.43	35.5	28.65	0.0	19.11	17.38	36.27	50.27	117.6	218.79	1286.18	896.64	1242.34	66.65	444.72
C20orf96	189.02	239.52	212.78	68.07	163.28	129.69	108.9	159.9	90.14	199.85	384.34	403.5	813.63	551.56	753.83	728.11	395.18
C22orf15	32.59	19.25	11.47	4.17	2.53	0.0	17.64	1.16	4.62	16.75	15.45	10.08	140.04	204.07	55.89	47.84	50.98
C2orf81	78.89	112.77	61.25	21.94	25.91	0.0	98.73	57.89	88.88	59.97	153.34	189.02	813.63	825.0	406.31	336.79	802.41
C3orf27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.32	0.0	0.3	0.12
C9orf117	9.85	13.12	5.68	9.34	11.13	0.0	6.73	7.22	4.86	14.45	15.68	21.94	121.79	63.89	58.71	34.75	51.35
CACNB3	476.71	679.29	426.57	466.88	1030.12	0.0	198.47	229.72	84.63	470.14	842.36	1662.49	2555.58	2061.24	2178.83	974.5	2664.15
