	GTEX.WFON.1426.SM.4LVMT	GTEX.147F3.1926.SM.5SIB9	GTEX.X15G.1326.SM.4PQZJ	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.13D11.0826.SM.5KLZJ	GTEX.R55D.1826.SM.48FEF	GTEX.13PL7.2526.SM.5IFGR	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XMK1.1726.SM.4B64Z	GTEX.WOFM.2026.SM.4OOSQ	GTEX.Y3IK.1826.SM.4WWDS	GTEX.Q2AH.1226.SM.48TZL	GTEX.12C56.0626.SM.5EGGC	GTEX.132NY.1226.SM.5PNVF	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.P78B.0926.SM.2I5FA	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	GTEX.QCQG.0526.SM.48U2A	GTEX.WHPG.0426.SM.4M1XW	GTEX.13U4I.2526.SM.5SI8Z	GTEX.POMQ.0826.SM.3P61H
A1CF	599.49	563.18	368.65	656.11	769.69	629.35	688.78	620.67	674.59	693.58	684.02	669.92	583.07	521.76	0.01	1.39	1.38	0.03	0.0	1.19	0.0	0.0	0.04	0.03	2.18	3.11	0.04	0.46	0.0	0.0	0.04	0.0	2.34	0.87	0.0	0.06	0.0	0.0	0.53	1.46	0.45	0.0	0.41	0.0	0.0	0.0	2.89	1.85	0.0	0.53	0.0	0.49	0.0	40.07	33.78	93.35	11.13
ABHD14B	3794.3	3146.52	2645.74	3419.52	3515.68	3257.52	2573.36	2573.36	3190.46	3303.0	3419.52	3901.01	3018.3	3443.31	825.0	2240.11	1208.34	1242.34	2047.0	825.0	1437.15	1977.24	1583.71	941.27	642.59	1498.22	2061.24	954.43	819.3	624.99	1572.76	1519.15	559.28	1407.55	1397.83	1111.82	1540.37	2104.58	2255.7	1977.24	1233.75	1044.52	2018.8	2720.15	1697.45	2664.15	791.35	1199.98	559.28	1551.09	995.0	1143.1	1151.06	2303.12	1963.57	2664.15	1572.76
ACSM3	1388.16	1651.0	1023.0	1447.15	1135.2	1277.29	1498.22	1378.57	1697.45	2004.85	1467.37	1340.84	1794.29	1447.15	66.65	669.92	191.67	356.05	209.84	166.73	713.11	81.71	575.03	314.17	189.02	312.0	187.71	167.9	76.71	105.89	269.6	164.42	59.55	607.87	231.32	47.5	50.63	866.07	1685.71	389.72	332.14	237.86	95.34	435.55	1508.65	669.92	175.07	64.34	123.5	660.68	67.59	93.35	127.89	339.14	232.94	463.65	273.37
ACY1	4095.0	2758.13	2956.17	3564.78	3794.3	4268.94	3372.43	3639.7	3768.09	2875.3	3716.2	3443.31	2664.15	2855.44	514.56	785.88	575.03	327.56	493.56	579.04	412.0	559.28	708.18	155.5	403.5	665.29	587.13	339.14	143.01	323.03	551.56	312.0	241.19	713.11	532.74	289.02	348.71	769.69	808.0	503.95	423.61	293.07	575.03	896.64	1044.52	753.83	239.52	348.71	170.25	447.82	293.07	314.17	220.32	3614.55	2758.13	2417.67	2468.49
ADAP1	2701.35	2209.26	3039.3	2875.3	4010.71	3018.3	2956.17	2664.15	3564.78	3235.01	3081.75	4268.94	2855.44	2351.53	563.18	988.12	381.68	327.56	616.37	703.28	177.53	599.49	915.51	153.34	299.25	1617.0	368.65	120.94	346.29	204.07	688.78	237.86	170.25	759.08	429.54	234.57	283.05	915.51	842.36	476.71	320.8	295.11	708.18	620.67	713.11	2075.59	323.03	183.82	19.39	447.82	127.89	309.83	406.31	909.17	1015.93	620.67	921.88
AGMAT	483.38	450.94	563.18	444.72	624.99	483.38	656.11	457.25	603.67	642.59	454.09	642.59	532.74	503.95	1.83	12.55	0.0	3.11	4.17	17.77	10.96	12.74	3.76	6.36	5.87	8.13	17.13	3.26	1.43	3.17	5.19	4.28	0.88	15.45	9.63	0.44	9.34	3.92	3.5	1.5	7.22	1.39	2.46	9.85	3.99	3.79	1.38	2.51	0.0	1.58	1.35	0.44	4.1	202.66	395.18	138.1	198.47
AKAP1	2018.8	1832.01	1991.0	2240.11	1883.54	1794.29	2104.58	1769.57	1844.76	1923.14	1806.78	1977.24	1388.16	1936.53	251.48	733.19	551.56	316.37	620.67	368.65	454.09	483.38	1030.12	633.73	283.05	536.45	665.29	195.72	320.8	248.0	743.43	265.87	164.42	796.86	289.02	258.57	301.33	591.22	1111.82	698.41	497.0	237.86	591.22	1066.48	555.41	1159.07	256.78	251.48	211.31	511.0	336.79	329.84	921.88	1508.65	1023.0	1208.34	1242.34
AKR7A2	2701.35	2351.53	2104.58	2287.2	2627.46	2224.63	2701.35	2240.11	2555.58	2224.63	2645.74	3349.13	1936.53	2047.0	1066.48	1437.15	1119.56	848.22	1044.52	1037.29	1806.78	1350.18	981.29	890.44	860.08	1721.16	1427.22	769.69	759.08	718.08	988.12	1359.57	466.88	1073.91	954.43	693.58	884.29	1259.69	1359.57	1322.37	1183.45	928.3	1359.57	1508.65	1233.75	1540.37	759.08	656.11	289.02	775.05	638.15	836.53	909.17	2915.45	2224.63	2287.2	1697.45
AMN	8718.32	5594.3	6164.49	10368.08	5183.54	10512.82	11189.6	6079.61	11424.74	6745.86	10014.87	9876.98	4123.49	7081.29	46.5	128.79	115.16	44.89	231.32	47.5	50.63	35.76	579.04	113.56	48.87	39.79	85.82	9.63	109.66	32.59	28.24	5.23	8.25	204.07	18.16	38.4	21.94	111.21	271.48	43.94	64.8	31.0	15.22	329.84	18.97	271.48	26.1	83.45	14.78	84.63	94.67	48.87	115.16	854.13	872.1	764.36	988.12
ANXA4	4607.24	3982.99	5219.6	5183.54	6652.97	4639.29	5555.65	5594.3	6652.97	7966.99	4512.4	5076.84	6935.54	3614.55	2303.12	4038.61	3212.66	3303.0	4639.29	4239.45	2555.58	2739.08	4543.8	3443.31	2163.77	3928.15	4095.0	1508.65	2664.15	2240.11	3146.52	1745.2	1001.93	4769.75	1769.57	3103.19	2451.44	4450.27	4607.24	5594.3	4869.99	2224.63	5954.47	7803.01	6699.25	4869.99	1936.53	7230.1	1977.24	2240.11	3564.78	3491.39	3716.2	7382.04	9540.5	5479.15	7382.04
