	GTEX.P4PP.0526.SM.2HMKE	GTEX.O5YW.0526.SM.2YUMX	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.14E7W.1326.SM.5RQIV	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.POMQ.0526.SM.3GADD	GTEX.Y9LG.0526.SM.4VBRY	GTEX.145LS.1226.SM.5Q5D9	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11ZTS.1226.SM.5EQMQ
ABCF3	738.29	669.92	848.22	1175.27	214.27	1023.0	866.07	438.59	532.74	1096.5	1081.39	947.83	1191.69	325.29	1127.35	314.17
ACTL6A	738.29	555.41	1242.34	890.44	127.89	785.88	327.56	242.88	423.61	915.51	507.46	1127.35	1183.45	277.2	1151.06	271.48
AGAP2-AS1	180.02	130.6	199.85	305.55	56.68	137.14	190.34	37.05	32.82	241.19	185.11	237.86	194.36	44.25	339.14	48.87
AL358333.1	426.57	0.0	267.73	173.85	273.37	309.83	114.36	0.0	0.0	356.05	185.11	291.04	314.17	0.0	242.88	72.52
ALDH1L2	8.06	20.56	46.84	68.55	9.06	72.52	39.22	19.25	24.46	78.34	12.74	95.34	165.57	49.21	39.79	38.67
ALKBH1	228.13	126.12	229.72	153.34	108.9	170.25	150.17	129.69	135.24	226.54	163.28	239.52	177.53	111.99	215.77	114.36
ANAPC5	1225.22	1023.0	1923.14	1685.71	579.04	2163.77	1350.18	665.29	1001.93	1605.83	1745.2	2018.8	1721.16	1225.22	1721.16	743.43
ASB11	2.73	7.22	5.45	3.59	0.0	1.6	0.0	0.0	0.31	2.39	6.36	5.11	4.35	0.68	2.32	0.0
ASTE1	97.36	88.26	171.45	120.94	57.08	156.59	69.03	49.91	111.21	112.77	127.0	181.28	140.04	40.64	108.9	66.18
BOLA3	412.0	406.31	665.29	921.88	400.71	1143.1	536.45	423.61	379.04	860.08	764.36	988.12	2287.2	447.82	785.88	358.54
BTBD10	397.93	429.54	476.71	454.09	255.0	457.25	397.93	173.85	178.77	473.41	320.8	642.59	669.92	253.23	447.82	239.52
