	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.G3.A3CI.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4H6.01A.11R.A251.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.IN.8462.01A.11R.2343.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8244.01A.11R.2343.13	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.13113.0726.SM.5LZUF	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZVP2.1626.SM.5GU5D	GTEX.ZF2S.1426.SM.57WET	GTEX.1122O.1926.SM.5EGIQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.Y8LW.0826.SM.4WWDO	GTEX.S4UY.1626.SM.4AD55	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A45E.01A.11R.A32Y.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
ELF4	23.42	11.82	551.56	92.05	336.79	57.89	603.67	368.65	78.34	98.73	164.42	63.89	46.18	178.77	136.19	89.51	218.79	60.82	239.52	57.89	214.27	109.66	115.97	51.35	172.65	187.71	20.71	18.16	17.25	91.41	14.78	30.78	12.45	40.93	27.84	20.56	15.34	35.25	39.22	46.18	9.93	40.07	15.45	153.34	40.93	12.64	5.45	11.47	26.1	49.91	7.4	31.67	10.79	796.86	791.35	825.0	583.07	511.0	836.53	525.39	620.67	665.29	363.56	780.44	620.67	660.68	483.38	497.0	567.1	327.56	368.65	748.61	332.14	444.72	607.87	543.96	642.59	444.72	525.39	571.05	854.13	473.41	403.5	571.05	241.19	406.31	438.59	447.82	473.41	126.12	195.72	54.33	52.08	90.14	336.79	143.01	267.73	98.04	289.02	115.16	111.99	176.29	47.84
EPHB3	11.47	18.84	764.36	325.29	18.03	91.41	14.89	12.18	187.71	140.04	15.34	38.12	3.44	64.8	3.08	3.5	6.94	6.36	12.09	12.0	1.69	2.92	15.11	220.32	81.71	7.63	2.89	3.06	1.39	20.71	8.92	3.26	22.26	15.68	33.3	5.11	12.36	30.34	30.78	55.89	9.78	37.85	6.46	51.35	54.72	49.91	37.59	4.58	33.78	23.93	12.83	55.49	23.42	226.54	392.44	189.02	518.15	406.31	185.11	708.18	521.76	896.64	447.82	397.93	346.29	102.97	1023.0	127.0	169.07	94.01	204.07	309.83	753.83	1143.1	764.36	995.0	878.17	348.71	802.41	802.41	320.8	1277.29	587.13	860.08	595.34	995.0	974.5	1167.14	872.1	25.54	38.95	19.39	8.38	37.85	29.48	33.54	307.69	15.68	12.36	25.35	22.75	16.51	45.53
EREG	2.61	1.08	1.51	1.77	0.0	0.0	0.47	0.48	0.41	0.13	1.46	0.4	0.0	1.5	26.67	1.51	27.64	1.28	0.0	0.0	0.0	0.0	0.45	0.83	0.0	2.39	0.0	1.39	0.0	5.23	0.0	0.0	2.2	0.0	2.71	0.0	0.56	3.96	0.27	0.0	3.59	0.0	0.97	9.06	0.34	0.0	0.0	0.0	0.0	0.33	0.36	2.07	0.34	22.1	61.25	59.13	1.87	26.28	107.38	10.39	10.55	0.42	31.45	173.85	5.02	18.16	0.19	13.93	0.91	9.93	38.95	7.63	4.1	33.78	0.79	0.0	1.57	1.62	0.0	1.55	5.23	4.21	4.62	1.48	11.21	6.62	2.66	4.98	1.58	0.0	0.0	0.0	0.0	0.0	3.41	0.0	22.59	0.0	1.99	0.0	0.0	0.0	1.45
ETV3	69.52	45.21	152.28	191.67	88.26	112.77	70.51	100.13	162.14	157.68	89.51	88.88	30.34	232.94	102.25	53.57	105.15	84.63	71.5	78.89	77.79	74.06	76.17	78.34	187.71	71.5	167.9	70.01	52.08	119.26	48.52	84.63	63.45	67.12	55.1	39.22	67.59	86.43	84.04	51.35	52.82	64.8	94.01	111.99	98.04	49.91	61.68	73.54	73.54	90.14	57.49	80.01	45.21	208.38	318.57	312.0	199.85	237.86	285.03	242.88	293.07	202.66	117.6	209.84	194.36	228.13	209.84	201.25	182.55	141.02	260.38	193.01	363.56	316.37	187.71	206.94	269.6	215.77	193.01	194.36	273.37	226.54	180.02	205.5	190.34	209.84	212.78	237.86	193.01	119.26	114.36	114.36	100.83	125.24	118.43	158.79	156.59	116.78	77.79	158.79	126.12	89.51	135.24
EXOC1	183.82	137.14	679.29	301.33	351.14	283.05	301.33	406.31	343.89	283.05	406.31	356.05	142.01	368.65	447.82	237.86	447.82	312.0	262.2	339.14	403.5	287.01	281.09	314.17	323.03	262.2	255.0	158.79	170.25	267.73	140.04	177.53	120.94	127.0	163.28	44.57	113.56	152.28	220.32	134.3	162.14	132.44	122.64	221.86	244.57	110.43	110.43	201.25	316.37	167.9	90.77	155.5	116.78	688.78	493.56	493.56	674.59	493.56	633.73	532.74	660.68	698.41	412.0	470.14	466.88	785.88	493.56	660.68	748.61	480.04	503.95	607.87	497.0	318.57	249.73	470.14	486.75	441.64	371.22	591.22	514.56	547.75	371.22	656.11	351.14	423.61	607.87	555.41	540.19	547.75	264.03	529.06	346.29	403.5	373.81	460.44	466.88	320.8	379.04	503.95	323.03	312.0	412.0
EZR	1088.92	884.29	3794.3	954.43	1923.14	4450.27	2520.38	2018.8	3820.7	11584.24	1936.53	3190.46	934.76	5366.37	12329.98	11745.96	16045.82	8191.0	5633.22	7749.1	3847.29	8305.36	8134.41	5751.61	3665.02	15180.22	303.44	599.49	1088.92	1359.57	115.97	961.07	633.73	1340.84	620.67	607.87	1081.39	954.43	493.56	406.31	1015.93	293.07	476.71	607.87	476.71	476.71	332.14	507.46	703.28	435.55	728.11	575.03	420.68	6381.92	3901.01	6337.83	4972.34	8247.98	8901.53	2976.74	6840.04	4802.93	2835.7	15824.9	3820.7	4123.49	3901.01	5183.54	2319.15	2855.44	5112.16	9215.48	3168.41	10225.32	8363.13	5995.9	6164.49	7695.57	7382.04	7911.95	6426.31	5711.87	6164.49	6381.92	5995.9	4575.41	4869.99	8538.88	5831.91	4769.75	4388.98	2287.2	2627.46	1417.35	2163.77	2119.22	2758.13	3614.55	5006.93	3303.0	1477.58	6079.61	974.5
F11R	1096.5	1135.2	1561.89	698.41	825.0	1001.93	457.25	406.31	1561.89	2163.77	447.82	860.08	373.81	1417.35	1561.89	928.3	995.0	947.83	819.3	954.43	1104.13	1259.69	775.05	307.69	2384.37	1023.0	429.54	884.29	884.29	988.12	1268.46	813.63	896.64	1175.27	1407.55	1088.92	1119.56	1286.18	825.0	518.15	1127.35	426.57	961.07	1059.11	660.68	981.29	708.18	665.29	624.99	1183.45	830.75	723.08	802.41	1936.53	1832.01	3443.31	1286.18	1794.29	2224.63	5913.33	1397.83	1721.16	1051.79	1119.56	2255.7	3235.01	2485.67	2090.03	743.43	1769.57	2451.44	1781.89	2591.27	3190.46	2468.49	2287.2	1991.0	1857.6	1844.76	2090.03	2367.9	1745.2	1639.59	1819.35	1331.57	1639.59	1651.0	1769.57	1819.35	780.44	954.43	733.19	1088.92	1008.9	591.22	1225.22	1286.18	802.41	1225.22	723.08	1250.98	1551.09	1639.59
FAM196A	0.0	0.0	3.59	0.66	2.89	2.94	11.3	3.79	1.22	1.85	4.35	3.59	0.78	2.01	0.39	0.51	1.17	7.22	0.0	0.0	0.0	0.0	0.45	0.82	0.85	0.0	0.0	0.0	0.0	7.34	0.0	0.0	0.0	0.67	0.0	0.0	0.68	0.77	0.38	0.0	0.46	0.82	0.43	0.84	0.46	0.0	1.04	0.79	0.88	0.08	0.48	1.38	1.2	4.1	14.03	4.82	8.25	7.17	3.08	5.06	1.17	0.91	2.03	1.97	2.12	3.96	7.0	1.55	2.66	6.31	2.36	5.02	2.29	2.43	1.46	1.89	5.96	1.62	3.69	6.57	9.56	1.64	1.81	5.45	7.34	6.26	12.0	4.43	0.32	1.5	6.78	0.0	0.95	0.0	8.06	1.99	4.82	0.95	0.99	1.62	0.97	15.34	3.11
FAR1	25.54	30.78	693.58	273.37	226.54	100.13	341.51	463.65	236.21	229.72	629.35	384.34	171.45	343.89	547.75	124.37	299.25	218.79	162.14	209.84	198.47	136.19	191.67	178.77	241.19	212.78	47.84	32.13	58.3	189.02	16.15	47.17	24.99	38.67	55.49	9.56	27.25	59.55	71.5	11.64	23.42	14.67	32.82	96.68	63.0	22.59	9.13	16.63	52.45	51.71	13.03	45.21	15.11	1369.04	547.75	1909.85	802.41	1051.79	988.12	890.44	1437.15	2335.28	309.83	848.22	819.3	941.27	688.78	961.07	633.73	392.44	1104.13	981.29	679.29	595.34	603.67	1051.79	616.37	995.0	693.58	1151.06	2119.22	1023.0	759.08	1417.35	536.45	486.75	1277.29	866.07	1127.35	353.59	287.01	376.41	368.65	323.03	283.05	307.69	249.73	312.0	480.04	301.33	244.57	281.09	226.54
FHL2	426.57	140.04	1208.34	4607.24	301.33	59.55	124.37	209.84	105.15	224.97	289.02	115.16	185.11	718.08	1175.27	961.07	463.65	511.0	872.1	679.29	1551.09	1044.52	974.5	301.33	3060.45	1322.37	78.34	95.34	518.15	854.13	314.17	191.67	117.6	395.18	162.14	674.59	133.36	974.5	141.02	84.63	909.17	49.56	358.54	221.86	244.57	90.77	50.98	90.77	332.14	241.19	103.69	162.14	332.14	3639.7	2758.13	1991.0	1437.15	2935.74	3614.55	2520.38	3639.7	4802.93	2303.12	2591.27	3665.02	1477.58	866.07	2104.58	3874.05	4388.98	2855.44	2209.26	3540.14	3515.68	3235.01	1498.22	2645.74	1119.56	1457.23	2148.82	3257.52	1487.87	1023.0	2178.83	928.3	2018.8	1674.06	1447.15	2104.58	1259.69	2816.11	351.14	356.05	320.8	759.08	267.73	551.56	796.86	182.55	665.29	232.94	1259.69	139.07
