	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.G3.A3CI.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4H6.01A.11R.A251.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.IN.8462.01A.11R.2343.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8244.01A.11R.2343.13	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.13113.0726.SM.5LZUF	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZVP2.1626.SM.5GU5D	GTEX.ZF2S.1426.SM.57WET	GTEX.1122O.1926.SM.5EGIQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.Y8LW.0826.SM.4WWDO	GTEX.S4UY.1626.SM.4AD55	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A45E.01A.11R.A32Y.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
FOSL1	3.17	3.99	19.68	39.79	73.03	51.71	12.64	42.71	13.32	11.21	24.11	13.93	0.0	45.21	105.89	49.21	49.56	52.08	134.3	24.99	204.07	23.76	97.36	14.24	54.33	85.22	9.27	17.9	12.74	64.8	1.71	115.16	2.43	6.78	5.59	61.68	22.1	73.03	21.01	8.65	8.06	13.12	15.91	14.45	8.0	22.43	6.36	0.0	16.88	18.03	8.19	25.35	0.0	262.2	460.44	241.19	93.35	205.5	753.83	47.5	329.84	97.36	791.35	10512.82	147.06	226.54	64.8	426.57	72.01	105.89	387.02	224.97	150.17	521.76	12.55	36.79	84.04	44.57	60.82	78.89	144.01	22.26	279.14	68.07	77.79	205.5	47.17	295.11	48.52	29.48	34.02	10.47	30.34	38.67	53.95	41.22	153.34	37.59	11.55	34.26	52.08	43.32	94.67
FOXJ2	82.29	64.34	167.9	287.01	156.59	138.1	98.73	138.1	220.32	89.51	133.36	106.63	32.13	208.38	126.12	66.65	145.02	105.89	104.42	53.19	98.04	70.51	98.04	87.03	127.0	133.36	119.26	57.49	65.72	105.15	71.0	53.95	64.34	74.58	85.82	60.82	70.51	64.34	69.52	48.87	88.26	73.54	77.25	111.99	105.89	54.72	85.82	64.34	80.01	84.63	46.84	65.72	56.68	314.17	291.04	255.0	289.02	172.65	229.72	624.99	320.8	214.27	158.79	205.5	229.72	285.03	295.11	209.84	241.19	201.25	281.09	279.14	199.85	234.57	208.38	327.56	177.53	226.54	158.79	242.88	267.73	320.8	246.28	412.0	142.01	287.01	253.23	255.0	215.77	151.22	125.24	187.71	164.42	201.25	172.65	211.31	215.77	201.25	128.79	239.52	162.14	130.6	208.38
FOXK2	189.02	164.42	406.31	483.38	255.0	412.0	314.17	195.72	493.56	316.37	258.57	438.59	40.07	356.05	426.57	414.87	371.22	332.14	438.59	361.04	457.25	363.56	486.75	318.57	381.68	397.93	242.88	226.54	339.14	341.51	175.07	271.48	127.0	118.43	130.6	127.89	133.36	285.03	205.5	285.03	249.73	234.57	197.09	228.13	167.9	154.42	208.38	159.9	140.04	214.27	159.9	146.03	201.25	571.05	954.43	743.43	587.13	563.18	525.39	638.15	473.41	921.88	624.99	490.14	624.99	775.05	802.41	759.08	368.65	521.76	743.43	591.22	708.18	409.15	417.77	638.15	483.38	447.82	476.71	669.92	563.18	392.44	595.34	563.18	417.77	571.05	511.0	624.99	387.02	633.73	536.45	500.46	444.72	420.68	423.61	571.05	409.15	567.1	591.22	547.75	395.18	297.17	529.06
FUT1	5.82	6.31	15.56	45.53	146.03	40.93	176.29	34.75	92.7	42.11	100.13	12.83	81.71	54.33	2.36	10.08	2.39	6.46	7.75	2.56	1.31	1.87	7.28	25.35	59.55	6.78	46.84	9.7	16.75	46.18	6.94	18.97	6.11	8.25	8.38	9.48	16.75	8.99	14.03	15.22	2.14	8.71	5.54	10.39	9.41	10.0	5.11	3.79	7.4	5.63	4.54	15.56	2.56	28.04	158.79	65.26	175.07	1233.75	50.27	115.16	435.55	124.37	53.57	133.36	26.28	32.13	271.48	51.71	28.04	44.57	43.63	28.24	12.55	161.02	518.15	111.21	120.1	114.36	150.17	68.07	91.41	175.07	214.27	92.7	133.36	92.05	137.14	155.5	223.41	172.65	417.77	125.24	94.67	87.65	57.89	92.05	42.71	166.73	171.45	208.38	98.73	185.11	67.12
GALNT7	18.84	6.73	836.53	406.31	155.5	103.69	69.52	198.47	115.16	180.02	165.57	78.89	5.02	224.97	480.04	98.73	358.54	115.97	172.65	141.02	305.55	116.78	162.14	92.05	303.44	305.55	18.43	18.03	14.45	163.28	7.4	34.26	13.32	17.51	16.39	6.94	11.47	36.53	35.5	12.0	7.4	8.25	4.94	77.25	21.94	8.92	35.5	9.34	21.16	19.82	5.82	19.25	20.26	1088.92	941.27	1331.57	486.75	420.68	1519.15	1044.52	1313.23	3303.0	563.18	988.12	2163.77	397.93	813.63	1551.09	1066.48	441.64	764.36	2018.8	825.0	860.08	563.18	753.83	830.75	693.58	438.59	708.18	1030.12	1008.9	500.46	1044.52	291.04	463.65	961.07	629.35	483.38	119.26	183.82	279.14	473.41	567.1	269.6	808.0	915.51	162.14	371.22	289.02	426.57	329.84	559.28
GAN	11.3	11.21	44.89	24.11	15.45	10.71	14.56	6.67	13.83	7.94	10.71	14.03	1.95	15.56	28.24	10.55	26.1	20.11	14.03	6.73	12.36	20.26	12.18	9.06	18.84	19.68	10.31	13.62	10.08	26.1	8.38	12.83	8.0	7.94	10.47	3.96	6.26	10.47	5.41	4.74	11.55	11.38	8.71	14.78	11.91	6.01	7.34	3.35	8.65	13.32	5.15	8.32	9.2	111.99	65.26	108.9	50.98	90.14	92.05	77.25	60.82	98.04	50.27	102.97	95.34	67.59	66.65	54.33	57.08	109.66	106.63	107.38	87.03	130.6	30.56	51.71	30.12	37.85	18.03	55.49	74.58	80.01	47.17	49.91	22.59	32.13	40.36	38.4	40.36	30.56	26.1	23.76	11.91	20.11	15.34	16.15	14.35	31.45	21.63	39.22	14.24	23.08	16.51
GATAD2A	420.68	314.17	698.41	381.68	583.07	733.19	607.87	693.58	1233.75	543.96	563.18	679.29	65.26	603.67	633.73	536.45	583.07	525.39	651.58	1216.75	638.15	854.13	599.49	674.59	902.89	684.02	420.68	373.81	299.25	688.78	403.5	435.55	341.51	392.44	265.87	389.72	392.44	327.56	336.79	371.22	363.56	392.44	312.0	373.81	265.87	273.37	480.04	223.41	279.14	412.0	299.25	265.87	264.03	1561.89	1313.23	1191.69	1183.45	981.29	1397.83	1015.93	884.29	1605.83	723.08	967.76	848.22	753.83	1277.29	1088.92	866.07	854.13	1369.04	1572.76	1259.69	1487.87	713.11	769.69	825.0	473.41	543.96	620.67	878.17	591.22	813.63	616.37	543.96	941.27	665.29	759.08	638.15	825.0	796.86	587.13	559.28	493.56	647.07	688.78	638.15	567.1	656.11	764.36	555.41	785.88	551.56
GMEB2	102.25	88.26	224.97	148.09	156.59	140.04	206.94	198.47	154.42	106.63	209.84	124.37	38.4	108.14	176.29	98.73	154.42	162.14	136.19	119.26	105.89	94.67	98.73	142.01	149.12	93.35	201.25	124.37	101.54	113.56	127.0	136.19	77.79	94.01	86.43	106.63	77.25	90.77	123.5	105.15	69.52	108.14	109.66	110.43	126.12	61.25	106.63	79.45	78.89	100.13	94.67	72.01	100.13	249.73	332.14	157.68	246.28	232.94	189.02	305.55	164.42	206.94	305.55	194.36	173.85	214.27	212.78	351.14	164.42	209.84	194.36	253.23	255.0	251.48	145.02	164.42	147.06	115.97	157.68	139.07	177.53	156.59	180.02	165.57	155.5	176.29	205.5	194.36	234.57	198.47	171.45	384.34	265.87	334.46	285.03	267.73	151.22	366.09	191.67	343.89	348.71	206.94	303.44
GMIP	43.32	43.63	559.28	84.63	80.01	78.34	262.2	101.54	95.34	63.0	55.1	130.6	24.11	62.12	220.32	53.19	293.07	78.34	309.83	137.14	141.02	161.02	181.28	137.14	191.67	181.28	81.71	35.76	36.79	176.29	23.93	76.71	35.25	101.54	61.25	64.8	45.85	63.45	57.89	47.84	25.54	46.5	18.7	128.79	39.79	26.28	38.67	56.28	42.41	53.95	25.17	32.82	22.43	854.13	379.04	703.28	974.5	384.34	665.29	361.04	698.41	486.75	339.14	318.57	738.29	316.37	432.53	466.88	384.34	387.02	397.93	825.0	318.57	426.57	444.72	356.05	426.57	314.17	320.8	426.57	651.58	414.87	293.07	529.06	212.78	237.86	329.84	351.14	353.59	127.89	165.57	177.53	163.28	166.73	514.56	205.5	186.4	134.3	161.02	316.37	205.5	167.9	220.32
GNL3	842.36	529.06	1378.57	808.0	460.44	384.34	379.04	1001.93	409.15	334.46	769.69	638.15	287.01	500.46	1477.58	563.18	753.83	607.87	454.09	902.89	1175.27	1519.15	503.95	769.69	665.29	1111.82	2133.97	633.73	1066.48	1651.0	728.11	791.35	698.41	902.89	718.08	253.23	860.08	836.53	642.59	830.75	470.14	836.53	603.67	723.08	460.44	473.41	753.83	473.41	665.29	1015.93	607.87	656.11	616.37	2209.26	656.11	1259.69	1819.35	1896.65	1417.35	1088.92	2047.0	3235.01	1794.29	1467.37	2796.65	1923.14	1963.57	1407.55	1794.29	1073.91	1819.35	2384.37	1857.6	1950.0	915.51	791.35	1359.57	665.29	708.18	679.29	1104.13	866.07	1175.27	921.88	928.3	819.3	698.41	1044.52	825.0	688.78	854.13	802.41	1059.11	791.35	1304.15	915.51	1662.49	928.3	1051.79	1378.57	642.59	848.22	791.35
GTPBP1	320.8	197.09	463.65	493.56	223.41	275.28	616.37	361.04	295.11	327.56	356.05	218.79	97.36	507.46	426.57	224.97	305.55	309.83	228.13	251.48	197.09	258.57	271.48	197.09	420.68	244.57	251.48	134.3	133.36	229.72	109.66	220.32	191.67	264.03	194.36	239.52	171.45	169.07	172.65	157.68	251.48	198.47	151.22	176.29	251.48	162.14	195.72	221.86	211.31	180.02	199.85	232.94	105.89	961.07	764.36	921.88	753.83	426.57	954.43	620.67	854.13	438.59	493.56	708.18	567.1	633.73	518.15	642.59	679.29	647.07	866.07	902.89	642.59	660.68	420.68	633.73	633.73	486.75	511.0	591.22	860.08	647.07	571.05	536.45	412.0	684.02	543.96	651.58	688.78	381.68	444.72	356.05	532.74	583.07	819.3	368.65	392.44	454.09	334.46	620.67	642.59	191.67	327.56
HBEGF	25.35	31.0	162.14	201.25	373.81	54.33	94.67	438.59	50.63	149.12	121.79	89.51	24.81	679.29	55.49	30.34	129.69	41.22	128.79	57.89	15.56	58.71	60.82	183.82	102.25	66.65	58.3	43.32	77.25	376.41	21.78	117.6	36.27	30.12	34.02	51.35	106.63	95.34	115.16	41.52	50.63	45.53	61.68	126.12	41.52	47.84	31.0	44.89	63.45	87.65	41.81	70.51	42.11	353.59	769.69	486.75	299.25	497.0	1844.76	860.08	500.46	339.14	323.03	1498.22	417.77	368.65	202.66	780.44	217.27	432.53	368.65	334.46	127.89	353.59	307.69	583.07	466.88	457.25	571.05	591.22	514.56	808.0	381.68	314.17	521.76	231.32	432.53	536.45	351.14	497.0	1059.11	112.77	543.96	223.41	92.05	239.52	563.18	336.79	197.09	204.07	293.07	567.1	547.75
HELZ2	234.57	237.86	400.71	146.03	78.34	93.35	379.04	185.11	154.42	115.97	118.43	43.94	12.09	135.24	186.4	264.03	169.07	289.02	134.3	221.86	269.6	260.38	84.63	133.36	417.77	127.0	269.6	158.79	199.85	145.02	147.06	214.27	98.04	215.77	172.65	181.28	71.5	98.73	258.57	267.73	154.42	145.02	59.97	183.82	113.56	119.26	234.57	127.0	83.45	163.28	165.57	77.25	124.37	1015.93	2104.58	1477.58	860.08	819.3	551.56	884.29	563.18	669.92	1477.58	612.11	660.68	441.64	748.61	1437.15	368.65	860.08	1529.73	1313.23	376.41	1051.79	514.56	450.94	743.43	318.57	397.93	406.31	713.11	358.54	463.65	460.44	214.27	409.15	463.65	665.29	616.37	197.09	144.01	141.02	156.59	183.82	417.77	164.42	151.22	107.38	221.86	136.19	195.72	142.01	218.79
HID1	80.57	70.01	1096.5	1277.29	135.24	161.02	346.29	149.12	262.2	128.79	173.85	307.69	47.84	249.73	348.71	77.79	193.01	129.69	171.45	144.01	144.01	38.95	94.01	128.79	583.07	204.07	28.65	51.71	142.01	170.25	48.18	190.34	66.18	108.9	62.12	82.87	95.34	64.8	66.65	22.26	14.24	31.45	18.43	137.14	241.19	75.11	19.39	29.48	180.02	387.02	45.21	31.9	11.82	5006.93	2193.99	1467.37	1044.52	1991.0	2895.31	4769.75	2835.7	5872.48	1977.24	947.83	5041.77	5517.27	3235.01	2956.17	764.36	1427.22	2485.67	3639.7	3146.52	2682.69	3124.78	1628.26	2032.85	1662.49	1594.73	2075.59	1794.29	1781.89	2018.8	2417.67	1427.22	1605.83	2434.5	2537.92	1674.06	248.0	220.32	423.61	665.29	890.44	733.19	500.46	255.0	679.29	392.44	780.44	703.28	332.14	361.04
HIPK1	289.02	158.79	287.01	466.88	285.03	312.0	201.25	236.21	612.11	450.94	234.57	403.5	45.85	743.43	334.46	228.13	312.0	236.21	291.04	267.73	231.32	224.97	329.84	169.07	466.88	305.55	223.41	248.0	166.73	248.0	226.54	237.86	108.9	224.97	172.65	161.02	133.36	214.27	190.34	148.09	223.41	234.57	403.5	320.8	120.1	167.9	277.2	108.14	204.07	277.2	151.22	269.6	214.27	884.29	651.58	493.56	607.87	291.04	624.99	417.77	651.58	698.41	536.45	444.72	583.07	902.89	624.99	616.37	480.04	444.72	703.28	669.92	483.38	295.11	363.56	341.51	397.93	303.44	265.87	371.22	325.29	336.79	460.44	432.53	376.41	567.1	320.8	514.56	339.14	511.0	361.04	559.28	500.46	525.39	397.93	684.02	325.29	417.77	316.37	563.18	444.72	277.2	493.56
HR	5.28	10.08	961.07	156.59	3.44	2.25	8.06	4.31	2.07	9.27	4.43	1.64	0.0	41.52	38.67	7.57	21.94	4.31	6.84	1.71	3.44	2.63	7.28	13.12	9.48	1.0	2.86	3.03	1.33	12.74	5.41	6.16	7.51	9.7	11.82	6.26	7.63	29.7	2.89	31.22	9.48	40.07	11.13	14.45	28.86	1.77	10.79	1.06	9.85	11.73	16.51	19.82	5.36	638.15	563.18	234.57	387.02	358.54	529.06	176.29	291.04	1757.34	595.34	287.01	463.65	226.54	432.53	381.68	291.04	246.28	532.74	780.44	532.74	540.19	361.04	503.95	599.49	325.29	187.71	470.14	688.78	255.0	173.85	988.12	50.98	120.94	299.25	307.69	172.65	6.62	28.24	32.59	37.59	23.93	43.32	31.45	98.04	43.63	13.32	62.12	41.81	10.71	27.44
HUWE1	819.3	753.83	1127.35	1896.65	764.36	902.89	995.0	1259.69	1059.11	1369.04	1407.55	785.88	201.25	1508.65	1277.29	848.22	1111.82	854.13	1088.92	995.0	995.0	896.64	1001.93	988.12	1268.46	860.08	896.64	791.35	555.41	1191.69	674.59	860.08	660.68	708.18	825.0	571.05	665.29	703.28	665.29	547.75	848.22	775.05	612.11	830.75	1059.11	679.29	575.03	753.83	848.22	813.63	842.36	684.02	483.38	2209.26	2075.59	2193.99	2224.63	1175.27	1583.71	2133.97	1870.53	1561.89	1583.71	1583.71	1991.0	1991.0	2224.63	2609.3	1857.6	1427.22	2061.24	2303.12	1844.76	1674.06	1250.98	1806.78	1733.13	1674.06	1199.98	1950.0	1794.29	1844.76	1857.6	2004.85	1159.07	1769.57	1572.76	2148.82	1794.29	1674.06	1467.37	1519.15	1259.69	1447.15	1322.37	1417.35	1304.15	1628.26	1295.13	1923.14	1388.16	1191.69	1477.58
HYPK	87.65	107.38	152.28	173.85	54.72	43.02	102.25	72.52	36.27	38.4	105.89	35.5	5.54	71.5	121.79	54.33	99.43	73.54	44.57	70.51	97.36	59.13	111.99	61.68	33.78	119.26	76.17	150.17	128.79	153.34	178.77	138.1	161.02	175.07	66.65	78.89	94.67	120.1	109.66	77.25	127.0	154.42	78.34	183.82	198.47	52.82	127.0	84.04	167.9	231.32	106.63	87.03	106.63	255.0	343.89	341.51	412.0	2018.8	579.04	159.9	346.29	503.95	543.96	480.04	708.18	120.1	603.67	642.59	336.79	575.03	287.01	693.58	373.81	674.59	703.28	532.74	387.02	323.03	420.68	703.28	738.29	629.35	336.79	518.15	193.01	156.59	591.22	457.25	470.14	106.63	73.03	76.17	183.82	71.5	91.41	218.79	129.69	98.04	142.01	108.9	133.36	92.7	144.01
IER3	246.28	414.87	1977.24	1617.0	1119.56	1268.46	363.56	669.92	2303.12	718.08	665.29	441.64	61.25	2796.65	708.18	884.29	759.08	432.53	1023.0	339.14	441.64	297.17	1175.27	890.44	3540.14	764.36	1119.56	115.16	85.82	3395.89	113.56	457.25	2895.31	273.37	500.46	507.46	1250.98	2163.77	525.39	301.33	417.77	211.31	514.56	1378.57	291.04	104.42	417.77	289.02	253.23	808.0	277.2	921.88	246.28	1617.0	3018.3	3742.05	1651.0	6337.83	9409.14	1216.75	2178.83	1407.55	1369.04	40904.3	4769.75	2502.97	934.76	2645.74	1051.79	5479.15	1605.83	1286.18	836.53	3901.01	6745.86	1844.76	2739.08	1909.85	2855.44	1883.54	4869.99	7749.1	967.76	1819.35	1378.57	2335.28	3146.52	2701.35	3280.18	57.49	189.02	241.19	187.71	343.89	412.0	312.0	836.53	248.0	178.77	346.29	209.84	507.46	503.95
IFNE	0.0	0.0	0.0	0.0	4.39	0.0	0.0	1.45	0.0	0.0	3.92	0.0	0.0	0.53	120.94	3.56	34.26	1.73	1.39	0.0	3.86	8.13	2.29	7.4	0.0	14.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.94	1.41	9.2	17.9	6.16	83.45	2.81	17.25	2.39	2.16	26.28	17.38	0.89	0.0	12.64	37.32	0.0	9.34	32.82	13.83	3.92	7.63	13.03	8.51	10.31	10.47	14.35	8.85	21.01	11.55	11.55	5.82	2.58	19.39	11.91	8.45	0.0	0.0	0.0	4.03	7.88	8.45	2.23	21.94	0.0	1.66	2.41	1.64	0.0	0.0
INCENP	60.82	70.51	237.86	146.03	61.68	109.66	103.69	113.56	142.01	117.6	106.63	151.22	16.39	123.5	120.1	58.71	127.89	102.97	127.0	72.01	115.97	85.82	94.01	84.04	144.01	136.19	115.16	63.89	44.89	80.57	64.8	63.45	53.57	71.5	57.08	56.68	31.45	62.56	23.76	17.9	50.63	57.08	33.3	49.91	18.43	29.27	72.52	23.76	104.42	48.18	45.53	50.63	33.78	361.04	275.28	607.87	285.03	368.65	307.69	620.67	279.14	620.67	193.01	454.09	454.09	353.59	483.38	255.0	202.66	277.2	346.29	563.18	651.58	521.76	267.73	323.03	229.72	206.94	166.73	251.48	246.28	256.78	241.19	237.86	197.09	177.53	149.12	224.97	194.36	119.26	91.41	379.04	244.57	232.94	166.73	167.9	127.89	116.78	182.55	260.38	267.73	116.78	336.79
ITPRIP	75.11	49.56	76.17	187.71	318.57	108.9	346.29	361.04	173.85	128.79	283.05	92.7	194.36	624.99	144.01	214.27	265.87	212.78	157.68	82.29	303.44	108.14	271.48	108.9	63.0	251.48	120.94	57.08	126.12	454.09	124.37	140.04	46.18	122.64	46.18	126.12	159.9	198.47	120.94	189.02	130.6	127.0	64.34	195.72	181.28	93.35	46.18	120.94	133.36	147.06	70.01	221.86	69.03	400.71	624.99	309.83	329.84	211.31	387.02	181.28	215.77	66.65	135.24	656.11	145.02	255.0	220.32	414.87	293.07	366.09	293.07	157.68	126.12	169.07	175.07	303.44	208.38	271.48	289.02	236.21	197.09	236.21	244.57	169.07	384.34	262.2	221.86	295.11	356.05	703.28	555.41	211.31	656.11	159.9	363.56	447.82	738.29	476.71	221.86	454.09	536.45	642.59	414.87
JOSD1	332.14	248.0	1143.1	379.04	341.51	327.56	480.04	435.55	389.72	291.04	329.84	248.0	143.01	540.19	463.65	262.2	417.77	339.14	348.71	368.65	314.17	454.09	473.41	255.0	490.14	483.38	341.51	212.78	314.17	309.83	221.86	265.87	191.67	316.37	239.52	312.0	241.19	312.0	379.04	185.11	376.41	373.81	339.14	301.33	309.83	172.65	334.46	303.44	395.18	318.57	242.88	246.28	197.09	842.36	819.3	723.08	633.73	620.67	1159.07	591.22	660.68	486.75	397.93	1295.13	679.29	1073.91	503.95	638.15	884.29	476.71	753.83	764.36	412.0	1151.06	486.75	651.58	607.87	518.15	603.67	651.58	896.64	540.19	575.03	460.44	432.53	536.45	603.67	698.41	547.75	368.65	476.71	258.57	400.71	395.18	507.46	327.56	543.96	392.44	323.03	518.15	426.57	277.2	291.04
KBTBD2	239.52	151.22	279.14	813.63	432.53	234.57	316.37	325.29	387.02	256.78	325.29	480.04	99.43	466.88	384.34	155.5	373.81	279.14	187.71	206.94	231.32	209.84	232.94	267.73	299.25	351.14	460.44	177.53	208.38	371.22	223.41	251.48	205.5	211.31	191.67	152.28	226.54	287.01	341.51	157.68	307.69	183.82	249.73	277.2	239.52	191.67	178.77	158.79	198.47	295.11	157.68	237.86	186.4	679.29	665.29	463.65	665.29	490.14	521.76	536.45	775.05	356.05	575.03	486.75	397.93	775.05	679.29	872.1	616.37	529.06	497.0	583.07	309.83	379.04	231.32	318.57	392.44	361.04	269.6	351.14	397.93	483.38	341.51	289.02	381.68	314.17	283.05	356.05	351.14	679.29	420.68	540.19	409.15	444.72	476.71	514.56	571.05	473.41	397.93	503.95	397.93	435.55	525.39
KCNK6	28.24	38.12	237.86	127.0	3.44	12.93	41.81	27.44	20.71	29.06	21.01	13.32	3.14	50.98	82.87	25.17	66.18	23.59	49.91	21.78	34.75	23.25	59.55	27.44	60.39	63.45	8.99	13.93	23.59	57.89	29.91	39.79	32.59	40.93	49.21	21.94	39.5	38.4	39.5	15.34	47.17	12.27	11.55	182.55	52.82	35.0	8.38	21.16	45.21	80.01	29.06	38.12	25.91	511.0	429.54	358.54	466.88	633.73	723.08	351.14	403.5	226.54	392.44	429.54	872.1	165.57	356.05	305.55	312.0	587.13	660.68	718.08	607.87	497.0	444.72	368.65	341.51	126.12	312.0	301.33	395.18	279.14	371.22	232.94	232.94	371.22	351.14	246.28	309.83	27.64	35.0	11.82	20.41	43.94	218.79	33.06	70.51	21.32	22.59	32.59	44.57	35.5	16.75
KCTD10	164.42	105.89	638.15	579.04	403.5	447.82	397.93	521.76	420.68	567.1	642.59	684.02	279.14	802.41	381.68	176.29	490.14	267.73	555.41	316.37	329.84	323.03	429.54	397.93	674.59	412.0	320.8	156.59	124.37	551.56	85.22	208.38	114.36	148.09	117.6	140.04	108.9	152.28	114.36	90.77	199.85	100.83	118.43	287.01	157.68	68.55	85.82	115.97	127.0	180.02	112.77	134.3	87.03	836.53	1250.98	1183.45	603.67	376.41	1059.11	780.44	543.96	414.87	450.94	1242.34	486.75	684.02	854.13	733.19	579.04	708.18	1923.14	400.71	307.69	748.61	318.57	493.56	435.55	392.44	320.8	547.75	476.71	642.59	518.15	511.0	536.45	961.07	409.15	543.96	599.49	624.99	543.96	808.0	836.53	884.29	518.15	769.69	825.0	723.08	555.41	954.43	759.08	441.64	620.67
KCTD5	316.37	231.32	884.29	295.11	842.36	595.34	518.15	283.05	450.94	224.97	314.17	323.03	80.57	239.52	346.29	595.34	426.57	403.5	346.29	325.29	183.82	412.0	376.41	256.78	283.05	518.15	336.79	215.77	127.0	387.02	209.84	248.0	279.14	281.09	209.84	297.17	297.17	281.09	271.48	323.03	204.07	309.83	363.56	366.09	269.6	236.21	303.44	251.48	241.19	397.93	327.56	262.2	323.03	555.41	713.11	579.04	540.19	483.38	698.41	941.27	438.59	836.53	536.45	563.18	802.41	379.04	642.59	511.0	511.0	497.0	616.37	587.13	679.29	974.5	587.13	563.18	532.74	444.72	447.82	450.94	819.3	642.59	409.15	599.49	414.87	503.95	579.04	476.71	423.61	353.59	262.2	273.37	209.84	181.28	363.56	226.54	314.17	379.04	299.25	297.17	224.97	559.28	334.46
