	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3655.11A.01R.1723.07	GTEX.WQUQ.2526.SM.4MVNO	GTEX.1212Z.1826.SM.5FQSH	GTEX.132NY.2726.SM.5PNY2	GTEX.13N2G.2226.SM.5IJCU	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.144GM.1626.SM.5O9AG	GTEX.OXRL.0726.SM.3NM9A	GTEX.11EQ9.0826.SM.5986Y	GTEX.PWCY.0826.SM.48TCR	GTEX.TML8.1426.SM.4DXUT	TCGA.38.4625.01A.01R.1206.07.1	GTEX.147F4.0926.SM.5Q5EO	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.A4IV.01A.31R.A251.31
ACOT8	713.11	764.36	1151.06	500.46	1359.57	1030.12	961.07	1023.0	1135.2	384.34	432.53	414.87	575.03	387.02	718.08	473.41	633.73	819.3	612.11	301.33	633.73	417.77
AIMP2	718.08	693.58	981.29	540.19	791.35	947.83	563.18	567.1	476.71	579.04	403.5	414.87	279.14	429.54	651.58	450.94	426.57	480.04	0.0	159.9	511.0	397.93
AKR7A2	1191.69	1594.73	1685.71	1081.39	2255.7	1806.78	1529.73	1977.24	1378.57	723.08	934.76	921.88	915.51	791.35	1259.69	830.75	988.12	1477.58	0.16	392.44	1127.35	728.11
ALKBH7	2061.24	2520.38	2502.97	1844.76	4802.93	2682.69	3146.52	2796.65	2591.27	1081.39	941.27	1216.75	1313.23	1073.91	2061.24	1369.04	1498.22	2047.0	0.48	629.35	1487.87	1286.18
AP1B1	1088.92	995.0	1331.57	808.0	878.17	1242.34	866.07	1015.93	896.64	759.08	896.64	748.61	878.17	775.05	1081.39	819.3	819.3	954.43	0.54	476.71	723.08	808.0
ASNA1	1233.75	1572.76	1605.83	1378.57	2255.7	1794.29	1378.57	1685.71	1191.69	1216.75	1378.57	1096.5	1127.35	981.29	1359.57	1151.06	1183.45	1183.45	0.21	616.37	1183.45	1159.07
ATP5D	5479.15	5633.22	6935.54	5711.87	8191.0	9409.14	8538.88	8247.98	8078.22	3190.46	3124.78	4210.15	4328.55	4038.61	5672.41	5112.16	4066.71	5112.16	1.08	1208.34	3614.55	3928.15
ATP5F1	6079.61	9673.69	9344.14	5995.9	13776.25	9025.81	6745.86	7230.1	6250.56	3874.05	3372.43	4607.24	4512.4	4419.52	6652.97	4869.99	4419.52	6337.83	0.59	2224.63	7382.04	4575.41
C12orf52	320.8	307.69	387.02	291.04	392.44	366.09	414.87	417.77	289.02	201.25	209.84	279.14	224.97	155.5	231.32	194.36	215.77	287.01	0.0	92.7	253.23	267.73
C16orf91	366.09	417.77	384.34	323.03	567.1	571.05	417.77	329.84	327.56	368.65	267.73	279.14	269.6	277.2	483.38	217.27	175.07	373.81	0.08	150.17	301.33	277.2
