	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.G2.A3VY.01A.11R.A22U.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.BL.A0C8.01A.11R.A277.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A3WU.01B.11R.A23N.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.XF.AAMX.01A.11R.A42T.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.LT.A5Z6.01A.11R.A28M.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.A7.A13D.01A.13R.A277.07	TCGA.A7.A13E.01A.11R.A277.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A6.2684.01A.01R.A278.07	TCGA.A6.5656.01A.21R.A278.07	TCGA.A6.2674.01A.02R.A278.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.44.2666.01A.01R.A278.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.6147.01A.11R.A278.07	TCGA.44.5645.01A.01R.A278.07	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.BK.A139.01A.11R.A277.07
AC008267.1	0.95	0.0	0.0	0.56	0.34	0.0	0.0	2.53	15.0	0.0	0.66	0.0	1.25	0.0	1.75	1.97	1.17	3.06	0.37	0.0	0.99	0.0	0.68	0.0	1.07	0.0	2.68	10.16	13.12	4.24	8.99	46.18	1.14	92.7	20.41	10.0	19.11	4.58	0.0	4.82	0.0	12.18	4.35	12.45	3.08	2.18	7.82
AC010336.1	4.78	5.06	0.72	13.93	6.78	9.85	1.55	3.63	13.93	1.83	2.63	5.68	3.14	4.78	4.21	8.19	10.0	4.62	8.78	5.02	4.94	4.7	8.85	1.68	10.71	8.71	3.38	10.71	21.94	16.63	23.08	71.5	9.48	25.35	20.41	11.55	19.97	28.04	7.0	22.59	0.0	16.15	8.99	17.13	15.34	7.0	14.03
AC016745.1	0.0	0.0	0.0	0.0	0.0	1.83	0.61	0.73	25.17	0.6	0.0	0.0	5.28	0.0	0.36	1.43	0.0	1.53	0.0	0.0	0.99	2.34	0.0	0.0	2.16	7.22	3.03	6.62	26.28	30.78	9.06	46.84	19.11	24.81	44.57	45.53	95.34	18.56	0.0	6.73	0.0	16.27	17.77	12.0	9.78	6.31	34.51
AC024940.1	0.33	4.39	1.06	2.53	3.03	0.0	1.53	1.81	18.84	1.2	0.99	2.66	1.57	3.72	2.46	3.69	4.39	2.46	1.85	1.68	1.0	1.95	4.1	2.68	5.73	3.63	5.36	25.54	44.25	24.28	15.0	44.57	6.21	13.03	8.45	40.36	70.51	53.19	0.0	23.59	0.0	27.84	13.22	7.17	11.04	4.5	13.62
AC068533.7	29.91	0.0	7.46	69.03	41.52	20.26	19.68	0.0	269.6	10.31	7.57	10.71	9.48	7.51	9.56	5.45	19.53	30.34	37.05	0.0	3.69	10.24	6.57	0.0	9.41	18.56	6.78	231.32	107.38	164.42	62.56	204.07	63.0	75.64	181.28	113.56	830.75	275.28	18.43	97.36	0.0	147.06	348.71	84.04	59.13	35.25	397.93
AC069547.2	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.72	87.03	0.0	0.0	0.0	0.93	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.85	59.13	53.95	42.41	215.77	16.39	96.01	77.25	13.62	16.03	21.78	0.0	20.26	0.0	63.45	32.36	2.68	0.0	0.0	30.78
AC131971.1	0.96	2.05	0.72	3.66	2.39	0.0	0.93	1.1	43.02	0.61	0.0	0.68	1.89	2.39	0.0	2.58	3.26	2.78	1.85	1.36	1.0	1.19	2.05	0.0	0.0	12.93	3.38	72.52	72.01	119.26	57.08	273.37	32.36	78.89	130.6	136.19	206.94	237.86	0.0	44.57	0.0	161.02	57.08	10.79	17.13	10.0	63.0
AF131215.5	0.0	0.0	0.0	1.97	1.01	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.32	0.0	0.0	0.57	1.48	0.93	0.0	0.34	0.0	0.0	0.0	0.67	0.0	2.12	0.34	31.45	1.53	7.88	6.31	36.27	25.72	131.51	33.3	3.2	67.59	20.26	0.0	19.25	0.0	12.09	46.84	2.25	5.41	1.77	3.53
AL031666.2	0.33	1.03	1.41	1.69	2.03	1.48	1.85	1.1	27.05	1.81	0.0	1.01	2.81	2.05	4.9	2.84	0.31	0.62	2.2	12.64	1.99	3.89	1.38	0.0	2.53	15.8	6.36	17.38	11.38	9.34	18.97	93.35	5.82	76.71	33.78	24.81	79.45	28.65	0.0	39.22	0.0	35.0	16.15	9.34	17.51	10.88	59.55
AL132989.1	4.46	5.11	0.73	4.24	3.41	5.87	2.78	7.63	77.79	2.43	0.68	0.69	2.53	2.07	9.85	1.45	10.88	4.62	12.09	3.72	5.96	2.76	1.06	4.39	1.1	21.01	2.05	42.41	52.08	73.54	32.36	242.88	34.75	287.01	131.51	95.34	57.49	223.41	0.0	75.64	0.0	154.42	77.25	15.68	21.78	21.78	53.95
AL136531.1	0.0	4.74	0.72	3.11	1.36	0.75	0.0	1.1	25.91	0.92	0.0	0.68	0.96	0.36	1.43	1.16	3.26	2.46	4.78	0.0	1.33	0.8	1.38	2.34	0.0	1.22	7.69	17.64	48.18	53.95	13.22	312.0	10.39	178.77	28.45	12.45	85.82	35.0	0.0	20.41	0.0	80.57	38.95	5.41	17.13	5.41	21.32
AL353608.1	0.0	0.0	0.0	0.0	0.0	1.83	0.61	0.73	25.17	0.6	0.0	0.0	5.28	0.0	0.36	1.43	0.0	1.53	0.0	0.0	0.99	2.34	0.0	0.0	2.16	7.22	3.03	6.62	26.28	30.78	9.06	46.84	19.11	24.81	44.57	45.53	95.34	18.56	0.0	6.73	0.0	16.27	17.77	12.0	9.78	6.31	34.51
ANKRD61	2.58	14.89	1.43	14.35	5.45	0.75	1.87	2.2	45.21	0.0	1.99	2.03	4.74	4.78	9.48	8.25	12.36	15.68	5.19	3.06	4.31	2.39	2.76	7.4	2.18	19.68	6.41	51.35	54.33	35.76	35.76	111.21	19.82	26.86	43.32	24.63	104.42	92.05	1.36	21.94	0.0	56.28	32.59	27.44	30.78	33.3	31.67
AP001885.1	0.32	0.0	1.41	1.13	0.35	0.74	0.0	2.18	14.67	0.91	0.66	0.67	2.18	0.35	0.0	1.99	0.89	0.31	1.1	0.0	0.0	0.79	0.69	0.0	1.08	4.82	1.68	22.92	21.01	22.26	26.1	143.01	15.8	165.57	20.11	50.63	34.26	84.63	0.0	29.48	0.0	55.89	36.01	8.99	13.32	21.16	69.03
AP002884.2	0.0	0.0	0.0	0.85	0.34	0.0	1.55	1.1	3.0	0.0	0.0	0.0	1.89	1.71	0.0	1.43	0.0	1.23	2.97	0.0	0.67	2.36	0.69	0.0	0.0	0.92	0.0	3.26	0.79	1.5	5.19	33.54	10.55	33.54	11.55	8.58	35.76	4.82	0.0	2.73	0.0	17.51	7.17	0.84	3.47	1.87	4.39
ARL13A	0.96	1.03	0.0	2.81	0.0	0.0	0.0	0.0	25.17	0.61	1.31	0.0	1.25	0.68	3.5	1.14	0.3	0.0	0.38	0.0	0.0	1.57	1.03	0.0	0.0	1.22	1.01	14.24	3.32	2.1	1.36	4.28	2.25	48.52	14.67	7.22	29.48	7.22	0.0	1.57	0.0	3.66	6.36	3.59	1.11	2.46	2.03
ASH1L	175.07	307.69	130.6	329.84	197.09	154.42	124.37	148.09	447.82	148.09	83.45	180.02	167.9	191.67	199.85	169.07	206.94	249.73	191.67	185.11	329.84	109.66	114.36	155.5	95.34	301.33	172.65	1059.11	1008.9	1977.24	854.13	2997.45	1242.34	2133.97	1447.15	463.65	660.68	796.86	24.11	543.96	0.0	1037.29	842.36	473.41	514.56	412.0	728.11
ATP5L2	0.64	1.01	1.06	0.0	0.0	0.0	0.0	0.0	4.21	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.88	1.23	0.0	0.0	0.0	1.17	0.0	0.0	1.08	0.0	0.0	8.0	13.62	3.53	6.94	26.67	5.73	46.5	8.58	14.24	17.25	23.25	0.0	14.14	0.0	1.17	3.2	6.52	2.56	1.2	9.85
BLID	0.64	0.0	0.0	0.0	0.0	1.46	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.68	0.0	1.14	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	23.93	4.74	4.46	9.56	45.85	7.28	143.01	1.66	29.48	12.0	7.34	0.0	22.1	0.0	7.88	5.23	2.84	1.99	2.53	4.78
BRWD3	47.17	79.45	24.11	162.14	98.04	25.54	43.32	32.82	249.73	62.12	33.54	61.68	89.51	48.18	73.03	50.63	84.63	76.71	53.19	108.9	86.43	46.5	43.63	53.19	30.34	77.79	44.57	579.04	361.04	540.19	277.2	909.17	289.02	423.61	305.55	376.41	579.04	457.25	9.27	212.78	0.0	299.25	395.18	118.43	173.85	136.19	358.54
BTBD18	0.64	0.35	0.71	4.21	0.68	0.73	0.92	0.73	8.85	0.3	0.0	0.34	1.87	1.36	1.06	0.29	0.88	2.46	1.46	0.0	1.31	0.0	0.35	0.34	0.37	1.2	1.01	10.71	15.68	12.36	12.74	143.01	10.0	209.84	8.85	11.38	11.47	23.08	0.0	10.39	0.0	12.74	18.03	5.28	6.21	4.39	33.78
C10orf12	48.87	42.41	21.16	42.71	45.85	31.45	35.0	75.64	351.14	113.56	31.0	40.64	40.64	27.84	44.57	16.63	64.34	18.56	44.89	28.86	34.02	22.43	14.14	48.87	18.43	10.08	17.9	159.9	114.36	329.84	249.73	403.5	305.55	381.68	197.09	158.79	187.71	153.34	9.06	132.44	0.0	191.67	228.13	89.51	61.25	61.68	289.02
C10orf68	2.89	8.51	10.24	4.54	13.83	2.61	9.78	10.16	293.07	1.53	1.99	0.36	19.97	6.84	5.32	2.86	10.31	8.32	6.26	4.39	15.45	6.31	4.46	2.71	5.41	10.0	8.45	356.05	221.86	389.72	193.01	242.88	486.75	346.29	339.14	108.14	53.95	185.11	0.0	217.27	0.0	232.94	239.52	11.38	6.11	15.8	41.52
C15orf54	0.0	1.01	1.41	0.57	0.34	0.0	1.22	0.37	6.73	0.6	0.0	0.34	0.32	0.0	2.46	0.29	0.3	0.0	0.38	1.01	0.34	1.57	0.35	0.0	1.08	1.2	0.0	3.38	1.46	4.06	2.66	34.26	3.29	22.43	39.79	4.7	21.78	2.71	0.0	7.46	0.0	40.93	96.01	1.28	1.93	3.99	25.54
C1orf195	1.58	0.0	0.0	0.0	1.69	0.0	0.0	0.0	31.0	0.0	11.04	0.0	2.51	0.0	6.62	0.0	2.05	0.0	1.83	0.0	0.0	3.11	0.0	0.0	0.0	0.0	2.36	19.68	7.88	11.47	9.93	56.28	5.5	33.54	7.17	34.26	90.14	21.78	0.0	15.0	0.0	19.97	8.58	6.41	8.99	11.47	31.0
CCDC7	17.51	40.07	29.7	22.26	25.54	17.64	15.11	24.81	190.34	9.48	26.28	17.13	26.28	24.63	31.67	16.63	21.63	23.42	19.25	28.65	15.0	18.16	30.78	11.82	15.22	27.25	25.35	438.59	379.04	819.3	395.18	346.29	764.36	579.04	363.56	204.07	161.02	253.23	4.31	156.59	0.0	325.29	262.2	40.93	14.67	90.14	183.82
CDKL4	0.0	22.92	2.14	2.27	8.45	0.75	2.16	0.74	112.77	1.83	2.94	7.69	5.63	1.04	7.69	1.16	2.36	12.83	1.11	2.36	0.0	0.8	2.76	1.36	0.38	0.0	6.73	78.34	5.5	36.01	100.83	5.92	81.71	62.56	82.29	7.17	10.16	24.99	0.0	47.84	0.0	26.47	16.63	11.82	2.89	0.99	34.26
CDKL5	39.79	19.39	2.16	37.85	16.27	6.67	5.59	147.06	511.0	16.03	2.34	51.71	6.31	27.84	108.14	34.26	72.01	13.62	34.51	28.86	38.67	8.71	17.13	13.83	5.82	29.7	8.85	215.77	127.89	111.99	277.2	241.19	223.41	435.55	189.02	79.45	80.01	86.43	4.94	397.93	0.0	212.78	145.02	11.82	42.41	42.11	69.03
DCAF17	95.34	95.34	70.51	195.72	94.67	69.03	83.45	117.6	236.21	46.84	67.59	77.25	96.68	115.16	106.63	163.28	115.97	211.31	101.54	57.89	120.1	84.63	60.39	70.01	51.71	79.45	98.04	271.48	241.19	343.89	397.93	483.38	358.54	283.05	316.37	287.01	454.09	417.77	29.27	336.79	0.0	251.48	244.57	202.66	271.48	190.34	503.95
DENND1B	91.41	211.31	86.43	145.02	173.85	117.6	100.83	187.71	463.65	90.14	55.89	135.24	115.16	190.34	141.02	100.83	162.14	336.79	81.14	88.88	273.37	98.04	97.36	139.07	62.12	80.01	134.3	579.04	638.15	775.05	995.0	470.14	616.37	547.75	234.57	511.0	743.43	579.04	18.03	414.87	136.19	796.86	723.08	156.59	157.68	237.86	813.63
