	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.LN.A4A9.01A.11R.A28J.31	GTEX.V1D1.1226.SM.4JBI5	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11ZTS.2726.SM.5EQLU	GTEX.X3Y1.1126.SM.4PQZ9	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.12WSJ.0726.SM.5GCN6	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.ZAB4.1226.SM.5CVN5	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	GTEX.PWN1.2626.SM.2I3FH
AC016757.3	27.64	88.26	26.28	32.59	7.06	11.91	76.71	46.84	19.97	47.17	84.63	53.95	25.54	59.97	66.18	5.54	8.51	35.76	7.82	22.43	4.21	4.54	18.16	22.75	10.39	13.32	6.26	26.67	11.55	4.46	10.24	1.33	2.12	2.29	0.0	13.42
AC127496.1	4.1	40.93	22.1	14.35	12.27	31.22	15.68	11.64	17.13	19.68	14.45	20.71	19.82	27.64	14.89	0.21	0.2	1.41	2.25	1.89	4.98	3.53	2.76	0.45	5.28	2.23	3.53	0.44	1.35	2.07	0.0	0.66	1.66	2.76	7.34	11.47
AC132186.1	0.85	4.28	4.54	8.32	6.84	8.13	4.46	3.76	4.58	5.77	8.78	5.87	6.21	4.43	9.93	4.66	0.43	0.78	1.68	1.62	0.38	0.0	0.0	0.0	2.27	2.29	4.21	0.6	0.09	2.23	0.77	0.0	1.79	2.41	0.0	12.36
ADAM33	88.88	244.57	2417.67	3901.01	5711.87	854.13	6983.79	4575.41	791.35	2720.15	7966.99	5255.91	4704.07	6652.97	5913.33	2.46	8.58	10.16	8.65	17.13	5.87	13.03	9.2	1.57	14.14	41.22	8.32	0.74	12.55	29.48	1.27	2.29	5.96	5.41	0.0	154.42
ADRA2C	18.97	158.79	79.45	34.26	74.06	11.13	28.45	33.3	51.35	58.3	30.12	157.68	88.26	71.5	70.51	0.0	4.62	43.02	11.21	13.22	1.11	0.3	2.73	0.0	36.79	57.49	15.45	23.93	0.83	6.41	0.85	2.41	13.12	0.19	0.0	105.15
ADRB3	6.26	9.7	33.54	48.87	63.45	22.1	77.25	49.56	48.87	85.82	83.45	66.18	122.64	129.69	86.43	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	0.35	0.0	0.0	0.0	0.82
AKAP17A	291.04	540.19	575.03	559.28	642.59	497.0	703.28	693.58	312.0	551.56	713.11	928.3	679.29	540.19	813.63	137.14	149.12	181.28	283.05	234.57	146.03	208.38	228.13	104.42	205.5	297.17	127.89	164.42	131.51	204.07	54.72	133.36	237.86	147.06	0.0	343.89
ANKDD1A	64.8	95.34	262.2	237.86	389.72	126.12	325.29	309.83	124.37	157.68	540.19	406.31	414.87	305.55	287.01	9.48	41.22	126.12	20.71	26.67	14.03	40.36	15.91	10.88	16.39	30.34	7.75	20.86	11.13	25.35	5.77	12.93	21.32	25.72	0.0	316.37
ANKRD61	3.0	24.11	7.0	4.62	4.58	8.51	3.14	8.0	8.13	6.89	18.97	12.93	8.65	14.67	12.64	1.08	3.82	3.41	2.07	5.73	1.73	0.82	0.0	3.26	3.14	2.48	0.42	4.21	0.0	2.36	0.0	0.0	1.66	4.06	0.0	14.24
APOC3	0.0	0.0	0.0	2.27	53.57	13.22	7.28	20.41	29.91	23.25	18.03	40.93	28.04	17.9	33.78	9243449.07	7719092.49	5420519.65	4621724.04	7202167.89	8928583.23	1503610.06	2884719.27	7612821.45	3091765.64	3178687.03	5163792.94	1.24530853E7	1.032758687E7	7152418.87	1.09164457E7	2310861.52	1715263.94	4023444.33	0.0	0.0
ARVCF	679.29	1119.56	928.3	825.0	555.41	356.05	629.35	563.18	361.04	463.65	921.88	450.94	698.41	1277.29	1001.93	511.0	351.14	444.72	447.82	603.67	253.23	429.54	339.14	118.43	332.14	420.68	198.47	190.34	93.35	228.13	159.9	71.0	346.29	379.04	0.0	638.15
BOC	547.75	785.88	1304.15	1277.29	2061.24	2148.82	1870.53	1467.37	529.06	2209.26	2434.5	3564.78	1991.0	2384.37	1540.37	5.92	13.03	9.78	19.82	16.15	3.99	14.14	40.64	14.35	22.43	44.25	2.25	24.46	11.04	15.91	3.03	9.2	31.45	16.75	0.0	603.67
C17orf66	0.0	4.5	0.0	0.77	1.57	1.08	0.74	1.03	0.75	1.1	2.84	9.41	1.79	3.47	1.87	0.0	0.38	1.1	2.86	0.46	0.21	0.52	2.07	0.41	1.71	0.49	0.62	1.3	1.97	0.62	0.0	0.65	1.35	0.45	0.0	2.25
C1ORF220	0.0	6.41	0.0	18.7	5.77	1.53	0.0	7.06	0.0	0.0	0.0	5.23	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82	0.0	0.0	2.48	1.97	0.0	0.0	8.78	0.0	3.17
CARTPT	7.0	287.01	463.65	25.17	163.28	124.37	679.29	400.71	151.22	1023.0	208.38	150.17	647.07	59.97	1909.85	1.3	0.0	1.28	1.08	0.0	0.0	0.0	0.0	0.0	3.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	13776.25
CCDC159	307.69	1277.29	2417.67	1909.85	2163.77	1096.5	1977.24	1572.76	785.88	1388.16	2004.85	1883.54	1936.53	2240.11	2319.15	543.96	967.76	665.29	1001.93	1350.18	921.88	1388.16	1498.22	718.08	563.18	769.69	480.04	647.07	1233.75	1322.37	275.28	409.15	698.41	629.35	0.0	780.44
CCDC30	21.63	80.57	30.12	22.59	47.84	32.13	55.49	98.73	43.94	32.82	50.63	60.82	47.84	62.56	55.49	3.86	8.58	18.84	12.64	24.81	4.35	18.84	8.99	18.16	19.97	23.08	19.97	3.06	15.56	31.0	2.03	2.39	21.63	9.34	0.0	204.07
CEND1	32.13	81.14	67.59	339.14	68.07	81.14	132.44	105.89	90.77	128.79	113.56	27.05	229.72	166.73	334.46	4.43	1.68	1.66	3.06	1.79	1.43	0.3	2.16	0.0	2.89	1.27	0.15	2.14	3.11	0.0	0.0	0.17	0.0	1.36	0.0	13.62
CHD5	0.56	18.03	197.09	145.02	105.89	116.78	142.01	88.26	178.77	66.65	305.55	88.88	140.04	181.28	182.55	0.43	0.0	0.0	0.21	0.53	0.0	0.27	1.1	0.0	1.48	2.41	0.17	0.18	0.57	1.81	0.0	0.46	2.61	1.39	0.0	1.99
CRIPAK	90.77	190.34	301.33	271.48	258.57	183.82	368.65	307.69	172.65	256.78	412.0	450.94	389.72	318.57	819.3	36.27	49.21	44.89	74.06	149.12	40.64	88.26	102.97	50.27	48.87	108.9	25.72	59.55	29.06	55.49	8.45	15.91	40.36	38.12	0.0	177.53
CRYGS	45.21	151.22	105.89	224.97	191.67	72.52	178.77	157.68	88.88	162.14	239.52	316.37	224.97	303.44	299.25	30.56	55.49	57.89	64.34	82.87	32.82	56.68	48.52	26.28	53.57	53.95	41.22	28.45	21.16	43.94	2.66	38.67	39.22	49.56	0.0	68.07
DAND5	1.39	9.63	67.59	77.79	24.46	4.78	27.05	14.03	11.04	7.22	44.25	1.13	19.25	16.15	61.68	0.0	0.85	3.35	0.97	6.36	1.06	2.07	0.0	0.0	0.0	1.08	2.48	4.54	0.0	0.89	0.37	0.0	1.2	0.0	0.0	4.39
DCAF4L1	5.32	18.7	3.5	5.87	7.4	5.41	7.88	6.46	3.89	11.13	14.14	11.3	8.06	7.82	7.34	0.96	2.58	1.5	4.21	0.0	2.78	1.77	0.49	2.25	0.74	2.07	8.25	4.54	2.1	3.08	0.0	0.56	4.9	1.91	0.0	2.92
DMXL2	260.38	1088.92	620.67	684.02	595.34	356.05	743.43	748.61	368.65	638.15	954.43	928.3	909.17	616.37	902.89	163.28	341.51	130.6	258.57	291.04	149.12	267.73	231.32	150.17	142.01	346.29	80.57	198.47	175.07	275.28	49.21	46.5	221.86	166.73	0.0	312.0
EVL	1447.15	2119.22	1651.0	2018.8	2018.8	1096.5	2664.15	2104.58	1617.0	1819.35	2682.69	1651.0	2178.83	2400.97	2627.46	967.76	902.89	1119.56	1540.37	1427.22	563.18	2104.58	780.44	587.13	1008.9	1350.18	1662.49	336.79	785.88	1467.37	1447.15	878.17	802.41	825.0	0.0	995.0
FAM162B	92.7	180.02	80.01	190.34	226.54	116.78	130.6	218.79	92.05	122.64	195.72	201.25	246.28	116.78	142.01	15.0	26.47	17.25	28.04	18.43	2.63	29.91	6.16	7.63	16.39	16.51	8.13	0.0	24.46	26.28	5.11	0.0	11.04	31.67	0.0	33.3
FAM217A	1.06	11.73	0.0	0.0	0.0	0.0	0.0	19.82	0.0	21.63	0.0	1.79	20.71	0.0	0.0	0.0	0.0	0.57	0.0	0.51	0.22	0.0	0.0	0.46	0.0	0.53	0.0	0.95	0.0	0.19	0.0	0.0	0.0	0.0	0.0	5.73
FNBP1	555.41	2573.36	2520.38	2351.53	2645.74	2915.45	3540.14	2468.49	3349.13	2627.46	3168.41	2796.65	3467.27	2555.58	2682.69	301.33	389.72	170.25	237.86	293.07	221.86	438.59	423.61	175.07	237.86	327.56	228.13	358.54	249.73	209.84	178.77	94.01	297.17	267.73	363.56	679.29
GAL3ST3	0.0	5.45	47.84	26.47	18.7	5.68	57.89	24.46	26.28	30.56	89.51	16.03	35.0	68.07	30.34	0.0	0.0	1.28	0.0	0.0	0.29	0.77	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.8	0.0	0.0	0.0	0.0	392.44
GOLGA8H	1.17	19.53	6.84	21.78	22.75	15.8	21.63	3.66	8.51	15.22	17.77	15.91	16.03	47.84	14.89	1.39	3.89	0.91	0.0	0.0	1.07	0.0	0.21	0.0	2.97	2.48	1.66	0.0	3.23	0.42	0.0	0.18	0.59	0.0	0.0	20.86
GPR75	27.44	46.5	28.65	19.82	17.77	51.71	8.19	10.39	16.03	22.75	26.67	23.76	32.82	27.44	35.0	7.51	15.56	19.39	21.94	28.04	42.41	11.21	111.99	23.59	24.99	82.87	2.76	98.73	27.25	26.28	2.23	10.55	16.15	54.33	0.0	111.99
GRIK3	2.53	5.92	138.1	190.34	211.31	58.3	214.27	107.38	100.83	147.06	260.38	170.25	204.07	151.22	197.09	0.14	0.51	1.17	0.57	2.34	0.61	1.57	1.01	0.16	0.62	6.16	0.53	0.0	0.42	1.3	0.0	0.0	0.69	0.18	0.0	5.32
HKR1	426.57	703.28	961.07	1059.11	1111.82	738.29	1175.27	1135.2	587.13	860.08	1369.04	1331.57	1340.84	1175.27	1313.23	189.02	214.27	293.07	327.56	473.41	285.03	253.23	277.2	244.57	287.01	392.44	100.13	92.7	264.03	381.68	132.44	81.14	299.25	189.02	0.0	954.43
IGIP	52.45	289.02	497.0	607.87	620.67	409.15	607.87	669.92	417.77	547.75	738.29	599.49	713.11	647.07	591.22	162.14	177.53	181.28	186.4	262.2	173.85	231.32	163.28	173.85	269.6	258.57	223.41	97.36	223.41	195.72	111.21	46.18	232.94	329.84	0.0	244.57
INPP5B	305.55	181.28	738.29	642.59	647.07	896.64	490.14	575.03	579.04	620.67	890.44	854.13	1304.15	684.02	713.11	226.54	208.38	131.51	173.85	351.14	190.34	332.14	389.72	202.66	171.45	412.0	119.26	221.86	166.73	289.02	127.0	57.89	277.2	201.25	162.14	392.44
KLK2	3.72	260.38	7.63	5.19	9.63	9.85	0.35	0.0	2.73	5.73	1.28	6.16	0.0	0.0	9.41	0.0	0.0	4.94	1.38	1.89	5.41	0.0	0.57	1.17	0.0	1.53	1.64	3.69	0.0	0.0	0.24	0.0	7.94	0.0	0.0	486.75
LDHAL6A	0.65	3.08	1.68	1.39	1.39	0.44	4.1	0.83	0.92	1.31	1.41	0.79	4.28	3.59	2.66	0.0	0.0	1.62	0.24	0.66	0.66	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.79	0.0	0.0	0.0	0.0	0.65	0.0	6.31
LDHAL6B	5.15	10.08	0.0	1.62	5.23	1.97	6.06	3.69	1.08	2.48	4.78	3.11	3.79	5.5	2.01	0.4	2.92	0.6	3.41	6.36	1.19	2.2	0.71	0.22	1.45	1.91	1.03	3.82	1.19	3.0	1.83	2.1	0.09	0.26	0.0	1.95
LRRC4B	25.72	28.65	129.69	128.79	167.9	166.73	236.21	182.55	65.26	96.68	182.55	137.14	80.57	191.67	199.85	20.71	24.63	17.13	18.84	47.5	13.62	23.76	16.03	10.55	9.41	24.81	3.41	7.57	26.67	17.64	6.84	0.96	44.57	11.73	0.0	39.79
LRRTM1	0.0	7.75	126.12	136.19	172.65	85.82	199.85	162.14	46.18	60.39	231.32	75.11	88.26	147.06	148.09	2.68	15.56	11.73	28.45	5.28	5.36	6.01	10.79	3.86	9.27	9.34	0.0	0.22	9.78	14.67	1.6	1.69	7.11	3.72	0.0	9.78
METTL3	511.0	954.43	1081.39	1127.35	1037.29	802.41	1233.75	1081.39	872.1	1001.93	1477.58	1769.57	1340.84	1304.15	1583.71	275.28	351.14	346.29	414.87	532.74	327.56	423.61	400.71	285.03	318.57	493.56	223.41	287.01	277.2	532.74	142.01	169.07	366.09	251.48	0.0	1167.14
MS4A14	15.11	172.65	90.14	26.28	38.4	34.26	42.11	73.03	61.25	159.9	52.82	164.42	244.57	75.64	69.52	1.53	12.36	3.63	9.7	1.14	1.83	11.13	8.71	1.16	14.03	17.0	18.43	2.84	7.22	1.87	7.51	3.06	15.11	3.63	0.0	7.63
MSH4	2.25	3.03	9.34	8.32	13.72	4.21	9.34	4.58	7.17	6.21	11.82	3.82	7.82	9.27	3.96	0.14	0.42	0.66	0.19	0.21	0.0	0.0	0.0	0.0	0.92	2.73	1.69	0.0	0.33	0.15	0.0	0.0	0.0	0.87	0.0	0.0
MUC8	0.0	12.27	7.17	1.51	0.0	0.0	0.0	4.21	2.68	5.59	3.66	2.81	2.73	2.61	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYO15B	974.5	2895.31	7180.15	11504.21	13033.07	2976.74	12076.21	9474.59	2090.03	3955.48	8901.53	14361.31	6337.83	14971.21	16157.44	1111.82	1008.9	647.07	947.83	3614.55	1066.48	981.29	1378.57	629.35	854.13	842.36	633.73	669.92	532.74	1498.22	142.01	361.04	743.43	612.11	1225.22	2163.77
NBEAL2	353.59	2502.97	878.17	1096.5	1023.0	356.05	1015.93	988.12	674.59	651.58	1378.57	1167.14	825.0	1081.39	1304.15	63.89	154.42	120.1	185.11	205.5	104.42	251.48	202.66	53.19	366.09	251.48	78.89	202.66	153.34	182.55	55.49	159.9	262.2	35.5	0.0	253.23
NPIPA2	0.0	303.44	221.86	14.56	187.71	314.17	157.68	151.22	100.83	295.11	204.07	18.43	214.27	150.17	312.0	4.82	0.0	8.99	5.28	3.59	0.0	2.73	10.39	9.93	0.0	14.24	17.13	3.69	0.39	12.74	9.27	5.92	12.36	6.78	0.0	55.89
NPTX1	15.0	92.7	277.2	64.8	39.22	55.89	271.48	246.28	52.08	92.05	101.54	28.45	125.24	85.82	97.36	5.77	8.92	0.0	0.0	0.43	0.0	0.52	5.59	0.0	0.46	3.82	0.0	0.34	0.18	0.0	0.0	0.0	1.31	0.0	0.0	4.7
OR5K2	4.58	9.2	11.82	7.69	2.68	1.93	3.76	13.52	8.99	11.82	8.92	15.68	10.63	13.03	7.28	0.0	1.62	1.77	0.64	0.0	0.0	0.0	0.0	0.0	1.64	0.95	0.0	1.06	0.0	0.83	0.0	0.0	0.0	0.0	0.0	4.7
OSTN	0.62	6.62	0.0	0.87	1.27	0.0	0.44	0.0	0.0	0.0	4.1	0.74	0.0	0.83	5.68	0.0	4.74	0.0	6.52	0.0	4.58	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	11.21	0.0	10.88
PANX3	0.0	7.94	0.74	0.0	0.0	0.77	0.0	1.14	0.0	2.18	0.0	0.0	2.1	0.79	0.78	1.06	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	9.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
