	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7373.01A.11R.2016.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCA3	289.02	406.31	961.07	1757.34	1277.29	483.38	796.86	309.83	579.04	406.31	961.07	183.82	928.3	90.77	429.54	215.77	780.44	141.02	384.34	32.82	16.63	16.88	9.93	9.41	14.24	18.56	25.17	8.45	0.0	0.0
ABHD14A	414.87	660.68	1104.13	1023.0	366.09	638.15	679.29	417.77	1119.56	764.36	1250.98	320.8	759.08	309.83	1216.75	265.87	400.71	743.43	371.22	130.6	129.69	156.59	241.19	172.65	237.86	156.59	111.99	110.43	0.0	0.36
ACY1	679.29	1037.29	1191.69	1407.55	1167.14	902.89	1151.06	813.63	2319.15	967.76	1167.14	961.07	947.83	1519.15	1183.45	813.63	1561.89	775.05	1313.23	327.56	638.15	389.72	441.64	256.78	1066.48	890.44	651.58	543.96	0.0	0.13
AGR3	9606.86	17804.06	21919.61	55107.99	35609.13	23169.48	4972.34	10296.45	14361.31	21768.19	10585.95	10296.45	11992.79	8.85	14867.79	31.22	6607.01	17558.94	5479.15	7.46	15.56	7.34	0.0	0.0	1.62	0.0	4.24	0.0	0.0	0.29
AGTR1	74.58	1037.29	1936.53	3901.01	181.28	110.43	34.02	23.42	2.32	12.45	295.11	397.93	18.84	22.43	29.06	12.36	41.81	205.5	142.01	17.51	4.86	18.56	0.73	0.73	1.19	1.6	1.81	2.1	0.0	0.45
AMIGO3	80.57	285.03	100.13	178.77	46.5	78.89	30.12	38.95	86.43	74.06	71.5	0.0	66.65	94.67	57.08	4.94	89.51	16.51	71.5	15.68	29.27	12.83	6.62	30.12	54.33	21.32	15.11	63.0	0.0	0.0
ANAPC13	1977.24	2855.44	1594.73	2627.46	2875.3	2271.4	1477.58	1963.57	1651.0	2004.85	1529.73	1594.73	2664.15	1519.15	1769.57	1151.06	1088.92	1923.14	1104.13	638.15	1051.79	543.96	825.0	1551.09	1268.46	842.36	1242.34	753.83	0.0	0.52
ANKRD30B	96.01	251.48	420.68	480.04	169.07	76.17	11.73	31.45	33.54	332.14	205.5	583.07	98.73	26.67	607.87	1.22	81.14	265.87	387.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APITD1	547.75	713.11	1030.12	947.83	599.49	486.75	620.67	514.56	1073.91	397.93	825.0	277.2	825.0	567.1	688.78	373.81	532.74	260.38	220.32	279.14	191.67	103.69	172.65	267.73	220.32	183.82	291.04	205.5	0.0	0.0
APITD1-CORT	24.11	28.24	45.21	43.32	19.53	1.23	25.54	23.08	41.52	14.78	17.77	9.41	22.26	54.33	43.32	5.32	23.76	8.25	9.7	23.93	5.15	14.67	2.05	29.7	16.75	18.56	32.59	15.22	0.0	0.0
