	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A3Y9.01A.12R.A24K.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13OVL.2726.SM.5J2MP	GTEX.S341.0426.SM.4AD5L	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CALHM2	58.71	204.07	909.17	529.06	909.17	473.41	118.43	612.11	87.03	447.82	563.18	563.18	293.07	275.28	1143.1	830.75	395.18	723.08	629.35	56.68	85.22	0.0	0.62	190.34	121.79	145.02	182.55
CHRD	1.57	38.67	334.46	37.32	708.18	161.02	17.9	167.9	22.92	53.95	147.06	172.65	30.56	24.46	493.56	438.59	60.39	624.99	403.5	0.87	3.06	0.0	1.0	28.24	17.13	8.13	8.32
CLIP3	4.24	65.26	1242.34	72.52	1508.65	307.69	79.45	518.15	87.65	186.4	497.0	423.61	138.1	57.49	3103.19	6983.79	334.46	1437.15	1870.53	24.28	12.45	0.0	0.53	26.47	27.84	9.06	19.82
CNRIP1	6.21	115.16	320.8	66.65	753.83	244.57	37.59	153.34	60.82	96.01	224.97	305.55	82.87	116.78	902.89	1008.9	130.6	400.71	387.02	6.62	40.07	0.0	0.62	70.01	39.22	32.36	64.34
CSDC2	0.11	18.16	241.19	8.99	127.89	90.77	15.45	65.26	18.16	33.06	37.85	80.57	33.06	9.48	69.52	267.73	25.72	181.28	129.69	0.61	0.0	0.0	0.66	8.06	12.64	1.62	5.92
CST5	0.0	0.0	389.72	3.06	305.55	11.13	3.29	0.0	0.0	12.55	115.97	29.06	3.79	0.0	205.5	486.75	21.32	67.59	13.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAAM2	0.37	28.65	1674.06	151.22	3982.99	629.35	16.63	723.08	27.05	189.02	866.07	332.14	128.79	56.28	11345.82	17317.18	314.17	1936.53	3847.29	3.35	9.41	0.0	0.57	21.63	15.8	35.76	11.38
DACT3	0.0	7.88	1923.14	35.76	2032.85	351.14	20.56	441.64	23.42	145.02	423.61	493.56	75.64	19.68	3257.52	7280.4	180.02	1143.1	947.83	3.32	2.92	0.0	0.32	23.76	43.32	6.89	13.12
DIXDC1	12.36	39.5	629.35	45.53	511.0	120.1	24.99	126.12	23.25	119.26	190.34	167.9	41.81	43.94	2758.13	3491.39	28.45	511.0	947.83	25.91	35.5	0.0	0.16	28.65	25.35	36.79	11.21
ELN	8.0	511.0	2720.15	559.28	5366.37	2502.97	217.27	1487.87	197.09	836.53	1963.57	1073.91	368.65	289.02	5913.33	7589.61	466.88	3018.3	7032.37	12.93	75.11	0.0	0.92	283.05	31.45	102.97	94.67
