	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.E2.A1L7.01A.11R.A144.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.GM.A2DH.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.VS.A9UL.01A.11R.A42T.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BR.A4CR.01A.11R.A24K.31
ARMC2	75.64	34.02	45.53	82.29	113.56	33.54	73.03	66.65	49.56	60.39	43.63	120.94	346.29	108.14	56.28	36.27	55.49	105.89	71.0	36.79	101.54	56.68	58.71	281.09	55.1	36.79	35.5	51.35	208.38	231.32	61.25	30.34	37.85	155.5	129.69	33.3	49.21	40.36	37.59	122.64	85.22	34.26	122.64	21.94	14.35	29.27	14.56	20.86	20.41	38.12	11.38	33.78	15.11	14.24	18.56	7.94	16.88	132.44
ASAP2	271.48	514.56	155.5	295.11	376.41	172.65	157.68	253.23	295.11	198.47	392.44	92.7	262.2	178.77	81.14	212.78	72.52	403.5	189.02	201.25	293.07	137.14	293.07	591.22	176.29	131.51	256.78	312.0	693.58	334.46	138.1	98.04	163.28	567.1	279.14	327.56	232.94	403.5	237.86	327.56	218.79	86.43	579.04	9.27	48.52	13.22	2.81	14.03	14.35	19.53	8.45	16.63	8.71	40.36	18.43	11.73	10.39	463.65
BRMS1L	87.03	130.6	127.0	76.71	242.88	93.35	82.29	156.59	92.05	98.04	178.77	77.79	170.25	183.82	107.38	68.07	84.63	125.24	65.72	77.25	74.06	74.06	109.66	249.73	132.44	82.87	123.5	120.1	384.34	152.28	69.52	82.29	37.05	138.1	178.77	117.6	73.54	100.83	127.0	59.55	75.64	69.03	287.01	176.29	81.71	41.52	52.08	49.21	75.11	59.97	49.21	27.25	58.71	49.56	61.68	59.55	43.94	212.78
BUB1	224.97	420.68	381.68	229.72	460.44	105.89	157.68	299.25	220.32	77.25	343.89	163.28	529.06	231.32	75.64	144.01	71.0	368.65	273.37	75.64	255.0	44.89	381.68	796.86	185.11	186.4	157.68	314.17	441.64	703.28	146.03	51.71	209.84	341.51	226.54	80.57	142.01	384.34	146.03	267.73	166.73	33.06	796.86	5.02	31.67	42.41	11.73	45.21	9.63	12.74	41.81	37.05	51.35	23.59	18.56	1.53	3.86	525.39
CCAR1	1233.75	988.12	1350.18	1088.92	1286.18	1135.2	884.29	1551.09	1111.82	1561.89	1191.69	1437.15	1896.65	1378.57	1151.06	995.0	684.02	1350.18	1023.0	1151.06	1709.26	1096.5	1073.91	1583.71	1529.73	1259.69	1008.9	988.12	1896.65	1639.59	1447.15	854.13	1167.14	1417.35	1104.13	1487.87	1066.48	1378.57	819.3	1313.23	1233.75	902.89	1529.73	148.09	674.59	536.45	314.17	547.75	540.19	463.65	397.93	571.05	363.56	403.5	429.54	260.38	52.45	1001.93
CDCA7	59.55	674.59	65.72	198.47	19.39	31.22	9.41	66.18	6.57	8.38	161.02	18.7	616.37	90.77	58.3	54.72	7.11	107.38	9.34	3.99	24.81	11.64	109.66	1286.18	131.51	19.68	54.33	30.56	4.46	842.36	67.12	2.12	3.14	102.97	19.25	43.63	4.43	22.75	7.82	4.98	5.63	9.85	753.83	2.36	3.08	14.03	1.25	4.1	7.17	7.34	6.46	7.28	1.99	8.71	2.41	1.17	1.62	514.56
CENPE	93.35	172.65	138.1	116.78	423.61	25.17	47.84	127.89	80.57	38.4	94.01	75.64	170.25	102.97	18.16	70.51	20.56	180.02	150.17	21.78	94.01	20.86	103.69	154.42	118.43	87.03	32.13	82.87	170.25	177.53	74.58	20.41	64.34	130.6	64.34	56.28	55.49	146.03	75.11	182.55	178.77	22.26	183.82	0.39	9.93	14.78	3.32	11.47	3.38	7.88	12.27	5.06	9.48	5.19	3.35	0.55	0.0	177.53
CENPI	53.57	88.88	98.73	141.02	153.34	18.97	27.84	105.15	67.59	21.78	92.7	43.02	167.9	50.98	16.75	48.87	28.86	106.63	172.65	30.34	53.19	17.51	59.97	165.57	102.25	69.52	20.56	85.82	175.07	264.03	24.28	10.08	59.13	146.03	56.68	44.25	39.79	120.1	62.56	119.26	65.26	5.77	368.65	0.77	12.09	18.7	4.54	7.46	5.87	8.38	8.0	9.2	9.93	9.48	2.94	0.0	0.55	127.0
CENPL	136.19	277.2	336.79	120.94	269.6	68.07	93.35	249.73	132.44	159.9	144.01	74.06	358.54	125.24	78.89	76.17	106.63	224.97	195.72	84.04	166.73	53.95	163.28	318.57	258.57	142.01	127.89	172.65	275.28	480.04	142.01	49.21	185.11	420.68	218.79	154.42	80.57	234.57	97.36	283.05	92.05	61.68	395.18	88.88	66.18	72.01	18.43	31.67	23.08	21.47	30.56	39.5	80.57	42.41	29.7	4.06	11.38	228.13
CEP135	76.71	172.65	107.38	73.03	171.45	57.89	52.08	154.42	92.05	68.07	107.38	80.01	142.01	102.25	54.72	65.72	49.91	97.36	88.88	45.21	92.05	53.95	80.57	139.07	96.01	64.34	58.3	84.04	128.79	147.06	86.43	24.28	37.32	119.26	73.54	118.43	84.63	121.79	57.89	125.24	86.43	61.25	202.66	6.62	9.41	14.67	5.11	12.93	8.78	13.93	6.67	11.64	5.59	6.84	12.36	7.88	1.58	87.03
