	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.Y8.A8S1.01A.11R.A37K.07	GTEX.13O3O.1826.SM.5IFGW	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.TMMY.0926.SM.4TT1Z	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.131YS.0926.SM.5IJB9	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.W5X1.0526.SM.3GILH	GTEX.14DAR.0226.SM.5S2PR	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.QMRM.0826.SM.3NB33
AKAP11	40.64	1183.45	38.4	22.75	241.19	128.79	579.04	441.64	295.11	476.71	120.1	246.28	223.41	140.04	647.07	297.17	301.33	145.02	470.14	212.78	376.41	189.02	406.31	543.96	232.94	460.44
ALG10	29.91	76.17	17.25	7.46	54.33	56.28	74.06	61.68	53.57	74.58	14.35	41.81	46.84	30.12	87.65	49.21	51.35	51.35	109.66	48.87	51.71	26.1	115.16	76.17	48.18	74.06
ANKRD44	36.27	518.15	43.32	26.86	242.88	173.85	1127.35	1199.98	417.77	2739.08	146.03	234.57	536.45	145.02	733.19	607.87	409.15	134.3	1066.48	309.83	1313.23	248.0	785.88	733.19	497.0	651.58
ANKRD46	132.44	909.17	81.71	172.65	423.61	236.21	438.59	543.96	318.57	1208.34	181.28	346.29	356.05	256.78	921.88	320.8	314.17	246.28	414.87	297.17	457.25	242.88	603.67	595.34	297.17	603.67
ANKRD50	85.22	1183.45	31.67	5.02	150.17	123.5	256.78	211.31	204.07	1044.52	100.83	226.54	189.02	182.55	483.38	157.68	180.02	125.24	620.67	151.22	543.96	50.27	346.29	395.18	264.03	543.96
ARL6	35.0	264.03	27.05	18.03	175.07	122.64	182.55	176.29	148.09	334.46	49.21	187.71	147.06	123.5	341.51	122.64	140.04	62.56	336.79	77.79	204.07	102.25	151.22	316.37	158.79	234.57
ARL6IP5	921.88	4836.35	1015.93	450.94	7485.11	1662.49	4704.07	8363.13	4358.66	10084.54	1388.16	2417.67	2816.11	2796.65	7589.61	4671.57	3716.2	3443.31	5633.22	4038.61	6887.62	2855.44	8078.22	6699.25	2367.9	4152.18
BAI3	7.17	39.22	2.18	5.5	20.11	8.32	30.78	48.52	16.27	66.18	4.74	26.1	28.86	3.86	197.09	13.12	19.11	9.56	93.35	12.74	52.82	19.39	21.01	28.65	25.72	73.54
BBS12	20.86	186.4	54.33	3.79	31.9	40.36	66.65	41.81	34.26	97.36	13.72	65.72	68.07	26.86	113.56	51.71	79.45	33.06	116.78	50.27	46.84	28.24	67.12	142.01	46.5	54.33
BHLHB9	37.59	273.37	17.77	0.54	36.53	14.67	44.25	63.89	55.89	121.79	8.92	29.7	37.32	26.28	102.97	30.56	25.54	14.35	88.26	25.35	72.52	19.25	92.05	59.13	75.11	81.14
BTBD3	106.63	733.19	63.0	55.1	384.34	185.11	309.83	429.54	307.69	848.22	123.5	392.44	275.28	209.84	915.51	373.81	248.0	258.57	381.68	332.14	567.1	138.1	224.97	669.92	297.17	1073.91
CAND1	518.15	3190.46	323.03	197.09	490.14	559.28	1030.12	532.74	555.41	1191.69	444.72	540.19	884.29	981.29	1572.76	796.86	791.35	713.11	2400.97	490.14	2047.0	473.41	1359.57	1487.87	954.43	1242.34
CBX1	802.41	2758.13	444.72	66.65	620.67	620.67	723.08	1199.98	738.29	1781.89	190.34	423.61	518.15	500.46	1407.55	647.07	743.43	409.15	1651.0	412.0	1030.12	417.77	954.43	1066.48	860.08	1508.65
CCPG1	256.78	3372.43	177.53	480.04	2018.8	638.15	1674.06	1350.18	1572.76	2645.74	212.78	1216.75	954.43	595.34	3614.55	1127.35	1127.35	830.75	1794.29	1037.29	909.17	1030.12	2255.7	2400.97	703.28	1819.35
CDC5L	116.78	688.78	43.63	87.03	318.57	208.38	289.02	267.73	291.04	363.56	127.0	269.6	255.0	141.02	295.11	295.11	189.02	109.66	336.79	301.33	190.34	172.65	368.65	389.72	256.78	387.02
CDO1	37.32	559.28	4.06	301.33	142.01	84.04	356.05	521.76	208.38	802.41	55.1	228.13	180.02	25.17	1769.57	318.57	204.07	208.38	251.48	98.73	647.07	132.44	543.96	314.17	417.77	400.71
CEP120	65.26	1023.0	16.15	24.99	195.72	133.36	249.73	214.27	204.07	409.15	73.54	249.73	185.11	134.3	414.87	231.32	197.09	115.97	395.18	149.12	164.42	175.07	334.46	339.14	165.57	303.44
CEPT1	224.97	1757.34	318.57	387.02	647.07	476.71	397.93	698.41	536.45	967.76	583.07	583.07	521.76	688.78	802.41	563.18	514.56	567.1	1015.93	620.67	791.35	470.14	679.29	1088.92	503.95	848.22
CHMP5	1111.82	2777.33	1175.27	395.18	2915.45	674.59	1721.16	4123.49	2119.22	5403.7	866.07	3614.55	1340.84	1806.78	5711.87	1883.54	1950.0	1572.76	5219.6	1819.35	2133.97	1605.83	2573.36	3443.31	1242.34	2287.2
CKAP5	285.03	1628.26	163.28	309.83	384.34	429.54	503.95	363.56	325.29	514.56	193.01	389.72	384.34	389.72	656.11	476.71	379.04	264.03	575.03	435.55	295.11	368.65	775.05	802.41	764.36	547.75
CNOT6	92.7	669.92	69.03	38.95	228.13	195.72	264.03	275.28	260.38	536.45	105.15	189.02	186.4	171.45	500.46	236.21	199.85	218.79	521.76	228.13	343.89	150.17	381.68	426.57	239.52	444.72
CWF19L2	70.01	902.89	11.47	80.57	155.5	114.36	325.29	267.73	214.27	373.81	70.51	193.01	170.25	96.68	423.61	197.09	148.09	156.59	371.22	209.84	155.5	226.54	409.15	341.51	215.77	363.56
DCTN4	239.52	1628.26	251.48	195.72	836.53	414.87	651.58	713.11	743.43	2104.58	490.14	540.19	532.74	518.15	981.29	679.29	603.67	353.59	1119.56	624.99	713.11	633.73	1216.75	1350.18	660.68	878.17
DMD	40.07	1216.75	17.0	96.01	138.1	123.5	164.42	387.02	277.2	669.92	43.02	131.51	139.07	201.25	1388.16	141.02	525.39	94.01	329.84	93.35	314.17	136.19	346.29	163.28	82.29	612.11
ELMOD2	105.89	813.63	125.24	62.56	189.02	152.28	142.01	166.73	183.82	426.57	106.63	251.48	136.19	205.5	480.04	218.79	181.28	223.41	417.77	144.01	387.02	122.64	234.57	412.0	285.03	361.04
ENAH	224.97	3742.05	90.14	15.91	389.72	934.76	728.11	633.73	414.87	860.08	435.55	226.54	470.14	595.34	1051.79	693.58	688.78	603.67	1030.12	251.48	848.22	297.17	703.28	738.29	638.15	825.0
ESCO1	66.65	500.46	17.77	109.66	142.01	66.18	100.83	176.29	171.45	289.02	77.79	211.31	82.29	78.89	211.31	115.16	103.69	85.22	287.01	92.05	127.89	151.22	232.94	218.79	165.57	244.57
EXOC6	87.03	791.35	92.05	134.3	444.72	395.18	346.29	463.65	432.53	684.02	96.01	392.44	392.44	269.6	1819.35	438.59	289.02	142.01	665.29	392.44	928.3	169.07	460.44	830.75	327.56	595.34
EXOC8	69.52	336.79	56.28	100.13	197.09	120.1	164.42	208.38	148.09	186.4	100.83	185.11	155.5	85.82	109.66	211.31	199.85	96.68	211.31	151.22	265.87	75.64	356.05	293.07	185.11	269.6
FAM115A	253.23	947.83	55.89	229.72	299.25	224.97	890.44	532.74	406.31	1151.06	228.13	441.64	708.18	144.01	830.75	872.1	571.05	341.51	693.58	429.54	775.05	204.07	620.67	1059.11	493.56	981.29
FAM122A	109.66	651.58	127.89	67.59	348.71	193.01	239.52	299.25	176.29	555.41	132.44	229.72	228.13	169.07	490.14	242.88	149.12	100.83	320.8	237.86	167.9	151.22	237.86	423.61	201.25	493.56
FAM133B	172.65	796.86	39.79	486.75	551.56	241.19	186.4	379.04	500.46	842.36	173.85	435.55	214.27	260.38	647.07	441.64	241.19	158.79	669.92	279.14	616.37	348.71	438.59	518.15	327.56	559.28
FAM13B	94.67	1388.16	37.32	73.54	303.44	150.17	293.07	599.49	231.32	967.76	127.89	189.02	256.78	126.12	679.29	314.17	185.11	121.79	872.1	260.38	518.15	163.28	368.65	460.44	262.2	595.34
FZD1	273.37	669.92	295.11	13.62	493.56	212.78	909.17	583.07	463.65	1104.13	85.82	353.59	591.22	87.03	2163.77	507.46	312.0	299.25	656.11	305.55	698.41	348.71	866.07	759.08	503.95	1066.48
GABPA	65.72	1088.92	32.59	112.77	312.0	150.17	320.8	376.41	262.2	796.86	135.24	283.05	185.11	169.07	967.76	318.57	264.03	157.68	559.28	241.19	438.59	186.4	423.61	563.18	232.94	540.19
GNPTAB	187.71	860.08	239.52	81.14	854.13	463.65	974.5	708.18	1051.79	1508.65	253.23	713.11	928.3	567.1	1417.35	796.86	974.5	633.73	1857.6	738.29	688.78	1001.93	1104.13	1733.13	866.07	872.1
HCFC2	48.18	493.56	18.03	51.71	165.57	77.79	187.71	211.31	148.09	309.83	98.73	173.85	111.99	55.89	400.71	166.73	139.07	47.84	339.14	136.19	234.57	121.79	131.51	256.78	143.01	279.14
IGSF10	35.76	5112.16	2.89	2.1	371.22	269.6	616.37	395.18	195.72	660.68	62.12	127.89	457.25	90.14	2555.58	551.56	400.71	281.09	2240.11	132.44	571.05	231.32	708.18	373.81	420.68	376.41
INTS2	27.05	400.71	16.75	7.34	65.72	57.08	64.8	66.18	49.56	118.43	70.01	71.5	72.01	36.53	129.69	115.97	83.45	84.63	150.17	57.89	175.07	53.19	110.43	145.02	110.43	102.97
ITFG1	629.35	3955.48	1769.57	571.05	2240.11	713.11	1757.34	1498.22	1015.93	2119.22	426.57	1175.27	1250.98	748.61	2133.97	1572.76	830.75	1073.91	1733.13	1242.34	2224.63	967.76	1340.84	1870.53	825.0	1594.73
KDM4C	169.07	371.22	135.24	130.6	217.27	264.03	293.07	395.18	236.21	571.05	178.77	251.48	190.34	262.2	708.18	281.09	454.09	142.01	511.0	277.2	358.54	262.2	493.56	255.0	255.0	438.59
KIAA1715	87.65	1059.11	53.95	35.5	178.77	111.99	209.84	162.14	121.79	265.87	74.06	138.1	103.69	88.88	351.14	133.36	173.85	136.19	320.8	82.29	151.22	122.64	180.02	295.11	165.57	170.25
KITLG	47.17	2209.26	21.63	9.27	813.63	551.56	825.0	995.0	1008.9	2367.9	116.78	454.09	403.5	1540.37	5633.22	629.35	981.29	466.88	1427.22	454.09	2148.82	339.14	1295.13	2367.9	665.29	2119.22
KLHL28	36.01	379.04	24.28	49.91	180.02	76.71	74.06	113.56	212.78	176.29	43.63	92.05	95.34	62.56	229.72	120.94	94.67	53.95	265.87	105.89	190.34	110.43	171.45	145.02	92.7	169.07
KLHL8	44.25	629.35	48.87	98.04	158.79	88.26	154.42	153.34	156.59	198.47	127.89	130.6	119.26	73.54	150.17	147.06	187.71	94.01	150.17	127.89	153.34	96.01	206.94	237.86	145.02	264.03
