	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A8.A09I.01A.22R.A034.07	TCGA.A8.A08X.01A.21R.A00Z.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0DG.01A.21R.A12P.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.JL.A3YW.01A.12R.A239.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.EW.A1OZ.01A.11R.A144.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.VS.A9UO.01A.11R.A42T.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.CM.6162.01A.11R.1653.07	TCGA.DM.A28K.01A.21R.A32Y.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.VR.AA4D.01A.11R.A37I.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.AG.3725.01A.11R.1736.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.F1.A72C.01A.21R.A33Y.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.12WSB.0726.SM.5N9GD
ANTXR1	603.67	1268.46	48.18	1896.65	5913.33	1467.37	9088.59	1467.37	1127.35	3874.05	3168.41	3280.18	5594.3	3928.15	934.76	1583.71	8538.88	780.44	3081.75	4704.07	381.68	642.59	3372.43	2895.31	29.48	142.01	80.57	4210.15	139.07	733.19	1175.27	36.01	281.09	241.19	511.0	232.94	1159.07	466.88	890.44	514.56	420.68	915.51	1023.0	229.72	559.28	260.38	152.28	1457.23	208.38	2061.24	241.19	66.18	854.13	212.78	503.95	297.17	253.23	813.63	1001.93	518.15	169.07	547.75	180.02	339.14	267.73	2875.3
ASPN	376.41	490.14	19.97	819.3	15715.58	3639.7	9025.81	3639.7	1143.1	2976.74	5219.6	3901.01	13776.25	5913.33	603.67	947.83	9279.58	307.69	4388.98	13968.57	18.97	70.01	896.64	2367.9	3.69	15.45	45.53	575.03	14.45	125.24	571.05	4.58	103.69	60.39	75.11	39.5	441.64	79.45	595.34	71.5	96.01	356.05	297.17	74.06	57.08	68.55	37.85	647.07	93.35	2485.67	98.04	42.71	301.33	95.34	336.79	47.84	88.26	1051.79	679.29	476.71	77.79	94.01	13.62	97.36	36.53	4152.18
ATP8A2	1.19	1.17	0.31	2.43	6.46	15.56	8.85	15.56	25.35	23.42	5.87	31.67	22.92	3.99	2.84	9.85	42.71	7.51	860.08	21.01	0.0	2.32	5.96	7.46	1.31	0.67	0.43	5.11	2.66	3.41	2.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.78	0.97	2.05	3.26	4.54	3.11	7.4	1.13	1.3	3.82	3.35	3.41	2.14	3.03	4.58	14.78	1.57	1.64	26.28	6.11	8.78	18.43	3.86
CCDC8	50.98	116.78	10.47	169.07	267.73	223.41	303.44	223.41	35.5	126.12	612.11	150.17	153.34	178.77	40.07	90.77	279.14	40.93	460.44	299.25	0.23	43.63	1467.37	1674.06	1.6	50.27	4.28	95.34	9.27	34.02	57.08	1.46	8.99	6.36	9.63	9.78	23.59	11.04	21.94	14.67	8.58	16.39	17.51	7.51	20.26	14.03	2.66	45.21	13.52	189.02	9.06	4.5	31.0	4.62	24.63	8.58	7.34	63.45	169.07	17.25	3.72	56.68	18.97	61.25	52.45	346.29
CDH11	314.17	525.39	20.56	2319.15	6887.62	2485.67	11035.54	2485.67	934.76	2434.5	6561.36	2645.74	4836.35	2090.03	1331.57	1242.34	6887.62	928.3	4704.07	6037.61	25.72	327.56	4769.75	8421.31	9.34	36.79	39.5	1617.0	500.46	660.68	371.22	37.05	135.24	55.1	126.12	82.87	384.34	115.16	312.0	185.11	83.45	157.68	343.89	108.9	36.53	291.04	72.52	693.58	297.17	3768.09	164.42	58.3	563.18	133.36	529.06	289.02	236.21	753.83	500.46	287.01	165.57	351.14	81.71	346.29	125.24	2335.28
COL10A1	638.15	878.17	19.25	1233.75	14765.09	3349.13	16496.96	3349.13	2997.45	11504.21	7180.15	9808.75	9606.86	8247.98	1923.14	4704.07	21617.82	1628.26	6699.25	10512.82	0.0	3.56	166.73	0.52	1.1	16.03	31.9	1540.37	10.39	389.72	559.28	2.84	60.82	45.85	12.83	24.63	107.38	9.63	80.57	112.77	12.83	102.25	26.28	19.97	7.06	217.27	21.63	1250.98	7.4	3146.52	66.65	5.87	368.65	32.82	92.7	6.67	13.12	543.96	1073.91	674.59	5.92	3.76	0.0	0.0	0.12	7857.29
COL8A2	154.42	309.83	13.22	409.15	2133.97	934.76	1639.59	934.76	271.48	633.73	2061.24	1044.52	1277.29	1259.69	186.4	583.07	2997.45	204.07	1331.57	1963.57	37.05	115.97	201.25	206.94	62.56	94.67	5.06	457.25	14.03	49.56	120.94	6.73	49.21	21.94	54.72	17.38	106.63	32.59	90.14	77.25	33.78	153.34	121.79	31.45	45.53	71.5	7.63	95.34	43.94	483.38	16.63	4.62	92.05	14.45	78.34	24.63	30.78	180.02	224.97	23.08	12.45	158.79	30.34	66.65	49.21	759.08
COLEC12	152.28	291.04	22.59	743.43	733.19	409.15	854.13	409.15	134.3	473.41	915.51	260.38	878.17	511.0	173.85	312.0	1037.29	66.65	890.44	764.36	3.5	248.0	1651.0	2485.67	0.93	15.45	3.96	182.55	11.38	167.9	71.0	5.45	6.89	9.56	6.89	5.87	75.64	9.78	33.3	14.89	3.06	53.57	125.24	16.15	55.89	19.11	5.59	77.25	48.18	406.31	8.32	3.06	16.27	16.39	28.65	27.44	11.82	76.17	94.01	41.81	48.87	169.07	35.25	154.42	61.25	612.11
CTHRC1	1794.29	2018.8	587.13	5041.77	9409.14	5366.37	12676.65	5366.37	2451.44	5255.91	7857.29	3540.14	7857.29	7130.55	2148.82	2758.13	11827.67	1540.37	7642.41	13215.02	50.27	371.22	269.6	432.53	74.58	1844.76	195.72	3190.46	273.37	2271.4	1662.49	61.25	301.33	253.23	638.15	152.28	607.87	293.07	693.58	703.28	423.61	780.44	543.96	96.68	58.71	395.18	287.01	2591.27	140.04	5831.91	567.1	56.28	866.07	348.71	1111.82	153.34	186.4	1487.87	2701.35	698.41	132.44	72.52	85.22	121.79	42.41	6652.97
CTSK	2163.77	3103.19	255.0	5441.3	14663.09	10585.95	22380.2	10585.95	3690.52	10585.95	16843.62	8778.97	12076.21	11992.79	3081.75	3847.29	21026.65	2835.7	15607.02	20310.37	1340.84	5112.16	31650.8	16960.78	275.28	363.56	163.28	6294.04	518.15	738.29	2976.74	147.06	665.29	435.55	563.18	435.55	1721.16	728.11	1286.18	872.1	753.83	1277.29	1427.22	414.87	368.65	536.45	363.56	2434.5	651.58	4836.35	285.03	237.86	1175.27	387.02	1950.0	567.1	264.03	934.76	1870.53	791.35	249.73	1111.82	341.51	713.11	612.11	4066.71
