	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.77.8007.11A.01R.2187.07
ABCD2	2.89	3.38	7.4	0.39	2.23	0.37	1.81	1.33	3.99	1.33	1.64	1.2	0.72	1.71	0.8	1.25	0.87	1.36	0.0	0.39	0.0	0.36	3.08	0.39	0.39	0.0	0.36	0.75	4.98	0.34	0.3	0.67	1.2	0.37	0.6	0.75	2.27	2.39	1.16	2.56	3.53	0.48	1.77	5.45	0.48	4.28	2.14	8.13	7.69	6.73	13.32	17.25	5.02	9.27	6.01	5.15	5.28	7.17	9.7	9.34
ACE	273.37	336.79	373.81	708.18	316.37	293.07	251.48	122.64	244.57	212.78	309.83	102.25	38.12	181.28	52.45	141.02	48.52	94.67	24.46	65.26	64.34	24.11	175.07	46.5	99.43	27.64	181.28	92.05	46.84	60.39	16.63	307.69	23.93	30.56	20.56	84.04	18.29	5.02	155.5	7.28	31.22	31.67	88.88	140.04	59.13	2537.92	212.78	1183.45	1015.93	2255.7	708.18	8963.45	1498.22	1950.0	2400.97	2209.26	4937.99	1950.0	1617.0	1583.71
ADPRH	185.11	193.01	361.04	158.79	149.12	244.57	236.21	166.73	229.72	167.9	68.07	73.03	65.26	72.01	39.79	96.01	34.51	42.41	92.7	34.26	27.64	23.59	105.89	57.08	45.53	55.1	36.53	28.04	44.89	40.93	82.29	32.36	58.3	28.24	23.93	24.99	28.04	21.01	80.57	19.97	43.94	50.27	77.25	90.77	63.45	358.54	35.0	334.46	149.12	389.72	201.25	559.28	392.44	460.44	674.59	305.55	426.57	665.29	1457.23	341.51
AKNA	426.57	348.71	642.59	142.01	183.82	400.71	457.25	273.37	400.71	273.37	215.77	163.28	99.43	151.22	113.56	287.01	273.37	119.26	45.21	53.95	71.0	64.34	249.73	80.57	158.79	81.71	215.77	144.01	81.14	80.01	49.91	98.73	90.77	147.06	47.5	147.06	150.17	199.85	95.34	131.51	99.43	142.01	130.6	169.07	42.41	599.49	189.02	376.41	624.99	256.78	647.07	1183.45	521.76	438.59	2895.31	497.0	775.05	1059.11	3372.43	470.14
APOBEC3G	444.72	305.55	748.61	140.04	220.32	256.78	417.77	289.02	341.51	371.22	115.16	169.07	46.84	170.25	84.04	231.32	63.45	110.43	12.09	53.57	16.51	15.34	248.0	234.57	79.45	40.36	44.57	92.05	29.48	109.66	39.5	49.56	49.91	18.7	26.47	56.28	48.18	69.03	155.5	81.71	193.01	33.06	138.1	275.28	111.99	423.61	82.87	642.59	620.67	1304.15	753.83	1844.76	361.04	947.83	438.59	426.57	813.63	547.75	389.72	819.3
ARHGAP15	412.0	314.17	660.68	112.77	138.1	127.89	180.02	283.05	242.88	264.03	237.86	130.6	58.3	149.12	45.85	164.42	47.17	104.42	25.91	95.34	32.59	30.78	796.86	85.22	41.22	65.72	53.95	101.54	40.93	84.04	43.94	71.0	81.14	34.02	36.79	63.89	312.0	171.45	96.68	159.9	361.04	72.52	116.78	194.36	73.03	358.54	75.11	490.14	497.0	384.34	830.75	802.41	381.68	854.13	728.11	273.37	769.69	199.85	684.02	514.56
ARHGAP25	629.35	414.87	902.89	242.88	258.57	239.52	559.28	312.0	713.11	423.61	186.4	130.6	73.03	175.07	96.68	199.85	142.01	99.43	27.84	39.5	69.52	26.28	303.44	67.12	57.89	57.08	50.27	107.38	46.84	84.04	27.44	70.51	59.13	49.56	36.53	75.11	149.12	88.26	119.26	36.79	145.02	83.45	147.06	140.04	84.63	603.67	93.35	854.13	353.59	529.06	743.43	1208.34	693.58	441.64	665.29	473.41	1001.93	518.15	733.19	693.58
ARHGAP30	571.05	473.41	1073.91	209.84	295.11	457.25	733.19	379.04	642.59	511.0	173.85	100.13	81.14	144.01	100.83	134.3	47.17	80.57	16.88	35.76	21.32	29.06	262.2	42.11	38.67	42.41	39.5	102.25	36.01	30.78	29.91	72.01	48.52	20.86	34.75	52.45	61.25	62.56	134.3	42.11	85.82	100.13	212.78	265.87	81.71	1001.93	75.11	551.56	587.13	1427.22	583.07	1909.85	947.83	563.18	896.64	1963.57	1111.82	1832.01	616.37	638.15
ARHGAP9	791.35	466.88	1088.92	140.04	260.38	343.89	525.39	400.71	525.39	514.56	341.51	214.27	187.71	162.14	89.51	406.31	70.01	176.29	23.25	72.52	19.68	43.63	426.57	86.43	94.01	72.52	75.11	206.94	59.13	76.71	57.49	137.14	90.77	45.21	88.26	84.04	161.02	135.24	122.64	92.7	555.41	303.44	193.01	447.82	97.36	947.83	100.13	698.41	420.68	2018.8	759.08	2417.67	1477.58	802.41	915.51	1378.57	2400.97	591.22	483.38	1059.11
ARRDC5	14.03	11.64	12.64	0.4	1.83	6.31	5.19	8.45	6.31	7.11	2.12	0.0	1.79	1.39	0.61	5.59	1.66	2.18	0.0	1.43	0.0	0.53	5.02	0.58	0.99	0.99	0.0	2.76	0.55	0.0	0.0	0.53	0.85	0.0	1.87	1.45	0.0	1.51	1.03	1.6	3.47	1.2	0.0	2.36	0.24	16.03	4.39	7.22	10.88	11.13	12.93	20.11	5.5	5.87	9.78	10.24	12.83	13.52	18.16	13.03
BIN2	703.28	316.37	941.27	198.47	249.73	262.2	447.82	267.73	511.0	371.22	164.42	68.07	60.82	106.63	81.71	180.02	59.97	70.01	11.38	31.0	7.82	12.18	253.23	39.79	30.78	34.51	38.95	87.03	21.78	54.33	22.26	48.52	49.56	20.41	38.67	34.51	92.05	58.3	118.43	55.49	106.63	53.19	154.42	175.07	51.71	521.76	45.53	688.78	293.07	633.73	429.54	1685.71	540.19	656.11	325.29	486.75	802.41	780.44	397.93	743.43
BTK	616.37	420.68	665.29	153.34	141.02	212.78	295.11	228.13	420.68	346.29	126.12	58.71	38.95	65.72	49.56	138.1	24.99	35.5	4.35	16.75	5.45	4.74	206.94	24.99	11.04	15.34	12.83	52.82	22.1	45.21	14.67	32.59	42.11	13.12	12.93	31.9	38.12	21.78	73.03	12.83	75.64	54.33	90.77	117.6	23.93	780.44	31.45	493.56	373.81	896.64	540.19	2004.85	327.56	961.07	896.64	780.44	1447.15	1498.22	559.28	532.74
BTN3A2	521.76	728.11	934.76	1662.49	417.77	633.73	2119.22	896.64	915.51	595.34	518.15	860.08	775.05	633.73	241.19	327.56	175.07	285.03	150.17	102.97	872.1	463.65	536.45	318.57	371.22	363.56	262.2	842.36	713.11	101.54	214.27	525.39	409.15	103.69	332.14	669.92	204.07	190.34	480.04	723.08	775.05	480.04	921.88	764.36	343.89	1051.79	256.78	1369.04	1733.13	2271.4	1950.0	2664.15	1639.59	1721.16	884.29	1617.0	3124.78	1277.29	1427.22	1369.04
BTN3A3	339.14	265.87	358.54	295.11	283.05	329.84	547.75	332.14	336.79	267.73	221.86	379.04	301.33	242.88	148.09	125.24	126.12	127.89	105.89	65.72	264.03	218.79	195.72	129.69	97.36	130.6	36.27	231.32	156.59	124.37	48.52	148.09	77.25	50.98	84.63	255.0	236.21	123.5	332.14	295.11	341.51	305.55	599.49	540.19	236.21	647.07	114.36	642.59	915.51	1088.92	743.43	1857.6	974.5	1183.45	521.76	791.35	1757.34	748.61	791.35	878.17
C16orf54	61.25	62.56	170.25	25.72	61.25	60.39	97.36	39.22	97.36	49.91	33.06	18.16	4.54	22.92	8.45	21.01	12.27	16.51	1.16	5.63	1.97	6.21	29.7	5.73	3.66	8.0	7.75	20.86	2.86	9.41	1.85	4.82	2.84	1.64	4.06	7.88	11.21	9.56	24.11	8.0	11.73	18.29	28.04	64.34	34.75	105.89	10.39	111.21	72.52	100.83	133.36	490.14	110.43	189.02	185.11	90.14	231.32	473.41	88.26	99.43
C1orf162	1594.73	1277.29	2133.97	595.34	603.67	1304.15	1233.75	1088.92	1407.55	1639.59	381.68	197.09	209.84	412.0	244.57	1023.0	137.14	205.5	35.5	71.0	79.45	34.26	848.22	120.1	96.01	86.43	88.88	186.4	94.01	148.09	91.41	167.9	165.57	64.34	135.24	110.43	325.29	197.09	743.43	117.6	387.02	376.41	669.92	476.71	260.38	3794.3	141.02	2163.77	3419.52	2255.7	3325.99	5672.41	3039.3	3168.41	3467.27	8191.0	4704.07	4298.64	5292.48	2875.3
CCL18	59063.35	28723.62	6935.54	10014.87	5441.3	13492.72	10883.59	17197.56	14065.74	23986.58	164.42	115.97	15.91	466.88	42.71	68.55	103.69	166.73	16.15	13.22	24.46	11.04	62.12	51.71	320.8	2.39	63.45	53.95	14.45	139.07	11.21	17.51	40.07	38.67	22.1	218.79	6.26	3.2	39.22	242.88	59.97	3.86	50.63	49.91	25.72	147462.67	163.28	57051.4	27745.15	75803.72	35856.82	7749.1	12589.08	24660.96	19892.37	140478.49	8901.53	17558.94	35363.15	96616.71
CCL2	3443.31	9409.14	6745.86	2591.27	2303.12	5403.7	1572.76	2935.74	9088.59	7280.4	665.29	1183.45	299.25	961.07	414.87	309.83	110.43	450.94	63.89	129.69	74.06	175.07	624.99	547.75	154.42	813.63	155.5	708.18	140.04	403.5	82.87	679.29	223.41	151.22	52.08	575.03	3564.78	1896.65	909.17	536.45	341.51	195.72	135.24	3060.45	152.28	9808.75	426.57	20881.4	2148.82	13306.94	3665.02	4802.93	7695.57	3280.18	22850.48	5913.33	1467.37	1909.85	723.08	24321.43
CCL4	1819.35	1733.13	2895.31	267.73	376.41	1199.98	967.76	397.93	1350.18	1059.11	135.24	111.99	64.8	312.0	85.82	470.14	72.01	186.4	8.78	20.71	9.48	41.81	493.56	59.55	115.16	30.12	117.6	75.11	131.51	236.21	49.91	190.34	177.53	38.67	82.29	70.01	536.45	249.73	125.24	599.49	559.28	91.41	277.2	204.07	100.13	848.22	57.49	854.13	1477.58	769.69	1883.54	1331.57	1551.09	878.17	1685.71	988.12	1561.89	759.08	559.28	1008.9
CCL4L1	1313.23	842.36	1350.18	229.72	376.41	854.13	575.03	173.85	808.0	769.69	61.25	75.64	17.25	167.9	55.1	246.28	40.07	50.27	9.56	7.06	11.04	15.11	206.94	63.45	11.55	9.7	103.69	9.56	77.25	218.79	28.65	232.94	198.47	25.91	36.27	88.88	0.0	323.03	201.25	226.54	0.0	66.65	109.66	42.41	202.66	271.48	27.64	392.44	470.14	366.09	231.32	599.49	1066.48	186.4	212.78	273.37	212.78	490.14	314.17	363.56
CCL5	1322.37	1407.55	2502.97	493.56	854.13	1096.5	2997.45	1674.06	1369.04	1216.75	540.19	860.08	152.28	624.99	295.11	791.35	182.55	587.13	24.46	70.01	44.89	58.71	1135.2	166.73	189.02	107.38	140.04	500.46	71.0	267.73	94.01	103.69	124.37	108.9	127.89	172.65	332.14	723.08	215.77	1044.52	947.83	209.84	373.81	813.63	151.22	1066.48	246.28	2004.85	5403.7	2645.74	1242.34	3639.7	1909.85	7911.95	3639.7	764.36	4575.41	2255.7	1519.15	1628.26
CCR7	183.82	397.93	198.47	11.64	65.26	150.17	30.56	37.85	108.14	65.72	88.88	42.11	11.13	44.25	5.36	35.25	19.82	20.11	7.34	14.14	12.0	4.94	35.5	6.89	6.21	11.38	17.64	40.64	2.12	9.7	1.81	4.94	9.63	4.28	13.83	12.09	21.47	19.82	7.22	26.28	37.32	29.06	13.22	64.8	50.63	137.14	26.67	175.07	119.26	66.18	50.27	255.0	75.64	71.0	785.88	384.34	84.04	75.64	127.89	105.15
CD2	303.44	291.04	698.41	140.04	176.29	195.72	395.18	228.13	463.65	208.38	198.47	129.69	39.22	264.03	82.87	205.5	78.34	146.03	3.26	54.33	8.06	9.41	193.01	55.89	46.18	57.89	59.55	163.28	17.13	64.8	33.78	26.67	30.12	20.71	25.17	57.49	37.32	105.15	86.43	84.04	100.83	20.11	122.64	348.71	59.13	457.25	92.7	503.95	540.19	571.05	400.71	2502.97	518.15	1407.55	373.81	395.18	638.15	884.29	708.18	660.68
CD22	395.18	251.48	423.61	183.82	183.82	303.44	204.07	301.33	403.5	460.44	46.5	49.56	13.93	33.54	12.18	29.91	24.63	22.59	11.38	15.91	5.06	0.65	43.02	38.12	8.38	25.17	10.71	38.95	6.11	19.39	1.6	5.19	56.68	5.36	16.63	21.32	10.08	0.0	21.16	14.03	84.04	93.35	46.5	74.58	52.82	454.09	25.35	356.05	103.69	1159.07	579.04	934.76	713.11	204.07	327.56	507.46	343.89	1037.29	454.09	211.31
CD226	32.82	19.25	37.85	8.06	17.9	15.22	33.3	21.94	30.12	5.32	5.77	12.64	6.52	11.38	4.35	11.38	7.51	5.77	0.46	1.89	3.35	1.71	23.76	1.93	1.87	9.93	3.06	11.64	3.08	5.87	0.91	2.36	3.92	2.43	1.25	7.51	27.25	25.17	8.65	26.67	3.11	10.16	26.86	27.64	40.64	52.45	8.58	98.04	22.26	19.82	18.43	59.55	10.71	75.11	87.65	15.8	20.11	25.17	33.54	87.03
CD244	81.71	48.52	76.17	24.63	20.26	18.97	90.77	35.76	50.27	55.49	45.21	9.27	6.01	9.48	4.31	28.24	7.22	11.73	2.68	10.88	0.0	1.89	53.95	5.96	7.51	3.17	41.22	9.27	9.13	8.19	2.78	7.88	7.57	3.72	4.13	2.86	7.82	15.68	43.94	30.78	78.34	46.5	46.5	42.71	23.93	65.26	6.31	82.29	16.27	53.95	120.1	236.21	35.5	34.02	69.03	15.8	107.38	45.85	33.54	80.01
CD247	193.01	190.34	356.05	47.17	88.26	193.01	265.87	151.22	163.28	148.09	96.68	62.12	30.78	100.83	56.28	138.1	74.06	70.51	10.55	28.45	10.0	15.91	201.25	28.24	23.42	31.45	39.79	72.01	105.15	63.89	23.42	45.85	39.79	16.75	40.93	36.53	68.07	126.12	53.57	80.01	152.28	35.76	102.25	72.52	39.22	211.31	50.98	262.2	237.86	198.47	285.03	497.0	244.57	384.34	775.05	181.28	813.63	256.78	616.37	289.02
CD300LF	620.67	473.41	718.08	279.14	242.88	470.14	529.06	325.29	547.75	607.87	134.3	54.33	17.0	85.82	31.9	49.21	10.88	16.75	3.17	15.45	8.85	4.03	94.67	25.17	19.68	4.39	12.55	37.32	16.75	23.59	10.55	11.73	19.11	11.73	7.57	22.43	77.25	11.64	33.78	18.29	31.0	33.06	24.46	83.45	19.11	559.28	24.81	490.14	759.08	988.12	379.04	4066.71	1233.75	1051.79	329.84	1844.76	2148.82	2119.22	540.19	403.5
