	TCGA.C5.A1M9.01A.11R.A13Y.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.G3.A3CK.01A.11R.A213.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.8602.01A.11R.2402.13	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.CD.8531.01A.11R.2343.13
ACACB	39.5	144.01	156.59	169.07	406.31	307.69	128.79	91.41	229.72	58.3	67.59	164.42	909.17	255.0	406.31	1015.93	1088.92	1066.48	1617.0	665.29	934.76	1259.69	791.35	320.8	1001.93	1551.09	0.0	0.27	52.82	22.1	69.03
ADRA1A	0.0	5.19	72.01	64.34	43.32	209.84	9.56	6.31	14.89	2.76	15.11	65.72	2591.27	312.0	305.55	669.92	1757.34	595.34	2287.2	698.41	555.41	1437.15	1143.1	92.05	909.17	1277.29	0.0	0.31	0.59	1.6	3.92
ALDH8A1	6.06	595.34	529.06	1008.9	878.17	1498.22	703.28	127.89	346.29	7.94	169.07	748.61	6516.03	1697.45	2209.26	6561.36	8022.41	8078.22	26067.14	3467.27	5076.84	21617.82	4869.99	3039.3	4736.79	11664.82	0.0	0.42	4.13	2.39	4.54
ASPA	0.41	5.77	40.93	14.56	6.57	33.78	6.78	3.86	18.43	3.72	4.66	4.94	262.2	39.79	68.07	277.2	153.34	176.29	211.31	267.73	140.04	178.77	115.16	133.36	198.47	299.25	0.0	0.16	0.99	0.52	3.41
C1orf168	5.5	107.38	193.01	217.27	140.04	141.02	50.98	15.11	120.94	14.56	52.82	220.32	403.5	167.9	371.22	395.18	555.41	351.14	242.88	281.09	141.02	223.41	638.15	172.65	909.17	80.57	0.0	0.12	0.0	2.34	0.62
CES1	25.91	85876.94	229795.93	251464.33	136637.07	305326.92	57051.4	150561.19	277089.94	122293.5	128373.58	141455.6	180294.02	1282030.25	499455.67	358098.26	386469.83	1273174.62	324980.94	2599854.48	496005.67	1019901.63	589853.66	431797.89	434801.29	828417.36	665.29	228.13	19.11	40.64	17.77
CHPT1	309.83	1977.24	2417.67	2367.9	4152.18	2209.26	3018.3	1457.23	3168.41	1628.26	2047.0	2664.15	5517.27	2193.99	2367.9	5147.73	4736.79	3901.01	3614.55	5112.16	3325.99	5147.73	5594.3	2384.37	5329.3	10225.32	0.0	0.68	808.0	1870.53	185.11
CPED1	3.53	62.56	86.43	130.6	108.9	187.71	43.94	35.25	59.97	11.73	34.26	167.9	713.11	242.88	182.55	559.28	1216.75	403.5	890.44	373.81	423.61	1378.57	563.18	995.0	909.17	813.63	0.0	0.17	36.53	12.55	11.47
DAO	0.6	283.05	902.89	813.63	2047.0	647.07	414.87	15.91	642.59	41.22	414.87	599.49	6121.9	256.78	4543.8	5831.91	9409.14	5751.61	5791.62	3103.19	2335.28	3491.39	19482.97	902.89	13215.02	4181.07	0.0	0.0	0.0	1.36	0.87
DBH	0.0	10.0	18.97	59.55	23.93	8.45	7.11	6.16	10.79	1.62	19.25	31.45	2777.33	33.06	153.34	1073.91	878.17	314.17	1233.75	457.25	540.19	1745.2	941.27	447.82	1498.22	137.14	0.0	0.27	5.87	1.51	0.89
DMGDH	1.36	579.04	967.76	974.5	921.88	1794.29	723.08	134.3	1008.9	563.18	915.51	1183.45	3794.3	1540.37	3820.7	8363.13	5594.3	12943.04	15499.21	2061.24	2133.97	12764.83	3614.55	1286.18	7589.61	5913.33	0.0	0.31	1.41	0.0	4.9
EHHADH	101.54	836.53	4328.55	2351.53	1991.0	3665.02	1467.37	167.9	2104.58	872.1	1350.18	2609.3	6652.97	2148.82	4607.24	9808.75	8963.45	7642.41	10883.59	6207.38	4512.4	12329.98	5913.33	3018.3	10512.82	10512.82	0.0	0.0	234.57	108.9	4.7
FAHD2A	406.31	796.86	896.64	954.43	1331.57	1286.18	995.0	507.46	808.0	647.07	595.34	872.1	3820.7	1304.15	1896.65	3257.52	3257.52	3146.52	4210.15	2664.15	4328.55	3928.15	4268.94	2816.11	3820.7	5006.93	0.0	0.65	206.94	361.04	423.61
FAM198A	1.01	2.78	15.34	7.75	32.36	11.47	4.31	2.71	3.99	2.2	2.07	4.74	126.12	91.41	97.36	109.66	305.55	15.91	256.78	83.45	83.45	156.59	37.85	37.85	796.86	13.12	0.0	0.42	2.18	0.0	3.32
FAM229B	48.52	136.19	114.36	229.72	130.6	339.14	118.43	68.07	277.2	88.26	76.17	293.07	1059.11	172.65	181.28	1225.22	796.86	1191.69	688.78	633.73	480.04	802.41	2075.59	441.64	642.59	660.68	0.0	0.28	42.71	21.63	63.0
GBP7	0.29	417.77	460.44	444.72	563.18	273.37	215.77	152.28	55.1	5.19	116.78	275.28	2537.92	988.12	934.76	2287.2	3540.14	1896.65	3955.48	3515.68	988.12	2796.65	3847.29	947.83	5913.33	2664.15	0.0	0.0	7.11	0.0	0.0
