	TCGA.D8.A1J9.01A.11R.A13Q.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.C8.A12Q.01A.11R.A115.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.131YS.0626.SM.5EGKL	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.A11D.11A.12R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.145MF.0826.SM.5QGQA	GTEX.13NYC.2626.SM.5K7VN
ABCB9	129.69	190.34	90.77	127.0	251.48	438.59	77.79	82.87	106.63	131.51	94.01	73.54	116.78	170.25	45.85	12.93	21.32	21.94	8.45	10.88	9.41	6.41	5.45	12.36	21.32
ABCC10	303.44	647.07	595.34	473.41	299.25	500.46	277.2	215.77	521.76	579.04	486.75	269.6	392.44	423.61	220.32	120.94	152.28	142.01	110.43	96.68	90.77	96.01	185.11	72.01	182.55
AGFG1	1806.78	1697.45	2090.03	1977.24	1143.1	2209.26	1111.82	1167.14	1857.6	1467.37	1757.34	947.83	1721.16	629.35	995.0	289.02	356.05	616.37	228.13	334.46	329.84	392.44	379.04	262.2	1135.2
BTF3L4	2090.03	1508.65	1008.9	1662.49	1467.37	1697.45	1044.52	1225.22	1268.46	1073.91	1477.58	1151.06	1295.13	775.05	1605.83	647.07	563.18	660.68	551.56	503.95	438.59	536.45	406.31	521.76	1427.22
C11orf84	336.79	403.5	389.72	358.54	348.71	743.43	212.78	224.97	358.54	624.99	480.04	162.14	332.14	267.73	343.89	55.89	87.03	66.65	50.27	46.84	57.08	33.3	40.93	31.9	297.17
C3orf36	31.22	18.43	38.12	26.86	10.71	48.87	3.44	3.82	24.99	26.28	12.64	4.54	6.16	0.25	3.26	1.66	2.05	0.0	0.57	0.0	0.56	0.59	0.0	0.0	8.51
C8orf76	909.17	842.36	521.76	536.45	674.59	902.89	470.14	339.14	802.41	616.37	521.76	441.64	348.71	356.05	698.41	435.55	348.71	409.15	299.25	376.41	307.69	314.17	316.37	297.17	264.03
CBX2	341.51	256.78	142.01	72.52	185.11	775.05	30.78	19.11	368.65	197.09	148.09	84.04	40.07	20.71	39.79	4.66	19.82	5.54	3.38	8.13	9.41	9.41	2.23	1.14	134.3
CCDC64	426.57	381.68	271.48	674.59	571.05	540.19	226.54	115.97	454.09	389.72	253.23	151.22	267.73	66.65	109.66	33.06	45.53	82.29	16.63	30.34	23.08	15.91	23.76	15.68	116.78
CDK5R1	92.05	53.95	19.39	24.11	56.28	53.57	27.84	10.47	22.43	46.84	11.04	19.25	11.91	9.27	24.28	6.31	11.73	3.35	6.62	7.75	8.25	7.51	1.71	1.23	60.82
CDR2L	525.39	454.09	775.05	830.75	373.81	854.13	271.48	269.6	253.23	718.08	769.69	178.77	384.34	113.56	141.02	31.0	49.21	33.3	12.74	21.32	20.86	17.25	5.15	11.82	38.12
CHFR	483.38	460.44	518.15	432.53	507.46	567.1	299.25	281.09	426.57	497.0	285.03	236.21	351.14	256.78	209.84	114.36	191.67	181.28	110.43	170.25	121.79	141.02	162.14	85.82	289.02
CKAP4	4419.52	1936.53	2119.22	2287.2	5112.16	2520.38	1540.37	1250.98	2609.3	2209.26	1757.34	2720.15	1639.59	813.63	738.29	583.07	647.07	583.07	384.34	414.87	395.18	497.0	285.03	293.07	674.59
CLSTN1	4123.49	2997.45	2895.31	2875.3	2591.27	4358.66	3190.46	2367.9	3955.48	2976.74	2875.3	2193.99	2133.97	3395.89	1819.35	309.83	551.56	447.82	241.19	312.0	242.88	267.73	454.09	143.01	947.83
COL4A1	2573.36	2209.26	4903.87	3372.43	2573.36	7803.01	1697.45	1151.06	3874.05	4972.34	896.64	1437.15	1896.65	669.92	896.64	145.02	764.36	229.72	82.87	135.24	146.03	136.19	226.54	98.73	825.0
DPP3	2351.53	1583.71	1199.98	808.0	1819.35	1769.57	842.36	688.78	1151.06	1286.18	1467.37	780.44	860.08	325.29	791.35	271.48	429.54	460.44	426.57	450.94	435.55	414.87	346.29	389.72	323.03
ENOPH1	872.1	890.44	836.53	1159.07	674.59	1143.1	688.78	612.11	620.67	802.41	872.1	660.68	575.03	830.75	1037.29	244.57	301.33	264.03	262.2	228.13	231.32	234.57	205.5	232.94	607.87
EPCAM	10512.82	5112.16	5594.3	6250.56	12764.83	14361.31	4671.57	3928.15	9151.82	6516.03	6079.61	3665.02	5913.33	2434.5	2701.35	158.79	137.14	150.17	26.67	56.68	67.12	46.18	10.71	8.51	37.05
FAM127C	543.96	547.75	651.58	543.96	389.72	764.36	273.37	356.05	387.02	438.59	547.75	110.43	297.17	454.09	616.37	33.54	63.89	37.59	25.54	35.5	21.47	39.22	48.18	10.96	215.77
FAM155B	63.0	24.11	49.21	35.76	57.49	62.56	12.83	17.77	29.7	49.91	51.71	11.64	24.46	19.39	21.32	0.74	2.25	1.17	2.29	3.0	0.71	0.74	5.54	0.0	0.0
FHOD1	525.39	825.0	995.0	1208.34	417.77	1651.0	376.41	336.79	1199.98	967.76	819.3	273.37	567.1	483.38	483.38	119.26	251.48	116.78	64.8	94.01	76.17	66.18	94.01	66.65	591.22
G6PD	1963.57	2591.27	3491.39	14765.09	2434.5	2119.22	902.89	665.29	1331.57	1388.16	2895.31	728.11	1111.82	954.43	718.08	107.38	176.29	103.69	68.07	105.15	84.63	92.7	94.67	24.81	743.43
GLRX3	1159.07	1447.15	1143.1	2133.97	1417.35	1286.18	961.07	825.0	1135.2	1119.56	1605.83	947.83	878.17	825.0	1594.73	656.11	748.61	698.41	633.73	665.29	551.56	656.11	470.14	607.87	1709.26
GPR19	79.45	66.65	6.57	43.94	14.03	63.0	12.0	5.45	15.56	25.54	33.06	13.12	22.92	19.53	34.26	2.27	2.14	0.55	3.69	0.64	2.63	0.0	0.29	3.79	2.89
GPRIN1	91.41	169.07	85.82	102.97	53.19	129.69	21.78	26.47	90.14	151.22	156.59	34.02	86.43	8.19	5.96	1.87	4.39	8.0	1.79	1.91	1.2	1.85	0.85	0.77	36.79
H2AFV	2502.97	4481.23	3124.78	4095.0	6250.56	9808.75	3212.66	2956.17	3928.15	4268.94	4388.98	4704.07	6250.56	1685.71	3395.89	1388.16	1467.37	1594.73	1427.22	1685.71	1709.26	1572.76	1551.09	2018.8	2468.49
ITGB4	3874.05	6164.49	2133.97	5791.62	1096.5	6983.79	2875.3	2303.12	1208.34	540.19	1909.85	1073.91	2816.11	3564.78	2255.7	139.07	161.02	54.33	49.56	71.5	115.97	73.54	84.63	54.72	2148.82
JPH3	4.21	86.43	17.13	117.6	82.29	140.04	2.48	0.78	5.68	22.92	1.87	4.58	3.32	3.06	0.69	2.41	1.75	0.0	0.0	0.74	0.0	0.0	0.0	0.0	8.51
KCMF1	1447.15	1697.45	1001.93	1794.29	1001.93	1322.37	967.76	928.3	1242.34	836.53	1044.52	842.36	1088.92	802.41	1572.76	536.45	457.25	454.09	500.46	476.71	403.5	543.96	429.54	417.77	1008.9
KIAA0101	483.38	954.43	251.48	743.43	1259.69	3212.66	366.09	256.78	381.68	547.75	703.28	669.92	1216.75	84.63	185.11	51.71	79.45	58.71	53.95	77.25	16.63	34.75	65.72	94.67	547.75
