	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.T5JC.1726.SM.4DM6U	GTEX.1399R.0826.SM.5IJEL	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.X585.1226.SM.46MW7	GTEX.ZVT2.1326.SM.5E45H	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.146FH.1726.SM.5QGQ2	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.14AS3.0626.SM.5QGQD	GTEX.12ZZX.1326.SM.5DUWI	TCGA.CV.7089.01A.11R.2016.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6960.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7242.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7103.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.11EI6.0826.SM.5985V	GTEX.131XW.1126.SM.5EGK4	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZA64.1726.SM.5CVMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
ABCF2	713.11	366.09	567.1	830.75	1151.06	915.51	802.41	941.27	830.75	1059.11	587.13	698.41	1001.93	620.67	1167.14	1051.79	575.03	406.31	567.1	466.88	305.55	473.41	656.11	842.36	253.23	490.14	429.54	543.96	262.2	571.05	555.41	511.0	232.94	647.07	497.0	358.54	607.87	457.25	896.64	497.0	780.44	1059.11	441.64	928.3	890.44	921.88	708.18	674.59	785.88	1175.27	521.76	713.11	312.0	329.84	376.41	239.52	262.2	285.03	251.48	1023.0	981.29	728.11	1388.16	698.41	647.07	743.43	842.36	371.22
ALKBH2	476.71	483.38	334.46	406.31	642.59	595.34	420.68	529.06	511.0	540.19	373.81	525.39	629.35	432.53	500.46	555.41	356.05	336.79	341.51	334.46	239.52	269.6	265.87	323.03	283.05	232.94	262.2	279.14	269.6	341.51	262.2	224.97	139.07	336.79	198.47	176.29	351.14	181.28	463.65	158.79	460.44	514.56	329.84	607.87	651.58	536.45	426.57	470.14	483.38	559.28	320.8	555.41	117.6	93.35	132.44	67.59	97.36	209.84	85.82	738.29	759.08	429.54	575.03	417.77	392.44	444.72	395.18	318.57
ANAPC15	1167.14	921.88	1119.56	1447.15	1477.58	1467.37	1111.82	1605.83	1044.52	1030.12	1304.15	1322.37	1378.57	1295.13	2224.63	1322.37	1233.75	947.83	480.04	1066.48	713.11	684.02	934.76	547.75	567.1	1119.56	723.08	854.13	473.41	1127.35	698.41	688.78	551.56	1051.79	947.83	896.64	902.89	629.35	954.43	483.38	1066.48	884.29	1295.13	1417.35	1519.15	1340.84	1477.58	1191.69	1135.2	1340.84	1096.5	1733.13	454.09	902.89	432.53	547.75	743.43	1081.39	532.74	2303.12	1709.26	1819.35	368.65	928.3	1991.0	1477.58	1639.59	1066.48
ANXA1	218912.29	1970321.01	447025.24	721179.07	573724.06	345900.08	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	316094.29	453265.5	365622.68	329517.51	1364554.84	208544.12	162489.97	233003.78	184082.4	244588.0	277089.94	258533.99	128373.58	246289.25	190574.09	269512.87	105727.15	211455.3	236256.4	279017.26	244588.0	171754.88	225066.78	198667.0	294926.33	248002.34	174152.51	58250.19	324980.94	181548.07	236256.4	191899.64	200048.85	231394.29	209994.66	313910.86	180294.02	214407.12	301123.38	303217.87	4607.24	15715.58	16383.0	35118.87	16611.71	249727.34	6294.04	85283.74	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81	223512.12
ARMC6	384.34	384.34	366.09	579.04	647.07	575.03	379.04	660.68	417.77	679.29	389.72	426.57	599.49	353.59	536.45	559.28	460.44	348.71	358.54	420.68	314.17	275.28	318.57	450.94	205.5	470.14	368.65	518.15	332.14	387.02	423.61	368.65	256.78	507.46	476.71	363.56	521.76	239.52	679.29	215.77	616.37	733.19	466.88	629.35	723.08	583.07	503.95	514.56	669.92	759.08	532.74	733.19	186.4	297.17	195.72	145.02	182.55	223.41	181.28	647.07	733.19	616.37	536.45	624.99	454.09	848.22	476.71	327.56
BYSL	872.1	269.6	312.0	384.34	583.07	325.29	307.69	551.56	376.41	536.45	190.34	348.71	497.0	373.81	503.95	457.25	285.03	175.07	279.14	198.47	202.66	211.31	303.44	346.29	117.6	248.0	229.72	287.01	172.65	201.25	221.86	267.73	130.6	384.34	293.07	332.14	346.29	151.22	728.11	234.57	647.07	595.34	301.33	703.28	708.18	836.53	514.56	599.49	511.0	486.75	358.54	540.19	78.34	98.73	112.77	120.1	76.71	137.14	114.36	728.11	660.68	497.0	1088.92	591.22	595.34	547.75	473.41	148.09
BZW2	1583.71	1561.89	1991.0	1191.69	1313.23	1407.55	1498.22	1059.11	1519.15	1359.57	902.89	1167.14	1769.57	1529.73	1733.13	1467.37	988.12	921.88	928.3	1119.56	698.41	1119.56	1191.69	1073.91	954.43	947.83	981.29	1059.11	679.29	1015.93	1135.2	1088.92	1151.06	1183.45	1001.93	536.45	1175.27	1175.27	1008.9	518.15	1674.06	1617.0	1066.48	1733.13	1721.16	1477.58	1304.15	1350.18	1651.0	1583.71	1427.22	2018.8	620.67	366.09	642.59	521.76	607.87	854.13	432.53	2075.59	2956.17	2032.85	2758.13	1540.37	1819.35	2119.22	1991.0	1159.07
C10orf2	197.09	105.89	111.99	158.79	244.57	208.38	194.36	143.01	161.02	255.0	70.51	94.01	164.42	149.12	178.77	220.32	111.21	105.89	166.73	110.43	99.43	101.54	190.34	145.02	48.18	108.14	107.38	131.51	87.65	102.97	110.43	106.63	22.92	202.66	115.16	146.03	161.02	89.51	234.57	44.89	177.53	215.77	99.43	214.27	277.2	215.77	96.01	231.32	186.4	147.06	131.51	199.85	37.05	35.0	44.57	26.86	28.65	28.65	23.08	226.54	206.94	127.89	299.25	194.36	178.77	215.77	176.29	78.89
CCDC86	603.67	341.51	460.44	738.29	1159.07	830.75	595.34	941.27	848.22	629.35	450.94	679.29	1191.69	547.75	1208.34	860.08	447.82	312.0	361.04	441.64	305.55	231.32	429.54	543.96	237.86	287.01	201.25	395.18	217.27	348.71	387.02	299.25	299.25	532.74	420.68	406.31	384.34	409.15	1191.69	193.01	684.02	884.29	444.72	896.64	1008.9	1001.93	599.49	674.59	595.34	1001.93	529.06	665.29	103.69	156.59	234.57	151.22	118.43	246.28	128.79	961.07	961.07	713.11	1745.2	698.41	688.78	890.44	934.76	293.07
CCT2	2855.44	2351.53	2645.74	2935.74	3325.99	3665.02	3039.3	2777.33	2935.74	3018.3	1977.24	2400.97	2956.17	2627.46	3124.78	2609.3	1628.26	1427.22	1350.18	1540.37	1135.2	1529.73	1883.54	2502.97	1073.91	1685.71	1159.07	1977.24	1277.29	1745.2	2271.4	2032.85	1721.16	2835.7	1519.15	1322.37	2335.28	2591.27	2720.15	1617.0	3081.75	3039.3	1457.23	5633.22	2758.13	3235.01	1936.53	2645.74	2319.15	3280.18	1883.54	2645.74	1477.58	1417.35	1119.56	1369.04	1037.29	5255.91	1467.37	4671.57	5995.9	2956.17	6561.36	2384.37	2209.26	2591.27	2739.08	1709.26
