	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ADD1	0.0	1.0	3820.7	3515.68	4358.66	4123.49	3491.39	3212.66	5555.65	4903.87	2720.15	4607.24	4575.41	4328.55	3540.14	4298.64	3820.7	5041.77	3982.99	4450.27	4152.18	3515.68	4298.64	4836.35	3820.7	5479.15	3515.68	4328.55	1857.6	4010.71	3349.13	3639.7	3564.78	3742.05	4358.66	3212.66	3901.01	3564.78	5255.91	4123.49	3820.7	4769.75	5872.48	3874.05	4123.49	4358.66	4095.0	2417.67	3190.46	2573.36	4388.98	3928.15	3589.58	3901.01	3325.99	3491.39	5041.77	4481.23	3768.09	4181.07	3982.99	3768.09	3419.52	3742.05	4704.07	5006.93	4450.27	3190.46	5076.84	4639.29	4575.41	6079.61	4972.34	4972.34	4671.57	5555.65
ALDH2	0.0	0.78	1857.6	1733.13	2956.17	2104.58	341.51	371.22	2777.33	2956.17	4298.64	2956.17	2485.67	1437.15	1923.14	3212.66	1151.06	3081.75	1008.9	1857.6	967.76	423.61	2777.33	2875.3	2004.85	4358.66	759.08	3146.52	486.75	1397.83	2502.97	1991.0	379.04	1950.0	3060.45	4268.94	1923.14	2895.31	1277.29	2777.33	1397.83	3639.7	2627.46	878.17	1561.89	4836.35	1697.45	1286.18	2664.15	1023.0	2537.92	4607.24	1540.37	1151.06	2032.85	1216.75	2956.17	3742.05	2163.77	1427.22	4038.61	679.29	1322.37	587.13	2855.44	3443.31	2485.67	1651.0	3419.52	3060.45	3467.27	3349.13	3467.27	4038.61	4328.55	4328.55
ARHGEF10L	0.0	0.66	312.0	232.94	260.38	265.87	195.72	169.07	329.84	438.59	255.0	540.19	283.05	256.78	202.66	336.79	353.59	432.53	299.25	320.8	206.94	285.03	373.81	346.29	323.03	376.41	368.65	387.02	206.94	224.97	291.04	277.2	287.01	320.8	373.81	289.02	186.4	371.22	303.44	389.72	248.0	397.93	403.5	181.28	387.02	316.37	241.19	191.67	305.55	208.38	283.05	346.29	314.17	314.17	164.42	204.07	339.14	429.54	264.03	260.38	356.05	277.2	262.2	204.07	371.22	363.56	348.71	246.28	400.71	426.57	607.87	351.14	353.59	325.29	432.53	379.04
ASMTL	0.0	0.6	529.06	651.58	343.89	543.96	400.71	289.02	656.11	607.87	669.92	607.87	525.39	543.96	356.05	647.07	457.25	532.74	486.75	559.28	392.44	412.0	638.15	563.18	493.56	620.67	389.72	629.35	346.29	603.67	429.54	579.04	363.56	633.73	426.57	651.58	358.54	432.53	665.29	587.13	409.15	974.5	665.29	389.72	674.59	447.82	514.56	426.57	429.54	269.6	575.03	633.73	551.56	447.82	536.45	343.89	624.99	529.06	575.03	426.57	575.03	563.18	403.5	466.88	688.78	718.08	633.73	624.99	490.14	651.58	551.56	599.49	612.11	595.34	536.45	587.13
ATP6V0A1	0.0	0.85	988.12	1313.23	1447.15	1304.15	698.41	1111.82	1498.22	1250.98	1191.69	1286.18	1183.45	1757.34	825.0	1135.2	915.51	1639.59	878.17	1340.84	1250.98	836.53	1331.57	1583.71	1030.12	1551.09	1096.5	1088.92	954.43	1044.52	974.5	1561.89	967.76	995.0	1159.07	941.27	954.43	1167.14	915.51	1467.37	1001.93	1769.57	1674.06	866.07	1313.23	1447.15	1225.22	890.44	1378.57	1467.37	1340.84	1073.91	1551.09	1008.9	1233.75	921.88	1295.13	1191.69	1268.46	921.88	1322.37	759.08	780.44	1096.5	1508.65	1923.14	1183.45	928.3	1781.89	1674.06	1183.45	1685.71	1277.29	1397.83	1104.13	1073.91
BCL7C	0.0	0.52	473.41	497.0	830.75	551.56	457.25	432.53	909.17	743.43	414.87	842.36	738.29	674.59	392.44	665.29	423.61	723.08	483.38	551.56	476.71	486.75	753.83	540.19	543.96	854.13	540.19	656.11	387.02	567.1	466.88	470.14	473.41	435.55	713.11	571.05	466.88	514.56	954.43	693.58	490.14	866.07	1008.9	497.0	698.41	669.92	595.34	514.56	438.59	669.92	713.11	693.58	312.0	633.73	511.0	379.04	1023.0	571.05	728.11	583.07	780.44	651.58	447.82	669.92	723.08	860.08	836.53	579.04	813.63	902.89	775.05	884.29	718.08	860.08	733.19	728.11
BLVRB	0.0	0.6	3124.78	2178.83	4419.52	2520.38	1551.09	2032.85	3982.99	3325.99	4010.71	3955.48	3349.13	3303.0	1628.26	3901.01	1769.57	3847.29	2047.0	2502.97	3212.66	1417.35	3491.39	2682.69	1909.85	5041.77	1819.35	3820.7	1199.98	2271.4	1794.29	2573.36	2148.82	2555.58	2915.45	3303.0	2573.36	2739.08	3589.58	4607.24	1498.22	4736.79	4575.41	2104.58	2875.3	2591.27	2645.74	1651.0	3235.01	2255.7	3349.13	5403.7	1819.35	1709.26	3257.52	1427.22	4388.98	3665.02	3235.01	2895.31	3794.3	2209.26	1639.59	2555.58	3820.7	4543.8	3716.2	2609.3	4358.66	5954.47	3491.39	3716.2	3146.52	4268.94	3540.14	3039.3
BRF2	0.0	0.35	267.73	221.86	293.07	336.79	167.9	115.97	356.05	381.68	236.21	373.81	384.34	305.55	323.03	336.79	256.78	273.37	224.97	303.44	201.25	170.25	387.02	175.07	312.0	457.25	291.04	289.02	148.09	273.37	185.11	132.44	379.04	305.55	343.89	191.67	224.97	309.83	368.65	307.69	316.37	336.79	470.14	224.97	271.48	351.14	204.07	285.03	199.85	153.34	403.5	267.73	172.65	181.28	231.32	303.44	493.56	346.29	320.8	312.0	318.57	329.84	267.73	176.29	400.71	387.02	379.04	209.84	341.51	387.02	267.73	507.46	366.09	420.68	444.72	361.04
CCDC107	0.0	0.82	674.59	518.15	1427.22	848.22	575.03	490.14	1001.93	819.3	703.28	1143.1	967.76	915.51	463.65	1015.93	571.05	1378.57	967.76	674.59	674.59	507.46	1304.15	1044.52	525.39	1572.76	743.43	954.43	435.55	785.88	547.75	698.41	638.15	759.08	674.59	616.37	753.83	647.07	1745.2	738.29	441.64	1407.55	1583.71	708.18	1001.93	1030.12	1111.82	480.04	551.56	825.0	748.61	909.17	457.25	1008.9	624.99	409.15	1268.46	884.29	1081.39	928.3	1388.16	595.34	460.44	591.22	1407.55	1143.1	1340.84	830.75	1030.12	1015.93	1191.69	1721.16	954.43	1151.06	1225.22	1104.13
CCDC61	0.0	0.27	127.0	182.55	320.8	157.68	114.36	118.43	262.2	275.28	205.5	351.14	186.4	234.57	98.04	208.38	141.02	138.1	167.9	228.13	131.51	130.6	246.28	198.47	218.79	239.52	320.8	255.0	111.21	127.0	273.37	164.42	136.19	171.45	138.1	190.34	125.24	178.77	212.78	236.21	162.14	265.87	253.23	154.42	262.2	151.22	171.45	153.34	182.55	202.66	211.31	189.02	187.71	195.72	189.02	124.37	406.31	194.36	253.23	162.14	289.02	177.53	147.06	170.25	241.19	329.84	248.0	244.57	231.32	301.33	346.29	197.09	228.13	201.25	249.73	226.54
CD81	0.0	1.31	16157.44	16269.83	16045.82	18052.61	13399.51	9540.5	21468.49	21617.82	11112.3	20593.91	19618.49	15285.81	14065.74	18052.61	11909.94	24153.43	17558.94	20030.74	16383.0	11584.24	22850.48	16045.82	12764.83	28723.62	12244.81	19892.37	10014.87	18689.27	12943.04	16157.44	12943.04	15285.81	17927.91	15285.81	17558.94	11745.96	24153.43	20170.07	11112.3	31650.8	27553.49	15180.22	20030.74	21320.18	16960.78	11035.54	17558.94	14065.74	18304.63	19482.97	11504.21	12244.81	11035.54	11035.54	18431.96	18178.19	11189.6	14765.09	18689.27	13586.57	13681.08	18304.63	23009.42	20593.91	14163.58	15285.81	21919.61	20451.65	19618.49	28328.16	20451.65	25354.3	22380.2	27174.14
CDIPT	0.0	0.74	2224.63	2119.22	3419.52	2163.77	2303.12	1540.37	3303.0	2976.74	2240.11	2664.15	3018.3	2434.5	1551.09	2384.37	1923.14	3146.52	2193.99	2384.37	2555.58	1977.24	2855.44	2796.65	1936.53	3257.52	1963.57	2400.97	2090.03	3190.46	1757.34	2384.37	1909.85	2319.15	2997.45	2240.11	1963.57	2520.38	3060.45	2520.38	1583.71	3257.52	3395.89	2384.37	2855.44	3060.45	2520.38	1733.13	2319.15	2351.53	2816.11	2835.7	1781.89	2224.63	1674.06	1594.73	2485.67	2591.27	2451.44	2555.58	2875.3	1977.24	1697.45	2434.5	2400.97	3190.46	2739.08	2240.11	2915.45	2895.31	2502.97	3564.78	2555.58	3443.31	2468.49	2627.46
