	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.11WQC.0726.SM.5EQMR	GTEX.NFK9.2226.SM.3MJGP	TCGA.EM.A3FR.01A.11R.A220.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3ZL.11A.11R.A23N.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EL.A3T2.11A.11R.A22L.07	TCGA.BJ.A2N7.11A.11R.A18C.07	GTEX.S7SF.0226.SM.5SI7H	GTEX.WOFL.0726.SM.3MJG4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.YB5K.0526.SM.5LUAS	GTEX.XUJ4.0726.SM.4BOOP	GTEX.13OVI.0826.SM.5KLZ8
AIF1L	81.71	52.82	20.71	16.03	9.78	38.4	21.47	41.81	28.45	246.28	93.35	14.89	130.6	46.84	20.41	25.54	105.15	59.13	50.27	26.47	351.14	40.07	22.75	5.11	23.25	62.12	35.0	29.06	73.03	54.33	50.27	33.78	104.42	21.16	220.32	28.24	68.07	19.39	27.64	39.79	70.51	36.53	73.03	6.57	10.16	66.65	40.36	101.54	67.59	334.46	1359.57	1008.9	1806.78	583.07	2367.9	2133.97	2645.74	4210.15	3540.14	2133.97	3794.3	3564.78	2061.24	2485.67	2591.27	3349.13	3928.15	3039.3	896.64	3665.02	2956.17	3349.13	4095.0	2915.45	2104.58
AIP	1268.46	1037.29	848.22	878.17	1119.56	1467.37	791.35	941.27	995.0	1561.89	1119.56	764.36	878.17	819.3	1088.92	909.17	540.19	884.29	1199.98	1096.5	2627.46	518.15	1286.18	764.36	1529.73	1781.89	1225.22	351.14	1561.89	941.27	1277.29	808.0	825.0	728.11	1806.78	571.05	1540.37	1051.79	1233.75	1059.11	1407.55	620.67	1832.01	928.3	1199.98	1159.07	1397.83	1066.48	988.12	1950.0	2645.74	2895.31	2367.9	1950.0	2287.2	2090.03	1870.53	1857.6	1551.09	2935.74	1794.29	1883.54	2209.26	1721.16	2976.74	2240.11	1745.2	2417.67	1721.16	1662.49	1806.78	2645.74	2047.0	2163.77	1487.87
AP001816.1	197.09	112.77	96.68	105.89	141.02	265.87	167.9	50.98	170.25	224.97	93.35	98.04	76.71	48.52	113.56	232.94	51.35	112.77	197.09	149.12	346.29	40.64	206.94	59.97	148.09	110.43	156.59	89.51	186.4	141.02	103.69	172.65	157.68	96.68	229.72	88.26	82.29	134.3	120.94	173.85	154.42	102.97	202.66	173.85	190.34	316.37	209.84	67.12	120.1	1417.35	327.56	332.14	189.02	208.38	185.11	205.5	457.25	223.41	198.47	389.72	181.28	187.71	323.03	215.77	353.59	214.27	198.47	381.68	237.86	190.34	220.32	234.57	244.57	379.04	177.53
AP3M2	107.38	105.15	43.02	35.25	36.53	73.03	47.17	46.5	40.36	94.67	46.84	25.17	34.51	15.34	68.55	42.71	70.01	28.45	35.76	18.16	202.66	46.5	69.52	30.34	22.59	52.82	130.6	14.78	64.8	48.52	61.25	84.04	23.08	35.0	108.9	27.84	126.12	20.86	69.03	56.68	49.21	23.08	108.14	19.82	17.13	16.27	78.34	36.53	72.01	140.04	228.13	275.28	264.03	246.28	285.03	305.55	201.25	307.69	271.48	275.28	287.01	316.37	265.87	267.73	226.54	297.17	229.72	273.37	432.53	234.57	314.17	299.25	234.57	212.78	224.97
AP4M1	267.73	199.85	152.28	76.71	124.37	204.07	98.73	133.36	92.05	151.22	163.28	90.77	175.07	77.25	178.77	124.37	64.8	92.7	122.64	72.52	312.0	187.71	91.41	127.0	120.1	148.09	273.37	92.7	155.5	129.69	136.19	176.29	92.7	255.0	236.21	54.33	147.06	111.21	115.97	178.77	150.17	66.18	113.56	112.77	87.03	88.88	108.14	119.26	72.01	373.81	629.35	466.88	521.76	438.59	454.09	432.53	521.76	525.39	423.61	490.14	466.88	435.55	438.59	406.31	454.09	529.06	450.94	441.64	579.04	379.04	417.77	463.65	414.87	483.38	429.54
ARHGEF17	165.57	84.63	64.34	47.5	21.78	132.44	35.5	75.11	49.21	336.79	271.48	61.25	106.63	30.12	71.5	75.11	43.02	81.71	67.59	111.99	1242.34	28.24	42.41	30.56	61.68	76.71	185.11	22.59	88.88	149.12	162.14	53.95	135.24	45.53	191.67	66.18	178.77	105.89	84.63	123.5	314.17	43.94	209.84	43.94	20.26	110.43	124.37	55.49	215.77	376.41	909.17	1437.15	915.51	819.3	842.36	896.64	1119.56	1467.37	1023.0	902.89	1135.2	928.3	808.0	878.17	769.69	1350.18	909.17	1037.29	1617.0	780.44	1051.79	1359.57	769.69	825.0	1350.18
ARL2	1167.14	679.29	406.31	295.11	291.04	1023.0	371.22	373.81	460.44	1331.57	1135.2	384.34	480.04	271.48	318.57	808.0	295.11	271.48	633.73	651.58	1909.85	223.41	713.11	176.29	651.58	743.43	738.29	175.07	395.18	616.37	525.39	432.53	336.79	212.78	813.63	236.21	559.28	353.59	255.0	395.18	1225.22	301.33	1216.75	348.71	186.4	693.58	575.03	669.92	420.68	1909.85	1936.53	1745.2	2061.24	1769.57	1781.89	2287.2	1950.0	2434.5	2335.28	2451.44	2664.15	2351.53	2451.44	1909.85	3060.45	2777.33	2271.4	2520.38	3540.14	2303.12	2997.45	2701.35	2303.12	3395.89	1896.65
ARVCF	353.59	242.88	262.2	180.02	285.03	536.45	215.77	242.88	147.06	620.67	373.81	392.44	226.54	129.69	303.44	567.1	130.6	118.43	343.89	281.09	825.0	119.26	255.0	183.82	281.09	260.38	420.68	99.43	251.48	237.86	373.81	236.21	309.83	206.94	511.0	120.94	118.43	171.45	314.17	571.05	500.46	137.14	277.2	332.14	159.9	242.88	441.64	212.78	341.51	314.17	1250.98	432.53	896.64	381.68	684.02	638.15	921.88	1388.16	967.76	954.43	1135.2	928.3	679.29	780.44	947.83	1023.0	1151.06	1044.52	1397.83	713.11	1037.29	995.0	813.63	1015.93	802.41
ATP8B2	75.64	65.72	48.52	36.27	28.04	87.65	17.38	69.52	26.67	201.25	170.25	166.73	93.35	69.52	66.18	17.77	39.22	94.67	187.71	42.71	341.51	26.1	52.45	72.01	154.42	132.44	95.34	42.11	107.38	50.27	88.26	45.85	122.64	54.33	98.04	30.12	262.2	45.85	60.82	158.79	178.77	52.45	389.72	131.51	16.51	45.53	73.03	72.01	83.45	343.89	525.39	423.61	356.05	603.67	438.59	688.78	358.54	486.75	493.56	532.74	723.08	366.09	559.28	728.11	379.04	607.87	480.04	414.87	511.0	525.39	718.08	995.0	559.28	679.29	414.87
BAI2	33.54	0.0	2.03	1.91	0.0	3.99	0.0	4.46	2.18	18.29	13.72	0.26	9.27	0.21	1.66	3.38	2.12	5.28	3.32	0.89	35.25	0.0	3.99	1.04	2.86	4.13	7.06	5.41	13.93	7.75	5.73	1.07	1.91	0.0	12.45	0.54	19.25	0.23	0.65	0.0	9.34	3.03	9.41	0.0	0.0	0.0	0.17	2.86	7.63	127.89	60.82	320.8	297.17	432.53	99.43	177.53	147.06	389.72	211.31	234.57	158.79	105.15	161.02	96.68	223.41	137.14	181.28	104.42	125.24	157.68	185.11	295.11	325.29	555.41	108.9
