	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.QXCU.0626.SM.2TC69	GTEX.RM2N.0426.SM.2TF4T	TCGA.92.7340.11A.01R.2045.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07
ALKBH7	802.41	0.0	0.48	536.45	1259.69	848.22	1709.26	2855.44	4181.07	2855.44	4388.98	2209.26	2956.17	3103.19	5954.47	2835.7	4152.18	2956.17	3639.7	2816.11	3372.43	2816.11	2047.0	2895.31	2148.82	2777.33	2367.9	2240.11	2645.74	4607.24	2303.12	2956.17	2976.74	2119.22	4869.99	3018.3	2004.85	1991.0	2645.74	1709.26	2537.92	1583.71	1594.73	3491.39	4512.4	1745.2	3820.7	2664.15	2739.08	4239.45	1883.54	3349.13	4010.71	3467.27	2400.97
APEH	1857.6	0.0	0.04	808.0	1304.15	1143.1	2193.99	2133.97	3303.0	3235.01	2193.99	2573.36	2178.83	2664.15	3742.05	3081.75	3190.46	2119.22	2720.15	1923.14	3124.78	2777.33	791.35	2591.27	2682.69	2664.15	3018.3	2061.24	2434.5	3467.27	2720.15	3665.02	3039.3	2148.82	2573.36	2758.13	1857.6	2591.27	2537.92	1991.0	1963.57	1844.76	1950.0	2664.15	2895.31	2224.63	3081.75	2835.7	2777.33	2018.8	2875.3	2835.7	2319.15	1721.16	2133.97
ASMTL	153.34	0.0	0.6	185.11	215.77	215.77	529.06	651.58	343.89	669.92	525.39	457.25	543.96	647.07	866.07	559.28	769.69	563.18	473.41	514.56	607.87	483.38	346.29	603.67	579.04	518.15	447.82	358.54	432.53	665.29	587.13	974.5	674.59	447.82	693.58	571.05	603.67	429.54	583.07	551.56	242.88	341.51	444.72	426.57	575.03	403.5	466.88	521.76	669.92	551.56	454.09	825.0	420.68	599.49	587.13
ATP5D	769.69	0.0	1.08	842.36	1073.91	1175.27	3060.45	3395.89	7803.01	4123.49	4268.94	4736.79	4903.87	4450.27	10084.54	7589.61	7485.11	4388.98	5711.87	4450.27	3690.52	5292.48	1991.0	4704.07	3349.13	5555.65	3349.13	2816.11	2720.15	9344.14	3665.02	4704.07	4512.4	5112.16	7382.04	3982.99	2739.08	3372.43	4671.57	2303.12	4123.49	1819.35	2163.77	5112.16	10014.87	2739.08	6037.61	3847.29	3928.15	5954.47	2816.11	3874.05	5479.15	5711.87	2976.74
AURKAIP1	995.0	0.0	0.75	1295.13	1508.65	1143.1	2255.7	2855.44	4607.24	3540.14	3614.55	3349.13	3794.3	3168.41	5672.41	3928.15	4450.27	3443.31	3874.05	3847.29	3212.66	3955.48	1709.26	3349.13	3124.78	4358.66	2224.63	2555.58	2417.67	5995.9	3039.3	4704.07	3212.66	4095.0	4937.99	3081.75	2119.22	2609.3	3212.66	2061.24	3419.52	1844.76	2032.85	3874.05	5403.7	2032.85	4038.61	2997.45	2976.74	4010.71	2384.37	3081.75	4543.8	4095.0	2303.12
B9D1	295.11	0.0	0.0	138.1	303.44	295.11	301.33	466.88	981.29	599.49	500.46	414.87	575.03	532.74	860.08	571.05	525.39	587.13	583.07	543.96	432.53	409.15	260.38	500.46	480.04	616.37	384.34	339.14	438.59	543.96	339.14	684.02	775.05	669.92	521.76	486.75	591.22	447.82	511.0	406.31	384.34	358.54	303.44	463.65	713.11	358.54	551.56	387.02	376.41	426.57	400.71	802.41	395.18	406.31	351.14
BSG	6745.86	0.0	1.31	5711.87	7749.1	7589.61	13968.57	15607.02	19618.49	19618.49	16496.96	12853.63	14765.09	14163.58	14561.8	14867.79	20881.4	9540.5	14867.79	19348.38	14361.31	16383.0	6164.49	18560.17	14065.74	18304.63	16727.26	16269.83	12589.08	17804.06	11584.24	15285.81	14262.1	13033.07	19348.38	13586.57	11504.21	18560.17	15180.22	8840.04	9540.5	8134.41	8840.04	16611.71	19482.97	11827.67	17558.94	10154.69	14361.31	15934.98	11827.67	16960.78	16960.78	16383.0	11909.94
C16orf13	563.18	0.0	0.69	507.46	830.75	866.07	1662.49	2018.8	4358.66	2400.97	2520.38	2319.15	2796.65	2591.27	6207.38	4419.52	5006.93	2555.58	3614.55	2434.5	2502.97	3515.68	1277.29	3515.68	1857.6	3349.13	2061.24	1870.53	2047.0	4607.24	2209.26	4575.41	2468.49	3303.0	4358.66	2485.67	1487.87	2367.9	3303.0	1286.18	1417.35	1313.23	1111.82	2976.74	5183.54	1487.87	3564.78	2047.0	2875.3	3690.52	2104.58	2555.58	2976.74	2520.38	1397.83
C19orf25	260.38	0.0	0.3	154.42	366.09	363.56	507.46	674.59	780.44	647.07	854.13	656.11	733.19	733.19	1331.57	902.89	718.08	791.35	698.41	836.53	674.59	718.08	438.59	733.19	813.63	591.22	543.96	438.59	633.73	995.0	769.69	684.02	698.41	647.07	1015.93	693.58	503.95	723.08	665.29	599.49	748.61	389.72	603.67	808.0	1073.91	414.87	769.69	612.11	638.15	884.29	559.28	708.18	629.35	848.22	616.37
C1orf50	204.07	0.0	0.15	60.39	158.79	197.09	316.37	291.04	466.88	281.09	283.05	287.01	325.29	358.54	450.94	379.04	412.0	323.03	353.59	293.07	312.0	373.81	204.07	339.14	323.03	412.0	361.04	277.2	289.02	521.76	376.41	329.84	373.81	346.29	412.0	320.8	295.11	283.05	346.29	265.87	329.84	236.21	285.03	307.69	348.71	258.57	366.09	325.29	329.84	283.05	371.22	412.0	406.31	332.14	353.59
