	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.13O61.0726.SM.5J2MD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZYT6.0526.SM.5GIEA	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.144GO.0226.SM.5LUB1
ACBD5	0.0	0.21	167.9	387.02	624.99	769.69	116.78	182.55	180.02	214.27	679.29	387.02	329.84	808.0	660.68	624.99	108.14	329.84	366.09	146.03	529.06	285.03	156.59	616.37	262.2	206.94	363.56	457.25	236.21	183.82	171.45	297.17	152.28
ADI1	0.0	0.4	1199.98	1277.29	2335.28	1286.18	728.11	1369.04	575.03	1191.69	2591.27	1757.34	1001.93	1977.24	2591.27	1340.84	884.29	1378.57	3639.7	547.75	2104.58	1119.56	967.76	1685.71	1242.34	665.29	3018.3	2520.38	854.13	878.17	878.17	819.3	616.37
ADPRH	0.0	0.29	151.22	285.03	748.61	703.28	291.04	226.54	334.46	115.16	796.86	665.29	486.75	339.14	1127.35	503.95	183.82	303.44	591.22	688.78	1051.79	208.38	163.28	802.41	417.77	183.82	620.67	624.99	397.93	260.38	150.17	463.65	153.34
AGER	0.0	0.28	110216.97	459592.86	502929.67	163620.18	11909.94	336441.4	119776.72	237899.7	370726.6	171754.88	282912.21	394590.4	187950.38	313910.86	242898.5	577714.63	269512.87	92040.7	249727.34	290865.98	209994.66	383800.28	373305.21	136637.07	273275.14	482442.34	496005.67	180294.02	170568.48	419990.32	155870.75
AL603965.1	0.0	0.09	21.63	273.37	679.29	866.07	26.28	669.92	78.89	88.26	1304.15	587.13	193.01	389.72	371.22	361.04	22.59	866.07	543.96	8.71	2335.28	486.75	47.5	518.15	813.63	75.64	441.64	775.05	186.4	87.03	28.24	16.88	105.15
ANXA4	0.0	0.48	2075.59	4152.18	6207.38	4736.79	1745.2	1936.53	1467.37	3443.31	5403.7	4704.07	3614.55	5672.41	5791.62	4903.87	1001.93	3820.7	4836.35	1685.71	5183.54	4239.45	3124.78	5954.47	3467.27	1936.53	7382.04	3742.05	7230.1	3540.14	1977.24	3564.78	1781.89
B3GALNT1	0.0	0.28	140.04	403.5	1857.6	1721.16	67.12	305.55	127.0	366.09	1397.83	1081.39	279.14	1519.15	2018.8	1529.73	61.68	854.13	974.5	264.03	1594.73	172.65	339.14	1295.13	381.68	348.71	1081.39	215.77	476.71	341.51	105.89	591.22	72.52
BMPR1A	0.0	0.14	251.48	307.69	412.0	447.82	61.68	154.42	205.5	420.68	384.34	236.21	301.33	470.14	229.72	334.46	85.82	361.04	224.97	143.01	307.69	318.57	221.86	325.29	234.57	116.78	264.03	173.85	480.04	176.29	232.94	320.8	191.67
C14orf132	0.0	0.29	511.0	599.49	2319.15	540.19	115.16	305.55	105.89	412.0	1685.71	656.11	277.2	373.81	1135.2	813.63	59.97	486.75	1037.29	144.01	1529.73	146.03	371.22	547.75	529.06	387.02	2148.82	2400.97	234.57	177.53	67.12	334.46	127.89
C1GALT1C1	0.0	0.28	273.37	384.34	325.29	624.99	199.85	267.73	242.88	373.81	674.59	483.38	361.04	884.29	759.08	575.03	126.12	346.29	470.14	145.02	595.34	381.68	246.28	638.15	325.29	248.0	384.34	381.68	389.72	253.23	255.0	318.57	256.78
