	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FD.A5C1.01A.11R.A28M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.7288.01A.11R.A32Z.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	GTEX.13CF2.2426.SM.5LZYL
ABHD2	147.06	172.65	909.17	688.78	224.97	164.42	197.09	759.08	819.3	842.36	1023.0	180.02	389.72	486.75	723.08	351.14	872.1	813.63	1250.98	693.58	1023.0	1081.39	665.29	1487.87	297.17	297.17	480.04	384.34	376.41	381.68	373.81	500.46	202.66	420.68	205.5	88.26	217.27	162.14	351.14
AGO1	75.64	49.21	371.22	271.48	141.02	50.63	48.18	104.42	124.37	95.34	251.48	164.42	80.01	59.55	136.19	96.01	208.38	53.95	220.32	138.1	166.73	169.07	132.44	204.07	118.43	90.77	103.69	100.13	164.42	103.69	85.82	131.51	42.71	106.63	57.89	61.68	31.45	18.29	50.27
AHNAK	1651.0	679.29	6699.25	18950.18	3515.68	1594.73	1757.34	1950.0	1529.73	647.07	5112.16	2255.7	1167.14	2434.5	3467.27	1857.6	6037.61	2591.27	4038.61	2335.28	2777.33	2758.13	1781.89	3614.55	688.78	2758.13	1030.12	974.5	1023.0	1745.2	1991.0	1001.93	995.0	1963.57	0.0	0.8	358.54	1844.76	8718.32
ALDH1A2	4.58	142.01	486.75	218.79	441.64	12.27	4.39	41.22	12.45	70.01	633.73	1529.73	49.56	30.12	1519.15	9.78	303.44	18.03	551.56	166.73	90.77	1340.84	52.08	285.03	42.41	373.81	46.18	41.81	400.71	104.42	111.21	199.85	13.22	136.19	0.0	0.27	57.08	22.26	142.01
ANKMY2	115.16	169.07	967.76	483.38	371.22	119.26	126.12	389.72	318.57	186.4	450.94	441.64	121.79	447.82	679.29	318.57	511.0	688.78	483.38	454.09	638.15	612.11	293.07	603.67	305.55	356.05	273.37	211.31	669.92	232.94	348.71	587.13	199.85	540.19	0.0	0.4	167.9	127.89	314.17
AP5B1	98.04	58.3	126.12	161.02	217.27	61.68	148.09	146.03	215.77	111.21	231.32	135.24	82.29	171.45	178.77	135.24	194.36	197.09	206.94	127.89	185.11	190.34	165.57	287.01	125.24	72.01	117.6	119.26	187.71	67.59	87.03	186.4	66.65	62.56	0.0	0.09	85.82	36.79	79.45
APPL1	147.06	138.1	775.05	813.63	318.57	185.11	136.19	323.03	228.13	267.73	571.05	299.25	151.22	327.56	503.95	183.82	583.07	251.48	486.75	447.82	514.56	470.14	387.02	450.94	249.73	297.17	269.6	236.21	327.56	246.28	209.84	507.46	145.02	323.03	0.0	0.46	88.26	85.22	591.22
ARSJ	30.12	22.75	223.41	92.05	40.64	66.18	144.01	115.97	232.94	80.01	314.17	232.94	33.78	99.43	507.46	60.82	351.14	146.03	551.56	262.2	281.09	591.22	70.01	503.95	53.19	37.85	49.21	48.87	156.59	60.82	58.71	105.89	37.59	132.44	376.41	82.29	10.24	97.36	51.71
ASTN2	8.71	46.84	764.36	147.06	97.36	16.51	12.93	121.79	167.9	125.24	181.28	389.72	93.35	185.11	514.56	105.15	228.13	417.77	409.15	320.8	320.8	341.51	94.67	320.8	145.02	231.32	71.0	63.89	156.59	85.82	73.03	74.58	409.15	221.86	0.0	0.17	55.49	24.81	65.72
ASXL2	70.51	41.81	447.82	503.95	162.14	44.89	50.63	241.19	133.36	95.34	327.56	212.78	68.07	151.22	218.79	90.77	316.37	123.5	343.89	206.94	256.78	371.22	248.0	460.44	52.08	92.05	81.71	94.01	172.65	92.05	84.63	193.01	70.01	111.21	0.0	0.34	75.64	31.45	75.11
ATF7	215.77	339.14	819.3	1143.1	607.87	432.53	237.86	376.41	529.06	392.44	698.41	629.35	312.0	490.14	507.46	237.86	435.55	275.28	595.34	511.0	483.38	486.75	470.14	603.67	373.81	316.37	251.48	320.8	316.37	397.93	283.05	447.82	236.21	363.56	0.0	0.57	547.75	476.71	423.61
ATP11C	124.37	122.64	329.84	447.82	279.14	108.14	116.78	287.01	323.03	178.77	356.05	134.3	126.12	403.5	246.28	151.22	688.78	323.03	460.44	316.37	540.19	463.65	400.71	253.23	153.34	241.19	187.71	220.32	376.41	221.86	320.8	409.15	140.04	387.02	0.0	0.66	120.94	81.14	172.65
