	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	TCGA.B2.4098.01A.02R.1325.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.B3.3926.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07
ABHD5	808.0	1457.23	511.0	620.67	426.57	293.07	753.83	642.59	177.53	249.73	279.14	320.8	392.44	444.72	169.07	172.65	358.54	363.56	301.33	429.54	387.02	463.65	417.77	269.6	295.11	139.07	175.07	231.32
ACAP2	575.03	281.09	277.2	595.34	141.02	127.0	258.57	346.29	50.63	109.66	186.4	181.28	102.25	314.17	89.51	85.22	141.02	204.07	136.19	182.55	214.27	173.85	191.67	101.54	120.94	100.13	74.06	69.03
ADD3	1819.35	921.88	974.5	2148.82	896.64	454.09	1477.58	1651.0	571.05	236.21	1242.34	432.53	723.08	1175.27	1023.0	223.41	1183.45	669.92	785.88	890.44	1709.26	884.29	1183.45	379.04	808.0	309.83	301.33	87.03
AFTPH	921.88	351.14	967.76	728.11	514.56	400.71	928.3	1519.15	438.59	327.56	595.34	607.87	470.14	780.44	366.09	323.03	1059.11	543.96	336.79	612.11	1015.93	1051.79	748.61	392.44	406.31	406.31	307.69	206.94
AMMECR1L	423.61	217.27	234.57	320.8	112.77	190.34	253.23	329.84	98.04	124.37	223.41	180.02	92.7	297.17	87.65	152.28	189.02	166.73	134.3	224.97	256.78	289.02	217.27	148.09	117.6	166.73	84.04	81.14
ANAPC1	253.23	163.28	229.72	314.17	112.77	144.01	224.97	305.55	73.03	109.66	204.07	217.27	83.45	258.57	119.26	126.12	148.09	165.57	165.57	164.42	291.04	191.67	212.78	109.66	77.25	142.01	130.6	108.14
ANKRD28	603.67	343.89	470.14	738.29	293.07	246.28	669.92	902.89	96.68	185.11	575.03	316.37	237.86	612.11	199.85	226.54	327.56	466.88	283.05	379.04	599.49	323.03	629.35	221.86	170.25	289.02	122.64	106.63
ANKRD40	1216.75	836.53	511.0	607.87	353.59	438.59	669.92	642.59	334.46	450.94	624.99	629.35	242.88	836.53	384.34	463.65	432.53	567.1	507.46	480.04	532.74	587.13	500.46	371.22	500.46	392.44	285.03	267.73
AP3M1	934.76	1268.46	599.49	1044.52	351.14	281.09	665.29	961.07	146.03	256.78	718.08	314.17	251.48	473.41	403.5	194.36	514.56	389.72	376.41	423.61	429.54	336.79	476.71	269.6	269.6	215.77	166.73	201.25
ATP2C1	1487.87	2816.11	1769.57	2573.36	1378.57	1175.27	3081.75	3349.13	775.05	1369.04	1529.73	1331.57	1936.53	2075.59	633.73	1073.91	1529.73	2209.26	1407.55	1832.01	2061.24	1477.58	1605.83	1127.35	1008.9	1096.5	934.76	490.14
B3GALT5	177.53	1.17	3.0	104.42	15.68	29.06	201.25	127.89	2.48	43.02	54.33	58.3	6.46	202.66	0.36	21.63	52.45	50.98	61.25	64.8	176.29	67.59	194.36	18.43	1.35	84.63	11.38	0.37
BBX	1369.04	237.86	571.05	1467.37	299.25	223.41	665.29	1242.34	120.1	127.89	438.59	406.31	163.28	785.88	175.07	120.94	351.14	466.88	277.2	361.04	808.0	547.75	591.22	181.28	223.41	133.36	115.16	55.49
BICC1	312.0	201.25	1175.27	2555.58	567.1	1388.16	3039.3	4639.29	629.35	1135.2	1896.65	1674.06	738.29	2935.74	384.34	1199.98	1909.85	2163.77	2004.85	1605.83	2193.99	2004.85	3190.46	981.29	591.22	1617.0	587.13	55.1
BIRC6	796.86	417.77	547.75	808.0	346.29	373.81	713.11	780.44	253.23	269.6	571.05	532.74	289.02	723.08	289.02	307.69	518.15	507.46	409.15	575.03	753.83	583.07	616.37	289.02	293.07	356.05	191.67	127.89
BMI1	941.27	1427.22	902.89	1757.34	490.14	281.09	785.88	1277.29	120.94	244.57	708.18	414.87	299.25	507.46	162.14	265.87	389.72	738.29	379.04	397.93	595.34	514.56	1037.29	269.6	476.71	305.55	186.4	256.78
BMPR2	753.83	295.11	273.37	1583.71	149.12	171.45	441.64	624.99	144.01	118.43	218.79	241.19	139.07	409.15	62.56	120.1	214.27	281.09	170.25	234.57	426.57	255.0	348.71	150.17	212.78	158.79	102.25	32.59
CBL	277.2	185.11	147.06	246.28	73.03	84.04	221.86	260.38	49.56	60.82	173.85	86.43	69.03	185.11	40.64	29.7	100.83	141.02	82.87	169.07	144.01	129.69	171.45	63.0	72.52	59.55	34.26	17.9
