	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ET.A2MX.01A.11R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.12ZZZ.1226.SM.59HK1	GTEX.12WSK.0926.SM.5CVNQ	GTEX.T5JW.1226.SM.3GACY	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.PX3G.2626.SM.2I3EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5K.0526.SM.5LUAS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.111FC.1026.SM.5GZX1
ABCA2	0.0	0.84	1561.89	2976.74	1870.53	2119.22	1250.98	1397.83	830.75	1340.84	2400.97	1628.26	753.83	2163.77	2739.08	1721.16	2875.3	2682.69	2777.33	909.17	2400.97	1259.69	2739.08	4671.57	1322.37	1350.18	884.29	842.36	860.08	1540.37	1167.14	1745.2	3515.68
ABCB9	0.0	0.3	58.71	102.25	87.03	57.49	38.4	48.18	53.95	37.32	64.34	89.51	37.05	85.82	111.21	47.84	81.71	70.51	68.07	29.7	100.13	62.12	132.44	91.41	42.11	49.21	41.52	47.17	43.32	25.91	33.78	63.89	74.58
ALAD	0.0	0.56	486.75	1540.37	1225.22	1583.71	954.43	1044.52	934.76	866.07	1295.13	1242.34	902.89	1191.69	1378.57	872.1	1540.37	1388.16	1250.98	836.53	1498.22	947.83	1286.18	1359.57	723.08	703.28	896.64	796.86	1277.29	842.36	981.29	1073.91	1388.16
ANK3	0.0	0.02	125.24	703.28	1096.5	1447.15	1015.93	775.05	1081.39	703.28	961.07	796.86	679.29	656.11	775.05	555.41	532.74	854.13	759.08	616.37	1051.79	813.63	813.63	1216.75	356.05	486.75	629.35	447.82	748.61	473.41	713.11	620.67	967.76
ARHGEF10L	0.0	0.66	463.65	808.0	836.53	733.19	400.71	532.74	400.71	660.68	854.13	665.29	379.04	860.08	620.67	547.75	1151.06	995.0	764.36	470.14	1487.87	872.1	1208.34	1963.57	473.41	397.93	395.18	529.06	470.14	463.65	454.09	647.07	1286.18
ARHGEF3	0.0	0.26	100.13	543.96	318.57	616.37	244.57	435.55	214.27	279.14	518.15	368.65	269.6	387.02	551.56	381.68	473.41	457.25	457.25	187.71	493.56	314.17	583.07	633.73	170.25	358.54	167.9	166.73	231.32	205.5	336.79	339.14	414.87
BANF2	0.0	0.0	0.0	26.28	139.07	53.57	25.54	42.41	18.43	0.0	186.4	22.75	8.65	6.89	48.52	23.93	58.3	50.63	120.94	0.0	36.27	10.79	36.27	110.43	55.49	27.05	18.56	0.0	35.5	9.63	27.25	0.0	28.04
BTBD17	0.0	0.0	0.0	74.06	8.92	45.53	2.14	9.41	0.0	0.0	36.27	12.64	0.0	20.56	29.27	5.77	45.21	10.0	10.31	0.66	16.03	0.68	40.93	114.36	1.66	0.65	1.17	0.0	1.19	0.0	6.31	3.53	57.89
C2CD4D	0.0	0.17	1.79	18.7	3.47	7.75	6.89	11.64	5.45	1.66	24.63	7.11	8.51	14.78	11.3	41.22	19.53	12.64	7.69	11.64	13.62	7.63	7.88	20.11	4.21	6.52	8.32	4.31	4.78	4.21	5.54	5.02	7.88
C2orf40	0.0	0.19	3235.01	6792.79	10296.45	23820.89	7642.41	28132.47	3928.15	1191.69	25708.25	5403.7	5555.65	9540.5	6887.62	13681.08	17681.08	6079.61	12329.98	1662.49	8479.89	3901.01	10585.95	9025.81	6983.79	5831.91	2537.92	1923.14	4937.99	2796.65	5751.61	1277.29	15285.81
