	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.ZLFU.1726.SM.4WWBU	GTEX.Y8E4.2126.SM.5RQHO	GTEX.11ZUS.2126.SM.5N9E6	GTEX.ZDYS.1226.SM.5IJF3	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.N7MS.2326.SM.2HMLD	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU
ADRA1A	0.71	1.2	0.96	1.25	348.71	43.63	120.1	73.54	295.11	144.01	117.6	514.56	271.48	153.34	191.67	209.84	0.65	2.71	3.03	2.34	1.14	4.62
AHNAK2	293.07	97.36	83.45	301.33	1467.37	303.44	660.68	154.42	890.44	363.56	708.18	1508.65	669.92	493.56	1208.34	718.08	26.86	599.49	36.27	271.48	16.75	62.56
ANGPT1	7.34	11.55	1.83	7.17	647.07	173.85	379.04	244.57	521.76	255.0	323.03	775.05	514.56	339.14	651.58	351.14	15.68	161.02	98.73	67.12	47.17	108.14
ANTXR2	529.06	429.54	423.61	70.51	2627.46	591.22	1304.15	497.0	1883.54	974.5	1030.12	7857.29	4769.75	1397.83	2956.17	3257.52	59.97	384.34	154.42	258.57	77.79	136.19
AOC3	96.01	111.99	36.79	154.42	2739.08	733.19	1397.83	316.37	1322.37	785.88	854.13	3768.09	1407.55	656.11	2701.35	1733.13	175.07	872.1	674.59	612.11	242.88	878.17
ARHGEF25	131.51	98.73	11.47	62.56	1963.57	438.59	796.86	356.05	1487.87	665.29	848.22	1487.87	1151.06	1037.29	2591.27	848.22	49.21	387.02	156.59	454.09	122.64	291.04
ASB2	3.92	6.62	7.34	6.62	1066.48	189.02	358.54	197.09	647.07	327.56	343.89	830.75	713.11	521.76	1572.76	521.76	31.0	85.82	52.45	63.0	11.3	20.71
ATP1A2	7.88	13.83	1.57	12.74	981.29	228.13	400.71	100.13	660.68	323.03	366.09	759.08	738.29	180.02	1259.69	397.93	7.51	127.89	52.08	84.04	16.39	35.25
ATP2B4	599.49	92.7	194.36	536.45	3419.52	775.05	1806.78	660.68	2591.27	1183.45	1457.23	3820.7	1427.22	854.13	2835.7	1551.09	242.88	1286.18	665.29	708.18	480.04	688.78
BCHE	7.88	3.82	0.0	8.78	819.3	87.03	320.8	89.51	432.53	262.2	318.57	329.84	896.64	281.09	417.77	128.79	10.0	403.5	23.59	115.97	0.0	21.63
C12orf75	299.25	231.32	29.91	43.32	7180.15	3168.41	4671.57	3039.3	6381.92	3690.52	4298.64	4802.93	9025.81	3742.05	4736.79	4575.41	57.89	591.22	127.0	289.02	84.63	217.27
C3orf70	40.36	16.75	5.06	26.28	325.29	126.12	177.53	103.69	221.86	154.42	129.69	423.61	180.02	73.03	199.85	169.07	6.73	43.63	20.41	14.67	11.13	22.43
CALD1	540.19	603.67	178.77	764.36	23009.42	5041.77	12589.08	4639.29	13681.08	6792.79	10368.08	34635.37	16611.71	5403.7	11112.3	20030.74	1832.01	4038.61	3039.3	2555.58	1457.23	2796.65
CBLN2	0.0	0.0	0.0	0.36	151.22	14.67	25.72	13.42	94.67	45.21	61.25	15.45	129.69	41.52	37.59	5.45	0.0	4.35	2.29	3.26	1.91	1.17
CCBE1	2.23	1.28	0.72	43.32	139.07	35.25	123.5	37.32	113.56	63.45	55.49	129.69	103.69	35.76	67.59	32.82	0.77	5.96	1.19	19.68	0.67	22.75
CDH8	3.2	1.31	3.17	5.45	86.43	24.63	31.0	26.1	76.71	31.0	58.3	10.24	24.11	38.95	29.48	22.92	1.22	6.52	8.38	15.91	2.14	1.66
CNTN1	18.7	22.59	0.67	34.02	656.11	48.87	212.78	86.43	262.2	180.02	159.9	1745.2	769.69	157.68	426.57	307.69	0.43	78.34	64.34	133.36	5.28	164.42
COCH	0.45	0.72	4.94	7.69	1721.16	98.04	409.15	341.51	819.3	454.09	447.82	2956.17	8778.97	902.89	1183.45	1175.27	9.41	34.51	15.22	26.67	18.03	18.56
CORIN	18.97	33.78	4.03	5.87	239.52	12.27	58.71	32.13	103.69	80.57	76.71	1151.06	708.18	92.7	341.51	127.89	5.28	9.2	1.51	11.3	3.92	0.59
CORO1C	493.56	447.82	231.32	189.02	1721.16	444.72	988.12	450.94	1044.52	684.02	872.1	1617.0	1159.07	759.08	1191.69	1030.12	267.73	902.89	314.17	303.44	154.42	277.2
CPED1	25.35	30.34	46.84	126.12	599.49	111.99	314.17	120.94	379.04	248.0	305.55	1923.14	743.43	204.07	713.11	507.46	7.57	193.01	80.57	170.25	35.5	117.6
CYP4F22	1.43	1.5	2.53	6.78	1277.29	480.04	620.67	974.5	896.64	514.56	473.41	249.73	171.45	447.82	24.46	97.36	2.18	1.23	0.89	2.76	0.0	1.19
DACT3	18.16	32.13	6.01	12.09	921.88	150.17	348.71	117.6	473.41	199.85	273.37	1159.07	808.0	169.07	547.75	381.68	10.71	187.71	88.88	100.13	28.65	79.45
DNAJB5	33.78	27.84	31.22	149.12	1605.83	339.14	595.34	500.46	902.89	532.74	679.29	1529.73	769.69	423.61	1030.12	1216.75	144.01	397.93	307.69	217.27	208.38	211.31
EDNRA	54.72	57.89	24.46	71.5	2591.27	403.5	902.89	320.8	1477.58	703.28	743.43	2520.38	2148.82	1104.13	1605.83	674.59	13.42	218.79	133.36	101.54	95.34	106.63
EMILIN1	99.43	127.0	38.95	157.68	5219.6	769.69	1721.16	450.94	2047.0	1540.37	981.29	1832.01	1250.98	1331.57	5112.16	1477.58	116.78	351.14	463.65	301.33	42.11	156.59
FAT3	0.71	4.39	0.0	1.25	138.1	26.47	63.0	24.11	96.01	43.63	48.18	137.14	100.13	56.68	72.52	63.45	0.0	4.35	1.23	1.45	0.27	0.72
FBXL22	25.35	21.78	18.97	22.59	802.41	109.66	234.57	117.6	575.03	220.32	291.04	450.94	395.18	543.96	624.99	267.73	44.89	83.45	85.82	47.84	55.1	53.57
FERMT2	273.37	167.9	47.84	167.9	2319.15	579.04	1277.29	878.17	1936.53	928.3	1159.07	2796.65	1769.57	769.69	1639.59	1467.37	236.21	974.5	842.36	540.19	518.15	595.34
FHOD3	17.77	37.05	17.64	8.45	2104.58	490.14	1175.27	738.29	1447.15	802.41	836.53	2758.13	1159.07	660.68	1674.06	825.0	193.01	403.5	212.78	198.47	361.04	190.34
FLNC	4.98	3.35	1.03	3.53	5831.91	819.3	1991.0	915.51	2816.11	1572.76	1583.71	6207.38	1977.24	1340.84	2075.59	3742.05	1.46	890.44	40.93	185.11	15.68	53.95
GDF7	0.0	0.0	0.0	0.0	229.72	12.0	40.36	29.91	98.04	58.71	43.02	239.52	111.21	76.71	138.1	49.21	0.4	2.81	0.58	0.93	0.53	0.53
GDNF	0.82	0.71	0.0	0.0	110.43	10.08	73.03	17.0	71.0	43.63	32.36	98.04	81.71	44.89	86.43	17.38	0.0	1.51	0.0	0.0	1.13	0.53
GLIS1	0.49	2.63	0.45	10.55	543.96	74.58	122.64	52.45	195.72	130.6	113.56	423.61	318.57	212.78	466.88	209.84	1.39	21.78	7.69	30.34	4.43	14.45
GPR124	72.52	58.3	41.52	107.38	2976.74	511.0	1015.93	303.44	1242.34	780.44	688.78	3847.29	954.43	620.67	3847.29	1081.39	21.01	450.94	241.19	547.75	99.43	351.14
GPR161	30.34	33.06	7.0	12.83	299.25	61.25	171.45	67.12	242.88	111.99	157.68	532.74	172.65	85.22	293.07	241.19	9.41	71.0	40.64	52.45	21.47	37.85
HCAR2	52.82	35.0	1.2	19.97	1233.75	214.27	283.05	493.56	947.83	260.38	256.78	307.69	77.79	309.83	90.77	186.4	5.92	22.75	8.13	22.92	16.39	12.36
HEPH	42.71	50.63	29.91	40.36	808.0	149.12	316.37	129.69	423.61	269.6	273.37	1250.98	473.41	281.09	647.07	316.37	13.52	275.28	154.42	172.65	32.59	170.25
HS3ST3A1	1.2	3.5	0.43	0.42	271.48	22.43	69.03	35.76	111.99	58.3	63.89	236.21	277.2	85.22	166.73	162.14	1.53	9.27	10.39	12.45	4.1	3.23
HSPB6	22.1	30.12	9.56	49.56	12589.08	2739.08	6607.01	1104.13	6607.01	3325.99	3039.3	10368.08	3103.19	3018.3	18819.27	5633.22	57.89	1896.65	848.22	2133.97	358.54	941.27
ILK	1437.15	1540.37	1397.83	2061.24	11504.21	3235.01	5403.7	4328.55	7537.18	4575.41	5006.93	10512.82	7433.4	5555.65	8598.28	7589.61	2720.15	3639.7	3103.19	2485.67	2384.37	2434.5
ISL1	0.0	0.6	0.0	0.64	329.84	29.7	59.13	56.28	248.0	105.89	135.24	277.2	223.41	153.34	397.93	187.71	36.27	3.5	4.03	4.7	5.82	3.35
ITGB1BP2	3.06	4.46	2.76	2.41	255.0	41.52	60.39	57.49	150.17	71.0	81.71	183.82	205.5	172.65	130.6	202.66	3.5	15.91	15.22	17.38	3.53	6.21
JPH2	8.58	98.73	2.34	14.14	1359.57	229.72	473.41	209.84	819.3	403.5	432.53	884.29	444.72	529.06	1199.98	679.29	9.27	57.08	27.64	18.97	4.78	13.62
JPH4	3.53	5.06	0.99	1.28	1594.73	320.8	507.46	158.79	860.08	457.25	432.53	981.29	819.3	346.29	2018.8	473.41	2.05	8.99	5.36	14.14	1.6	6.78
KCNMB1	9.78	9.2	3.82	13.93	1369.04	291.04	555.41	187.71	896.64	463.65	480.04	1628.26	981.29	429.54	1208.34	1216.75	15.45	57.89	25.72	27.25	6.41	16.15
KCNQ4	1.6	4.46	1.46	2.76	175.07	25.91	40.07	21.94	86.43	50.98	43.94	97.36	72.52	55.89	145.02	73.54	2.39	17.64	13.93	12.64	7.0	9.27
KIAA1644	2.51	2.73	0.0	1.93	273.37	39.5	124.37	46.5	178.77	97.36	91.41	265.87	327.56	152.28	299.25	82.29	2.05	18.43	3.14	5.28	1.79	1.13
KLHL5	256.78	444.72	180.02	125.24	1331.57	211.31	543.96	224.97	902.89	339.14	607.87	1819.35	941.27	299.25	665.29	733.19	117.6	316.37	191.67	228.13	191.67	305.55
LARGE	171.45	106.63	135.24	303.44	684.02	277.2	417.77	297.17	490.14	353.59	381.68	651.58	620.67	379.04	616.37	429.54	249.73	223.41	125.24	161.02	120.1	154.42
LIMS2	70.01	139.07	58.71	109.66	6207.38	1088.92	2061.24	660.68	3257.52	1369.04	1709.26	3742.05	3018.3	1781.89	6381.92	2935.74	503.95	1088.92	703.28	808.0	629.35	1183.45
LRFN5	0.75	0.95	0.37	1.0	181.28	25.17	61.68	26.86	94.67	61.25	50.98	175.07	172.65	33.78	104.42	51.71	0.61	30.78	24.63	33.78	3.86	15.0
LTBP1	73.54	112.77	19.97	41.22	1225.22	246.28	684.02	224.97	656.11	356.05	356.05	3742.05	1662.49	457.25	866.07	2032.85	17.0	339.14	141.02	140.04	27.05	122.64
MAOB	176.29	75.11	32.36	59.97	3982.99	656.11	1529.73	688.78	2400.97	1295.13	1304.15	6887.62	3614.55	1191.69	3303.0	4512.4	11.55	571.05	237.86	379.04	113.56	356.05
MAS1	0.0	0.0	0.0	0.0	7.06	0.89	0.0	0.4	6.41	1.99	0.0	2.25	1.08	2.05	3.06	1.6	0.0	0.0	0.0	0.0	0.0	0.0
MEIS1	84.04	67.59	59.55	42.41	1159.07	248.0	476.71	172.65	934.76	395.18	466.88	1096.5	884.29	395.18	1208.34	555.41	87.03	253.23	67.59	154.42	68.07	78.89
MRGPRD	0.0	0.0	0.0	0.0	11.3	5.41	0.0	1.35	6.94	3.38	2.36	10.79	7.06	1.81	0.0	4.5	0.0	0.0	2.53	0.59	0.0	0.0
MRGPRF	4.7	18.7	2.56	6.89	2090.03	309.83	575.03	269.6	921.88	651.58	555.41	2119.22	1870.53	825.0	1540.37	1001.93	11.73	198.47	182.55	71.0	30.78	68.55
