	TCGA.G4.6302.01A.11R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11ZTS.1526.SM.5N9G7	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.13O3P.2726.SM.5KM2R	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13OVL.2726.SM.5J2MP	TCGA.DD.A3A2.11A.11R.A213.07	GTEX.RNOR.1426.SM.48FDJ	GTEX.SJXC.1226.SM.4DM78	GTEX.RN64.1826.SM.48FDV	TCGA.AG.3732.11A.01R.1660.07
ABCE1	718.08	366.09	420.68	743.43	638.15	450.94	753.83	366.09	289.02	262.2	236.21	239.52	289.02	551.56
AC096677.1	48.52	135.24	22.59	68.55	71.0	22.43	71.0	35.76	10.55	0.0	6.73	0.0	7.69	65.26
ARSB	178.77	167.9	108.14	1498.22	1242.34	1151.06	624.99	167.9	151.22	49.56	135.24	77.79	65.26	177.53
B4GALT5	974.5	830.75	406.31	1119.56	961.07	896.64	1233.75	460.44	297.17	224.97	153.34	113.56	105.89	693.58
C17orf53	33.54	7.0	28.24	106.63	29.7	32.82	74.58	15.45	27.64	10.71	13.22	28.45	19.39	28.24
C1orf95	400.71	1225.22	126.12	176.29	143.01	244.57	346.29	136.19	256.78	1.27	3.0	1.08	0.14	503.95
C4orf32	92.05	50.98	53.95	74.58	113.56	102.97	132.44	64.8	49.56	46.5	34.02	21.94	23.25	87.65
CALCA	68.55	35.0	0.97	1.79	5.73	3.53	92.05	3.26	0.0	5.41	0.0	0.0	0.0	24.28
CD300C	27.25	21.63	4.9	22.1	54.33	29.27	33.78	11.55	5.96	11.21	0.0	0.0	9.41	26.28
CD300E	37.32	34.26	3.86	75.64	59.97	31.22	38.67	7.17	8.32	7.51	2.63	21.32	5.5	15.34
CD93	934.76	376.41	144.01	1331.57	1304.15	447.82	1487.87	231.32	178.77	59.55	81.14	21.01	32.82	389.72
CIRH1A	738.29	529.06	409.15	890.44	633.73	703.28	961.07	470.14	368.65	253.23	211.31	206.94	162.14	624.99
CSGALNACT2	540.19	435.55	224.97	967.76	1143.1	607.87	921.88	275.28	281.09	113.56	75.64	66.65	86.43	497.0
CSRP1	244588.0	1645391.11	45386.27	428815.23	172949.54	938500.81	32994.92	60304.42	60723.88	2739.08	3443.31	2573.36	1806.78	220434.95
DCUN1D5	551.56	361.04	244.57	642.59	397.93	392.44	480.04	334.46	256.78	332.14	167.9	134.3	124.37	417.77
DDX21	748.61	271.48	226.54	1322.37	796.86	563.18	1127.35	251.48	181.28	202.66	166.73	182.55	186.4	518.15
DOC2B	87.65	58.71	5.92	113.56	183.82	89.51	100.13	40.07	27.05	2.14	1.58	0.0	0.0	52.45
DOCK9	1096.5	1594.73	638.15	3018.3	3146.52	2367.9	1950.0	1540.37	1268.46	137.14	128.79	109.66	140.04	1651.0
DUSP22	1277.29	1977.24	723.08	1127.35	1583.71	1457.23	2047.0	1119.56	638.15	358.54	293.07	206.94	287.01	1350.18
EIF3J	1378.57	1096.5	780.44	1143.1	954.43	1508.65	1769.57	884.29	583.07	728.11	450.94	466.88	543.96	1199.98
ELL	301.33	183.82	236.21	575.03	503.95	616.37	525.39	193.01	195.72	129.69	182.55	166.73	194.36	201.25
EMCN	480.04	295.11	239.52	854.13	647.07	341.51	1167.14	175.07	194.36	76.17	128.79	42.41	17.51	529.06
ETF1	1594.73	1066.48	813.63	2047.0	1674.06	2367.9	1721.16	1088.92	733.19	435.55	395.18	400.71	409.15	1427.22
EVL	3794.3	1447.15	1437.15	1806.78	2047.0	1806.78	6471.02	1295.13	2664.15	1023.0	1427.22	1322.37	1359.57	1216.75
FAM118B	379.04	291.04	318.57	202.66	239.52	239.52	426.57	249.73	175.07	88.26	62.12	69.52	65.72	366.09
FAM124A	285.03	723.08	55.1	1127.35	1119.56	1127.35	480.04	154.42	143.01	10.39	21.47	4.03	4.98	417.77
FBXO32	7803.01	16157.44	1832.01	11189.6	15934.98	5751.61	10512.82	3901.01	1721.16	79.45	64.8	21.78	36.53	10585.95
FKBP1A	5403.7	4010.71	2682.69	7130.55	6652.97	4328.55	7382.04	3742.05	2400.97	1583.71	1508.65	1111.82	1066.48	4298.64
HAPLN3	629.35	88.26	92.7	981.29	718.08	248.0	1135.2	149.12	122.64	3.69	10.39	5.77	19.39	61.25
HCCS	529.06	457.25	351.14	470.14	476.71	651.58	543.96	435.55	201.25	384.34	178.77	224.97	231.32	595.34
IL13RA1	1023.0	1127.35	583.07	1709.26	1757.34	1617.0	1628.26	813.63	642.59	1508.65	1104.13	1183.45	830.75	1225.22
ILF3	2976.74	2720.15	2351.53	3060.45	2682.69	2367.9	3039.3	2090.03	2119.22	698.41	890.44	603.67	860.08	2319.15
ITGAV	915.51	591.22	500.46	1059.11	884.29	718.08	1167.14	764.36	532.74	114.36	77.79	40.64	35.0	718.08
KIAA0020	629.35	229.72	432.53	688.78	529.06	329.84	723.08	251.48	429.54	262.2	221.86	242.88	182.55	483.38
KIAA2022	32.59	84.63	7.63	18.84	49.21	29.06	51.71	50.98	12.83	0.0	0.64	0.0	0.0	41.22
MFHAS1	361.04	361.04	217.27	460.44	316.37	373.81	426.57	293.07	248.0	51.71	43.94	43.63	42.71	426.57
MTF1	85.82	87.65	66.65	159.9	152.28	100.83	121.79	84.63	58.71	38.95	39.79	18.03	35.0	118.43
NCOA7	860.08	361.04	486.75	954.43	629.35	435.55	1477.58	271.48	199.85	279.14	208.38	139.07	239.52	563.18
NUDCD1	318.57	153.34	116.78	384.34	246.28	167.9	397.93	135.24	120.1	95.34	40.07	57.08	52.82	198.47
OSMR	1583.71	518.15	159.9	1594.73	1909.85	878.17	2090.03	460.44	248.0	89.51	38.95	48.87	39.22	361.04
PGM2	679.29	521.76	384.34	1111.82	928.3	507.46	703.28	264.03	206.94	186.4	253.23	201.25	98.04	595.34
PHF21A	802.41	1388.16	339.14	896.64	759.08	775.05	1331.57	567.1	571.05	138.1	130.6	63.0	98.04	1008.9
PITPNB	1757.34	2075.59	854.13	1745.2	1794.29	1806.78	1936.53	1225.22	842.36	647.07	665.29	665.29	470.14	1870.53
PM20D2	406.31	218.79	175.07	426.57	559.28	327.56	1096.5	198.47	153.34	50.98	40.93	18.84	38.67	361.04
POLR3G	84.63	41.81	36.01	63.0	23.25	35.0	56.28	24.46	42.71	18.97	36.27	10.16	32.59	60.39
PROK2	9.78	3.99	6.01	3.53	7.0	32.59	27.44	0.62	1.38	1.69	0.0	0.0	3.53	5.96
PRPS1	872.1	738.29	248.0	698.41	665.29	647.07	860.08	514.56	228.13	579.04	463.65	603.67	435.55	583.07
PSMD12	723.08	450.94	429.54	842.36	587.13	825.0	775.05	507.46	447.82	379.04	432.53	412.0	384.34	595.34
RANBP9	738.29	669.92	466.88	1066.48	2591.27	769.69	1104.13	547.75	616.37	389.72	363.56	420.68	255.0	902.89
RBM12	620.67	518.15	320.8	860.08	674.59	633.73	674.59	587.13	271.48	108.9	108.14	106.63	122.64	698.41
RIOK1	356.05	269.6	224.97	447.82	339.14	273.37	435.55	193.01	246.28	121.79	98.04	67.12	109.66	316.37
RIPK2	450.94	275.28	153.34	314.17	232.94	209.84	450.94	190.34	223.41	85.82	65.26	70.01	43.63	246.28
RLIM	237.86	199.85	151.22	334.46	314.17	267.73	368.65	182.55	161.02	70.01	63.45	71.0	58.71	223.41
RNF168	166.73	149.12	105.89	429.54	205.5	165.57	229.72	131.51	110.43	100.83	92.05	86.43	98.73	158.79
SCN3B	55.89	55.49	21.01	32.82	39.5	51.35	81.71	16.88	14.78	0.65	0.04	0.0	0.99	50.98
SDCBP	3874.05	3491.39	2384.37	3665.02	4328.55	3349.13	4181.07	2468.49	1923.14	1388.16	1015.93	921.88	540.19	3515.68
SHISA2	52.82	5.28	2.1	45.21	4.21	1.5	59.55	12.0	3.86	0.45	1.39	0.0	0.0	2.41
SLC36A4	234.57	195.72	102.25	191.67	279.14	212.78	299.25	170.25	108.9	72.01	33.54	34.02	24.99	226.54
SLFN5	231.32	246.28	54.33	373.81	262.2	139.07	420.68	169.07	75.11	33.78	43.63	12.09	43.94	281.09
SMAD9	194.36	314.17	148.09	1059.11	551.56	890.44	848.22	275.28	258.57	9.27	38.12	18.7	31.45	309.83
SMNDC1	493.56	454.09	249.73	651.58	532.74	511.0	525.39	387.02	267.73	228.13	204.07	110.43	169.07	555.41
SRP19	1697.45	1208.34	981.29	1477.58	1268.46	1175.27	2148.82	1037.29	1268.46	988.12	796.86	872.1	693.58	1340.84
SSH1	327.56	400.71	229.72	392.44	414.87	400.71	460.44	287.01	249.73	98.04	133.36	90.77	138.1	351.14
STAT5A	808.0	941.27	373.81	915.51	967.76	660.68	954.43	500.46	395.18	163.28	121.79	111.99	176.29	669.92
