	GTEX.13O61.1226.SM.5KM21	TCGA.BC.A110.11A.11R.A131.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.P4PQ.1526.SM.3NMCK	GTEX.RU1J.0526.SM.46MUT	GTEX.XAJ8.0326.SM.47JYI	GTEX.TKQ2.0926.SM.4DXU5	GTEX.UPIC.1826.SM.4IHKC	GTEX.S7SF.0626.SM.4AD4V
ABI2	409.15	106.63	33.54	314.17	389.72	466.88	400.71	327.56	974.5	417.77	587.13	368.65	1259.69	400.71	363.56	1037.29	587.13	343.89	285.03	1242.34	318.57	412.0	507.46	175.07	1674.06	226.54	444.72	854.13	995.0	866.07	1322.37	854.13	967.76
AC092850.1	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17	0.0	0.4	0.83	3.06	0.0	0.0	1.31	0.0	0.0	0.0	3.66	0.0	0.0	0.0	0.0	0.47	0.0	0.0	2.63	1.73	1.31	1.38	1.1	2.01
AKAP1	1487.87	361.04	229.72	0.0	967.76	1721.16	1183.45	1896.65	1662.49	1331.57	1508.65	1359.57	2701.35	1991.0	1340.84	2400.97	2004.85	1277.29	1583.71	2485.67	587.13	1015.93	1001.93	733.19	3124.78	961.07	934.76	3235.01	2209.26	2224.63	2061.24	2956.17	2701.35
AMIGO1	167.9	41.52	61.25	0.0	73.54	115.16	60.39	108.14	228.13	34.02	109.66	127.89	283.05	81.14	80.01	155.5	129.69	111.21	108.14	229.72	66.65	47.17	49.91	37.59	255.0	60.39	89.51	256.78	392.44	348.71	432.53	381.68	336.79
AMOTL1	947.83	101.54	66.65	0.0	220.32	143.01	82.87	77.25	1286.18	223.41	133.36	249.73	1183.45	226.54	75.64	518.15	348.71	108.9	130.6	1286.18	116.78	82.87	53.95	41.22	1605.83	70.51	178.77	1378.57	1417.35	1088.92	1259.69	1806.78	1322.37
ANXA6	3955.48	2319.15	1111.82	1331.57	2148.82	1733.13	1457.23	2855.44	5441.3	1277.29	3716.2	1304.15	6471.02	2537.92	1628.26	5112.16	3280.18	1662.49	2240.11	6652.97	3491.39	2224.63	1572.76	1159.07	6652.97	1457.23	3665.02	8191.0	8421.31	6561.36	6516.03	5147.73	4639.29
ARHGAP6	323.03	9.41	4.74	0.0	108.14	67.59	117.6	23.25	392.44	77.25	70.51	119.26	384.34	147.06	69.52	277.2	173.85	68.07	90.77	503.95	56.68	72.52	54.33	85.22	476.71	66.18	85.82	239.52	543.96	346.29	514.56	567.1	463.65
ARHGEF4	265.87	7.88	15.22	0.0	53.95	69.52	24.63	97.36	540.19	63.45	75.11	152.28	651.58	201.25	24.99	607.87	363.56	75.11	74.58	967.76	41.22	53.57	22.26	50.27	884.29	17.77	198.47	1407.55	1857.6	1066.48	2537.92	2835.7	1819.35
ASB8	579.04	260.38	209.84	275.28	511.0	486.75	529.06	819.3	753.83	444.72	603.67	624.99	713.11	624.99	500.46	607.87	791.35	607.87	679.29	708.18	532.74	460.44	525.39	460.44	830.75	473.41	559.28	703.28	902.89	802.41	836.53	1051.79	1088.92
B4GALT2	759.08	412.0	651.58	1259.69	493.56	759.08	1407.55	1259.69	2047.0	195.72	1135.2	1104.13	1073.91	954.43	995.0	1015.93	1407.55	728.11	819.3	1127.35	718.08	825.0	1167.14	743.43	1259.69	728.11	802.41	1008.9	1977.24	1651.0	1183.45	1397.83	1369.04
