	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZF29.1926.SM.5S2P1	GTEX.Y8LW.1626.SM.5IFHX	GTEX.132AR.0826.SM.5EGK6	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.Y114.1526.SM.4TT79	GTEX.13YAN.1826.SM.5LU3Q	GTEX.13YAN.2026.SM.5Q5EY	TCGA.B8.4622.11A.01R.1758.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSK.0826.SM.5CVNP
AASS	232.94	314.17	305.55	409.15	161.02	743.43	150.17	543.96	1059.11	1286.18	89.51	660.68	169.07	199.85	273.37	211.31	397.93	981.29	1059.11	193.01	0.0	0.78	656.11
ADARB2	6.84	18.29	3.63	2.25	19.97	3.17	1.85	2.68	12.55	47.17	0.0	4.58	1.43	7.63	15.8	25.72	28.24	28.04	106.63	19.25	0.0	0.3	6.26
ATG9A	890.44	802.41	808.0	878.17	860.08	825.0	808.0	780.44	1127.35	1111.82	842.36	981.29	775.05	866.07	819.3	941.27	1066.48	896.64	836.53	571.05	0.0	0.82	1008.9
ATP6V0A2	163.28	376.41	218.79	143.01	170.25	151.22	136.19	135.24	426.57	417.77	148.09	132.44	287.01	262.2	316.37	273.37	325.29	435.55	511.0	170.25	0.0	0.64	256.78
B4GALNT1	21.94	28.24	31.9	33.06	33.78	8.78	50.63	16.03	36.27	87.65	19.25	3.44	49.91	68.55	27.44	72.52	58.3	85.22	379.04	12.83	0.0	0.92	95.34
BECN1	1639.59	1963.57	1757.34	1617.0	1617.0	1605.83	1159.07	1295.13	2997.45	3081.75	785.88	1594.73	1447.15	1417.35	1819.35	1781.89	2956.17	1745.2	1662.49	1572.76	0.0	0.79	2555.58
BRSK1	3.89	60.39	46.84	16.63	60.82	40.93	14.89	3.47	63.45	82.87	15.8	2.07	18.56	31.45	49.21	42.41	141.02	154.42	305.55	6.73	0.0	0.69	92.05
C5AR2	23.42	90.14	30.78	22.59	69.03	42.11	17.25	18.16	127.0	138.1	78.89	45.21	59.97	21.63	59.55	36.53	56.28	76.17	67.12	10.96	0.0	0.53	769.69
CACNB1	30.34	115.16	74.58	38.4	104.42	80.01	58.3	16.51	178.77	244.57	36.53	11.47	57.49	106.63	62.56	246.28	204.07	368.65	432.53	18.43	0.0	0.87	291.04
CCDC130	341.51	764.36	450.94	353.59	529.06	384.34	244.57	209.84	796.86	1135.2	215.77	194.36	327.56	483.38	476.71	791.35	1286.18	1745.2	2319.15	199.85	0.0	1.19	872.1
