	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ
ACOT9	447.82	387.02	305.55	176.29	191.67	400.71	277.2	262.2	295.11	647.07	438.59	1081.39	915.51	361.04	503.95	511.0	392.44	813.63	785.88	551.56	551.56	432.53	500.46	1096.5	476.71	813.63	954.43	718.08	928.3	769.69	848.22	769.69	473.41	665.29	591.22	723.08
ADAP1	269.6	145.02	40.07	2.25	366.09	135.24	165.57	172.65	0.61	111.99	373.81	260.38	497.0	476.71	220.32	493.56	316.37	291.04	316.37	376.41	314.17	559.28	363.56	358.54	507.46	486.75	381.68	249.73	334.46	387.02	329.84	325.29	265.87	381.68	599.49	285.03
ARFRP1	251.48	450.94	101.54	248.0	387.02	358.54	343.89	293.07	769.69	616.37	808.0	921.88	836.53	1104.13	896.64	1073.91	921.88	738.29	836.53	934.76	954.43	995.0	567.1	819.3	1030.12	775.05	647.07	759.08	665.29	688.78	764.36	743.43	547.75	785.88	988.12	698.41
ASCC2	748.61	583.07	1096.5	551.56	796.86	775.05	473.41	759.08	947.83	988.12	872.1	1277.29	1143.1	1340.84	961.07	1551.09	974.5	915.51	1519.15	1359.57	1477.58	1233.75	1001.93	1447.15	1135.2	1295.13	1447.15	1030.12	902.89	902.89	1135.2	1359.57	934.76	1233.75	1304.15	988.12
ASPSCR1	409.15	543.96	403.5	197.09	351.14	301.33	470.14	289.02	0.84	327.56	603.67	780.44	1111.82	775.05	718.08	884.29	764.36	866.07	981.29	651.58	941.27	802.41	473.41	1487.87	860.08	1143.1	954.43	791.35	616.37	718.08	1378.57	753.83	559.28	909.17	743.43	511.0
ATP5D	848.22	511.0	493.56	363.56	1594.73	909.17	223.41	1119.56	1.08	1628.26	3212.66	3928.15	4298.64	4010.71	3395.89	4972.34	4066.71	5041.77	5329.3	4239.45	5441.3	4239.45	1437.15	10808.41	4239.45	7382.04	5672.41	2627.46	2119.22	3190.46	8658.09	4123.49	2090.03	4419.52	6381.92	2502.97
ATP5EP2	18.84	3.14	33.06	25.35	5.41	15.22	0.13	10.71	0.12	6.11	38.12	78.89	23.25	31.22	49.91	140.04	74.06	90.14	62.12	52.82	35.0	63.0	41.22	79.45	63.89	113.56	28.65	12.55	12.93	59.55	74.58	40.07	29.48	31.0	43.94	212.78
ATP6V0C	2591.27	575.03	3716.2	4769.75	5219.6	2047.0	167.9	2720.15	0.87	1806.78	4802.93	5633.22	4869.99	7280.4	5711.87	5366.37	5403.7	5112.16	5555.65	6164.49	5366.37	3768.09	2224.63	5555.65	5954.47	5751.61	4181.07	4869.99	4095.0	3212.66	5366.37	5219.6	3372.43	4328.55	5183.54	3257.52
AURKAIP1	961.07	587.13	229.72	426.57	2255.7	1159.07	1286.18	1340.84	0.75	1233.75	2451.44	3124.78	2816.11	2956.17	2609.3	2935.74	2485.67	2855.44	3515.68	2855.44	3235.01	2739.08	1340.84	4543.8	2720.15	3665.02	3901.01	2224.63	1896.65	2367.9	4512.4	2956.17	1250.98	2976.74	3103.19	1896.65
B4GALT7	417.77	409.15	231.32	246.28	547.75	371.22	351.14	325.29	0.25	373.81	551.56	651.58	723.08	884.29	616.37	713.11	669.92	713.11	884.29	688.78	543.96	759.08	529.06	860.08	748.61	780.44	902.89	651.58	679.29	728.11	753.83	567.1	366.09	748.61	872.1	503.95
B9D2	120.94	103.69	50.27	46.84	202.66	138.1	177.53	115.16	0.0	125.24	223.41	198.47	237.86	312.0	201.25	178.77	215.77	297.17	218.79	253.23	277.2	293.07	187.71	273.37	343.89	336.79	258.57	237.86	211.31	159.9	348.71	150.17	152.28	279.14	186.4	201.25
C14orf2	3257.52	1540.37	4543.8	2520.38	1963.57	3742.05	1819.35	3419.52	1151.06	4450.27	4903.87	5147.73	3742.05	5112.16	5479.15	4419.52	2468.49	4802.93	6337.83	4210.15	4512.4	5329.3	3491.39	6516.03	5954.47	6607.01	8134.41	3639.7	3768.09	2520.38	6935.54	6607.01	3443.31	4358.66	6516.03	3443.31
C17orf70	400.71	348.71	343.89	295.11	438.59	234.57	190.34	258.57	0.67	202.66	351.14	376.41	511.0	529.06	348.71	651.58	429.54	341.51	438.59	490.14	525.39	567.1	356.05	457.25	559.28	379.04	371.22	320.8	356.05	406.31	429.54	392.44	412.0	327.56	514.56	432.53
C19orf47	218.79	150.17	226.54	120.1	155.5	178.77	94.67	123.5	0.39	180.02	301.33	289.02	228.13	327.56	291.04	305.55	234.57	267.73	253.23	334.46	246.28	279.14	199.85	307.69	412.0	314.17	241.19	320.8	275.28	218.79	271.48	255.0	132.44	262.2	260.38	237.86
