	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZVZQ.0826.SM.51MRF	GTEX.T6MO.0326.SM.32QOK	GTEX.WRHU.0326.SM.3MJFY	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.TML8.1226.SM.32QON	GTEX.12WSB.0626.SM.59HJO	GTEX.13OVG.1426.SM.5K7VP	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.38.4625.01A.01R.1206.07	GTEX.XMD2.1026.SM.4WWE8	GTEX.RN64.1226.SM.2TC6E	GTEX.11ZUS.0126.SM.5EQM5	GTEX.11NUK.0826.SM.5HL4U	GTEX.QEG4.0526.SM.48TZD
AC016586.1	0.82	0.82	2.36	1.31	2.23	2.46	0.91	1.3	1.36	4.13	1.39	3.29	0.99	4.35	1.5	2.01	4.1	1.01	3.06	1.85	4.74	1.33	0.83	1.58	1.19	0.0	1.57	0.0	7.17	8.06	8.78	7.4	5.15
ACE	371.22	206.94	476.71	559.28	802.41	423.61	279.14	480.04	432.53	785.88	231.32	1111.82	142.01	713.11	98.04	61.68	438.59	239.52	497.0	529.06	463.65	65.26	8.99	24.11	25.72	34.26	35.76	0.0	1088.92	7331.05	4210.15	4038.61	8598.28
ADARB1	327.56	229.72	420.68	363.56	327.56	384.34	242.88	295.11	128.79	470.14	262.2	543.96	325.29	490.14	142.01	323.03	366.09	242.88	607.87	848.22	470.14	82.29	45.53	46.5	16.27	86.43	38.12	0.0	974.5	1111.82	1023.0	642.59	954.43
ARHGAP15	189.02	105.89	211.31	193.01	159.9	234.57	104.42	173.85	65.26	241.19	150.17	718.08	107.38	379.04	79.45	135.24	187.71	165.57	244.57	616.37	283.05	95.34	17.64	30.78	21.16	119.26	56.68	0.0	629.35	890.44	376.41	529.06	665.29
ARHGAP25	262.2	181.28	368.65	214.27	397.93	309.83	223.41	228.13	185.11	435.55	128.79	1733.13	124.37	493.56	70.51	178.77	275.28	409.15	902.89	791.35	366.09	39.5	31.9	26.28	25.54	53.95	86.43	0.0	1242.34	348.71	624.99	1159.07	1388.16
BAI3	7.57	15.45	16.39	10.0	4.86	5.73	16.75	13.22	5.5	9.34	8.78	14.78	8.38	36.79	2.71	15.68	10.71	24.28	16.27	36.01	32.13	0.89	0.46	0.45	2.23	3.47	2.05	0.0	39.22	66.65	85.82	18.16	142.01
CAMK2G	363.56	371.22	473.41	466.88	473.41	555.41	441.64	406.31	397.93	583.07	289.02	567.1	381.68	518.15	237.86	246.28	432.53	435.55	693.58	796.86	796.86	237.86	283.05	211.31	231.32	100.13	135.24	0.0	660.68	836.53	698.41	785.88	981.29
CCL2	1896.65	753.83	1896.65	1051.79	3955.48	1378.57	1183.45	4512.4	1073.91	4095.0	1437.15	6745.86	638.15	5954.47	909.17	532.74	2224.63	1733.13	2682.69	1950.0	6164.49	129.69	42.41	175.07	50.63	473.41	307.69	0.0	9540.5	16843.62	5672.41	4268.94	6652.97
CD244	15.34	7.57	27.44	14.67	26.47	19.82	6.78	4.1	14.03	32.36	23.59	49.91	8.71	14.67	7.06	4.9	6.06	20.26	33.54	31.9	24.11	10.88	2.27	1.89	0.46	10.79	6.89	0.0	74.58	159.9	55.49	45.53	273.37
CD247	36.01	25.17	199.85	48.18	66.65	92.7	31.22	45.21	17.38	96.68	15.8	316.37	63.89	260.38	38.4	6.26	82.29	24.99	303.44	149.12	90.77	28.45	16.88	15.91	6.52	27.25	12.0	0.0	802.41	854.13	547.75	241.19	2119.22
CHN1	234.57	183.82	361.04	260.38	232.94	269.6	220.32	226.54	189.02	299.25	358.54	854.13	132.44	409.15	145.02	248.0	297.17	267.73	450.94	1111.82	392.44	56.28	31.67	36.53	12.74	34.26	58.3	0.0	536.45	1427.22	620.67	575.03	708.18
COL21A1	43.02	37.59	58.3	43.94	28.04	38.67	47.5	55.1	28.65	84.04	43.32	140.04	13.62	151.22	3.23	36.53	59.55	29.06	150.17	368.65	75.64	20.41	19.11	5.32	18.7	8.65	5.15	0.0	555.41	599.49	1250.98	241.19	187.71
CTSW	62.56	46.5	229.72	53.19	73.03	157.68	48.52	43.02	35.76	260.38	78.34	629.35	30.56	249.73	60.82	24.46	297.17	22.59	559.28	412.0	148.09	26.1	17.25	15.56	7.17	8.06	7.4	0.0	2047.0	915.51	1322.37	1857.6	4268.94
CYTL1	82.87	22.26	251.48	154.42	64.8	33.78	66.18	101.54	115.16	105.89	155.5	684.02	20.26	149.12	56.28	12.64	395.18	3.5	132.44	59.13	454.09	7.28	5.54	0.0	0.89	0.0	4.82	0.0	275.28	262.2	63.45	392.44	429.54
DLG4	102.97	71.0	178.77	177.53	169.07	111.99	113.56	115.97	131.51	232.94	78.34	246.28	127.0	241.19	55.1	38.4	139.07	178.77	221.86	289.02	187.71	52.45	33.3	34.51	24.63	53.19	24.99	0.0	283.05	457.25	497.0	255.0	403.5
DOCK10	92.7	28.24	166.73	76.71	163.28	123.5	100.83	100.83	100.83	159.9	43.94	293.07	112.77	180.02	76.71	46.18	149.12	111.21	244.57	273.37	246.28	17.51	1.97	11.04	4.35	43.32	69.03	0.0	253.23	748.61	242.88	607.87	159.9
DOCK4	351.14	133.36	291.04	208.38	363.56	215.77	242.88	279.14	211.31	297.17	234.57	356.05	187.71	532.74	133.36	144.01	239.52	339.14	476.71	848.22	353.59	57.49	127.89	74.58	59.55	127.89	57.89	0.0	947.83	1159.07	1540.37	1111.82	1651.0
FABP4	386469.83	394590.4	225066.78	348306.01	327241.36	358098.26	370726.6	489177.0	447025.24	716197.51	602247.76	152662.96	324980.94	102836.01	558035.51	906531.99	1078054.48	1838374.44	187950.38	394590.4	636586.81	106.63	2434.5	80.57	693.58	18.84	61.68	0.0	2609.3	2956.17	6745.86	67846.12	4802.93
FLT3LG	224.97	177.53	379.04	269.6	305.55	237.86	239.52	187.71	102.25	325.29	144.01	669.92	159.9	587.13	30.78	98.73	249.73	229.72	397.93	872.1	303.44	72.01	47.5	221.86	80.01	96.68	60.39	0.0	718.08	981.29	633.73	503.95	909.17
