	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ABCC9	159.9	8.0	49.21	4.54	152.28	38.95	33.3	49.91	3.35	31.0	15.34	21.32	18.43	32.59	78.89	23.42	35.5	102.97	40.93	1.53	17.38	13.83	140.04	4.74	25.17	40.36	45.21	50.63	71.0	6.46	187.71	18.7	10.08	26.67	13.32	11.04	43.32	19.68	3.69	22.92	37.32	16.51	15.11	113.56	96.68	97.36	212.78	55.49	209.84
ADAMTS12	35.76	4.58	17.13	1.46	12.55	8.32	17.77	11.55	2.58	12.45	2.23	11.13	11.38	7.34	27.84	8.58	9.48	22.26	19.25	1.77	7.57	13.42	51.35	2.58	6.57	15.34	19.53	15.91	26.47	2.51	31.9	14.67	4.46	8.71	2.25	4.28	16.03	4.78	3.32	7.28	15.45	4.82	1.08	9.7	66.65	28.65	40.36	39.5	51.71
ARHGAP31	101.54	16.75	59.13	11.55	88.88	31.9	36.27	35.5	8.0	38.67	22.26	40.64	31.45	30.34	94.67	40.07	34.75	57.89	51.71	16.39	19.97	18.16	117.6	11.38	35.5	59.55	94.01	36.53	81.14	14.35	110.43	33.3	15.22	22.43	17.9	11.3	42.41	27.05	9.48	62.56	24.81	32.13	16.88	72.01	54.72	73.54	127.89	61.25	108.14
ARHGEF6	161.02	34.02	81.14	17.13	151.22	54.72	61.25	102.97	15.68	61.25	45.53	62.56	43.94	59.55	166.73	80.57	53.57	111.99	121.79	14.14	42.11	44.25	172.65	22.1	56.28	111.99	194.36	126.12	98.73	31.0	183.82	50.63	29.06	44.89	43.94	44.25	77.79	51.35	32.59	55.89	60.82	52.45	30.34	137.14	166.73	140.04	201.25	131.51	228.13
BMP4	307.69	74.06	189.02	46.5	426.57	126.12	269.6	441.64	38.12	144.01	65.72	44.89	193.01	141.02	764.36	125.24	78.89	293.07	397.93	27.64	149.12	223.41	633.73	6.78	127.0	152.28	164.42	158.79	260.38	43.63	808.0	115.16	84.63	100.13	77.25	138.1	155.5	73.54	33.54	170.25	256.78	103.69	45.53	463.65	438.59	470.14	429.54	371.22	620.67
BOC	665.29	185.11	511.0	218.79	1044.52	473.41	493.56	728.11	77.25	529.06	115.97	242.88	277.2	514.56	507.46	234.57	351.14	463.65	414.87	28.45	409.15	242.88	909.17	163.28	197.09	409.15	381.68	723.08	470.14	80.01	884.29	264.03	214.27	497.0	157.68	102.25	381.68	140.04	58.3	336.79	693.58	356.05	151.22	420.68	688.78	713.11	921.88	954.43	791.35
BST1	68.07	36.53	44.57	7.17	80.01	17.51	23.76	36.79	14.03	10.96	9.85	20.86	21.47	23.76	74.58	29.27	20.41	49.21	51.71	10.96	29.27	24.81	102.25	15.45	20.41	27.44	72.01	51.35	30.34	15.91	98.04	15.0	18.84	12.64	12.83	18.03	31.22	12.93	7.11	16.27	31.0	17.64	7.17	77.79	85.22	73.54	67.12	72.01	110.43
C10orf128	147.06	107.38	145.02	18.29	176.29	55.49	59.13	76.17	12.45	64.34	44.57	102.25	49.91	76.17	177.53	77.79	72.01	163.28	166.73	17.9	107.38	65.26	271.48	16.51	75.11	120.1	271.48	129.69	127.89	30.56	209.84	53.95	55.1	49.21	21.94	31.0	94.01	61.25	36.53	82.29	77.25	116.78	25.17	226.54	325.29	191.67	178.77	143.01	246.28
CACHD1	165.57	16.88	80.01	6.73	152.28	55.49	59.97	86.43	9.48	32.82	21.47	38.12	33.54	37.85	107.38	53.57	38.95	77.25	88.26	2.81	31.45	35.0	122.64	5.19	36.79	59.55	91.41	84.04	81.14	13.42	198.47	36.27	18.7	29.7	15.34	17.0	65.72	17.9	9.63	40.93	48.52	26.28	19.25	120.1	115.97	159.9	228.13	157.68	220.32
CHST11	76.71	25.17	75.11	5.54	94.67	49.91	59.13	43.63	8.0	32.59	25.35	19.82	26.28	20.11	90.14	51.35	24.46	59.55	53.57	9.34	32.82	21.94	137.14	12.74	45.53	46.84	49.56	89.51	59.55	7.57	90.14	41.81	35.25	27.84	15.8	15.11	32.36	37.32	12.18	36.01	24.81	32.82	14.89	77.79	133.36	85.22	150.17	56.28	134.3
DAAM2	260.38	25.91	114.36	18.56	199.85	110.43	88.88	165.57	18.7	53.19	26.67	44.25	87.03	48.18	162.14	63.45	95.34	224.97	132.44	7.88	46.18	37.85	341.51	9.7	45.85	131.51	111.21	137.14	191.67	15.68	301.33	47.5	40.07	94.67	40.36	36.53	164.42	44.57	8.58	49.91	121.79	37.32	23.76	309.83	406.31	241.19	514.56	234.57	529.06
DGKE	102.97	46.18	68.55	42.41	66.65	64.8	66.18	66.65	31.67	38.4	58.3	55.1	57.08	46.5	98.04	54.33	56.28	88.26	53.95	32.82	53.57	55.49	102.25	68.55	34.75	76.17	76.17	92.05	90.77	28.65	70.51	64.8	40.36	58.71	26.47	38.4	73.03	56.68	49.91	46.18	65.72	62.12	46.5	105.15	93.35	71.5	125.24	87.03	104.42
DPYD	215.77	54.33	123.5	34.75	199.85	110.43	96.68	111.99	10.16	86.43	31.67	115.97	52.82	92.05	199.85	89.51	52.08	136.19	119.26	6.36	63.45	35.5	198.47	30.34	63.89	77.79	88.88	127.0	159.9	19.39	214.27	46.18	39.5	38.95	29.06	21.63	99.43	41.22	78.34	68.55	65.26	38.4	42.71	231.32	193.01	229.72	303.44	137.14	314.17
ELK3	363.56	83.45	221.86	53.19	323.03	175.07	182.55	191.67	46.84	108.14	94.01	212.78	120.1	126.12	351.14	202.66	164.42	297.17	285.03	57.49	108.14	135.24	511.0	68.07	185.11	277.2	466.88	271.48	271.48	59.97	371.22	166.73	78.34	127.0	173.85	100.13	182.55	165.57	112.77	244.57	102.97	127.89	83.45	329.84	314.17	269.6	503.95	287.01	555.41
ENTPD1	343.89	82.29	171.45	70.51	208.38	98.04	139.07	177.53	58.71	89.51	67.59	133.36	103.69	114.36	255.0	116.78	102.25	265.87	214.27	73.54	102.97	78.34	493.56	41.81	115.16	198.47	265.87	234.57	220.32	69.03	420.68	143.01	70.01	93.35	68.55	53.19	177.53	108.14	50.27	314.17	156.59	154.42	56.68	346.29	332.14	217.27	454.09	339.14	540.19
EPB41L2	540.19	84.63	277.2	35.25	521.76	127.89	166.73	303.44	70.01	130.6	71.0	119.26	104.42	137.14	559.28	154.42	189.02	277.2	295.11	44.25	151.22	133.36	521.76	73.54	164.42	271.48	336.79	244.57	273.37	70.01	607.87	133.36	122.64	146.03	69.03	63.89	212.78	94.67	40.64	126.12	164.42	141.02	72.52	414.87	547.75	447.82	819.3	435.55	656.11
EPS8	400.71	112.77	186.4	149.12	389.72	117.6	132.44	376.41	46.18	236.21	135.24	148.09	163.28	237.86	438.59	166.73	201.25	351.14	373.81	46.18	127.89	111.21	409.15	158.79	123.5	249.73	191.67	273.37	387.02	81.71	414.87	297.17	66.65	193.01	115.16	66.65	237.86	134.3	52.45	476.71	248.0	212.78	155.5	483.38	511.0	392.44	624.99	241.19	423.61
ETS1	551.56	117.6	323.03	84.63	470.14	180.02	237.86	211.31	33.3	267.73	135.24	269.6	178.77	137.14	525.39	283.05	187.71	476.71	325.29	92.05	99.43	95.34	595.34	177.53	185.11	423.61	607.87	532.74	412.0	155.5	493.56	303.44	101.54	107.38	229.72	82.29	201.25	244.57	60.39	297.17	124.37	191.67	124.37	441.64	351.14	476.71	624.99	318.57	620.67
ETV5	165.57	28.04	69.52	8.65	149.12	59.13	87.03	63.0	10.96	34.26	19.11	29.48	59.97	34.51	82.29	28.86	31.45	60.39	101.54	14.35	46.18	31.9	264.03	13.22	30.56	68.55	56.68	90.77	124.37	9.34	206.94	40.93	34.02	18.56	14.78	15.45	71.5	45.21	11.55	116.78	43.02	28.65	22.59	183.82	412.0	133.36	316.37	205.5	384.34
FGL2	269.6	44.89	78.34	10.71	220.32	81.71	93.35	114.36	13.83	57.08	57.49	108.14	42.11	53.19	309.83	144.01	103.69	187.71	146.03	11.64	94.67	61.68	119.26	44.89	62.56	114.36	81.71	131.51	120.94	26.47	178.77	52.08	38.95	46.18	24.11	45.85	72.52	39.79	27.84	49.91	55.49	59.13	25.91	246.28	246.28	191.67	368.65	147.06	379.04
FLI1	206.94	51.71	129.69	32.59	182.55	60.82	88.88	80.57	13.12	79.45	64.34	94.01	61.25	85.22	204.07	92.7	77.25	181.28	154.42	26.1	67.12	69.52	329.84	31.0	73.54	149.12	212.78	127.89	162.14	41.22	175.07	92.05	50.63	61.68	29.48	30.56	79.45	61.68	28.65	133.36	64.34	98.73	31.67	199.85	208.38	171.45	217.27	183.82	289.02
FRZB	244.57	136.19	124.37	43.02	153.34	51.71	77.25	141.02	44.25	57.08	61.25	120.1	69.52	76.17	384.34	138.1	72.52	175.07	246.28	57.49	73.54	98.04	320.8	55.1	139.07	177.53	299.25	234.57	113.56	46.84	327.56	131.51	52.82	51.71	74.06	80.57	194.36	130.6	26.1	98.73	133.36	88.26	27.25	299.25	327.56	205.5	202.66	285.03	329.84
GCNT4	13.42	0.0	7.28	0.2	11.47	3.72	4.06	9.2	0.21	3.47	2.51	1.27	2.01	2.89	11.82	2.94	4.7	14.03	6.01	0.0	1.97	0.82	21.32	1.07	1.6	2.97	5.63	11.47	7.63	0.91	19.53	3.69	1.11	2.56	0.52	0.78	4.78	1.39	0.45	7.88	3.59	1.39	0.72	24.46	29.27	15.8	37.85	12.83	23.08
GIMAP4	387.02	151.22	307.69	55.89	329.84	228.13	232.94	164.42	47.5	187.71	97.36	197.09	204.07	173.85	450.94	183.82	88.88	420.68	409.15	97.36	190.34	186.4	525.39	60.39	153.34	376.41	529.06	283.05	234.57	80.57	397.93	269.6	127.89	113.56	63.89	77.79	186.4	241.19	85.82	185.11	154.42	205.5	72.01	540.19	334.46	366.09	426.57	379.04	571.05
GIMAP5	334.46	307.69	327.56	72.52	320.8	246.28	231.32	224.97	75.64	181.28	107.38	295.11	287.01	143.01	454.09	182.55	92.05	403.5	466.88	136.19	264.03	218.79	620.67	88.26	114.36	273.37	842.36	356.05	231.32	92.05	409.15	279.14	182.55	131.51	57.08	83.45	281.09	234.57	96.01	236.21	277.2	244.57	77.25	532.74	587.13	450.94	480.04	466.88	457.25
GIMAP6	176.29	65.26	135.24	28.45	178.77	60.39	61.68	71.5	15.56	57.49	78.34	82.29	96.01	70.01	152.28	98.73	59.13	134.3	217.27	43.02	59.97	78.34	271.48	21.47	62.56	221.86	255.0	82.29	164.42	41.81	224.97	117.6	48.18	46.5	31.0	27.05	77.79	58.71	27.25	143.01	55.1	85.22	50.63	353.59	157.68	185.11	224.97	175.07	256.78
GIMAP7	232.94	127.89	182.55	47.5	218.79	130.6	154.42	129.69	33.3	90.77	102.25	77.79	135.24	103.69	279.14	86.43	69.03	232.94	351.14	53.95	143.01	150.17	403.5	36.79	102.97	189.02	476.71	190.34	190.34	57.89	246.28	187.71	92.05	92.7	42.41	55.49	98.73	162.14	61.68	124.37	115.16	111.99	29.7	429.54	285.03	256.78	193.01	273.37	346.29
GIMAP8	107.38	38.95	70.01	15.45	103.69	45.85	36.53	45.85	10.47	38.67	35.25	33.54	39.5	45.21	97.36	38.4	19.82	81.14	154.42	31.0	41.22	46.18	157.68	16.75	37.85	105.89	153.34	56.28	88.26	20.56	108.9	59.97	28.04	34.26	14.56	17.64	49.21	52.08	18.7	54.72	38.12	50.27	16.03	121.79	71.0	108.9	146.03	106.63	146.03
GNG2	208.38	22.92	95.34	17.0	191.67	64.8	110.43	128.79	9.63	88.88	21.47	62.12	55.89	80.01	221.86	50.63	92.05	214.27	156.59	18.97	56.28	49.91	214.27	24.63	72.01	105.15	132.44	155.5	139.07	23.93	197.09	38.67	35.76	61.25	19.68	24.11	74.58	37.85	11.64	37.32	110.43	49.21	24.99	130.6	271.48	141.02	299.25	193.01	358.54
IL33	457.25	78.34	314.17	29.91	460.44	165.57	271.48	287.01	26.28	124.37	84.63	155.5	156.59	186.4	476.71	147.06	153.34	591.22	395.18	17.25	96.01	105.15	854.13	39.5	103.69	158.79	285.03	373.81	379.04	64.34	532.74	118.43	72.52	126.12	40.36	67.59	275.28	102.25	32.59	159.9	205.5	164.42	54.72	733.19	941.27	358.54	928.3	514.56	1015.93
IRAK3	92.05	11.64	26.86	5.59	54.33	32.82	17.9	34.51	4.66	16.03	8.45	23.76	12.27	15.56	46.18	15.11	17.64	57.89	33.78	3.69	12.36	9.48	68.07	9.2	13.22	21.01	26.47	55.49	42.71	6.94	73.54	16.75	9.13	26.86	6.26	11.3	25.17	13.93	3.59	15.11	20.86	13.93	9.85	71.5	96.68	52.82	129.69	56.68	109.66
