	TCGA.5N.A9KM.01A.11R.A42T.07	TCGA.XF.AAN3.01A.11R.A42T.07	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.GV.A3QF.01A.31R.A22U.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.DK.AA6Q.01A.11R.A39I.07	TCGA.K4.A5RI.01A.11R.A28M.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.EK.A2RM.01A.21R.A18M.07	TCGA.CM.5862.01A.01R.1653.07	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.CN.6992.01A.11R.1915.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6010.01A.11R.1686.07	TCGA.CV.7254.01A.11R.2016.07	TCGA.QK.A6VB.01A.12R.A34R.07	TCGA.CQ.A4CI.01A.11R.A266.07	TCGA.CN.6023.01A.11R.1686.07	TCGA.QK.A8Z8.01A.11R.A39I.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10R.01A.11R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.CC.A5UE.01A.11R.A28V.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13NZ9.1326.SM.5MR3V	TCGA.93.8067.01A.11R.2287.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.3615.01A.01R.0946.07	TCGA.44.3917.01A.01R.A278.07	TCGA.35.5375.01A.01R.1628.07	TCGA.49.4486.01A.01R.1206.07	TCGA.67.3771.01A.01R.0946.07	TCGA.38.4631.01A.01R.1755.07	TCGA.50.5066.01A.01R.1628.07	TCGA.78.7154.01A.11R.2039.07	GTEX.OOBJ.0526.SM.48TDK	GTEX.YB5E.0726.SM.4VDSH	TCGA.22.5485.01A.01R.1635.07	TCGA.18.3415.01A.01R.0980.07	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2766.01A.01R.0851.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.4086.01A.01R.1100.07	TCGA.79.5596.01A.31R.1949.07	TCGA.46.3768.01A.01R.0980.07	TCGA.66.2758.01A.02R.0851.07	TCGA.33.4538.01A.01R.1201.07	TCGA.18.3411.01A.01R.0980.07	TCGA.O2.A52S.01A.11R.A262.07	TCGA.18.5592.01A.01R.1635.07	TCGA.39.5016.01A.01R.1443.07	TCGA.21.1075.01A.01R.0692.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.39.5036.01A.01R.1443.07	TCGA.66.2727.01A.01R.0980.07	TCGA.37.4130.01A.01R.1100.07	TCGA.94.7557.01A.11R.2125.07	TCGA.66.2795.01A.02R.0980.07	TCGA.85.7698.01A.11R.2125.07	TCGA.94.A5I6.01A.21R.A27Q.07	TCGA.77.6843.01A.11R.1949.07	TCGA.56.A4BX.01A.11R.A24H.07	TCGA.22.5473.01A.01R.1635.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.43.3394.01A.01R.0980.07	TCGA.22.5477.01A.01R.1635.07	TCGA.18.3408.01A.01R.0980.07	TCGA.BR.6802.11A.01R.1884.13
AC127496.1	1.22	12.0	11.82	18.16	16.39	10.24	11.13	8.99	9.56	2.76	1.43	1.06	15.56	18.43	19.53	9.48	5.59	11.91	20.26	24.81	0.0	8.25	5.11	6.67	0.85	18.84	6.11	6.16	2.78	4.86	3.86	1.97	5.73	4.43	6.26	1.93	7.34	7.75	0.99	11.3	4.9	2.05	1.69	10.71	0.0	1.38	5.06	12.83	5.92	29.48	4.46	0.0	12.09	1.81	5.59	17.13	6.26	16.51	12.27	16.39	25.54	16.75	11.47	5.5	1.81	6.73	4.17	5.06	10.71	11.82	9.85	10.16	42.71	14.14	4.86	19.25	11.21	43.02	4.74	1.27
ADO	172.65	224.97	195.72	92.7	241.19	249.73	392.44	183.82	403.5	144.01	208.38	277.2	412.0	291.04	307.69	232.94	138.1	348.71	525.39	208.38	110.43	100.13	99.43	137.14	102.25	88.88	61.68	94.67	70.01	81.71	86.43	89.51	64.8	84.04	54.72	130.6	104.42	155.5	177.53	183.82	199.85	132.44	159.9	199.85	154.42	186.4	234.57	267.73	285.03	379.04	309.83	193.01	169.07	177.53	279.14	156.59	358.54	260.38	314.17	183.82	327.56	417.77	209.84	279.14	177.53	164.42	229.72	208.38	490.14	295.11	221.86	248.0	698.41	186.4	271.48	397.93	224.97	780.44	400.71	182.55
AKR1C3	31215.04	54727.32	57847.82	72715.74	49666.0	61146.25	51775.15	76861.91	69753.56	31650.8	44761.41	26431.04	19214.73	45072.75	42641.37	42641.37	39785.74	63742.91	19618.49	41763.8	180.02	16383.0	24153.43	51775.15	26986.43	38164.99	32994.92	37121.34	26248.46	11345.82	19082.0	39510.91	14262.1	61999.83	34158.52	28923.41	31215.04	60723.88	86474.27	39510.91	53601.03	41763.8	25530.66	69271.73	32994.92	28525.2	44145.15	63302.6	43236.64	63742.91	43537.38	17197.56	40904.3	95949.32	47313.67	35609.13	52863.07	37379.55	32994.92	38966.94	15499.21	37901.36	52863.07	43840.21	95949.32	46339.95	58250.19	30572.63	32315.87	42937.97	29943.43	29327.18	42346.82	41475.31	57051.4	29736.59	40062.48	21468.49	50011.46	25179.16
ANKRD52	81.14	293.07	457.25	204.07	327.56	239.52	234.57	267.73	217.27	130.6	147.06	46.18	476.71	507.46	518.15	206.94	291.04	299.25	733.19	356.05	11.38	81.14	127.89	157.68	40.64	193.01	198.47	182.55	159.9	107.38	130.6	108.14	55.49	241.19	145.02	55.49	149.12	376.41	77.25	206.94	178.77	59.13	81.14	239.52	175.07	45.21	156.59	150.17	100.13	336.79	157.68	34.02	180.02	58.71	248.0	366.09	320.8	332.14	412.0	124.37	447.82	412.0	262.2	135.24	58.71	185.11	356.05	46.18	412.0	148.09	376.41	316.37	480.04	197.09	262.2	231.32	232.94	693.58	157.68	55.49
AP5B1	62.56	140.04	189.02	85.22	129.69	62.56	102.97	63.89	109.66	48.18	47.17	58.3	215.77	120.1	295.11	145.02	384.34	201.25	193.01	232.94	21.63	27.05	98.04	13.93	37.85	105.89	47.17	34.02	96.68	42.71	96.01	139.07	33.54	36.53	43.63	59.97	80.01	87.65	30.78	134.3	109.66	20.41	59.97	186.4	114.36	39.22	119.26	145.02	314.17	166.73	95.34	36.79	92.05	36.27	158.79	376.41	125.24	170.25	187.71	68.07	323.03	400.71	105.89	88.88	36.27	136.19	162.14	29.06	180.02	105.15	217.27	177.53	229.72	187.71	166.73	199.85	205.5	256.78	51.71	36.27
ARID1B	218.79	241.19	414.87	156.59	460.44	309.83	127.0	214.27	202.66	105.89	316.37	87.03	497.0	368.65	507.46	262.2	536.45	239.52	255.0	395.18	30.56	66.18	102.97	108.14	70.01	237.86	112.77	165.57	86.43	61.68	102.97	166.73	73.54	121.79	145.02	113.56	92.7	414.87	109.66	145.02	249.73	141.02	135.24	358.54	180.02	103.69	201.25	341.51	221.86	281.09	171.45	81.71	205.5	86.43	249.73	409.15	260.38	161.02	305.55	121.79	332.14	312.0	223.41	242.88	86.43	211.31	341.51	102.97	351.14	150.17	283.05	435.55	406.31	356.05	258.57	236.21	251.48	503.95	206.94	158.79
ASH1L	102.97	212.78	346.29	147.06	205.5	208.38	142.01	140.04	126.12	134.3	208.38	63.0	438.59	314.17	376.41	189.02	283.05	201.25	361.04	251.48	16.63	48.18	104.42	133.36	86.43	143.01	140.04	134.3	105.89	54.33	64.8	177.53	40.64	114.36	97.36	67.59	70.51	279.14	57.89	221.86	684.02	85.22	94.67	395.18	78.34	93.35	204.07	129.69	108.14	231.32	253.23	16.03	95.34	94.67	135.24	301.33	197.09	175.07	232.94	108.9	432.53	400.71	186.4	215.77	94.67	75.64	172.65	86.43	426.57	320.8	281.09	348.71	363.56	242.88	107.38	429.54	228.13	201.25	209.84	68.55
ASXL2	55.89	106.63	162.14	70.01	167.9	165.57	80.01	92.05	54.72	82.29	96.01	43.02	312.0	197.09	299.25	127.0	161.02	114.36	255.0	164.42	25.17	37.05	56.28	56.28	47.84	108.14	49.21	44.25	39.5	26.28	31.22	120.94	20.86	104.42	43.94	53.95	57.89	129.69	42.71	71.0	117.6	37.05	45.85	172.65	74.58	52.45	141.02	119.26	79.45	123.5	106.63	31.45	43.94	84.04	105.89	152.28	176.29	115.97	128.79	76.71	348.71	198.47	178.77	97.36	84.04	85.82	132.44	76.17	206.94	141.02	205.5	199.85	190.34	146.03	106.63	172.65	198.47	234.57	157.68	36.53
ATXN1L	72.52	176.29	211.31	139.07	224.97	212.78	169.07	123.5	139.07	150.17	132.44	69.52	316.37	256.78	316.37	172.65	242.88	183.82	248.0	281.09	33.06	74.58	122.64	92.05	78.89	193.01	70.01	87.03	120.1	64.34	69.03	102.25	64.8	162.14	67.59	58.71	95.34	199.85	49.56	142.01	123.5	57.08	69.52	199.85	76.71	78.34	301.33	256.78	249.73	218.79	127.89	63.89	108.9	69.03	185.11	156.59	199.85	176.29	320.8	92.7	301.33	175.07	125.24	155.5	69.03	151.22	167.9	74.06	246.28	141.02	255.0	256.78	387.02	180.02	123.5	187.71	130.6	463.65	195.72	90.77
BAZ2A	215.77	753.83	1015.93	361.04	536.45	802.41	420.68	403.5	507.46	265.87	346.29	128.79	1111.82	830.75	884.29	395.18	753.83	466.88	1143.1	703.28	49.21	180.02	223.41	314.17	353.59	476.71	429.54	279.14	348.71	155.5	228.13	307.69	244.57	312.0	241.19	309.83	182.55	1277.29	236.21	341.51	669.92	209.84	163.28	902.89	708.18	161.02	708.18	511.0	389.72	708.18	447.82	103.69	314.17	144.01	460.44	1191.69	884.29	571.05	728.11	325.29	1561.89	884.29	543.96	368.65	144.01	441.64	633.73	246.28	813.63	447.82	909.17	854.13	884.29	679.29	511.0	872.1	688.78	1733.13	500.46	191.67
