	TCGA.E9.A1RB.11A.33R.A157.07	GTEX.S32W.1626.SM.4AD6G	TCGA.EK.A2GZ.01A.11R.A180.07	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.13OVH.1026.SM.5J2NP	GTEX.POYW.1226.SM.2XCEP	GTEX.13JUV.0526.SM.5K7XE	GTEX.ZYY3.0926.SM.5E454	GTEX.13OW5.0726.SM.5KLZK	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.12WSE.0826.SM.5S2VL	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.S33H.0626.SM.2XCBJ	GTEX.14E7W.1326.SM.5RQIV	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1128S.0726.SM.5N9D6	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.13JVG.1426.SM.5MR4W	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NL3G.0526.SM.4RTWW	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.131XH.0426.SM.5DUWU	GTEX.NPJ8.2526.SM.2HML8
ACN9	260.38	551.56	406.31	80.01	285.03	156.59	395.18	171.45	426.57	92.05	1096.5	339.14	251.48	381.68	400.71	64.8	371.22	255.0	366.09	435.55	63.89	384.34	73.54	358.54	53.95	159.9	297.17	417.77	81.71	34.75	248.0	95.34	194.36	320.8	150.17	258.57	180.02	409.15	470.14	76.17	149.12	73.03	214.27	271.48	69.03	373.81
AGGF1	363.56	307.69	191.67	118.43	201.25	115.16	242.88	51.71	231.32	115.16	275.28	305.55	170.25	214.27	348.71	110.43	258.57	153.34	287.01	346.29	110.43	289.02	80.57	255.0	53.19	156.59	189.02	303.44	111.99	137.14	159.9	133.36	169.07	318.57	111.99	164.42	249.73	172.65	281.09	120.1	156.59	115.97	221.86	239.52	123.5	232.94
ALKBH4	162.14	269.6	201.25	102.25	127.0	70.01	176.29	51.71	167.9	71.5	162.14	139.07	75.64	126.12	218.79	66.65	208.38	130.6	201.25	180.02	41.52	208.38	57.49	186.4	71.0	62.12	122.64	260.38	67.59	63.45	120.94	100.83	99.43	187.71	72.01	73.03	197.09	124.37	178.77	140.04	111.99	68.55	214.27	143.01	69.52	248.0
ARMC1	567.1	547.75	483.38	141.02	312.0	163.28	406.31	80.01	514.56	149.12	518.15	457.25	251.48	368.65	497.0	126.12	486.75	253.23	466.88	603.67	144.01	486.75	91.41	450.94	49.56	229.72	237.86	503.95	132.44	180.02	236.21	132.44	305.55	450.94	158.79	229.72	351.14	384.34	387.02	176.29	199.85	190.34	339.14	325.29	155.5	332.14
ASNSD1	909.17	1088.92	723.08	463.65	764.36	366.09	878.17	265.87	836.53	325.29	961.07	954.43	543.96	733.19	1037.29	412.0	825.0	674.59	1015.93	1225.22	341.51	830.75	264.03	802.41	170.25	463.65	669.92	1030.12	476.71	438.59	525.39	384.34	713.11	1199.98	444.72	780.44	629.35	743.43	878.17	555.41	525.39	426.57	808.0	759.08	215.77	819.3
ASTE1	190.34	141.02	202.66	25.91	72.01	43.63	102.25	27.64	135.24	36.01	148.09	141.02	55.49	62.56	157.68	28.24	140.04	64.8	155.5	155.5	57.08	172.65	29.27	106.63	19.68	49.91	71.5	149.12	47.17	33.54	73.54	38.67	55.49	122.64	40.93	49.56	84.04	96.68	96.68	43.63	45.85	48.18	142.01	87.65	43.63	133.36
ATRIP	140.04	279.14	98.04	68.55	85.82	53.95	170.25	51.71	151.22	77.79	71.5	141.02	76.17	107.38	149.12	57.08	142.01	111.99	146.03	148.09	44.57	133.36	55.49	143.01	68.07	67.12	101.54	147.06	60.82	61.68	129.69	103.69	85.82	195.72	50.63	68.07	141.02	120.94	127.89	78.89	115.16	73.03	106.63	115.97	53.57	215.77
BCDIN3D	197.09	152.28	171.45	43.02	115.97	58.71	146.03	32.36	136.19	38.67	181.28	169.07	68.55	104.42	186.4	37.59	144.01	98.73	172.65	218.79	27.64	159.9	50.27	140.04	36.01	75.64	102.25	195.72	30.78	45.53	85.22	73.03	105.89	144.01	83.45	63.45	152.28	121.79	193.01	83.45	121.79	37.32	128.79	133.36	58.71	231.32
C11orf83	171.45	309.83	287.01	63.89	81.14	90.77	182.55	71.5	172.65	121.79	93.35	183.82	142.01	205.5	237.86	62.12	163.28	164.42	199.85	162.14	46.5	165.57	81.71	186.4	58.3	84.04	117.6	277.2	60.82	66.18	140.04	51.35	97.36	157.68	60.39	71.0	156.59	177.53	239.52	90.77	120.94	69.52	246.28	165.57	78.34	242.88
C19orf47	189.02	414.87	358.54	132.44	164.42	90.14	323.03	90.14	339.14	98.04	169.07	248.0	116.78	189.02	409.15	82.29	438.59	187.71	547.75	320.8	165.57	307.69	71.5	265.87	93.35	117.6	181.28	412.0	78.89	112.77	194.36	130.6	191.67	551.56	108.14	164.42	346.29	198.47	283.05	201.25	190.34	104.42	438.59	271.48	145.02	255.0
