	TCGA.97.A4M7.01A.11R.A24X.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.55.8621.01A.11R.2403.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.X4EO.0926.SM.3P5Z2	GTEX.Q734.0626.SM.2I3EF	TCGA.98.A53H.01A.12R.A262.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.7328.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL
ABCC2	18.29	9.56	14.78	12.45	3.5	9.85	7.11	37.05	22.92	2.34	5.73	4.78	8.65	9.27	13.42	1.62	3.76	7.75	11.04	3.35	3.29	3.23	5.23	5.82	2.71	4.17	5.63	1.14	2.92	3.59	2.81	4.03	4.13	2.76	4.7	0.87	3.99
ADORA2A	269.6	237.86	373.81	218.79	612.11	217.27	234.57	934.76	209.84	23.76	53.95	102.97	57.08	67.12	212.78	35.76	204.07	137.14	105.89	31.0	32.82	69.03	87.03	57.49	29.06	48.87	103.69	32.36	28.86	77.79	42.71	55.49	60.82	36.27	28.86	31.22	26.1
APLNR	183.82	110.43	189.02	346.29	343.89	205.5	162.14	1127.35	684.02	4.39	25.54	24.63	12.09	22.92	53.57	7.69	59.13	19.39	53.19	6.46	27.25	41.81	81.71	11.38	23.08	54.33	40.64	15.22	8.85	58.71	22.43	20.11	16.51	12.83	12.83	21.47	10.47
ARAP1	2240.11	2351.53	2915.45	2061.24	3257.52	2335.28	3614.55	6381.92	2148.82	759.08	1437.15	1277.29	1183.45	1388.16	1733.13	1030.12	1651.0	1313.23	1286.18	728.11	902.89	1259.69	1397.83	769.69	587.13	1001.93	1883.54	381.68	872.1	688.78	928.3	1277.29	954.43	728.11	583.07	836.53	769.69
ARHGAP4	2224.63	1832.01	1551.09	1605.83	2573.36	2271.4	6699.25	1350.18	2271.4	115.16	314.17	503.95	327.56	447.82	1127.35	187.71	1487.87	1030.12	343.89	102.97	175.07	279.14	368.65	172.65	88.26	148.09	693.58	109.66	109.66	376.41	150.17	285.03	212.78	135.24	72.01	138.1	182.55
BGN	13776.25	14765.09	10512.82	12244.81	5711.87	5831.91	8598.28	13215.02	22535.88	2061.24	5112.16	7749.1	2720.15	6250.56	12502.12	3325.99	6250.56	3515.68	3820.7	896.64	1605.83	2451.44	3103.19	2502.97	583.07	3018.3	2758.13	1159.07	3212.66	1977.24	1407.55	2739.08	624.99	591.22	1233.75	1001.93	819.3
C11orf21	54.72	182.55	81.71	50.63	346.29	101.54	457.25	102.97	62.12	1.01	9.41	15.34	14.78	12.64	122.64	4.5	38.95	66.65	11.13	4.9	21.32	13.52	12.0	5.54	5.28	6.89	26.67	5.28	1.91	10.24	2.25	11.47	10.16	1.01	4.62	7.57	9.27
C11orf89	29.7	71.0	25.35	51.35	41.52	41.52	68.55	57.49	61.68	0.0	3.66	4.58	5.23	14.56	48.18	2.63	37.59	22.26	5.32	0.75	3.92	2.07	7.06	3.44	1.14	4.9	16.63	1.68	1.22	4.24	1.64	3.38	2.12	1.6	0.88	2.58	1.99
C17orf66	6.06	12.55	4.94	3.69	10.31	5.19	34.75	2.36	3.63	0.0	0.0	0.6	2.84	1.95	1.48	0.59	1.04	2.34	1.11	0.0	1.03	0.0	1.55	0.0	0.0	0.0	1.07	0.0	0.0	1.45	0.0	0.0	1.03	0.0	0.0	0.21	0.09
C5orf56	291.04	406.31	500.46	397.93	842.36	346.29	830.75	366.09	301.33	105.15	209.84	283.05	241.19	277.2	384.34	152.28	348.71	400.71	223.41	137.14	93.35	239.52	267.73	212.78	123.5	173.85	320.8	264.03	131.51	244.57	130.6	246.28	258.57	112.77	128.79	167.9	172.65
CACNG6	129.69	12.64	149.12	1322.37	166.73	301.33	18.43	83.45	620.67	0.31	0.34	1.36	1.28	0.97	6.73	0.0	1.99	9.06	3.56	2.34	1.64	0.0	1.38	1.3	0.3	0.0	0.68	0.0	0.0	1.27	1.93	1.58	0.0	13.83	2.25	0.0	1.77
CARD9	204.07	120.1	194.36	105.89	318.57	178.77	275.28	412.0	105.89	12.27	50.27	67.59	40.07	59.55	122.64	16.63	111.99	76.71	66.18	14.35	33.3	38.67	47.5	23.76	15.56	28.04	90.77	17.13	16.51	48.18	21.94	49.21	38.4	9.93	17.0	36.01	22.75
CCDC18	112.77	76.17	77.25	60.39	66.65	81.14	69.52	100.13	78.89	11.73	18.97	29.06	33.3	43.63	55.1	9.56	56.68	38.12	29.91	11.21	28.24	23.25	23.25	25.54	16.51	22.92	23.25	5.11	20.71	35.0	11.55	26.47	27.64	5.68	11.13	9.85	13.42
CCL11	57.49	69.52	74.06	85.82	281.09	52.08	38.12	28.86	603.67	23.76	26.67	39.79	11.04	44.89	71.0	6.41	78.34	18.03	28.86	16.39	20.26	16.39	19.11	9.06	7.0	10.63	7.82	11.13	8.99	11.47	5.23	14.56	7.06	4.74	4.66	7.34	2.2
CCL17	400.71	1259.69	201.25	69.03	521.76	2004.85	1427.22	249.73	154.42	7.82	4.35	47.5	32.59	4.98	384.34	5.77	116.78	97.36	2.66	1.28	0.0	20.41	15.91	0.0	2.81	5.92	21.01	13.03	3.66	39.79	0.95	18.43	6.73	4.54	5.92	5.63	0.0
CCL3	173.85	299.25	603.67	334.46	403.5	733.19	1059.11	995.0	438.59	40.07	486.75	37.85	32.36	260.38	351.14	7.34	113.56	202.66	223.41	74.58	209.84	72.52	135.24	90.14	13.22	70.01	316.37	141.02	22.59	159.9	30.78	78.89	70.51	27.25	29.06	156.59	43.32
CCL4L1	120.94	429.54	262.2	140.04	293.07	967.76	312.0	748.61	88.88	14.45	115.97	35.5	32.13	175.07	392.44	9.27	26.47	486.75	57.89	127.89	124.37	77.25	31.22	64.34	3.92	25.54	161.02	26.47	14.45	283.05	13.62	135.24	91.41	81.71	0.0	86.43	0.0
CCL4L2	202.66	123.5	232.94	17.77	293.07	447.82	312.0	417.77	202.66	10.79	223.41	85.22	100.83	151.22	220.32	5.06	104.42	256.78	78.89	6.73	82.87	39.22	88.88	47.84	11.55	25.54	237.86	17.0	0.44	81.71	3.5	56.28	163.28	24.99	15.34	79.45	20.41
CDK9	1216.75	1295.13	1594.73	1963.57	1963.57	2004.85	2032.85	1242.34	1583.71	1167.14	1242.34	1388.16	1051.79	1437.15	1350.18	1119.56	1508.65	1605.83	1233.75	860.08	1081.39	1350.18	1073.91	1388.16	961.07	830.75	1417.35	595.34	1175.27	909.17	1135.2	1183.45	1015.93	1143.1	934.76	921.88	1037.29
CEP164	435.55	412.0	389.72	642.59	563.18	521.76	514.56	532.74	473.41	138.1	241.19	256.78	312.0	389.72	307.69	204.07	363.56	287.01	376.41	170.25	202.66	189.02	309.83	201.25	151.22	197.09	406.31	73.03	157.68	136.19	166.73	249.73	224.97	114.36	113.56	161.02	223.41
CHFR	759.08	656.11	579.04	595.34	624.99	612.11	764.36	529.06	612.11	271.48	348.71	341.51	361.04	441.64	567.1	289.02	397.93	341.51	363.56	232.94	353.59	309.83	368.65	325.29	186.4	239.52	358.54	125.24	246.28	260.38	226.54	301.33	271.48	148.09	231.32	269.6	316.37
CIITA	813.63	764.36	769.69	718.08	2502.97	866.07	3060.45	4419.52	603.67	15.11	170.25	211.31	112.77	249.73	647.07	44.57	384.34	423.61	135.24	67.59	111.99	59.97	141.02	44.57	37.05	78.34	224.97	50.27	20.71	133.36	80.01	131.51	71.5	32.13	50.63	104.42	58.71
CPZ	426.57	764.36	356.05	208.38	363.56	332.14	450.94	239.52	785.88	145.02	305.55	397.93	178.77	153.34	738.29	119.26	283.05	228.13	126.12	50.27	74.58	149.12	105.89	145.02	8.38	152.28	85.82	24.99	102.25	122.64	26.47	154.42	40.36	5.77	131.51	148.09	64.8
CR1L	56.28	20.41	28.65	77.25	84.04	29.27	27.05	28.04	21.94	0.0	1.62	3.59	0.56	2.81	30.56	2.89	15.91	11.47	1.33	3.53	1.2	1.17	5.63	0.0	0.0	0.0	0.0	10.63	0.26	12.93	0.0	1.48	5.06	1.16	0.0	14.89	0.0
CRTC2	1199.98	1359.57	1191.69	1001.93	1457.23	1143.1	1628.26	1127.35	1304.15	660.68	616.37	967.76	769.69	830.75	1008.9	684.02	1119.56	1037.29	759.08	493.56	486.75	759.08	748.61	642.59	607.87	607.87	902.89	490.14	733.19	547.75	543.96	769.69	713.11	595.34	583.07	547.75	854.13
CTD-2547L24.3	118.43	27.25	23.08	40.07	39.5	26.1	76.71	78.34	28.04	0.0	11.38	28.65	21.01	17.38	42.11	5.15	13.62	37.59	23.76	0.0	14.78	18.7	20.56	29.7	6.01	3.2	38.95	8.25	6.94	19.82	0.0	18.16	11.64	2.2	6.16	1.33	8.25
CTRL	27.44	31.22	26.47	32.82	34.75	29.7	47.17	17.13	46.84	1.04	17.51	24.81	17.77	23.25	36.53	5.19	24.63	35.5	7.63	14.03	4.06	11.13	10.96	7.46	2.43	3.08	25.54	10.47	6.62	9.06	0.0	10.96	17.0	3.44	3.82	3.56	7.75
DENND4B	1208.34	1127.35	836.53	884.29	791.35	785.88	1167.14	1540.37	1023.0	283.05	389.72	441.64	441.64	647.07	624.99	309.83	567.1	490.14	297.17	273.37	341.51	307.69	426.57	348.71	190.34	295.11	571.05	116.78	295.11	241.19	234.57	363.56	242.88	194.36	202.66	271.48	231.32
DNAH12	248.0	20.86	249.73	1639.59	258.57	579.04	31.9	155.5	759.08	1.38	1.5	2.71	3.32	6.01	2.2	1.87	7.69	10.96	13.52	1.04	1.03	3.69	2.32	2.97	0.96	2.97	1.85	3.35	0.62	3.23	2.14	1.73	1.39	0.6	0.0	1.04	2.84
