	TCGA.DD.A118.11A.11R.A131.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZZPU.0426.SM.5GZYH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11P7K.0226.SM.5986Z	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
ABCA2	287.01	231.32	295.11	325.29	148.09	193.01	120.94	444.72	0.0	0.84	1250.98	1487.87	1397.83	5041.77	2047.0	1794.29	1051.79	1216.75	1628.26	1304.15	2163.77	2739.08	1721.16	2255.7	2816.11	1151.06	2032.85	583.07	1322.37	1233.75	2915.45	884.29	2224.63	842.36	860.08	1639.59	1167.14	1745.2	2976.74	1037.29	1225.22
AC024940.1	0.0	0.77	0.0	0.99	0.49	1.04	0.95	0.0	0.0	0.0	2.01	2.03	1.64	1.87	2.39	3.32	0.0	0.99	1.36	2.07	2.03	3.66	1.93	1.68	1.3	2.07	4.58	0.0	2.03	2.01	3.17	2.73	1.01	2.84	0.0	2.53	3.08	0.95	1.3	3.06	1.68
AC132186.1	0.99	0.0	0.0	0.0	1.45	3.32	0.0	0.0	0.0	0.17	5.41	3.96	2.86	3.56	6.73	5.45	2.73	6.67	3.82	2.46	6.06	7.63	0.0	0.95	8.06	2.46	5.5	0.0	1.77	0.0	8.45	4.03	6.11	1.07	6.73	6.01	2.25	1.99	5.96	0.0	1.75
AC226150.4	10.71	12.18	8.51	27.64	14.45	16.88	22.59	10.24	0.0	0.0	18.16	76.71	53.19	41.22	51.35	94.67	17.0	16.75	37.05	50.98	66.65	37.32	41.22	100.13	35.25	37.32	83.45	43.02	111.21	34.26	25.54	47.84	35.76	46.5	64.34	95.34	24.28	43.02	33.06	43.94	65.26
AGO2	57.89	85.82	70.01	29.91	29.7	92.05	49.91	63.89	0.0	0.33	111.21	87.65	121.79	204.07	163.28	129.69	120.1	127.89	109.66	84.63	95.34	70.01	152.28	111.21	155.5	136.19	121.79	85.82	58.71	82.29	147.06	80.01	193.01	74.58	181.28	211.31	146.03	201.25	51.35	65.72	90.14
AL358113.1	438.59	248.0	775.05	543.96	269.6	320.8	518.15	346.29	0.0	0.31	775.05	738.29	518.15	1242.34	748.61	540.19	279.14	414.87	974.5	624.99	642.59	638.15	483.38	629.35	848.22	555.41	967.76	81.71	713.11	591.22	941.27	764.36	780.44	273.37	769.69	1023.0	525.39	599.49	954.43	543.96	447.82
ALOX12	1.62	1.68	1.04	3.38	1.1	2.03	2.78	6.78	0.0	0.66	11.47	21.16	12.64	20.86	22.92	17.25	8.13	10.63	11.38	12.83	14.45	14.14	18.43	18.29	14.67	13.22	26.47	9.2	11.38	17.13	19.68	12.45	13.03	4.62	15.91	14.24	4.21	19.53	18.29	4.43	5.19
ANAPC1	124.37	108.14	98.73	99.43	144.01	83.45	112.77	99.43	0.0	0.71	123.5	150.17	152.28	205.5	183.82	194.36	152.28	183.82	137.14	170.25	193.01	198.47	206.94	185.11	211.31	156.59	172.65	159.9	102.97	129.69	208.38	167.9	212.78	105.15	146.03	214.27	139.07	154.42	197.09	155.5	150.17
ANAPC2	473.41	241.19	325.29	363.56	256.78	318.57	334.46	500.46	0.0	0.91	708.18	769.69	423.61	638.15	854.13	909.17	500.46	624.99	629.35	688.78	830.75	1015.93	775.05	616.37	1304.15	571.05	961.07	497.0	624.99	638.15	1073.91	624.99	769.69	660.68	693.58	1295.13	629.35	595.34	878.17	599.49	579.04
ARHGEF17	27.44	26.47	20.11	61.25	43.02	81.71	28.24	53.95	0.0	0.99	813.63	866.07	595.34	1331.57	1073.91	988.12	802.41	629.35	866.07	718.08	825.0	1073.91	785.88	796.86	1369.04	665.29	1167.14	629.35	543.96	698.41	1030.12	1044.52	988.12	486.75	651.58	1883.54	684.02	660.68	1088.92	733.19	612.11
