	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.14E1K.0326.SM.5S2PE	GTEX.11DXZ.0126.SM.5EGGY	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3BU.01A.11R.A19O.07	TCGA.ET.A39J.01A.11R.A19O.07	TCGA.DJ.A2PV.01A.11R.A19O.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FK.A3SE.01A.11R.A22L.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.CE.A3ME.01A.11R.A20F.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.ET.A39S.01A.11R.A19O.07
ABCC6	1427.22	1806.78	536.45	934.76	988.12	1437.15	327.56	1183.45	1583.71	1340.84	1662.49	2119.22	1572.76	2367.9	332.14	341.51	255.0	205.5	221.86	120.94	271.48	325.29	111.21	228.13	255.0	346.29	215.77	151.22
AC114546.1	239.52	392.44	316.37	476.71	346.29	361.04	305.55	373.81	339.14	447.82	287.01	368.65	271.48	521.76	1233.75	759.08	974.5	607.87	928.3	571.05	1242.34	1015.93	842.36	1199.98	1225.22	961.07	1369.04	1030.12
AGTRAP	500.46	500.46	281.09	244.57	253.23	299.25	536.45	239.52	400.71	503.95	291.04	551.56	587.13	466.88	2835.7	2018.8	2018.8	1896.65	3124.78	1081.39	3168.41	2520.38	1096.5	2720.15	1950.0	2451.44	2956.17	2434.5
ANXA1	429.54	616.37	842.36	738.29	866.07	291.04	217.27	583.07	229.72	279.14	186.4	450.94	629.35	567.1	40341.14	23169.48	37639.55	25708.25	27363.16	38164.99	42937.97	19214.73	31215.04	22072.07	35856.82	27553.49	23330.64	33922.56
AP1M2	0.36	1242.34	18.84	9.27	24.11	9.48	0.05	18.03	1.6	8.99	44.89	76.71	62.56	41.52	3103.19	2627.46	2875.3	1963.57	2758.13	2351.53	3419.52	2915.45	2384.37	3589.58	2520.38	3081.75	3190.46	3081.75
APEH	1417.35	1819.35	1529.73	1594.73	1757.34	1781.89	1487.87	2090.03	1870.53	1963.57	1540.37	2645.74	2255.7	2018.8	2609.3	2485.67	2148.82	2319.15	2645.74	2061.24	2895.31	3190.46	2895.31	3874.05	1909.85	3395.89	2935.74	2502.97
BID	1639.59	848.22	638.15	1127.35	1322.37	1617.0	1331.57	988.12	1059.11	981.29	961.07	961.07	941.27	1909.85	1295.13	1467.37	1519.15	854.13	1081.39	947.83	1167.14	743.43	1199.98	1143.1	1617.0	967.76	1175.27	1159.07
BMP1	246.28	463.65	295.11	151.22	171.45	199.85	159.9	287.01	320.8	242.88	412.0	435.55	307.69	363.56	1551.09	1437.15	1447.15	1331.57	1457.23	759.08	1331.57	1388.16	1030.12	1594.73	1175.27	1529.73	1208.34	1216.75
C19orf24	1407.55	1628.26	1605.83	796.86	1378.57	1051.79	1551.09	1639.59	1340.84	1388.16	1407.55	1175.27	1583.71	2032.85	2032.85	1697.45	1594.73	1295.13	2090.03	1519.15	2502.97	2178.83	1015.93	2104.58	1977.24	2895.31	2384.37	2193.99
C19orf26	6.36	3.35	4.31	2.07	3.96	0.74	13.52	0.0	4.24	2.76	3.72	4.62	3.66	14.03	58.71	74.58	55.89	55.49	59.97	55.1	94.67	58.71	53.19	94.01	94.01	57.49	40.36	80.57
C19orf53	2400.97	2451.44	2384.37	2061.24	2032.85	1870.53	2502.97	2287.2	2835.7	2061.24	1662.49	2047.0	2855.44	2384.37	5672.41	4358.66	5112.16	4268.94	5183.54	3901.01	6426.31	5751.61	2777.33	5594.3	4972.34	5183.54	5913.33	4639.29
C1orf216	59.13	120.94	84.63	39.79	113.56	29.27	96.01	88.88	56.28	125.24	55.49	103.69	78.34	109.66	332.14	234.57	241.19	309.83	325.29	132.44	336.79	287.01	226.54	309.83	244.57	343.89	356.05	177.53
